ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
06/11/2023,1,,0,40.965603,,4,,2890201001,1,37093049,0,1,139000,3,28754,Callejón,bj,False,,Puentes Viejas,False,-3.5840716,,2,2,Madrid,3,1,0,0.57789425195126,11352,https://www.idealista.com/103077410,,103077410,88,859,136,28902,652,,,1,2,False,,del Clavel,,16/01/2024,False,https://www.idealista.com/data/app/cid/M1kwQ0UzTzdiMFNzbVg5YW1UVTM2QT09,1022.06,2,0-EU-ES-28-01-006-902
21/12/2010,1,,100,40.9907988,,4,6584003VL4368S0004QS,2802701001,1,20829279,100,1,199000,3,28730,Calle,1,False,6584003VL4368S,Buitrago del Lozoya,False,-3.6358907,,43,226,Madrid,3,1,2,0.26207812837376,11681,https://www.idealista.com/1866984,,1866984,4790,17123,155,28027,1911,,2007,1,2,False,V,Fuente,88,29/06/2023,False,https://www.idealista.com/data/app/cid/dE5ETHAxRUR6NndlbXpxR3NuZG4vQT09,1283.87,22,0-EU-ES-28-01-006-027
21/09/2022,1,,100,40.9877331,,3,,2802701001,3,33322460,75,1,178000,3,28730,,bj,,,Buitrago del Lozoya,True,-3.6336897,,5,41,Madrid,3,1,0,0.26207812837376,11852,https://www.idealista.com/98898979,,98898979,127,2508,110,28027,1911,27/01/2023,1975,1,1,False,V,,110,11/01/2024,False,https://www.idealista.com/data/app/cid/d3RNei9wbC9nS0NtNmhNSk1iUmFaZz09,1618.18,,0-EU-ES-28-01-006-027
17/03/2019,1,,100,41.14009,,3,,4016201001,1,21757463,100,1,155000,3,40165,Plaza,2,False,2347930VL4524N,Pradena,False,-3.68831,,0,76,Segovia,3,1,0,0.45824191688249,15998,https://www.idealista.com/84696343,,84696343,1718,2514,180,40162,562,29/11/2023,2009,1,2,False,,de la Constitucion,,28/01/2024,False,https://www.idealista.com/data/app/cid/MDJJM0ZDYVd3emM4Nzd1QWxrNnFpUT09,861.11,19,0-EU-ES-40-03-003-162
05/02/2022,1,,69,40.9808875,,2,2072504VL4327S0001HX,2806301001,1,31226499,75,1,123850,3,28739,Calle,bj,,2072504VL4327S,Gargantilla del Lozoya,,-3.6922468,,15,228,Madrid,4,1,2,0.23669613281374,16142,https://www.idealista.com/96668088,,96668088,576,5519,104,28063,353,04/09/2023,1980,1,2,False,V,Iglesia,249,04/09/2023,,https://www.idealista.com/data/app/cid/Z0dEM3VaU1I4d3k5T3pqKy9RZDVxUT09,1190.87,3,0-EU-ES-28-01-006-063
18/12/2022,1,,0,41.20356,,3,,4005401001,1,34273758,0,1,99500,3,40592,Carretera,2,False,,Cerezo de Arriba,False,-3.47221,,21,124,Segovia,4,1,0,0.48532799706876,16763,https://www.idealista.com/99939394,,99939394,375,1923,115,40054,165,28/12/2023,,1,2,True,,de Pinilla,,28/12/2023,True,https://www.idealista.com/data/app/cid/S0hpb2VMb2x1Z2R2UlI2YnRudDRVQT09,865.22,8,0-EU-ES-40-03-003-054
04/01/2022,1,,100,41.2041262,,3,0615101VL6601N0030MO,4005401001,1,30908660,75,1,99900,3,40592,Calle,2,False,0615101VL6601N,Cerezo de Arriba,False,-3.4723663,,32,176,Segovia,4,1,5,0.48532799706876,16819,https://www.idealista.com/96337381,,96337381,744,3983,115,40054,165,18/01/2024,1973,1,2,True,V,Serranova,41,18/01/2024,True,https://www.idealista.com/data/app/cid/R3NJZlRBYmVVOGlHWUd1a3hBeVlPQT09,868.7,1,0-EU-ES-40-03-003-054
10/01/2024,1,,,41.20414,,3,,4005401001,1,103641974,,1,98000,3,40592,Calle,2,True,,Cerezo de Arriba,True,-3.4721,,3,20,Segovia,3,1,0,0.48532799706876,16827,https://www.idealista.com/103641974,,103641974,22,381,102,40054,165,,,1,1,False,,Edificio Pico del Lobo,,29/01/2024,False,https://www.idealista.com/data/app/cid/Y2RybGZMNFB6VnU0aWNCMXUrV09IQT09,960.78,1,0-EU-ES-40-03-003-054
01/02/2023,1,,100,40.9887255,,3,,2809701001,2,34623883,50,1,144000,3,28739,Calle,1,False,,Navarredonda,False,-3.7268013,,1,35,Madrid,4,1,0,0.27378294887375,18180,https://www.idealista.com/100340049,,100340049,210,1422,100,28097,127,31/08/2023,2010,1,2,False,V,Casona,134,31/08/2023,False,https://www.idealista.com/data/app/cid/c0RCeUsvaHMrWWhPTEVMOUp5YjdUZz09,1440,,0-EU-ES-28-01-006-097
09/06/2023,1,,100,41.2373574,,3,,4005401001,2,35822500,75,1,89800,3,40592,Calle,2,False,,Cerezo de Arriba,False,-3.560056,,0,2,Segovia,4,1,0,0.48532799706876,20117,https://www.idealista.com/101689603,,101689603,96,342,122,40054,165,13/09/2023,0,1,2,False,M,Calleja del Monje,0,13/09/2023,False,https://www.idealista.com/data/app/cid/MG1zeVRhbkc2Zm9TWUt3U0JvOUpDUT09,736.07,,0-EU-ES-40-03-003-054
12/12/2023,1,,0,40.8780702,,1,,2802101001,2,37410956,0,1,173000,3,28192,Calle,,,,El Berrueco,,-3.5942058,,2,7,Madrid,4,,0,0.28439472208,20656,https://www.idealista.com/103425199,,103425199,51,492,195,28021,656,01/02/2024,,1,1,,,Lanchar de Losa Morilla,,01/02/2024,,https://www.idealista.com/data/app/cid/elRUWFMwRmhtN2QxWlVaMWtOdE9vZz09,887.18,,0-EU-ES-28-01-006-021
16/02/2023,1,,100,40.8662843,,4,,2803001001,2,34776544,100,1,220000,3,28751,Desconocida,1,,,La Cabrera,,-3.6125443,,7,149,Madrid,3,1,0,0.22007717424125,22658,https://www.idealista.com/100515781,,100515781,0,4268,152,28030,2548,16/02/2023,2008,1,3,False,,Zarza,,09/01/2024,,https://www.idealista.com/data/app/cid/cnlscEs4aGQ0aEJZWHRZYkQyRjJhZz09,1447.37,,0-EU-ES-28-01-017-030
11/01/2018,1,,100,40.8633024,,4,,2803001001,3,21231489,100,1,350000,3,28751,,1,True,,La Cabrera,True,-3.6138064,,9,144,Madrid,3,1,4,0.22007717424125,22789,https://www.idealista.com/39271752,,39271752,1776,6107,222,28030,2548,23/11/2022,1930,1,4,False,V,,103,28/01/2024,False,https://www.idealista.com/data/app/cid/QU1lTHB2OXhuQVBiZWkwcGZTUWFwUT09,1576.58,,0-EU-ES-28-01-017-030
18/01/2024,1,,,40.8648292,,2,,2803001001,2,103722064,,1,145000,3,28751,Desconocida,1,,,La Cabrera,,-3.6144052,,4,15,Madrid,3,1,0,0.22007717424125,22998,https://www.idealista.com/103722064,,103722064,1,409,121,28030,2548,19/01/2024,,1,2,False,,matas,,26/01/2024,,https://www.idealista.com/data/app/cid/M1FieThqcEh6RjMyOU1ZTVlmR2x2dz09,1198.35,,0-EU-ES-28-01-017-030
