ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
15/04/2013,1,,46,40.8244222,,3,,2809401001,1,20853576,0,1,190000,3,28729,Calle,bj,True,,Navalafuente,False,-3.6731624,,25,98,Madrid,3,1,2,0.11829037751,35,https://www.idealista.com/26099603,,26099603,2959,5704,140,28094,1163,23/05/2021,,1,3,False,,San Roque,,15/01/2024,True,https://www.idealista.com/data/app/cid/Zk5lTW9aaWhXMWtaeFU2SlM4aDlNUT09,1357.14,10,0-EU-ES-28-01-017-094
06/06/2022,1,,53,40.8235959,,3,3396109VL4139N0001OL,2809401001,1,32363874,75,1,296000,3,28729,Travesía,1,False,3396109VL4139N,Navalafuente,True,-3.6737429,,22,16,Madrid,4,1,0,0.11829037751,101,https://www.idealista.com/97871531,,97871531,505,1609,140,28094,1163,24/10/2023,1990,1,2,False,V,de Rivero,174,24/10/2023,True,https://www.idealista.com/data/app/cid/c2xuUTIvRDhiT2NsT3ZvTTFPTHE4dz09,2114.29,2,0-EU-ES-28-01-017-094
05/07/2023,2,,100,40.82616,3,4,,2809401001,2,36066068,75,1,208900,3,28729,Desconocida,,True,,Navalafuente,,-3.6711244,,7,127,Madrid,4,,1,0.11829037751,53,https://www.idealista.com/101956846,,101956846,52,1911,140,28094,1163,27/08/2023,1999,1,3,,V,San Roque,142,27/08/2023,True,https://www.idealista.com/data/app/cid/V1ZrbkYzT0lFNG1SL0hqWCtWbmhZdz09,1492.14,,0-EU-ES-28-01-017-094
16/09/2021,2,,92,40.8239797,2,4,3396109VL4139N0001OL,2809401001,1,29913434,75,1,230000,3,28729,Desconocida,bj,True,3396109VL4139N,Navalafuente,True,-3.673675,,10,92,Madrid,3,,1,0.11829037751,58,https://www.idealista.com/95297076,,95297076,868,4820,156,28094,1163,,1990,1,3,,V,Rivero,174,20/11/2023,,https://www.idealista.com/data/app/cid/Skc0ZHU3cUkzT2FUOUVMd2dsV0h1UT09,1474.36,2,0-EU-ES-28-01-017-094
13/11/2023,2,,100,40.8224282,3,4,,2809401001,2,37168473,100,1,259500,3,28729,Desconocida,,True,,Navalafuente,True,-3.6734713,,10,57,Madrid,3,,1,0.11829037751,167,https://www.idealista.com/103160027,,103160027,80,1588,166,28094,1163,,2002,1,2,,,real,,12/01/2024,,https://www.idealista.com/data/app/cid/UXZ6dWVwWjJiVWRINm5nV2NOakczZz09,1563.25,,0-EU-ES-28-01-017-094
15/01/2024,2,,100,40.823348,3,3,,2809401001,3,37644004,100,1,227000,3,28729,,,True,,Navalafuente,False,-3.6757957,,16,50,Madrid,3,,0,0.11829037751,250,https://www.idealista.com/103678673,,103678673,0,884,144,28094,1163,15/01/2024,2006,1,3,,,,,02/02/2024,False,https://www.idealista.com/data/app/cid/VjJyNDJEalFpTGRXajZpclp4N2dXZz09,1576.39,,0-EU-ES-28-01-017-094
10/02/2015,2,,100,40.8233437,3,3,,2809401001,1,6908413,100,1,150000,3,28729,Calle,,False,30963A4VL4139N,Navalafuente,True,-3.6763913,,18,153,Madrid,4,,2,0.11829037751,269,https://www.idealista.com/29559418,,29559418,3195,4180,132,28094,1163,11/11/2023,2007,1,2,,,del Corralón,,11/11/2023,False,https://www.idealista.com/data/app/cid/SzJseTI4dFgrd3ZIeS9QdHdYSGNpdz09,1136.36,2,0-EU-ES-28-01-017-094
18/04/2006,2,,100,40.8207716,4,3,4792011VL4149S0001EI,2809401001,1,20820833,100,1,449000,3,28729,Calle,,True,4792011VL4149S,Navalafuente,False,-3.6739935,,79,111,Madrid,4,,6,0.11829037751,416,https://www.idealista.com/1594239,,1594239,6403,15118,300,28094,1163,29/10/2023,1986,1,3,,V,Sauce,291,29/10/2023,True,https://www.idealista.com/data/app/cid/NnZ5TWRRODdlNlo5WHhXS3YxMmx5Zz09,1496.67,25,0-EU-ES-28-01-017-094
23/08/2023,2,,86,40.8235108,3,3,3096385VL4139N0001EL,2809401001,1,36429768,75,1,229000,3,28729,Calle,,True,3096385VL4139N,Navalafuente,True,-3.6787547,,57,407,Madrid,3,,5,0.11829037751,449,https://www.idealista.com/102354289,,102354289,162,6680,130,28094,1163,,2007,1,2,,V,del Corralillo,137,16/10/2023,,https://www.idealista.com/data/app/cid/KzRMaEFrTkp1OGlkRGpKY25TQXhWUT09,1761.54,18,0-EU-ES-28-01-017-094
17/10/2023,2,,100,40.821846,2,3,,2809401001,2,36915991,75,1,200000,3,28729,Calle,,True,,Navalafuente,False,-3.6771609,,36,270,Madrid,4,,3,0.11829037751,482,https://www.idealista.com/102884298,,102884298,100,4265,126,28094,1163,26/01/2024,1996,1,2,,V,Eras de Arriba,126,26/01/2024,True,https://www.idealista.com/data/app/cid/emgwRTZzSVc2bzRvRGo1UXdaMXE4QT09,1587.3,,0-EU-ES-28-01-017-094
