ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
01/02/2023,1,,100,40.9887255,,3,,2809701001,2,34623883,50,1,144000,3,28739,Calle,1,False,,Navarredonda,False,-3.7268013,,1,35,Madrid,4,1,0,0.27378294887375,81,https://www.idealista.com/100340049,,100340049,210,1422,100,28097,127,31/08/2023,2010,1,2,False,V,Casona,134,31/08/2023,False,https://www.idealista.com/data/app/cid/c0RCeUsvaHMrWWhPTEVMOUp5YjdUZz09,1440,,0-EU-ES-28-01-006-097
30/08/2016,2,,100,40.9632282,4,5,,2806301001,3,21009705,100,1,238000,3,28739,,,True,,Gargantilla del Lozoya,True,-3.7171055,,0,5,Madrid,3,,1,0.23669613281374,2945,https://www.idealista.com/34307447,,34307447,2711,450,300,28063,353,,1980,1,3,,Y,,281,14/05/2018,,https://www.idealista.com/data/app/cid/SVRhd0RsV0crTFZuRXBVTWVsbmZ3UT09,793.33,,0-EU-ES-28-01-006-063
12/04/2023,2,,76,40.9804099,4,3,,2806301001,2,35281476,50,1,160000,3,28739,Desconocida,,,,Gargantilla del Lozoya,,-3.6934704,,9,104,Madrid,3,,3,0.23669613281374,2983,https://www.idealista.com/101080744,,101080744,295,5520,108,28063,353,,0,1,2,,M,Fragua,0,23/10/2023,,https://www.idealista.com/data/app/cid/YkNTL3ZRY0cySlA5UkMwUmsrU2JtUT09,1481.48,,0-EU-ES-28-01-006-063
03/05/2018,2,,0,40.9645511,4,4,,2806301001,1,17269392,0,1,185000,3,28739,Calle,,True,,Gargantilla del Lozoya,True,-3.7168161,,0,255,Madrid,3,,6,0.23669613281374,3019,https://www.idealista.com/40415374,,40415374,538,13717,204,28063,353,23/10/2019,,1,1,,,Profresno,,28/01/2024,False,https://www.idealista.com/data/app/cid/d0NCeTczYzNocUhhYnVFeE1QOU9sQT09,906.86,1,0-EU-ES-28-01-006-063
03/12/2023,2,,55,40.9811606,0,3,8802512VL2380S0001FK,2806301001,1,37350256,75,1,165000,3,28739,Calle,bj,,8802512VL2380S,Gargantilla del Lozoya,False,-3.6916462,,7,43,Madrid,3,,1,0.23669613281374,3080,https://www.idealista.com/103359270,,103359270,60,1498,108,28063,353,,2003,1,2,,V,Buitrago,156,01/02/2024,False,https://www.idealista.com/data/app/cid/bFJFdXl2WUdHWktQNVNSTGZQdWF5Zz09,1527.78,29,0-EU-ES-28-01-006-063
29/03/2023,2,,100,40.9638886,3,3,,2806301001,3,35170448,75,1,310000,3,28739,,,True,,Gargantilla del Lozoya,True,-3.7150685,,5,69,Madrid,4,,1,0.23669613281374,3180,https://www.idealista.com/100957742,,100957742,125,1712,160,28063,353,02/08/2023,2003,1,2,,V,,168,02/08/2023,,https://www.idealista.com/data/app/cid/TEdNNTl2ZTNmMDlaUjhxcVJuZzh4UT09,1937.5,,0-EU-ES-28-01-006-063
18/07/2023,2,,0,40.9644912,4,4,,2806301001,3,36167885,0,1,129000,2,28739,,,True,,Gargantilla del Lozoya,False,-3.7140734,,37,605,Madrid,4,,4,0.23669613281374,3237,https://www.idealista.com/102068484,,102068484,113,10586,152,28063,353,08/11/2023,,1,1,,,,,08/11/2023,True,https://www.idealista.com/data/app/cid/eHROVHFTa2REVlRtMEJpTFROVEVkZz09,848.68,,0-EU-ES-28-01-006-063
25/08/2023,2,,100,40.9623388,4,3,,2806301001,3,36448689,75,1,199999,3,28739,,,True,,Gargantilla del Lozoya,True,-3.7162491,,22,230,Madrid,4,,1,0.23669613281374,3316,https://www.idealista.com/102374463,,102374463,2,1669,186,28063,353,28/08/2023,1980,1,2,,V,,186,28/08/2023,False,https://www.idealista.com/data/app/cid/RlZEZThCZmxWSVdZcUlJSXlLTE8rdz09,1075.26,,0-EU-ES-28-01-006-063
04/10/2023,2,,100,40.9618554,4,6,,2806301001,2,36798888,75,1,240000,3,28739,Calle,,,,Gargantilla del Lozoya,True,-3.7158279,,,0,Madrid,4,,0,0.23669613281374,3495,https://www.idealista.com/102756506,,102756506,13,,178,28063,353,17/10/2023,1992,1,2,,V,fresno,178,17/10/2023,,https://www.idealista.com/data/app/cid/WnhNWGxab0FTb0VCWFVIT2RiQUFvQT09,1348.31,,0-EU-ES-28-01-006-063
04/10/2023,2,,100,40.9589402,4,6,,2806301001,2,36798889,75,1,240000,3,28739,Calle,,,,Gargantilla del Lozoya,True,-3.7132993,,21,169,Madrid,3,,1,0.23669613281374,3495,https://www.idealista.com/102756507,,102756507,121,3528,178,28063,353,,1992,1,2,,V,fresno,178,09/01/2024,,https://www.idealista.com/data/app/cid/WU9FMWNRWm5JODNEdTVwNEhMV0U5QT09,1348.31,,0-EU-ES-28-01-006-063
26/06/2023,2,,100,40.959573,4,6,,2806301001,2,35972782,75,1,245000,3,28739,Calle,,False,,Gargantilla del Lozoya,,-3.7156822,,6,106,Madrid,4,,1,0.23669613281374,3495,https://www.idealista.com/101854487,,101854487,162,2683,178,28063,353,05/12/2023,1992,1,2,,V,fresno,178,05/12/2023,,https://www.idealista.com/data/app/cid/OEY3QytkNXZqV1hrU2lEaDhoZ3FvUT09,1376.4,,0-EU-ES-28-01-006-063
30/01/2023,2,,100,40.9606251,4,4,,2806301001,2,34595380,75,1,220000,3,28739,Avenida,,True,,Gargantilla del Lozoya,True,-3.7146563,,10,158,Madrid,4,,1,0.23669613281374,3546,https://www.idealista.com/100306942,,100306942,215,4827,145,28063,353,02/09/2023,1985,1,2,,V,Principal,145,02/09/2023,False,https://www.idealista.com/data/app/cid/aHFlTm83MEhrZjlSRDBONFRVTTNFQT09,1517.24,,0-EU-ES-28-01-006-063
19/12/2023,2,,100,40.9564542,4,3,0044409VL4304S0001TO,2806301001,1,37462285,75,1,245000,3,28739,Calle,,True,0044409VL4304S,Gargantilla del Lozoya,True,-3.7133613,,10,92,Madrid,3,,1,0.23669613281374,3964,https://www.idealista.com/103481938,,103481938,45,2027,148,28063,353,,1999,1,1,,V,Acacia,146,02/02/2024,False,https://www.idealista.com/data/app/cid/YzhkRmV5SE0zZVd4VkpyNFFVY0VIdz09,1655.41,30,0-EU-ES-28-01-006-063
11/04/2023,2,,83,41.0028159,4,4,,2818201001,3,35272158,75,1,442000,3,28739,,,False,,Villavieja del Lozoya,False,-3.6825378,,0,2,Madrid,3,,0,0.23573979612625,4041,https://www.idealista.com/101069812,,101069812,1,124,201,28182,278,13/04/2023,0,1,3,,M,,0,08/09/2023,True,https://www.idealista.com/data/app/cid/MUQvWVlva2VVVXJPZ2pRYitucW5jZz09,2199,,0-EU-ES-28-01-006-182
08/09/2023,2,,,41.0083591,4,6,,2818201001,3,102490712,,1,245000,3,28739,,,,,Villavieja del Lozoya,False,-3.6731641,,8,115,Madrid,3,,0,0.23573979612625,4923,https://www.idealista.com/102490712,,102490712,147,2979,178,28182,278,,,1,2,,,,,09/01/2024,False,https://www.idealista.com/data/app/cid/RkY5UWY1VlB6UUlYVElPemlUMFFOUT09,1376.4,,0-EU-ES-28-01-006-182
15/07/2023,2,,0,41.0063444,4,3,,2818201001,1,36154762,0,1,250000,3,28739,Desconocida,,True,,Villavieja del Lozoya,True,-3.6711079,,8,173,Madrid,3,,1,0.23573979612625,4924,https://www.idealista.com/102054281,,102054281,201,4011,160,28182,278,,,1,1,,,N/D,,28/09/2023,,https://www.idealista.com/data/app/cid/azBoRVhkbTlTOTNpenY1QTdDN29EZz09,1562.5,0,0-EU-ES-28-01-006-182
08/09/2023,2,,,41.0064212,4,2,,2818201001,3,102490729,,1,156000,3,28739,,,,,Villavieja del Lozoya,False,-3.668421,,3,53,Madrid,4,,0,0.23573979612625,4956,https://www.idealista.com/102490729,,102490729,46,1163,102,28182,278,24/10/2023,,1,1,,,,,24/10/2023,False,https://www.idealista.com/data/app/cid/d1ZscWo4aWlURXU3MEt3MlZTU3JNUT09,1529.41,,0-EU-ES-28-01-006-182
01/09/2022,2,,82,40.9465707,4,3,,2806301001,2,33126444,75,1,260000,3,28739,Calle,,False,,Gargantilla del Lozoya,False,-3.7306523,,14,261,Madrid,3,,4,0.23669613281374,5027,https://www.idealista.com/98684291,,98684291,188,6414,140,28063,353,09/03/2023,1979,1,2,,V,Buitrago,278,20/09/2023,False,https://www.idealista.com/data/app/cid/dm5MeWVLTjhjYkgwUW16bG1xWnFCUT09,1857.14,,0-EU-ES-28-01-006-063
28/11/2023,2,,91,40.9451325,4,3,,2806301001,3,37306872,75,1,258000,3,28739,,,True,,Gargantilla del Lozoya,False,-3.7190364,,18,176,Madrid,3,,2,0.23669613281374,5060,https://www.idealista.com/103311604,,103311604,65,3033,189,28063,353,,1980,1,2,,G,,104,09/01/2024,False,https://www.idealista.com/data/app/cid/QXY3RnQ3WEo0ZHJIZzJaLzJKd2dsdz09,1365.08,,0-EU-ES-28-01-006-063
10/11/2023,2,,0,41.0100689,4,3,,2806401001,3,37140872,0,1,129000,3,28737,,,True,,Gascones,False,-3.6536619,,22,232,Madrid,3,,2,0.19491840356625,6266,https://www.idealista.com/103130246,,103130246,84,4893,109,28064,179,,,1,1,,,,,09/01/2024,False,https://www.idealista.com/data/app/cid/bVpEczd0TzM1b201MnBudzEybmYzUT09,1183.49,,0-EU-ES-28-01-006-064
11/04/2023,2,,88,40.9537639,4,4,,2807601001,3,35272151,75,1,405000,3,28742,,,False,,Lozoya,False,-3.7923729,,0,3,Madrid,3,,0,0.57322758282875,6736,https://www.idealista.com/101069805,,101069805,1,110,201,28076,593,13/04/2023,0,1,3,,M,,0,03/08/2023,True,https://www.idealista.com/data/app/cid/aGE3dWJCc0JFTzE0Nlk1ZXRBMHhDUT09,2014.93,,0-EU-ES-28-01-006-076
06/03/2023,2,,100,40.9514634,2,3,3639601VL3333N0001FU,2807601001,1,34939533,75,1,159800,3,28742,Calle,,True,3639601VL3333N,Lozoya,True,-3.7901843,,13,143,Madrid,3,,3,0.57322758282875,6937,https://www.idealista.com/100700119,,100700119,333,8318,135,28076,593,,1984,1,2,,V,San Vicente,135,01/12/2023,,https://www.idealista.com/data/app/cid/T2hmK1prRFAydCtwL082NkM4c2x3QT09,1183.7,18,0-EU-ES-28-01-006-076
04/08/2021,2,,100,40.9511321,2,4,3639609VL3333N0001JU,2807601001,1,29585018,75,1,150000,3,28742,Calle,,True,3639609VL3333N,Lozoya,False,-3.7901937,,77,380,Madrid,4,,5,0.57322758282875,6961,https://www.idealista.com/94950672,,94950672,787,14098,135,28076,593,30/09/2023,1984,1,2,,V,Luna,101,30/09/2023,False,https://www.idealista.com/data/app/cid/TDJqdGthTkFUVWpFVml5ZHc1NHdZUT09,1111.11,10,0-EU-ES-28-01-006-076
02/06/2022,2,,100,40.9511441,4,6,3439611VL3333N0001QU,2807601001,1,32336305,75,1,239000,3,28742,Desconocida,,,3439611VL3333N,Lozoya,True,-3.7929059,,2,58,Madrid,3,,0,0.57322758282875,7137,https://www.idealista.com/97841715,,97841715,609,5264,230,28076,593,,1940,1,2,,V,santo tomas,230,01/09/2022,,https://www.idealista.com/data/app/cid/em5EYllSbDJnY2l2T25Ed3hpcmpxZz09,1039.13,14,0-EU-ES-28-01-006-076
15/01/2022,2,,0,40.9553281,4,6,,2807601001,1,30995527,0,1,359000,3,28742,Desconocida,,True,,Lozoya,True,-3.7969976,,2,101,Madrid,3,,1,0.57322758282875,7143,https://www.idealista.com/96428846,,96428846,748,6442,170,28076,593,,,1,1,,,n/d,,23/02/2023,True,https://www.idealista.com/data/app/cid/YlBFeENhOGNEcTIwdFNnTFdKRE44QT09,2111.76,0,0-EU-ES-28-01-006-076
10/01/2024,2,,0,40.989823,4,3,,2802701001,1,37610218,0,1,570000,3,28730,Desconocida,,True,,Buitrago del Lozoya,True,-3.6383114,,8,70,Madrid,3,,0,0.26207812837376,7364,https://www.idealista.com/103641593,,103641593,22,1574,260,28027,1911,,,1,2,,,A-1,,28/01/2024,True,https://www.idealista.com/data/app/cid/WkZRSUZteC9jRHVEQ2VWR0EybWtmdz09,2192.31,1,0-EU-ES-28-01-006-027
14/08/2023,2,,100,40.9957985,2,3,6587806VL4368N0001EQ,2802701001,1,36372421,75,1,140000,3,28730,Calle,,False,6587806VL4368N,Buitrago del Lozoya,False,-3.6379868,,17,328,Madrid,4,,4,0.26207812837376,7411,https://www.idealista.com/102292229,,102292229,125,6146,100,28027,1911,17/12/2023,1977,1,2,,V,del Puente Nuevo,94,17/12/2023,False,https://www.idealista.com/data/app/cid/dGFhZmVIVmdDVTY5N1ZoU2p1ZUdTdz09,1400,4,0-EU-ES-28-01-006-027
