ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
30/01/2024,2,,,40.3684542,2,3,,2810101001,2,103850346,,1,208000,3,28515,Calle,1,True,,Olmeda de las Fuentes,True,-3.2227717,,0,8,Madrid,3,,0,0.1642477407175,3,https://www.idealista.com/103850346,,103850346,2,271,161,28101,344,,,1,3,,,Fuente del Cura,,30/01/2024,False,https://www.idealista.com/data/app/cid/TnBDb3dhaDFxN2NaT1hJRFBFcy9rUT09,1291.93,,0-EU-ES-28-05-008-101
08/03/2023,2,,0,40.370631,2,3,,2810101001,2,34962993,0,1,126100,3,28515,Desconocida,,,,Olmeda de las Fuentes,,-3.2217106,,2,60,Madrid,4,,1,0.1642477407175,35,https://www.idealista.com/100726970,,100726970,261,2036,150,28101,344,24/11/2023,,1,3,,,MAYOR,,24/11/2023,,https://www.idealista.com/data/app/cid/cEo2V1JHRW9DaHg4NW1rTDMwbitaQT09,840.67,,0-EU-ES-28-05-008-101
03/10/2023,2,,100,40.3690571,4,3,,2810101001,2,36789051,75,1,245000,3,28515,Calle,,,,Olmeda de las Fuentes,,-3.2228459,,0,2,Madrid,4,,0,0.1642477407175,35,https://www.idealista.com/102744986,,102744986,42,331,115,28101,344,14/11/2023,2011,1,2,,V,bodegas altas,123,14/11/2023,,https://www.idealista.com/data/app/cid/dXdKY3dBVGFMQTFKQmtwY1V4K1lJQT09,2130.43,,0-EU-ES-28-05-008-101
21/09/2023,2,,0,40.3713384,2,3,,2810101001,2,36673973,0,1,126100,3,28515,Desconocida,,False,,Olmeda de las Fuentes,,-3.221649,,3,19,Madrid,4,,0,0.1642477407175,35,https://www.idealista.com/102620357,,102620357,49,495,150,28101,344,09/11/2023,,1,2,,,MAYOR,,09/11/2023,,https://www.idealista.com/data/app/cid/MGxiczliNXVIMU92QjhXa2NTR1plZz09,840.67,,0-EU-ES-28-05-008-101
27/08/2021,2,,100,40.3696983,4,5,,2810101001,3,29742646,75,1,185000,2,28515,,,True,,Olmeda de las Fuentes,True,-3.2199061,,37,347,Madrid,3,,1,0.1642477407175,101,https://www.idealista.com/95117044,,95117044,888,12410,200,28101,344,,1978,1,2,,V,,200,27/11/2023,,https://www.idealista.com/data/app/cid/QlN5dDErNVlMWXpYWjlDM1V6VjJ4UT09,925,,0-EU-ES-28-05-008-101
11/10/2023,2,,100,40.3687691,4,2,,2810101001,2,36869606,75,1,220000,3,28515,Calle,,,,Olmeda de las Fuentes,,-3.2224551,,1,34,Madrid,4,,0,0.1642477407175,117,https://www.idealista.com/102834338,,102834338,9,415,150,28101,344,20/10/2023,1972,1,2,,V,de las cruces,150,20/10/2023,,https://www.idealista.com/data/app/cid/V1l1SndZYnJGQmkwNWpDcTNzd0JxQT09,1466.67,,0-EU-ES-28-05-008-101
13/06/2023,2,,0,40.3694901,4,5,,2810101001,1,35846715,0,1,255000,3,28515,Calle,,True,,Olmeda de las Fuentes,True,-3.2234222,,12,95,Madrid,3,,0,0.1642477407175,146,https://www.idealista.com/101715706,,101715706,234,2977,239,28101,344,,,1,2,,,de las Cruces,,01/02/2024,False,https://www.idealista.com/data/app/cid/YUN6YXE0cWxsY05YWTR6eDM1TlpKUT09,1066.95,15,0-EU-ES-28-05-008-101
05/10/2023,2,,95,40.3692762,2,3,,2810101001,3,36822196,75,1,209000,3,28515,,bj,True,,Olmeda de las Fuentes,False,-3.2209441,,3,58,Madrid,3,,0,0.1642477407175,216,https://www.idealista.com/102782130,,102782130,119,1981,152,28101,344,,2009,1,3,,A,,240,25/01/2024,True,https://www.idealista.com/data/app/cid/d0xjMmV5WFZIOXcybG81NUc3eTBUUT09,1375,,0-EU-ES-28-05-008-101
06/11/2023,2,,0,40.3672166,2,4,,2810101001,2,37100629,0,1,126800,3,28515,Calle,,True,,Olmeda de las Fuentes,True,-3.2187952,,2,5,Madrid,3,,0,0.1642477407175,223,https://www.idealista.com/103085426,,103085426,87,348,139,28101,344,,,1,3,,,mayor,,08/11/2023,,https://www.idealista.com/data/app/cid/dERzbnVMQVVBeWIydWhQYnJIcTcydz09,912.23,,0-EU-ES-28-05-008-101
22/07/2022,2,,100,40.3680138,0,4,1488608VK8618N0001UY,2810101001,1,32839679,75,1,126800,2,28515,Calle,bj,True,1488608VK8618N,Olmeda de las Fuentes,False,-3.2197829,,8,49,Madrid,4,,0,0.1642477407175,223,https://www.idealista.com/98373558,,98373558,469,2082,140,28101,344,04/11/2023,1968,1,3,,V,Mayor,98,04/11/2023,False,https://www.idealista.com/data/app/cid/RUxJVXBXbkRlaFlLWGVORUNsdWdudz09,905.71,61,0-EU-ES-28-05-008-101
