ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
23/06/2022,1,,100,40.4204243,,2,,2811101001,2,32545771,75,1,120000,3,28812,Calle,1,,,Pezuela de las Torres,False,-3.1757366,,25,136,Madrid,3,1,0,0.40598020280873,130,https://www.idealista.com/98063574,,98063574,342,3675,108,28111,792,01/06/2023,2006,1,2,False,V,de las Rosas,266,02/01/2024,False,https://www.idealista.com/data/app/cid/b0xNaDFSOWNzekp4UWNkbXdWdGZkZz09,1111.11,,0-EU-ES-28-06-009-111
18/04/2023,2,,0,40.4206653,3,5,,2811101001,3,35333937,0,1,204000,3,28812,,,False,,Pezuela de las Torres,False,-3.1772106,,0,9,Madrid,4,,0,0.40598020280873,120,https://www.idealista.com/101140137,,101140137,107,455,180,28111,792,03/08/2023,,1,3,,,,,03/08/2023,False,https://www.idealista.com/data/app/cid/a21LK216QjkrbDhQMzY0V1B4NS9xQT09,1133.33,,0-EU-ES-28-06-009-111
12/09/2022,2,,0,40.418673,2,3,,2811101001,3,33218790,0,1,119900,3,28812,,bj,True,,Pezuela de las Torres,,-3.1752832,,9,113,Madrid,3,,0,0.40598020280873,132,https://www.idealista.com/98784951,,98784951,464,2728,133,28111,792,21/12/2023,,1,2,,,,,08/01/2024,,https://www.idealista.com/data/app/cid/dFptY3lhQmdEU29LZ1YxK0pvS1cydz09,901.5,,0-EU-ES-28-06-009-111
08/12/2021,2,,75,40.4187416,4,3,,2811101001,1,30728199,75,1,201000,3,28812,Camino,,True,4844202VK8744S,Pezuela de las Torres,True,-3.1800449,,2,19,Madrid,4,,1,0.40598020280873,206,https://www.idealista.com/96147289,,96147289,659,1349,280,28111,792,29/09/2023,1978,1,2,,,de los llanos,,29/09/2023,,https://www.idealista.com/data/app/cid/YzJKaXBXeWkySVVDa0NTV0FyMC9tUT09,717.86,2,0-EU-ES-28-06-009-111
23/02/2023,2,,96,40.4150298,3,5,,2811101001,2,34848691,75,1,150000,3,28812,Calle,,,,Pezuela de las Torres,,-3.1784246,,2,23,Madrid,4,,0,0.40598020280873,213,https://www.idealista.com/100597459,,100597459,263,1124,152,28111,792,14/11/2023,1970,1,2,,V,LOS ALMENDROS,152,14/11/2023,,https://www.idealista.com/data/app/cid/R3pXMmN2Y3VpaUpXR25FOWxLVVZsUT09,986.84,,0-EU-ES-28-06-009-111
28/11/2022,2,,100,40.4183437,2,5,,2811101001,2,34107716,75,1,150000,3,28812,Calle,,True,,Pezuela de las Torres,True,-3.1769591,,0,0,Madrid,4,,0,0.40598020280873,213,https://www.idealista.com/99753587,,99753587,359,29,160,28111,792,23/11/2023,1970,1,2,,V,del Almendro,152,23/11/2023,False,https://www.idealista.com/data/app/cid/YlNsWlBoT3hWbHp0SDU5YnN3SHFwZz09,937.5,,0-EU-ES-28-06-009-111
21/09/2021,2,,100,40.4167827,4,4,5143607VK8754S0001QD,2811101001,1,29964807,75,1,150000,3,28812,Calle,,True,5143607VK8754S,Pezuela de las Torres,True,-3.1773357,,0,26,Madrid,4,,0,0.40598020280873,214,https://www.idealista.com/95350656,,95350656,723,3626,160,28111,792,15/09/2023,1970,1,2,,V,del Almendro,152,15/09/2023,False,https://www.idealista.com/data/app/cid/bTN3MloydDFPU1J0aDJKaUpSTXlwUT09,937.5,3,0-EU-ES-28-06-009-111
12/03/2022,2,,0,40.4171296,0,3,,2811101001,3,31582723,0,1,114800,3,28812,,,False,,Pezuela de las Torres,False,-3.1754811,,13,71,Madrid,4,,0,0.40598020280873,215,https://www.idealista.com/97040196,,97040196,614,2455,149,28111,792,17/11/2023,,1,2,,,,,17/11/2023,False,https://www.idealista.com/data/app/cid/ZUd1TXB3cDF1WGRWOTNwREJha0pWQT09,770.47,,0-EU-ES-28-06-009-111
23/01/2023,2,,100,40.4156072,2,1,,2811101001,3,34530484,100,1,135000,2,28812,,bj,False,,Pezuela de las Torres,False,-3.1751673,,0,0,Madrid,3,,0,0.40598020280873,232,https://www.idealista.com/100232699,,100232699,374,56,149,28111,792,,2002,1,1,,,,,21/09/2023,False,https://www.idealista.com/data/app/cid/U2taQisvM1N3RWloaUYzVjBZTVlyZz09,906.04,,0-EU-ES-28-06-009-111
23/01/2023,2,,100,40.4186802,2,1,,2811101001,2,34525731,75,1,114750,3,28812,Calle,,,,Pezuela de las Torres,,-3.1774839,,0,0,Madrid,3,,0,0.40598020280873,232,https://www.idealista.com/100227592,,100227592,59,1395,149,28111,792,23/03/2023,2002,1,1,,V,Carril,163,14/08/2023,,https://www.idealista.com/data/app/cid/SGxMdmRaaXgxMWF3NGs4bW1SY0Z3Zz09,770.13,,0-EU-ES-28-06-009-111
