newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,103654687,,87,221,40.6662561,3,309,,1,https://www.idealista.com/103654687,1997,6820812VL6061N,100,3,True,2,3,28815,244,6820812VL6061N0001FY,12/01/2024,0-EU-ES-28-01-005-122,2,False,,2812201001,280000,1,Ribatejada,,28122,,V,37621662,75,4,700,5,-3.3931158,1,Madrid,Calle,0,0.31365634428307,1147.54,True,12/01/2024,21,de la Soledad,,https://www.idealista.com/data/app/cid/Wks5M1YrZkIrbG10RXdXTEN4YXhodz09,1,4
,103153586,,108,,40.6655992,14,506,,1,https://www.idealista.com/103153586,,,0,3,True,2,3,28815,275,,13/11/2023,0-EU-ES-28-01-005-122,0,True,,2812201001,350000,0,Ribatejada,,28122,,,37162333,0,4,700,5,-3.3916315,1,Madrid,Desconocida,0,0.31365634428307,1272.73,True,13/11/2023,81,mayor baja,,https://www.idealista.com/data/app/cid/ZzViVWlPeDhnQW9ZdlRPang2WjN1UT09,1,2
,84104147,,130,,40.6669275,231,4553,,1,https://www.idealista.com/84104147,,,0,3,,2,3,28815,200,,26/01/2024,0-EU-ES-28-01-005-122,,True,,2812201001,283000,8,Ribatejada,,28122,,,21651481,0,4,700,3,-3.3925713,2,Madrid,Desconocida,2,0.31365634428307,1415,True,31/01/2019,348,Leon,15/01/2020,https://www.idealista.com/data/app/cid/cUZ4U1JBTnk1ejNhWlBpOUdHWWJwZz09,1,3
,101308781,,130,,40.6674275,49,1106,,1,https://www.idealista.com/101308781,,,0,3,False,2,3,28815,180,,01/02/2024,0-EU-ES-28-01-005-122,2,True,,2812201001,275000,11,Ribatejada,,28122,,,35482766,0,4,700,5,-3.3930713,1,Madrid,Calle,0,0.31365634428307,1527.78,False,04/05/2023,49,principal,23/06/2023,https://www.idealista.com/data/app/cid/RElMamd5b0dBUXIrNkRzcjkyYmJHZz09,1,3
,102858122,,133,209,40.6667034,26,1054,,1,https://www.idealista.com/102858122,1960,6820803VL6062S,100,2,False,2,4,28815,133,6820803VL6062S0001YI,08/11/2023,0-EU-ES-28-01-005-122,1,False,,2812201001,160000,10,Ribatejada,,28122,,V,36891245,75,3,700,3,-3.3936933,1,Madrid,Calle,1,0.31365634428307,1203.01,False,14/10/2023,25,de la Fragua,08/11/2023,https://www.idealista.com/data/app/cid/ZjZ0Qk1VQ3lzUTdwcTV2a2pZaVFlQT09,1,2
,101153147,,170,124,40.6655545,42,3320,,1,https://www.idealista.com/101153147,1900,,100,2,,2,4,28815,133,,11/10/2023,0-EU-ES-28-01-005-122,,,,2812201001,165000,3,Ribatejada,,28122,,V,35346208,75,3,700,3,-3.3922629,2,Madrid,Calle,0,0.31365634428307,1240.6,,19/04/2023,174,de la Fragua,11/10/2023,https://www.idealista.com/data/app/cid/VWdrR1JxUlNLL2t4VE9oSis3YlBiZz09,1,2
,2112311,,235,178,40.6644149,30,3309,,1,https://www.idealista.com/2112311,2006,6823819VL6062S,85,3,True,2,3,28815,210,6823819VL6062S0001MI,01/02/2024,0-EU-ES-28-01-005-122,8,False,,2812201001,340000,21,Ribatejada,,28122,,V,20834313,100,3,700,4,-3.3926141,1,Madrid,Via,1,0.31365634428307,1619.05,True,03/05/2012,4241,Teruel,13/12/2023,https://www.idealista.com/data/app/cid/SGdFcmtFdE5sVHQ5NjFDcUM4Nlc3UT09,1,3
,101182461,,239,108,40.6675406,122,2666,,1,https://www.idealista.com/101182461,1965,,100,2,,2,4,28815,106,,05/10/2023,0-EU-ES-28-01-005-122,,,,2812201001,167000,9,Ribatejada,,28122,,V,35371926,75,3,700,4,-3.3953359,3,Madrid,,0,0.31365634428307,1575.47,,21/04/2023,166,,05/10/2023,https://www.idealista.com/data/app/cid/Nk93dExpck9scFJrNGZlRWxVTlVvZz09,1,2
,94373982,,258,,40.6684722,50,3456,,1,https://www.idealista.com/94373982,,,0,3,,2,3,28815,227,,25/09/2023,0-EU-ES-28-01-005-122,,True,,2812201001,219300,5,Ribatejada,,28122,,,29033558,0,3,700,4,-3.3939134,2,Madrid,Desconocida,0,0.31365634428307,966.08,True,10/06/2021,749,Pilar,29/06/2023,https://www.idealista.com/data/app/cid/MlRCQXRSdWZRdFVGZ3lvL0NKd0RIUT09,1,2
,99104646,,336,,40.664945,513,11332,,1,https://www.idealista.com/99104646,,,0,3,,2,4,28815,208,,20/01/2024,0-EU-ES-28-01-005-122,,,,2812201001,300000,36,Ribatejada,,28122,,,33511524,0,4,700,3,-3.3903946,2,Madrid,Travesía,4,0.31365634428307,1442.31,True,07/10/2022,470,Santos,20/01/2024,https://www.idealista.com/data/app/cid/UmhvRHVVNmVhZmlXNzlCcTNiNmd0Zz09,1,2
