newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,103273194,,26,,40.3087009,41,1502,,1,https://www.idealista.com/103273194,,,0,3,True,2,4,28649,215,,01/02/2024,0-EU-ES-28-03-010-128,,,,2812801001,113500,6,Rozas de Puerto Real,,28128,,,37270445,0,2,520,5,-4.4925761,2,Madrid,Calle,0,0.29567926101375,527.91,,23/11/2023,55,iglesia,18/01/2024,https://www.idealista.com/data/app/cid/M0RVUUVQb1lHeW1WWDd3UFlrZVdHZz09,1,2
,101986106,,33,,40.3081271,0,,,1,https://www.idealista.com/101986106,,,0,2,True,2,4,28649,143,,11/09/2023,0-EU-ES-28-03-010-128,,False,,2812801001,145000,,Rozas de Puerto Real,,28128,,,36092451,0,2,520,4,-4.4919778,3,Madrid,,0,0.29567926101375,1013.99,False,08/07/2023,64,,11/09/2023,https://www.idealista.com/data/app/cid/WThyZmFkN2JHV2hFYlZ4bUxBYlVTdz09,1,2
,101812590,,33,62,40.310029,144,2067,,1,https://www.idealista.com/101812590,1983,3434802UK7633S,100,3,True,2,4,28649,143,3434802UK7633S0001XR,11/09/2023,0-EU-ES-28-03-010-128,6,,,2812801001,145000,5,Rozas de Puerto Real,,28128,,V,35934250,75,2,520,4,-4.4911431,1,Madrid,Plaza,0,0.29567926101375,1013.99,,27/06/2023,76,España,11/09/2023,https://www.idealista.com/data/app/cid/KzF0ZVRxMlpUVXJUaVQ5WmJzT0ZmQT09,1,2
,102315114,,97,108,40.3105258,122,3918,,1,https://www.idealista.com/102315114,1980,,100,2,True,2,3,28649,108,,26/12/2023,0-EU-ES-28-03-010-128,,,,2812801001,49900,10,Rozas de Puerto Real,,28128,,V,36393534,75,3,520,3,-4.4924188,3,Madrid,,0,0.29567926101375,462.04,,17/08/2023,168,,,https://www.idealista.com/data/app/cid/WFhBam8vcXNaVENPNTNnelBIb2RhUT09,1,1
,103871670,,155,,40.3093045,1,105,,1,https://www.idealista.com/103871670,,,,2,False,2,3,28649,100,,02/02/2024,0-EU-ES-28-03-010-128,,,,2812801001,80000,0,Rozas de Puerto Real,,28128,,,103871670,,2,520,4,-4.4912626,2,Madrid,Calle,0,0.29567926101375,800,,01/02/2024,1,la iglesia,,https://www.idealista.com/data/app/cid/TTZGM3NQRE9vZEE5VEdubnhqSlRNUT09,1,1
,98997177,,407,,40.3069317,46,2754,,1,https://www.idealista.com/98997177,,,0,3,,2,4,28649,242,,10/01/2024,0-EU-ES-28-03-010-128,21,,,2812801001,147000,7,Rozas de Puerto Real,,28128,,,33412772,0,0,520,3,-4.4931655,1,Madrid,Avenida,0,0.29567926101375,607.44,,30/09/2022,466,de los Toreros,10/01/2024,https://www.idealista.com/data/app/cid/U2M1d1lvZnZCTURLMm5EaDNma3JaQT09,1,3
,100544221,,407,,40.3069317,67,3648,,1,https://www.idealista.com/100544221,,,0,3,True,2,3,28649,294,,07/01/2024,0-EU-ES-28-03-010-128,21,,,2812801001,147000,1,Rozas de Puerto Real,,28128,,,34801875,0,4,520,4,-4.4931655,1,Madrid,Desconocida,1,0.29567926101375,500,True,19/02/2023,348,TOREROS,,https://www.idealista.com/data/app/cid/NGNvWmN1YU5Pd1lQYzRqeE5tU25zQT09,1,4
,100523764,,407,,40.308201,82,3661,,1,https://www.idealista.com/100523764,,,0,3,False,2,4,28649,242,,12/01/2024,0-EU-ES-28-03-010-128,,False,,2812801001,147000,8,Rozas de Puerto Real,,28128,,,34784142,0,4,520,3,-4.4917589,2,Madrid,Avenida,1,0.29567926101375,607.44,False,16/02/2023,329,de los Toreros,12/01/2024,https://www.idealista.com/data/app/cid/Q2MxWjFwQ1NRdjF5YmFITURZR254dz09,1,3
,103296139,,546,,40.3055407,6,509,,1,https://www.idealista.com/103296139,,,0,3,,2,4,28649,294,,12/01/2024,0-EU-ES-28-03-010-128,2,,,2812801001,147000,1,Rozas de Puerto Real,,28128,,,37292265,0,0,520,3,-4.4931643,1,Madrid,Calle,0,0.29567926101375,500,,27/11/2023,46,del Venero,12/01/2024,https://www.idealista.com/data/app/cid/Nk5LK2hiNFdjdndQblE2ZElJMlRUdz09,1,2
,32596859,,1790,184,40.3131796,131,6151,,1,https://www.idealista.com/32596859,1983,5238509UK7653N,100,3,True,2,4,28649,200,5238509UK7653N0001BR,07/01/2024,0-EU-ES-28-03-010-128,189,True,,2812801001,235000,20,Rozas de Puerto Real,,28128,,V,7255668,100,4,520,5,-4.4700324,1,Madrid,Calle,1,0.29567926101375,1175,True,07/03/2016,2862,barcelona,07/01/2024,https://www.idealista.com/data/app/cid/QUJXWGI0ZmczQmQxZk9FL01aV09pUT09,1,2
