newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,99122687,,157,,40.5973264,590,8697,,1,https://www.idealista.com/99122687,,,0,3,True,2,4,28296,150,,05/10/2023,0-EU-ES-28-03-012-135,,,,2813501001,190000,42,Santa María de la Alameda,,28135,,,33528625,0,4,1238,3,-4.2602149,2,Madrid,Desconocida,2,0.73199555078369,1266.67,,10/10/2022,360,Cervunillo,05/10/2023,https://www.idealista.com/data/app/cid/WGRKdElCcDM0MktxTjJ1UmJ4THRadz09,1,2
,88723692,,157,,40.5958264,161,9126,,1,https://www.idealista.com/88723692,,,0,3,True,2,3,28296,150,,31/01/2024,0-EU-ES-28-03-012-135,,,,2813501001,228000,24,Santa María de la Alameda,,28135,,,23651383,0,4,1238,4,-4.2602149,2,Madrid,Desconocida,2,0.73199555078369,1520,True,18/02/2020,1442,Sauce,31/01/2024,https://www.idealista.com/data/app/cid/ZlgxZzVhcEVxU0V3UWs5Qk01V1JDQT09,1,2
,94788812,,157,,40.5963264,540,12566,,1,https://www.idealista.com/94788812,,,0,3,False,2,4,28296,160,,03/09/2023,0-EU-ES-28-03-012-135,10,False,,2813501001,190000,59,Santa María de la Alameda,,28135,,,29430617,0,4,1238,3,-4.2596149,1,Madrid,Calle,11,0.73199555078369,1187.5,False,16/07/2021,779,cervunillo,03/09/2023,https://www.idealista.com/data/app/cid/d0FnK21JNVkwM0dOMDMwN0poYStYZz09,1,2
,1656969,,208,106,40.5938253,564,26399,,1,https://www.idealista.com/1656969,2000,3748613UK9934N,100,3,False,2,3,28296,185,3748613UK9934N0001WY,02/02/2024,0-EU-ES-28-03-012-135,12,False,,2813501001,180000,85,Santa María de la Alameda,,28135,,V,20823374,100,2,1238,3,-4.2579075,1,Madrid,Calle,21,0.73199555078369,972.97,False,13/04/2008,5645,Ave Maria,28/09/2023,https://www.idealista.com/data/app/cid/eHVLTDBPNi8wZEJPWjA1VFd2NGpwQT09,1,2
,100378115,,454,250,40.599349,65,1815,,1,https://www.idealista.com/100378115,1977,3552001UK9935S,100,3,True,2,4,28296,275,3552001UK9935S0001PI,19/11/2023,0-EU-ES-28-03-012-135,7,False,,2813501001,349000,3,Santa María de la Alameda,,28135,,V,34656778,75,4,1238,4,-4.2603763,1,Madrid,Calle,0,0.73199555078369,1269.09,True,03/02/2023,288,Salvador Dalí,19/11/2023,https://www.idealista.com/data/app/cid/enJmMkJET3hwRDdyTEZ2cHBEWGhRUT09,1,3
,103802268,,2838,,40.5727781,7,272,,1,https://www.idealista.com/103802268,,,,2,,2,3,28296,174,,25/01/2024,0-EU-ES-28-03-012-135,,,,2813501001,193000,0,Santa María de la Alameda,,28135,,,103802268,,4,1238,3,-4.2715377,2,Madrid,Desconocida,0,0.73199555078369,1109.2,True,25/01/2024,7,HUERTAS,,https://www.idealista.com/data/app/cid/YmYraEpKL1hTdjZtdVZlMHVQM25Vdz09,1,1
,102161430,,2838,176,40.5727849,0,94,,1,https://www.idealista.com/102161430,2012,,95,3,,2,3,28297,174,,27/07/2023,0-EU-ES-28-03-012-135,,,,2813501001,187000,0,Santa María de la Alameda,,28135,,V,36253145,75,4,1238,3,-4.2688491,2,Madrid,Calle,0,0.73199555078369,1074.71,,27/07/2023,190,huertas,,https://www.idealista.com/data/app/cid/RW1IQ3hTTFM5Sk5FWmNFS1lKY1hmdz09,1,1
,102784284,,2838,176,40.5705174,113,3268,,1,https://www.idealista.com/102784284,2012,,95,3,True,2,3,28297,174,,23/11/2023,0-EU-ES-28-03-012-135,,,,2813501001,193000,8,Santa María de la Alameda,,28135,,V,36823217,75,4,1238,3,-4.2714828,2,Madrid,Desconocida,2,0.73199555078369,1109.2,True,06/10/2023,119,huertas,,https://www.idealista.com/data/app/cid/T3IxZThaVmorY2RiWkdBclZRS3JPQT09,1,1
,98903448,,2878,,40.5720987,456,10898,,1,https://www.idealista.com/98903448,,,0,3,,2,4,28296,104,,02/01/2024,0-EU-ES-28-03-012-135,,False,,2813501001,174000,43,Santa María de la Alameda,,28135,,,33326733,0,4,1238,4,-4.2663609,3,Madrid,,4,0.73199555078369,1673.08,True,21/09/2022,467,,02/01/2024,https://www.idealista.com/data/app/cid/dkc1Z1lmVndTY3A4K1BFMjVFb3lsQT09,1,1
,99816651,,2880,,40.5708847,38,2527,,1,https://www.idealista.com/99816651,,,,3,False,2,3,28296,173,,02/02/2024,0-EU-ES-28-03-012-135,,False,,2813501001,193000,7,Santa María de la Alameda,,28135,,,99816651,,0,1238,3,-4.2723357,3,Madrid,,0,0.73199555078369,1115.61,False,02/12/2022,427,,,https://www.idealista.com/data/app/cid/dTNvdFhRYml3b1F5RmwvYjhoNk9aZz09,1,1
