newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,102779696,False,84,279,40.2453456,18,802,1,1,https://www.idealista.com/102779696,1993,3463624VK7536S,100,3,False,1,4,28550,105,3463624VK7536S0001TJ,19/01/2024,0-EU-ES-28-05-005-146,7,False,,2814601001,118000,9,Tielmes,1,28146,,V,36819910,75,,2611,3,-3.3142431,1,Madrid,Calle,0,0.2612273059275,1123.81,False,05/10/2023,106,de la Ronda,19/01/2024,https://www.idealista.com/data/app/cid/cDZNM1RXTUNvalAxKzBhSUFzZEhkdz09,1,1
,102153016,False,272,,40.2470337,3,342,1,1,https://www.idealista.com/102153016,2004,3465645VK7536N,100,3,,1,4,28550,142,,29/09/2023,0-EU-ES-28-05-005-146,1,,,2814601001,147000,0,Tielmes,2,28146,,,36245301,100,,2611,2,-3.3148525,1,Madrid,Calle,0,0.2612273059275,1035.21,,26/07/2023,64,patios,29/09/2023,https://www.idealista.com/data/app/cid/T3o5RVRnL2NVSVYvdGlTK2Rld3dSQT09,1,1
,102847706,False,422,,40.2436863,6,334,,1,https://www.idealista.com/102847706,,,0,3,True,1,4,28550,138,,04/12/2023,0-EU-ES-28-05-005-146,44,,,2814601001,134800,0,Tielmes,,28146,,,36881289,0,,2611,4,-3.3192764,1,Madrid,Calle,0,0.2612273059275,976.81,False,13/10/2023,51,Real,04/12/2023,https://www.idealista.com/data/app/cid/NXlwSW9iRVpCTUlVRC9adHZWUXAxdz09,1,3
,103148037,False,425,,40.2439654,29,772,1,1,https://www.idealista.com/103148037,1995,3061808VK7536S,100,3,True,1,3,28550,117,,05/01/2024,0-EU-ES-28-05-005-146,4,False,,2814601001,118000,8,Tielmes,1,28146,,,37157091,100,,2611,3,-3.3193885,1,Madrid,Calle,1,0.2612273059275,1008.55,True,12/11/2023,82,de la Granja,,https://www.idealista.com/data/app/cid/SVdiZmJiM0FzSW5nbUcyTDdjRHhodz09,1,2
,103590870,,136,176,40.2458399,24,1528,,1,https://www.idealista.com/103590870,1970,,100,3,,2,3,28550,176,,25/01/2024,0-EU-ES-28-05-005-146,,,,2814601001,155000,4,Tielmes,,28146,,V,37563003,75,2,2611,3,-3.3142264,2,Madrid,Calle,0,0.2612273059275,880.68,,05/01/2024,28,de la vega,,https://www.idealista.com/data/app/cid/SGUxN2U5WFhBam94STJYY3ZvQ3FVZz09,1,2
,102926646,,166,215,40.2476393,19,706,,1,https://www.idealista.com/102926646,1940,,100,3,True,2,4,28550,215,,16/11/2023,0-EU-ES-28-05-005-146,,,,2814601001,175000,3,Tielmes,,28146,,V,36954211,75,2,2611,5,-3.3155196,2,Madrid,Paseo,0,0.2612273059275,813.95,True,20/10/2023,26,de la Estacion,16/11/2023,https://www.idealista.com/data/app/cid/RnhCREo2WEU4OTd1ZXdqaERzTFFSdz09,1,2
,103881249,,199,,40.2446197,16,,,1,https://www.idealista.com/103881249,,,,3,True,2,4,28550,152,,02/02/2024,0-EU-ES-28-05-005-146,,,,2814601001,120000,,Tielmes,,28146,,,103881249,,2,2611,4,-3.3144147,3,Madrid,,0,0.2612273059275,789.47,True,02/02/2024,0,,02/02/2024,https://www.idealista.com/data/app/cid/YjAzNFJ6cGhsWTU0UmZmMjl2eENrdz09,1,2
,95118489,,292,152,40.2466964,85,4571,,1,https://www.idealista.com/95118489,2007,,100,3,True,2,4,28550,145,,29/01/2024,0-EU-ES-28-05-005-146,,False,,2814601001,124000,17,Tielmes,bj,28146,,V,29744050,75,2,2611,4,-3.318799,2,Madrid,Calle,2,0.2612273059275,855.17,True,27/08/2021,885,de la Cruz,29/01/2024,https://www.idealista.com/data/app/cid/d29LUVE2b25XVk03M3A1VVVzYWVhZz09,1,2
,100714419,,292,152,40.2434796,7,374,,1,https://www.idealista.com/100714419,2007,,100,3,,2,4,28550,152,,02/11/2023,0-EU-ES-28-05-005-146,,,,2814601001,149700,3,Tielmes,,28146,,V,34952091,75,0,2611,4,-3.3190223,3,Madrid,,0,0.2612273059275,984.87,,07/03/2023,240,,02/11/2023,https://www.idealista.com/data/app/cid/SlhRWVgvSzhYUVhOYW5ZK1pGMzNodz09,1,2
,97116323,,298,188,40.2449395,56,2944,,1,https://www.idealista.com/97116323,1940,3162221VK7536S,100,3,True,2,4,28550,145,3162221VK7536S0001RJ,30/01/2024,0-EU-ES-28-05-005-146,41,False,,2814601001,124000,10,Tielmes,,28146,,V,31654365,75,4,2611,4,-3.3179304,1,Madrid,Calle,0,0.2612273059275,855.17,True,19/03/2022,681,de la Cruz,30/01/2024,https://www.idealista.com/data/app/cid/S1JBQ0tDOEtCOGVRbjdPVHNSTlpaQT09,1,2
,103084045,,314,285,40.2446447,19,1075,,1,https://www.idealista.com/103084045,1920,3162711VK7536S,100,3,True,2,3,28550,147,3162711VK7536S0001UJ,16/01/2024,0-EU-ES-28-05-005-146,40,,,2814601001,124000,4,Tielmes,,28146,,V,37099352,75,2,2611,4,-3.318145,1,Madrid,Calle,0,0.2612273059275,843.54,True,06/11/2023,87,Real,,https://www.idealista.com/data/app/cid/RTVZVWFSa0dyb1VaamhhS0VGMEtxUT09,1,3
,101029794,,320,,40.2445638,0,6,,1,https://www.idealista.com/101029794,,,,3,False,2,4,28550,212,,02/02/2024,0-EU-ES-28-05-005-146,,False,,2814601001,185000,0,Tielmes,,28146,,,101029794,,2,2611,5,-3.3191978,3,Madrid,,0,0.2612273059275,872.64,,05/04/2023,303,,02/02/2024,https://www.idealista.com/data/app/cid/RUpTcW5XYkY3MUJ6dlhraEhvS2thZz09,1,1
,100819755,,326,,40.2437766,35,2038,,1,https://www.idealista.com/100819755,,,,2,,2,3,28550,212,,01/01/2024,0-EU-ES-28-05-005-146,,,,2814601001,185000,4,Tielmes,,28146,,,100819755,,3,2611,5,-3.320003,3,Madrid,,1,0.2612273059275,872.64,,15/03/2023,323,,,https://www.idealista.com/data/app/cid/Qk5nbTRlNmdKczVXdHJ3b1h4SGZWZz09,1,1
,100726952,,329,,40.246075,19,830,,1,https://www.idealista.com/100726952,,,0,3,True,2,4,28550,145,,06/12/2023,0-EU-ES-28-05-005-146,,,,2814601001,149700,2,Tielmes,,28146,,,34962977,0,2,2611,3,-3.3193397,2,Madrid,Calle,1,0.2612273059275,1032.41,True,08/03/2023,273,CRUZ,06/12/2023,https://www.idealista.com/data/app/cid/QVNMeUEvUWtzQ1hPWFRmdm8rUXFXdz09,1,2
,103063565,,370,,40.2461442,18,865,,1,https://www.idealista.com/103063565,,,0,3,True,2,4,28550,160,,30/01/2024,0-EU-ES-28-05-005-146,,,,2814601001,134800,2,Tielmes,,28146,,,37080074,0,3,2611,4,-3.3136031,2,Madrid,Desconocida,0,0.2612273059275,842.5,True,03/11/2023,87,cruz,30/01/2024,https://www.idealista.com/data/app/cid/SGJBMmxOcmFndndSN1VlRU45ZXJEdz09,1,3
,102978717,,370,,40.2459264,16,805,,1,https://www.idealista.com/102978717,,,0,3,True,2,3,28550,145,,20/12/2023,0-EU-ES-28-05-005-146,,,,2814601001,124000,5,Tielmes,,28146,,,37002766,0,2,2611,4,-3.3107023,2,Madrid,Desconocida,0,0.2612273059275,855.17,True,26/10/2023,99,CRUZ,,https://www.idealista.com/data/app/cid/elhPZ0Y2Y3prNTluWWxIYVQzTC9RQT09,1,3
