newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,102949565,,48,173,40.1364607,0,,,1,https://www.idealista.com/102949565,1960,1533403VK5413S,100,3,True,2,4,28359,173,1533403VK5413S0001XZ,23/10/2023,0-EU-ES-28-05-009-147,33,,,2814701001,135000,,Titulcia,,28147,,V,36976077,75,2,1203,3,-3.5700274,1,Madrid,Calle,0,0.096689925371249,780.35,True,23/10/2023,0,DE LA SOLEDAD,23/10/2023,https://www.idealista.com/data/app/cid/dXJTM1JVY2lMT1hqL2phNWJOU2JqUT09,1,1
,100151557,,77,,40.1373345,85,5598,,1,https://www.idealista.com/100151557,,,0,2,True,2,3,28359,113,,01/02/2024,0-EU-ES-28-05-009-147,2,False,,2814701001,87000,22,Titulcia,,28147,,,34460156,0,2,1203,3,-3.5708691,1,Madrid,Calle,0,0.096689925371249,769.91,False,15/01/2023,382,de la Era,,https://www.idealista.com/data/app/cid/cStPdnpUSk9mZVEzNVZQNTIyc0tNQT09,1,1
,102544717,,96,,40.1357608,7,666,,1,https://www.idealista.com/102544717,,,0,3,,2,4,28359,120,,09/11/2023,0-EU-ES-28-05-009-147,,,,2814701001,179000,0,Titulcia,,28147,,,36605308,0,4,1203,3,-3.569933,2,Madrid,Desconocida,0,0.096689925371249,1491.67,,13/09/2023,57,DOCTOR ROMAN SANGUINO,09/11/2023,https://www.idealista.com/data/app/cid/cFBaa0dUNjNTdG5ZbFpwYXpieE50UT09,1,2
,93239226,,114,,40.135982,79,9900,,1,https://www.idealista.com/93239226,,,0,3,False,2,4,28359,198,,13/01/2024,0-EU-ES-28-05-009-147,0,,,2814701001,148500,30,Titulcia,,28147,,,27946662,0,2,1203,3,-3.5714676,1,Madrid,Calle,1,0.096689925371249,750,,11/03/2021,1037,del Calvario,13/01/2024,https://www.idealista.com/data/app/cid/ZjdNUHJZcUlFaG1FbTF2cEZHOW9DUT09,1,3
,102462833,,120,,40.1338359,2,318,,1,https://www.idealista.com/102462833,2006,,100,3,False,2,4,28359,213,,05/10/2023,0-EU-ES-28-05-009-147,,False,,2814701001,240000,0,Titulcia,bj,28147,,,36531880,100,2,1203,4,-3.5701956,3,Madrid,,0,0.096689925371249,1126.76,True,05/09/2023,30,,05/10/2023,https://www.idealista.com/data/app/cid/dTdvN3F1eCtESHpTb2ZGVTNERTNjZz09,1,3
,101119435,,137,,40.13714,10,385,,1,https://www.idealista.com/101119435,,,0,3,False,2,4,28359,180,,08/09/2023,0-EU-ES-28-05-009-147,22,False,,2814701001,195000,6,Titulcia,,28147,,,35315778,0,2,1203,3,-3.57201,1,Madrid,Calle,0,0.096689925371249,1083.33,False,17/04/2023,143,Doctor Román Sanguino,08/09/2023,https://www.idealista.com/data/app/cid/QnRaMG93M1I5RnFqVmR1YVRSbkxtQT09,1,2
,99984973,,215,,40.135114,70,3581,,1,https://www.idealista.com/99984973,,,0,3,,2,4,28359,188,,15/12/2023,0-EU-ES-28-05-009-147,7,True,,2814701001,135000,24,Titulcia,,28147,,,34314295,0,0,1203,3,-3.5719504,1,Madrid,Calle,0,0.096689925371249,718.09,,23/12/2022,357,Calvario,15/12/2023,https://www.idealista.com/data/app/cid/LzJzb3BjUmZYYkcwNTdrV3BTdElPQT09,1,3
,103075986,,215,,40.1359605,4,736,,1,https://www.idealista.com/103075986,2006,,100,3,True,2,3,28359,114,,29/01/2024,0-EU-ES-28-05-009-147,,True,,2814701001,235800,1,Titulcia,bj,28147,,,37091718,100,2,1203,2,-3.5735643,3,Madrid,,0,0.096689925371249,2068.42,True,06/11/2023,88,,,https://www.idealista.com/data/app/cid/ME9IcEw5TzZvYURnNmNaVEFmblBFdz09,1,2
,103089832,,218,340,40.1352272,60,1784,,1,https://www.idealista.com/103089832,2005,1332522VK5413S,100,3,False,2,3,28359,188,1332522VK5413S0001HZ,30/01/2024,0-EU-ES-28-05-009-147,2,True,,2814701001,135000,17,Titulcia,,28147,,V,37103713,75,2,1203,3,-3.5721943,1,Madrid,Calle,0,0.096689925371249,718.09,True,07/11/2023,87,del Calvario,,https://www.idealista.com/data/app/cid/cHFxL0xlQTlZa1UzM2o1bmpEWVRSdz09,1,3
,102425381,,280,,40.1350448,27,826,,1,https://www.idealista.com/102425381,,,0,3,True,2,4,28359,115,,01/10/2023,0-EU-ES-28-05-009-147,,,,2814701001,149000,3,Titulcia,,28147,,,36496451,0,2,1203,2,-3.5733011,2,Madrid,Desconocida,0,0.096689925371249,1295.65,,01/09/2023,29,jarama,01/10/2023,https://www.idealista.com/data/app/cid/ZXAwL3RDTHpOcXhQeFB6UnhLV1NEQT09,1,2
,102145601,,334,153,40.1368861,9,1049,,1,https://www.idealista.com/102145601,2007,,100,3,False,2,4,28359,166,,01/02/2024,0-EU-ES-28-05-009-147,,False,,2814701001,190000,3,Titulcia,,28147,,V,36238334,75,4,1203,2,-3.5686672,3,Madrid,,0,0.096689925371249,1144.58,True,26/07/2023,189,,01/02/2024,https://www.idealista.com/data/app/cid/OWllUlllUmpRd1NZa3NNUE9PR3Zhdz09,1,1
,102931485,,370,226,40.1383624,12,852,,1,https://www.idealista.com/102931485,2007,1835102VK5413N,100,3,True,2,3,28359,220,1835102VK5413N0001PD,04/12/2023,0-EU-ES-28-05-009-147,26,True,,2814701001,298811,8,Titulcia,,28147,,V,36958797,75,3,1203,4,-3.5667177,1,Madrid,Calle,0,0.096689925371249,1358.23,True,21/10/2023,104,Pingarrón,,https://www.idealista.com/data/app/cid/cHJ5dmdBVEs0SFUyaXU0a2pTb3JBZz09,1,3
,102427607,,380,243,40.13825,59,1778,,1,https://www.idealista.com/102427607,2007,,100,3,True,2,3,28359,285,,01/02/2024,0-EU-ES-28-05-009-147,,True,,2814701001,299000,9,Titulcia,,28147,,V,36498579,75,4,1203,3,-3.5667375,3,Madrid,,0,0.096689925371249,1049.12,True,01/09/2023,153,,01/02/2024,https://www.idealista.com/data/app/cid/MU5GSzFKb1F4a2VTd3hBc2FuMnB0QT09,1,3
