newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,102807793,,190,240,40.8379905,22,468,,1,https://www.idealista.com/102807793,1982,,100,3,,2,4,28189,240,,06/11/2023,0-EU-ES-28-01-018-153,,True,,2815301001,390000,0,Torremocha de Jarama,,28153,,V,36845284,75,4,908,3,-3.4906857,2,Madrid,Calle,1,0.18234379035,1625,True,09/10/2023,28,Uceda,06/11/2023,https://www.idealista.com/data/app/cid/N1VZNG5tS3hXSGoxWWExSDdOaG5hdz09,1,2
,103084558,,245,173,40.8382043,29,1270,,1,https://www.idealista.com/103084558,2013,,57,3,,2,3,28189,240,,19/01/2024,0-EU-ES-28-01-018-153,,True,,2815301001,349000,5,Torremocha de Jarama,,28153,,V,37099811,75,4,908,3,-3.4923916,2,Madrid,Plaza,0,0.18234379035,1454.17,True,06/11/2023,73,de José María Oñate,19/01/2024,https://www.idealista.com/data/app/cid/Sms5ODdTTjl0NlhkZVloOWw5RytwZz09,1,2
,101603761,,254,185,40.8392329,130,2607,,1,https://www.idealista.com/101603761,1999,8313216VL5281S,100,3,True,2,4,28189,182,8313216VL5281S0001EB,07/09/2023,0-EU-ES-28-01-018-153,2,True,,2815301001,225000,12,Torremocha de Jarama,,28153,,V,35744275,75,4,908,3,-3.4955228,1,Madrid,Calle,4,0.18234379035,1236.26,False,01/06/2023,97,Méjico,07/09/2023,https://www.idealista.com/data/app/cid/VDhjcy9LMllJdS9TSlFCQk5YaC9pUT09,1,3
,1858616,,473,158,40.8329352,147,14258,,1,https://www.idealista.com/1858616,2006,8307841VL5280N,100,3,False,2,4,28189,190,8307841VL5280N0001KK,21/08/2023,0-EU-ES-28-01-018-153,25,False,,2815301001,210000,73,Torremocha de Jarama,,28153,,V,20829055,100,2,908,3,-3.4956087,1,Madrid,Calle,1,0.18234379035,1105.26,True,22/11/2010,4655,Madrid,21/08/2023,https://www.idealista.com/data/app/cid/MVp3aE15bWcxZVFzQlFrV0FPU05Kdz09,1,3
,99221695,,497,120,40.8410323,39,1413,,1,https://www.idealista.com/99221695,1983,,100,3,True,2,4,28189,120,,19/12/2023,0-EU-ES-28-01-018-153,,,,2815301001,220000,3,Torremocha de Jarama,,28153,,V,33622094,75,4,908,4,-3.4927747,2,Madrid,Avenida,1,0.18234379035,1833.33,True,18/10/2022,426,Argentina,19/12/2023,https://www.idealista.com/data/app/cid/cGF1ZnF2YzM1U2N1czFpYzhmZVhHZz09,1,1
,100801869,,501,123,40.8398958,23,662,,1,https://www.idealista.com/100801869,2019,,100,3,True,2,4,28189,120,,18/12/2023,0-EU-ES-28-01-018-153,,,,2815301001,220000,1,Torremocha de Jarama,,28153,,V,35031541,75,4,908,4,-3.4944446,2,Madrid,Avenida,0,0.18234379035,1833.33,True,14/03/2023,278,de Argentina,18/12/2023,https://www.idealista.com/data/app/cid/YVEyMk9La1ZBWFd5ZUJXeXFxaE9udz09,1,1
,99909091,,515,241,40.8413302,56,1625,,1,https://www.idealista.com/99909091,2008,,100,3,True,2,4,28189,120,,21/11/2023,0-EU-ES-28-01-018-153,,,,2815301001,220000,6,Torremocha de Jarama,,28153,,V,34246973,75,4,908,4,-3.4932789,2,Madrid,Avenida,0,0.18234379035,1833.33,True,14/12/2022,341,Argentina,21/11/2023,https://www.idealista.com/data/app/cid/OXErT0hsY0hMeGpCckIvc0FWTXRPdz09,1,1
,102562080,,562,120,40.8434026,33,431,,1,https://www.idealista.com/102562080,1984,,100,3,True,2,4,28189,120,,25/11/2023,0-EU-ES-28-01-018-153,,,,2815301001,220000,2,Torremocha de Jarama,,28153,,V,36620694,75,4,908,4,-3.4957239,2,Madrid,Avenida,3,0.18234379035,1833.33,True,15/09/2023,71,Argentina,25/11/2023,https://www.idealista.com/data/app/cid/VDNnNjFUM0FJN1JyRllwTjBCQmZFUT09,1,1
,102516646,,562,,40.8420456,12,885,,1,https://www.idealista.com/102516646,,,0,3,True,2,4,28189,200,,21/11/2023,0-EU-ES-28-01-018-153,,,,2815301001,300000,0,Torremocha de Jarama,,28153,,,36579759,0,4,908,4,-3.4961307,3,Madrid,,1,0.18234379035,1500,True,11/09/2023,70,,21/11/2023,https://www.idealista.com/data/app/cid/RlhLY2ZISHVoMitIc1BHZE0weW9tUT09,1,2
,99540872,,562,123,40.8414763,95,3731,,1,https://www.idealista.com/99540872,2019,,100,3,True,2,3,28189,120,,01/02/2024,0-EU-ES-28-01-018-153,,,,2815301001,205000,6,Torremocha de Jarama,,28153,,V,33911147,75,4,908,4,-3.496597,2,Madrid,Avenida,1,0.18234379035,1708.33,True,14/11/2022,429,Argentina,18/01/2024,https://www.idealista.com/data/app/cid/R2RhL241ODczaGhWRjZ5QXNjU2NCUT09,1,1
,102869328,,670,108,40.8394188,80,2477,,1,https://www.idealista.com/102869328,1984,,100,3,True,2,3,28189,104,,26/01/2024,0-EU-ES-28-01-018-153,,False,,2815301001,205000,10,Torremocha de Jarama,,28153,,V,36901802,75,4,908,4,-3.4997416,3,Madrid,,2,0.18234379035,1971.15,True,16/10/2023,109,,,https://www.idealista.com/data/app/cid/ZjMwTFhsUWwwRnpLeTlhL2Iza0Fjdz09,1,1
