newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,103394125,True,132,636,40.1621904,0,,1,1,https://www.idealista.com/103394125,1940,9779301VK5997N,100,3,True,1,4,28391,105,9779301VK5997N0001TM,14/12/2023,0-EU-ES-28-05-009-157,10,False,,2815701001,94900,,Valdelaguna,2,28157,,V,37382402,50,,893,2,-3.3657328,1,Madrid,Calle,0,0.4148443726825,903.81,True,,6,del Caminillo,14/12/2023,https://www.idealista.com/data/app/cid/YmMyYTJEd0hESjhmTUNoMXBMWjk1QT09,1,1
,103407146,True,132,636,40.1621904,33,744,1,1,https://www.idealista.com/103407146,1940,9779301VK5997N,100,3,True,1,4,28391,110,9779301VK5997N0001TM,15/01/2024,0-EU-ES-28-05-009-157,10,,,2815701001,93900,6,Valdelaguna,2,28157,,V,37394590,50,,893,2,-3.3657328,1,Madrid,Desconocida,0,0.4148443726825,853.64,True,11/12/2023,34,Caminillo,15/01/2024,https://www.idealista.com/data/app/cid/cEpmUTVMOHp6NE1ZSFNUQ2pJSmdIZz09,1,1
,103707669,False,238,125,40.1624429,3,237,1,1,https://www.idealista.com/103707669,2007,8760701VK6485N,100,3,True,1,3,28391,110,8760701VK6485N0018AO,21/01/2024,0-EU-ES-28-05-009-157,19,False,,2815701001,140000,3,Valdelaguna,1,28157,,V,37671111,75,,893,3,-3.3699707,1,Madrid,Calle,0,0.4148443726825,1272.73,True,17/01/2024,16,de las Conejeras,,https://www.idealista.com/data/app/cid/WHcwaWlDTjFrR1o0M2tYZDg2TWZaZz09,1,2
,101799087,,73,120,40.1632899,39,2299,,1,https://www.idealista.com/101799087,1981,,100,3,True,2,3,28391,120,,30/01/2024,0-EU-ES-28-05-009-157,,False,,2815701001,92000,9,Valdelaguna,,28157,,V,35922336,75,4,893,3,-3.3692503,3,Madrid,,0,0.4148443726825,766.67,False,20/06/2023,226,,,https://www.idealista.com/data/app/cid/YjlQOGdoNlJ0bTE5cXNnbDJhY3AwQT09,1,2
,103797597,,135,,40.1628119,0,4,,1,https://www.idealista.com/103797597,,,,2,,2,3,28391,178,,25/01/2024,0-EU-ES-28-05-009-157,,,,2815701001,139000,0,Valdelaguna,,28157,,,103797597,,4,893,1,-3.3685355,2,Madrid,Calle,0,0.4148443726825,780.9,,25/01/2024,8,del Alamillo,,https://www.idealista.com/data/app/cid/a09HNVdNT0dXT29vWmNkcmx4aDh4Zz09,1,3
,99936091,,161,,40.1644692,151,4015,,1,https://www.idealista.com/99936091,2006,,100,3,False,2,3,28391,178,,26/01/2024,0-EU-ES-28-05-009-157,,False,,2815701001,139000,57,Valdelaguna,bj,28157,,,34270957,100,0,893,3,-3.3672888,2,Madrid,Calle,1,0.4148443726825,780.9,False,17/12/2022,342,del Alamillo,25/11/2023,https://www.idealista.com/data/app/cid/eStWbFRLSWtmUEFJaWhzbk1JbDRvUT09,1,3
,92655655,,218,,40.1595754,216,13394,,1,https://www.idealista.com/92655655,1980,,81,3,,2,4,28391,100,,18/10/2023,0-EU-ES-28-05-009-157,,,,2815701001,116000,32,Valdelaguna,,28157,,,27383693,81,4,893,4,-3.3649833,2,Madrid,Camino,0,0.4148443726825,1160,True,02/02/2021,987,del Bosque,18/10/2023,https://www.idealista.com/data/app/cid/RUZxaHMvc0Y0Zyt3ZHlhMW5XNGI1dz09,1,1
,102665584,,328,,40.1598679,14,197,,1,https://www.idealista.com/102665584,2020,,100,3,True,2,4,28391,169,,27/09/2023,0-EU-ES-28-05-009-157,,True,,2815701001,167000,0,Valdelaguna,,28157,,,36715775,100,3,893,3,-3.3667123,2,Madrid,Calle,0,0.4148443726825,988.17,True,26/09/2023,1,de los Cerezos,27/09/2023,https://www.idealista.com/data/app/cid/TnE4NEl2OFRzTUNxUk9HUFpWUFBjUT09,1,2
,103010355,,332,,40.1590259,78,2115,,1,https://www.idealista.com/103010355,2020,0181607VK6908S,100,2,False,2,4,28391,169,,27/01/2024,0-EU-ES-28-05-009-157,6,True,,2815701001,157700,19,Valdelaguna,,28157,,,37031867,100,3,893,3,-3.3683267,1,Madrid,Calle,0,0.4148443726825,933.14,True,02/11/2023,86,de los Cerezos,27/01/2024,https://www.idealista.com/data/app/cid/Vzl1cnNmRHVaZklTc1RIU0JyNXZ2Zz09,1,2
,96523171,,413,222,40.1584688,33,2742,,1,https://www.idealista.com/96523171,1970,8656002VK6485N,100,3,True,2,4,28391,180,8656002VK6485N0001RK,08/10/2023,0-EU-ES-28-05-009-157,2,True,,2815701001,220000,9,Valdelaguna,,28157,,V,31085739,75,2,893,3,-3.3691336,1,Madrid,Calle,0,0.4148443726825,1222.22,True,25/01/2022,620,del Sur,08/10/2023,https://www.idealista.com/data/app/cid/a1NOUWFDQjRNakNRWDdyajFrc0ZPUT09,1,1
,101318292,,505,,40.1578463,45,1072,,1,https://www.idealista.com/101318292,2008,,100,3,,2,4,28391,144,,06/09/2023,0-EU-ES-28-05-009-157,,,,2815701001,135000,3,Valdelaguna,,28157,,,35490803,100,2,893,3,-3.3633711,2,Madrid,Calle,0,0.4148443726825,937.5,True,05/05/2023,124,Cruces,06/09/2023,https://www.idealista.com/data/app/cid/QSswUG5kbm4zVU5EVzZYQ25OQlJPdz09,1,3
