newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,103458074,False,38,,40.7596169,36,1126,1,1,https://www.idealista.com/103458074,2009,,100,3,True,1,3,28170,136,,15/12/2023,0-EU-ES-28-01-022-163,,,,2816301001,128000,5,Valdepiélagos,1,28163,,,37440685,100,,567,3,-3.4663698,3,Madrid,,2,0.17434110482753,941.18,True,15/12/2023,49,,,https://www.idealista.com/data/app/cid/ekdXZ2JkZVA5dkxLcEFWbUp2b2tTQT09,1,2
,101232188,False,38,107,40.7620617,49,943,1,1,https://www.idealista.com/101232188,2009,,100,3,,1,4,28170,107,,22/09/2023,0-EU-ES-28-01-022-163,,,,2816301001,119000,7,Valdepiélagos,1,28163,,V,35417171,75,,567,2,-3.4639364,2,Madrid,Desconocida,0,0.17434110482753,1112.15,True,26/04/2023,148,Alta,22/09/2023,https://www.idealista.com/data/app/cid/R1MydVFDblZEV2gwekRNUFJIT1BWZz09,1,2
,36405775,,31,,40.7607658,191,8899,,1,https://www.idealista.com/36405775,,,100,3,True,2,3,28170,160,,04/01/2024,0-EU-ES-28-01-022-163,0,False,,2816301001,220000,4,Valdepiélagos,,28163,,,21086359,0,4,567,3,-3.4656082,1,Madrid,Calle,10,0.17434110482753,1375,False,24/03/2017,1996,del Cubillo,11/09/2022,https://www.idealista.com/data/app/cid/UGN3MGI0WTFhZERPeWxXNi9ucTUxQT09,1,3
,100435747,,38,,40.7599242,44,1476,,1,https://www.idealista.com/100435747,,,,3,,2,4,28170,244,,25/01/2024,0-EU-ES-28-01-022-163,,,,2816301001,199000,3,Valdepiélagos,,28163,,,100435747,,3,567,3,-3.4639589,2,Madrid,Calle,0,0.17434110482753,815.57,True,09/02/2023,221,La Fuente,18/09/2023,https://www.idealista.com/data/app/cid/L3FRcTVFRndtVlJJRDhtZWZxVWY2Zz09,1,3
,100161838,,74,,40.7612199,60,1845,,1,https://www.idealista.com/100161838,,,0,3,True,2,3,28170,190,,09/01/2024,0-EU-ES-28-01-022-163,7,,,2816301001,260000,5,Valdepiélagos,,28163,,,34469520,0,3,567,3,-3.4662487,1,Madrid,Calle,1,0.17434110482753,1368.42,True,16/01/2023,304,Tentetieso,17/11/2023,https://www.idealista.com/data/app/cid/Z1lkeW5lQ3A0VlhSYWZLamRlUndqUT09,1,3
,99370182,,111,223,40.7611081,49,3187,,1,https://www.idealista.com/99370182,2009,0825701VL6102N,100,3,True,2,3,28170,156,0825701VL6102N0010YP,31/01/2024,0-EU-ES-28-01-022-163,12,False,,2816301001,205000,17,Valdepiélagos,,28163,,V,33757518,75,2,567,3,-3.4647716,1,Madrid,Calle,0,0.17434110482753,1314.1,True,30/10/2022,460,Cubillo,,https://www.idealista.com/data/app/cid/THVHNDZ4VjNrNTRBeGtDZzcyejVmUT09,1,3
,103392689,,123,,40.7605089,44,1333,,1,https://www.idealista.com/103392689,2005,0625114VL6102N,100,3,False,2,3,28170,141,,01/02/2024,0-EU-ES-28-01-022-163,5,False,,2816301001,200000,13,Valdepiélagos,,28163,,,37381023,100,2,567,3,-3.4673745,1,Madrid,Calle,0,0.17434110482753,1418.44,True,07/12/2023,56,de la Fuente,,https://www.idealista.com/data/app/cid/U0tWSndFWEsxZ214cWVhalZ3elMvdz09,1,3
,98262140,,135,186,40.7617271,27,2146,,1,https://www.idealista.com/98262140,2007,0626515VL6102N,100,3,False,2,3,28170,180,0626515VL6102N0001BR,13/08/2023,0-EU-ES-28-01-022-163,13,False,,2816301001,315000,15,Valdepiélagos,,28163,,V,32734758,75,3,567,4,-3.4665164,1,Madrid,Calle,0,0.17434110482753,1750,True,12/07/2022,0,Tentetieso,12/07/2022,https://www.idealista.com/data/app/cid/UmcxYXVtZ0lUenNEYjBnZ3lPRFJhZz09,1,3
,103185236,,135,186,40.7630435,15,583,,1,https://www.idealista.com/103185236,2007,,100,3,True,2,3,28170,180,,30/01/2024,0-EU-ES-28-01-022-163,,False,,2816301001,270000,1,Valdepiélagos,,28163,,V,37190568,75,3,567,4,-3.465847,3,Madrid,,0,0.17434110482753,1500,True,15/11/2023,75,,30/01/2024,https://www.idealista.com/data/app/cid/UzMwRllMRTFZMTlrenAzQmxXNVFxdz09,1,3
,101245816,,235,,40.7597277,89,2771,,1,https://www.idealista.com/101245816,,,0,3,,2,4,28170,206,,23/01/2024,0-EU-ES-28-01-022-163,,,,2816301001,250000,5,Valdepiélagos,,28163,,,35428216,0,4,567,3,-3.4642542,2,Madrid,Desconocida,1,0.17434110482753,1213.59,True,27/04/2023,270,eras,23/01/2024,https://www.idealista.com/data/app/cid/OG93bjhydnoxZVlXREh0NW9KcmQyQT09,1,4
,102801085,,2871,,40.7847049,75,2060,,1,https://www.idealista.com/102801085,2005,9751311VL5195S,100,3,False,2,3,28170,206,,01/02/2024,0-EU-ES-28-01-022-163,95,True,,2816301001,269000,17,Valdepiélagos,,28163,,,36839021,100,4,567,3,-3.4781371,1,Madrid,Calle,4,0.17434110482753,1305.83,False,08/10/2023,70,Aliso,17/12/2023,https://www.idealista.com/data/app/cid/MnVUQ0g3eDRDa3cySmZvV205aTlZdz09,1,2
,102793833,,2949,273,40.7868142,56,1559,,1,https://www.idealista.com/102793833,2004,,100,3,True,2,3,28170,273,,19/01/2024,0-EU-ES-28-01-022-163,,True,,2816301001,349000,5,Valdepiélagos,,28163,,V,36832248,75,4,567,4,-3.4805322,2,Madrid,Desconocida,2,0.17434110482753,1278.39,True,06/10/2023,104,Aliso,19/01/2024,https://www.idealista.com/data/app/cid/S0lFVDJMb0VTYVpYUEJBd2lqWWJqZz09,1,3
