newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,93974104,False,353,,40.1023433,45,2831,1,1,https://www.idealista.com/93974104,2005,8595005VK5389N,72,3,False,1,4,28360,104,,15/10/2023,0-EU-ES-28-05-006-170,6,False,,2817001001,120000,22,Villaconejos,bj,28170,,,28650389,72,,3393,2,-3.488276,1,Madrid,Pasaje,1,0.32283589206,1153.85,True,06/05/2021,891,de la Cacera,15/10/2023,https://www.idealista.com/data/app/cid/ZkVic0EwdjJIcTJqeDcvaDE1bGlnQT09,1,1
,95238275,False,488,,40.1008568,16,2628,1,1,https://www.idealista.com/95238275,2007,,92,3,True,1,3,28360,144,,25/01/2024,0-EU-ES-28-05-006-170,,False,,2817001001,170000,3,Villaconejos,bj,28170,,,29857103,92,,3393,3,-3.4912686,3,Madrid,,0,0.32283589206,1180.56,True,10/09/2021,270,,07/06/2022,https://www.idealista.com/data/app/cid/SjdVWm43RkRnaFJlM2dGYmpaK1ZxUT09,1,2
,95055718,,4,,40.1054105,146,6077,,1,https://www.idealista.com/95055718,,,0,2,,2,3,28360,300,,30/01/2024,0-EU-ES-28-05-006-170,,True,,2817001002,199500,16,Villaconejos,,28170,,,29684816,0,0,3393,3,-3.4860432,3,Madrid,,1,0.32283589206,665,,18/08/2021,707,,27/07/2023,https://www.idealista.com/data/app/cid/YUUwdFVFaG1Ndk1DakVLSm96dkxyZz09,1,3
,97142909,,81,276,40.1044806,1,4056,,1,https://www.idealista.com/97142909,1965,,100,2,True,2,3,28360,276,,13/04/2023,0-EU-ES-28-05-006-170,,,,2817001001,185000,0,Villaconejos,,28170,,V,31679390,75,2,3393,5,-3.4826182,2,Madrid,Calle,0,0.32283589206,670.29,,22/03/2022,681,Sevilla,,https://www.idealista.com/data/app/cid/bS9BSkVDc3A3RnVnc1NXZk90TVZsUT09,1,2
,101308739,,136,153,40.1057626,23,1828,,1,https://www.idealista.com/101308739,1970,,100,2,,2,3,28360,153,,22/01/2024,0-EU-ES-28-05-006-170,,,,2817001002,143000,0,Villaconejos,,28170,,V,35482725,75,2,3393,6,-3.4868827,3,Madrid,,0,0.32283589206,934.64,,04/05/2023,273,,,https://www.idealista.com/data/app/cid/T3U1R00zbEIrM0MybUtXbnFoMFMzQT09,1,1
,103127705,,180,111,40.103044,8,591,,1,https://www.idealista.com/103127705,1976,,100,2,,2,4,28360,111,,28/12/2023,0-EU-ES-28-05-006-170,,,,2817001001,100000,2,Villaconejos,,28170,,V,37138494,75,2,3393,3,-3.4843485,2,Madrid,Calle,0,0.32283589206,900.9,,09/11/2023,48,Hospital,28/12/2023,https://www.idealista.com/data/app/cid/aFJuLy90MkpHWnZuNWVuUUJFRFkwUT09,1,1
,103304018,,266,,40.1024567,56,1214,,1,https://www.idealista.com/103304018,,,0,3,,2,3,28360,150,,08/01/2024,0-EU-ES-28-05-006-170,38,,,2817001001,180000,2,Villaconejos,,28170,,,37299702,0,2,3393,3,-3.4870538,1,Madrid,Desconocida,1,0.32283589206,1200,,27/11/2023,66,SOLEDAD,,https://www.idealista.com/data/app/cid/S3VKQ05EMVdFc3NySWNnblpjQkZvdz09,1,3
,95382421,,338,,40.1024,111,2712,,1,https://www.idealista.com/95382421,,,0,3,False,2,3,28360,150,,28/01/2024,0-EU-ES-28-05-006-170,11,False,,2817001001,180000,0,Villaconejos,,28170,,,29995229,0,2,3393,3,-3.4881094,1,Madrid,Pasaje,1,0.32283589206,1200,True,24/09/2021,746,de la Cacera,10/10/2023,https://www.idealista.com/data/app/cid/QUdSZXQzQnd6Zm1ZSkFaaWVkMUJrdz09,1,2
,102715185,,367,128,40.1059832,36,1181,,1,https://www.idealista.com/102715185,1960,,100,3,True,2,4,28360,128,,22/11/2023,0-EU-ES-28-05-006-170,,False,,2817001001,149900,8,Villaconejos,,28170,,V,36761494,75,4,3393,3,-3.4793006,3,Madrid,,0,0.32283589206,1171.09,False,29/09/2023,53,,22/11/2023,https://www.idealista.com/data/app/cid/MmtQRXZrTFl1S1cvcWFYVlVlSXBEZz09,1,1
,100475816,,430,177,40.1034345,90,2794,,1,https://www.idealista.com/100475816,2005,9195703VK5399N,95,3,,2,4,28360,177,9195703VK5399N0003QY,23/11/2023,0-EU-ES-28-05-006-170,32,,,2817001001,154990,11,Villaconejos,,28170,,V,34742387,75,3,3393,4,-3.4799418,1,Madrid,Carretera,0,0.32283589206,875.65,True,13/02/2023,282,de Colmenar de Oreja,23/11/2023,https://www.idealista.com/data/app/cid/Z2ZHQVUydmh0NG0xSWRXOXpYSTNmQT09,1,3
