newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,99044059,,33,121,40.0679779,121,5492,,1,https://www.idealista.com/99044059,1940,9755019VK7395N,100,3,True,2,3,28598,121,9755019VK7395N0001GY,31/10/2023,0-EU-ES-28-05-007-173,7,False,,2817301001,70000,27,Villamanrique de Tajo,,28173,,V,33455903,75,4,730,3,-3.2400692,1,Madrid,Calle,1,0.28495421346375,578.51,False,04/10/2022,485,Mayor,,https://www.idealista.com/data/app/cid/MzJuYkwvV0dhbkU1SW8rNS9YcEhPQT09,1,1
,102373007,,113,161,40.0683641,54,856,,1,https://www.idealista.com/102373007,1970,9555010VK7395N,100,3,True,2,4,28598,161,9555010VK7395N0001LY,01/11/2023,0-EU-ES-28-05-007-173,7,,,2817301001,95000,3,Villamanrique de Tajo,,28173,,V,36447277,75,2,730,4,-3.2417232,1,Madrid,Calle,0,0.28495421346375,590.06,True,25/08/2023,68,del Sol,01/11/2023,https://www.idealista.com/data/app/cid/SDA4akhYL1FyellwT2IyS3JycWIxUT09,1,2
,103465152,,144,,40.0693653,12,1050,,1,https://www.idealista.com/103465152,,,0,3,True,2,3,28598,120,,02/02/2024,0-EU-ES-28-05-007-173,12,False,,2817301001,90000,7,Villamanrique de Tajo,,28173,,,37447310,0,4,730,5,-3.2407951,1,Madrid,Desconocida,0,0.28495421346375,750,False,16/12/2023,0,M-319,16/12/2023,https://www.idealista.com/data/app/cid/d3NtU0JYbUttZ3hSODRGbHFWVmJ5QT09,1,2
,102202937,,188,248,40.0690012,34,1071,,1,https://www.idealista.com/102202937,1958,,100,3,True,2,4,28598,250,,31/10/2023,0-EU-ES-28-05-007-173,,,,2817301001,139000,4,Villamanrique de Tajo,,28173,,V,36291967,75,4,730,5,-3.2406382,2,Madrid,Desconocida,0,0.28495421346375,556,True,01/08/2023,90,republica Dominicana,31/10/2023,https://www.idealista.com/data/app/cid/UWYyK09wYWVsd2JlNzBSTjFvTGExdz09,1,2
,100230995,,203,299,40.0695448,17,2156,,1,https://www.idealista.com/100230995,1981,,100,3,True,2,3,28598,299,,31/01/2024,0-EU-ES-28-05-007-173,,True,,2817301001,225000,2,Villamanrique de Tajo,,28173,,V,34528922,75,4,730,5,-3.23761,3,Madrid,,0,0.28495421346375,752.51,True,23/01/2023,375,,,https://www.idealista.com/data/app/cid/M0dKa1dsdUREWVlxc0NvWWw2OWh3QT09,1,3
,103556674,,205,133,40.0702263,19,785,,1,https://www.idealista.com/103556674,1959,,100,2,True,2,3,28598,212,,06/01/2024,0-EU-ES-28-05-007-173,,True,,2817301001,139900,2,Villamanrique de Tajo,,28173,,V,37532420,75,2,730,4,-3.2403451,2,Madrid,Calle,1,0.28495421346375,659.91,True,29/12/2023,34,Madrid,,https://www.idealista.com/data/app/cid/R3B0V0xQamt6ZGhEaER2Qk40WlZIUT09,1,1
,100469961,,205,186,40.0682938,0,,,1,https://www.idealista.com/100469961,2000,9355504VK7395N,100,3,False,2,4,28598,180,9355504VK7395N0001TY,09/01/2024,0-EU-ES-28-05-007-173,2,False,,2817301001,125900,,Villamanrique de Tajo,,28173,,V,34737184,75,3,730,3,-3.2428342,1,Madrid,Desconocida,0,0.28495421346375,699.44,True,13/02/2023,329,estrella polar,09/01/2024,https://www.idealista.com/data/app/cid/MVI0bG9QUzNUSnZkbnRjSjJ2TjdQQT09,1,2
,103138679,,205,,40.0702545,9,595,,1,https://www.idealista.com/103138679,,,0,3,True,2,4,28598,133,,30/12/2023,0-EU-ES-28-05-007-173,,True,,2817301001,160000,8,Villamanrique de Tajo,,28173,,,37148527,0,4,730,5,-3.240675,3,Madrid,,0,0.28495421346375,1203.01,True,13/11/2023,47,,30/12/2023,https://www.idealista.com/data/app/cid/RmN2SmpOektPeWVhYmFDZmJyajUvQT09,1,1
,101098751,,235,187,40.0706264,67,1840,,1,https://www.idealista.com/101098751,1978,,100,3,,2,3,28598,187,,20/01/2024,0-EU-ES-28-05-007-173,,,,2817301001,125000,7,Villamanrique de Tajo,,28173,,V,35297518,75,4,730,6,-3.2410218,2,Madrid,Calle,1,0.28495421346375,668.45,,13/04/2023,70,Madrid,23/06/2023,https://www.idealista.com/data/app/cid/eWl6YVlIektldzFSYmhRN0tDNHJGUT09,1,2
,102914426,,330,216,40.0713919,47,954,,1,https://www.idealista.com/102914426,1967,,100,3,,2,4,28598,160,,15/11/2023,0-EU-ES-28-05-007-173,,,,2817301001,85000,12,Villamanrique de Tajo,,28173,,V,36943612,75,2,730,4,-3.242264,2,Madrid,Calle,0,0.28495421346375,531.25,,19/10/2023,27,madrid,15/11/2023,https://www.idealista.com/data/app/cid/alRhcnFrUTlpdkNWOFBwandQUnFHdz09,1,1
