newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,28739622,False,53,116,40.3383843,72,6922,1,1,https://www.idealista.com/28739622,2007,4162604VK0646S,100,3,True,1,3,28609,120,4162604VK0646S0004YF,02/01/2024,0-EU-ES-28-03-009-175,8,False,,2817501001,220000,44,Villamantilla,1,28175,,V,20884732,100,,1242,3,-4.1310622,1,Madrid,Calle,1,0.23563432253875,1833.33,True,21/09/2014,3420,Palomar,,https://www.idealista.com/data/app/cid/NCtLUG1lQmZxeHNrczAvTTZYUy9pZz09,1,3
,101251176,,206,137,40.3355191,41,1081,,1,https://www.idealista.com/101251176,2002,,100,3,False,2,4,28609,137,,17/08/2023,0-EU-ES-28-03-009-175,,False,,2817501001,173200,12,Villamantilla,,28175,,V,35432293,75,0,1242,4,-4.1304179,2,Madrid,Calle,0,0.23563432253875,1264.23,False,28/04/2023,110,General Yagüe,17/08/2023,https://www.idealista.com/data/app/cid/aWRnejZIZ2tqS3h0M0Y5M2JJU1NYdz09,1,3
,1742785,,282,288,40.3356909,151,10202,,1,https://www.idealista.com/1742785,2003,4367104VK0646N,88,3,True,2,3,28609,294,4367104VK0646N0001GE,01/02/2024,0-EU-ES-28-03-009-175,5,False,,2817501001,320000,72,Villamantilla,,28175,,V,20825956,100,4,1242,5,-4.1294862,1,Madrid,Calle,4,0.23563432253875,1088.44,True,08/10/2009,5038,Romeral,26/07/2023,https://www.idealista.com/data/app/cid/VXdid3AvUkJ5dzgyWHJldlFGNmxuZz09,1,3
,100946984,,334,,40.3402476,1,18,,1,https://www.idealista.com/100946984,,,0,3,True,2,4,28609,230,,30/09/2023,0-EU-ES-28-03-009-175,,,,2817501001,240000,1,Villamantilla,,28175,,,35161474,0,4,1242,3,-4.1262313,2,Madrid,Calle,0,0.23563432253875,1043.48,True,28/03/2023,186,POCILLO,30/09/2023,https://www.idealista.com/data/app/cid/bU9jTE1FYWpkMHZjSjRhNGQwMVhkQT09,1,3
,103315145,,382,,40.3400675,36,1136,,2,https://www.idealista.com/103315145,0,4462223VK0646S,100,1,False,2,4,28609,120,,30/01/2024,0-EU-ES-28-03-009-175,12,False,,2817501001,305000,1,Villamantilla,,28175,,,37310238,100,3,1242,3,-4.1268509,1,Madrid,Camino,0,0.23563432253875,2541.67,True,28/11/2023,61,de Perales,29/01/2024,https://www.idealista.com/data/app/cid/Y1hzZk5jMmpBZ3d1QXBmYzBsNlRKUT09,1,2
,102353797,,392,286,40.3424722,31,1299,,1,https://www.idealista.com/102353797,1972,,100,3,False,2,3,28609,286,,18/01/2024,0-EU-ES-28-03-009-175,,True,,2817501001,380000,2,Villamantilla,,28175,,V,36429292,75,4,1242,5,-4.1287606,2,Madrid,Calle,0,0.23563432253875,1328.67,True,23/08/2023,163,San Miguel,,https://www.idealista.com/data/app/cid/M29nR2ZuYUhWdUJaRk5hVFdJVGVPQT09,1,3
,102111333,,439,159,40.341394,164,2836,,1,https://www.idealista.com/102111333,2001,,100,3,True,2,4,28609,200,,18/10/2023,0-EU-ES-28-03-009-175,,True,,2817501001,285000,56,Villamantilla,,28175,,V,36206855,75,3,1242,4,-4.1274877,3,Madrid,,1,0.23563432253875,1425,True,21/07/2023,89,,18/10/2023,https://www.idealista.com/data/app/cid/NVB2RUhzN1ZFcXhHZkk1dVNqdTlJUT09,1,3
,96870467,,503,,40.3418109,34,1125,,1,https://www.idealista.com/96870467,,,0,3,True,2,4,28609,230,,05/09/2023,0-EU-ES-28-03-009-175,,True,,2817501001,350000,5,Villamantilla,,28175,,,31420750,0,3,1242,4,-4.1278402,3,Madrid,,0,0.23563432253875,1521.74,True,24/02/2022,558,,05/09/2023,https://www.idealista.com/data/app/cid/TkwxQkU2dTlHSytpcmZZWGVVcEtjUT09,1,3
,102356631,,518,258,40.3409698,23,635,,1,https://www.idealista.com/102356631,1990,,100,3,True,2,4,28609,286,,22/11/2023,0-EU-ES-28-03-009-175,,True,,2817501001,380000,1,Villamantilla,,28175,,V,36431976,75,4,1242,5,-4.1306972,3,Madrid,,0,0.23563432253875,1328.67,True,23/08/2023,90,,22/11/2023,https://www.idealista.com/data/app/cid/OHpmaGMrQlVqQ0JuS0FLcXYwZlBYUT09,1,3
,102310530,,546,,40.3438007,113,3198,,1,https://www.idealista.com/102310530,,,0,3,True,2,4,28609,155,,13/12/2023,0-EU-ES-28-03-009-175,,,,2817501001,239900,22,Villamantilla,,28175,,,36389288,0,4,1242,4,-4.1287386,2,Madrid,Desconocida,0,0.23563432253875,1547.74,True,17/08/2023,118,tomillar,13/12/2023,https://www.idealista.com/data/app/cid/MVl2YnZ3NzhMS1dkTllVVzB5MjlVZz09,1,3
