newdevelopment_commercialname,ad_id,ad_haslift,distance,property_area,ad_latitude,adstats_savedasfavorite,adstats_visits,ad_flatlocation,ad_propertytype,ad_urlactive,property_builtdate,estate_cadastralroot,address_certainty,ad_builttype,ad_hasboxroom,ad_typology,ad_state,ad_postalcode,ad_area,property_cadastralreference,ad_modificationdate,ad_layerlocation,ad_streetnumber,ad_hasswimmingpool,newdevelopment_averageprice,censustract_id,ad_price,adstats_contactsbyemail,ad_town,ad_floornumber,censustract_town_id,newdevelopment_fromprice,property_use,id,cadastral_certainty,ad_subtypology,layerlocation_population,ad_roomnumber,ad_longitude,ad_addressvisible,ad_province,ad_streettype,adstats_sendtofriend,layerlocation_area,ad_unitprice,ad_hasparkingspace,ad_activationdate,adstats_daysonmarket,ad_streetname,ad_deactivationdate,ad_urlinactive,ad_operation,ad_bathnumber
,95682220,,75,,40.345645,97,5936,,1,https://www.idealista.com/95682220,,,0,3,,2,3,28609,190,,01/02/2024,0-EU-ES-28-03-009-178,,,,2817801001,214000,16,Villanueva de Perales,,28178,,,30282154,0,0,1448,3,-4.1004628,2,Madrid,Calle,0,0.30545262037125,1126.32,,23/10/2021,783,Carretas,16/12/2023,https://www.idealista.com/data/app/cid/OGRyNzBZb0R5N1Focm9Sb1Y0U0t5Zz09,1,3
,100225253,,88,,40.346677,141,3731,,1,https://www.idealista.com/100225253,,,0,3,True,2,3,28609,190,,07/01/2024,0-EU-ES-28-03-009-178,12,,,2817801001,214000,29,Villanueva de Perales,,28178,,,34523676,0,3,1448,4,-4.1019816,1,Madrid,Desconocida,1,0.30545262037125,1126.32,True,22/01/2023,375,carretas,,https://www.idealista.com/data/app/cid/bjhOQkIyV1ozQ1cvNTJ0WTVzU2dzQT09,1,3
,96002911,,88,,40.3449353,9,725,,1,https://www.idealista.com/96002911,,,0,2,,2,3,28609,187,,02/02/2024,0-EU-ES-28-03-009-178,,,,2817801001,214000,4,Villanueva de Perales,,28178,,,30589952,0,4,1448,3,-4.1007943,3,Madrid,,0,0.30545262037125,1144.39,True,23/11/2021,800,,02/02/2024,https://www.idealista.com/data/app/cid/cncwcElwTktLYnYzbzB5cXVZR2c0dz09,1,3
,98541336,,96,234,40.3475775,129,3021,,1,https://www.idealista.com/98541336,1900,,100,3,True,2,4,28609,194,,29/08/2023,0-EU-ES-28-03-009-178,,True,,2817801001,225000,9,Villanueva de Perales,,28178,,V,32996307,75,2,1448,4,-4.0987764,3,Madrid,,2,0.30545262037125,1159.79,True,12/08/2022,382,,29/08/2023,https://www.idealista.com/data/app/cid/YnVobHpqV3hQR2ZSZW9KNjVyTzBvZz09,1,3
,102409938,,114,,40.3479264,41,1046,,1,https://www.idealista.com/102409938,2010,,100,3,True,2,4,28609,194,,21/01/2024,0-EU-ES-28-03-009-178,,True,,2817801001,240000,4,Villanueva de Perales,,28178,,,36481916,100,2,1448,4,-4.1032049,2,Madrid,Calle,0,0.30545262037125,1237.11,True,30/08/2023,144,Jardines,21/01/2024,https://www.idealista.com/data/app/cid/Sk55dXVZY0x4WWp1M0RkbGtURlo3QT09,1,3
,101299342,,126,,40.3444045,61,1653,,1,https://www.idealista.com/101299342,,,0,3,True,2,4,28609,279,,10/10/2023,0-EU-ES-28-03-009-178,,,,2817801001,269900,4,Villanueva de Perales,,28178,,,35473765,0,4,1448,3,-4.1039076,2,Madrid,Desconocida,0,0.30545262037125,967.38,True,04/05/2023,159,san antonio,10/10/2023,https://www.idealista.com/data/app/cid/azZwMElWSlRvLzBQYWg3UEpKQm0wQT09,1,3
,102942488,,128,,40.3481267,75,2461,,1,https://www.idealista.com/102942488,1993,,100,2,,2,4,28609,120,,17/01/2024,0-EU-ES-28-03-009-178,,,,2817801001,140000,21,Villanueva de Perales,,28178,,,36969258,100,4,1448,3,-4.1012722,3,Madrid,,0,0.30545262037125,1166.67,True,23/10/2023,85,,17/01/2024,https://www.idealista.com/data/app/cid/cm8yWDVJYWxLcjVCRnFoZW81NExMQT09,1,2
,100836595,,138,,40.3462282,26,811,,1,https://www.idealista.com/100836595,2004,6769204VK0666N,100,3,True,2,4,28609,200,,01/08/2023,0-EU-ES-28-03-009-178,34,True,,2817801001,249000,10,Villanueva de Perales,,28178,,,35061289,100,2,1448,3,-4.0997531,1,Madrid,Calle,0,0.30545262037125,1245,True,17/03/2023,136,Jardines,01/08/2023,https://www.idealista.com/data/app/cid/djRHc0F3Zml3cEkxQXFUU0lpNmF1dz09,1,3
,103727028,,139,,40.3475021,71,1499,,1,https://www.idealista.com/103727028,,,,3,True,2,3,28609,131,,24/01/2024,0-EU-ES-28-03-009-178,,,,2817801001,140000,9,Villanueva de Perales,,28178,,,103727028,,3,1448,4,-4.0983785,2,Madrid,Calle,0,0.30545262037125,1068.7,,18/01/2024,14,Real,,https://www.idealista.com/data/app/cid/eWRYclM1d1BNSDBqSU0zQk4xa0d3Zz09,1,2
,102580586,,145,,40.3461408,58,1282,,1,https://www.idealista.com/102580586,2004,6769204VK0666N,100,3,True,2,3,28609,265,,26/01/2024,0-EU-ES-28-03-009-178,34,True,,2817801001,270000,19,Villanueva de Perales,,28178,,,36638239,100,3,1448,3,-4.0997407,1,Madrid,Calle,0,0.30545262037125,1018.87,True,18/09/2023,137,jardines,,https://www.idealista.com/data/app/cid/VDd0SCsydzlDY1BkSWlGbm5HZExadz09,1,3
,101795383,,145,,40.3480338,15,464,,1,https://www.idealista.com/101795383,2004,,100,3,True,2,4,28609,200,,02/10/2023,0-EU-ES-28-03-009-178,,True,,2817801001,255000,2,Villanueva de Perales,,28178,,,35918794,100,2,1448,3,-4.1005452,3,Madrid,,0,0.30545262037125,1275,True,20/06/2023,103,,02/10/2023,https://www.idealista.com/data/app/cid/dThXdTUzbnFTNEhvV0g3b2trMWVsZz09,1,3
,103457681,,145,,40.3461408,28,579,,1,https://www.idealista.com/103457681,2004,6769204VK0666N,100,3,,2,3,28609,265,,18/12/2023,0-EU-ES-28-03-009-178,34,True,,2817801001,270000,2,Villanueva de Perales,,28178,,,37440298,100,3,1448,3,-4.0997402,1,Madrid,Desconocida,0,0.30545262037125,1018.87,True,15/12/2023,49,Jardines,,https://www.idealista.com/data/app/cid/bHpvNERkK3NwaG5sZnQ0OFdPWUNEUT09,1,3
,103376592,,145,,40.3461408,24,499,,1,https://www.idealista.com/103376592,2004,6769204VK0666N,100,3,True,2,4,28609,265,,16/01/2024,0-EU-ES-28-03-009-178,34,True,,2817801001,270000,1,Villanueva de Perales,,28178,,,37366734,100,3,1448,3,-4.0997402,1,Madrid,Desconocida,0,0.30545262037125,1018.87,True,05/12/2023,41,jardines,16/01/2024,https://www.idealista.com/data/app/cid/RFdmVzA1anNSR0VaRS9HYmVVT2k0QT09,1,3
,101814427,,145,,40.3461408,6,297,,1,https://www.idealista.com/101814427,2004,6769204VK0666N,100,3,True,2,4,28609,200,,31/08/2023,0-EU-ES-28-03-009-178,34,True,,2817801001,249000,0,Villanueva de Perales,,28178,,,35935975,100,2,1448,3,-4.0997402,1,Madrid,Calle,0,0.30545262037125,1245,True,21/06/2023,71,Jardines,31/08/2023,https://www.idealista.com/data/app/cid/TVBHZUZOa0xVR3NLSnd2d09HNUg5Zz09,1,3
