municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Alcalá de Henares,40.48166,-3.364136,109997949,1400.0,2,3,121.0,Ensanche,,https://www.idealista.com/inmueble/109997949/
Alcalá de Henares,40.48166,-3.364136,109981936,1205.0,1,3,64.0,Reyes Católicos,,https://www.idealista.com/inmueble/109981936/
Alcalá de Henares,40.48166,-3.364136,110087183,1400.0,2,3,174.0,"calle Adolfo Marsillach, 3",,https://www.idealista.com/inmueble/110087183/
Alcalá de Henares,40.48166,-3.364136,110086687,1200.0,2,2,90.0,calle Cardenal Cisneros,,https://www.idealista.com/inmueble/110086687/
Alcalá de Henares,40.48166,-3.364136,110082709,1100.0,1,3,88.0,Juan de Austria,,https://www.idealista.com/inmueble/110082709/
Alcalá de Henares,40.48166,-3.364136,110081736,990.0,2,2,80.0,calle de Santiago,,https://www.idealista.com/inmueble/110081736/
Alcalá de Henares,40.48166,-3.364136,92679100,900.0,1,1,61.0,calle Villalbilla,,https://www.idealista.com/inmueble/92679100/
Alcalá de Henares,40.48166,-3.364136,109260815,1150.0,1,3,60.0,calle de Dulcinea,,https://www.idealista.com/inmueble/109260815/
Alcalá de Henares,40.48166,-3.364136,109479253,1100.0,1,1,57.0,Casco Histórico,,https://www.idealista.com/inmueble/109479253/
Alcalá de Henares,40.48166,-3.364136,108966566,1075.0,1,1,56.0,calle de Ramón y Cajal,,https://www.idealista.com/inmueble/108966566/
Alcalá de Henares,40.48166,-3.364136,110050019,1200.0,2,1,87.0,calle Antonio Suárez,,https://www.idealista.com/inmueble/110050019/
Alcalá de Henares,40.48166,-3.364136,99859775,1250.0,2,2,84.0,"Dámaso Alonso, 27",,https://www.idealista.com/inmueble/99859775/
Alcalá de Henares,40.48166,-3.364136,109117039,1150.0,1,1,50.0,calle Cruz de Guadalajara,,https://www.idealista.com/inmueble/109117039/
Alcalá de Henares,40.48166,-3.364136,109915466,1300.0,2,3,95.0,calle Carmen Descalzo,,https://www.idealista.com/inmueble/109915466/
Alcalá de Henares,40.48166,-3.364136,109915446,1125.0,1,2,55.0,calle Carmen Descalzo,,https://www.idealista.com/inmueble/109915446/
Alcalá de Henares,40.48166,-3.364136,109915435,1300.0,2,3,95.0,calle Carmen Descalzo,,https://www.idealista.com/inmueble/109915435/
Alcalá de Henares,40.48166,-3.364136,109915279,990.0,1,1,40.0,calle Carmen Descalzo,,https://www.idealista.com/inmueble/109915279/
Alcalá de Henares,40.48166,-3.364136,109915278,1125.0,1,2,55.0,calle Carmen Descalzo,,https://www.idealista.com/inmueble/109915278/
Alcalá de Henares,40.48166,-3.364136,107772724,1280.0,1,2,75.0,"calle Tinte, 15",,https://www.idealista.com/inmueble/107772724/
Alcalá de Henares,40.48166,-3.364136,109915579,1250.0,2,3,90.0,calle Don Juan I,,https://www.idealista.com/inmueble/109915579/
