municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Alcorcón,40.34912,-3.828811,110091788,1400.0,1,3,109.0,calle Porto Colón,Parque Lisboa - La Paz,https://www.idealista.com/inmueble/110091788/
Alcorcón,40.34912,-3.828811,110016350,1425.0,1,3,90.0,calle Olímpico Francisco Fernández Ochoa,Parque Ondarreta - Urtinsa,https://www.idealista.com/inmueble/110016350/
Alcorcón,40.34912,-3.828811,102395129,1300.0,1,2,76.0,calle Estocolmo,Parque oeste - Fuente Cisneros,https://www.idealista.com/inmueble/102395129/
Alcorcón,40.34912,-3.828811,110087678,1300.0,1,4,95.0,calle Zamora,Casco Antiguo,https://www.idealista.com/inmueble/110087678/
Alcorcón,40.34912,-3.828811,110082776,1450.0,2,2,105.0,calle las Gardenias,Valderas - Los Castillos,https://www.idealista.com/inmueble/110082776/
Alcorcón,40.34912,-3.828811,110028730,1100.0,1,3,65.0,calle la Cañada,Casco Antiguo,https://www.idealista.com/inmueble/110028730/
Alcorcón,40.34912,-3.828811,109844026,1200.0,1,3,62.0,calle Mérida,Zona Renfe,https://www.idealista.com/inmueble/109844026/
Alcorcón,40.34912,-3.828811,110010879,1600.0,2,3,102.0,"calle Liverpool, 15",Parque oeste - Fuente Cisneros,https://www.idealista.com/inmueble/110010879/
Alcorcón,40.34912,-3.828811,110063663,1295.0,1,2,70.0,calle Liverpool,Parque oeste - Fuente Cisneros,https://www.idealista.com/inmueble/110063663/
Alcorcón,40.34912,-3.828811,110019015,1455.0,2,3,95.0,calle Estocolmo,Parque oeste - Fuente Cisneros,https://www.idealista.com/inmueble/110019015/
Alcorcón,40.34912,-3.828811,109909759,1150.0,1,2,85.0,avenida de Lisboa,Parque Lisboa - La Paz,https://www.idealista.com/inmueble/109909759/
Alcorcón,40.34912,-3.828811,109839460,1300.0,2,2,73.0,calle Fuente Cisneros,Parque oeste - Fuente Cisneros,https://www.idealista.com/inmueble/109839460/
Alcorcón,40.34912,-3.828811,109749233,1650.0,2,4,97.0,calle Cabo de San Vicente,Parque Lisboa - La Paz,https://www.idealista.com/inmueble/109749233/
Alcorcón,40.34912,-3.828811,109974738,1100.0,1,1,60.0,avenida las Retamas,Prado de Santo Domingo,https://www.idealista.com/inmueble/109974738/
Alcorcón,40.34912,-3.828811,109918643,750.0,1,0,33.0,"calle Madrid, 16",Casco Antiguo,https://www.idealista.com/inmueble/109918643/
Alcorcón,40.34912,-3.828811,109788227,2200.0,3,3,216.0,calle Fuente Cisneros,Parque oeste - Fuente Cisneros,https://www.idealista.com/inmueble/109788227/
Alcorcón,40.34912,-3.828811,109962042,1200.0,1,2,80.0,calle Sierra de Alcubierre,Zona Centro Joven,https://www.idealista.com/inmueble/109962042/
Alcorcón,40.34912,-3.828811,94492671,1300.0,1,3,105.0,calle Timanfaya,Parque Lisboa - La Paz,https://www.idealista.com/inmueble/94492671/
Alcorcón,40.34912,-3.828811,109972231,1500.0,2,3,130.0,Barrio Valderas - Los Castillos,Valderas - Los Castillos,https://www.idealista.com/inmueble/109972231/
Alcorcón,40.34912,-3.828811,109849798,1400.0,2,2,81.0,avenida las Retamas,Prado de Santo Domingo,https://www.idealista.com/inmueble/109849798/
Alcorcón,40.34912,-3.828811,108776087,1600.0,2,4,137.0,Barrio Parque Lisboa - La Paz,Parque Lisboa - La Paz,https://www.idealista.com/inmueble/108776087/
Alcorcón,40.34912,-3.828811,110041249,1250.0,2,3,119.0,Barrio Prado de Santo Domingo,Prado de Santo Domingo,https://www.idealista.com/inmueble/110041249/
Alcorcón,40.34912,-3.828811,92798934,1250.0,1,3,85.0,plaza de Ondarreta,Parque Ondarreta - Urtinsa,https://www.idealista.com/inmueble/92798934/
Alcorcón,40.34912,-3.828811,97952355,975.0,1,1,54.0,Barrio Zona Renfe,Zona Renfe,https://www.idealista.com/inmueble/97952355/
Alcorcón,40.34912,-3.828811,109923170,1100.0,1,3,73.0,calle Río Ebro,Parque Ondarreta - Urtinsa,https://www.idealista.com/inmueble/109923170/
Alcorcón,40.34912,-3.828811,109649423,1000.0,1,2,80.0,calle Polvoranca,Casco Antiguo,https://www.idealista.com/inmueble/109649423/
