municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Alpedrete,40.65875,-4.023713,110094605,1100.0,2,2,84.0,calle Pardo de Santallana,,https://www.idealista.com/inmueble/110094605/
Alpedrete,40.65875,-4.023713,110085487,1100.0,1,2,65.0,Alpedrete,,https://www.idealista.com/inmueble/110085487/
Alpedrete,40.65875,-4.023713,109870363,2000.0,2,4,182.0,"calle de los Olivos, 6",,https://www.idealista.com/inmueble/109870363/
Alpedrete,40.65875,-4.023713,110058129,1100.0,1,3,70.0,calle de Semisierra,,https://www.idealista.com/inmueble/110058129/
Alpedrete,40.65875,-4.023713,109998351,890.0,1,1,69.0,calle del Padre Feijóo,,https://www.idealista.com/inmueble/109998351/
Alpedrete,40.65875,-4.023713,38125466,895.0,1,1,55.0,"calle cordel de valladolid, 6",,https://www.idealista.com/inmueble/38125466/
Alpedrete,40.65875,-4.023713,109901630,1200.0,2,3,92.0,camino del Calvario,,https://www.idealista.com/inmueble/109901630/
Alpedrete,40.65875,-4.023713,110059411,950.0,1,1,53.0,"calle Cordel de Valladolid, 6",,https://www.idealista.com/inmueble/110059411/
Alpedrete,40.65875,-4.023713,110049463,1100.0,2,3,80.0,Alpedrete,,https://www.idealista.com/inmueble/110049463/
Alpedrete,40.65875,-4.023713,109980913,850.0,1,1,53.0,calle del Caño,,https://www.idealista.com/inmueble/109980913/
Alpedrete,40.65875,-4.023713,110054834,1600.0,2,3,100.0,Alpedrete,,https://www.idealista.com/inmueble/110054834/
Alpedrete,40.65875,-4.023713,96351285,1050.0,1,3,95.0,Urbanización El Soto,,https://www.idealista.com/inmueble/96351285/
Alpedrete,40.65875,-4.023713,107381364,2500.0,2,3,325.0,Alpedrete,,https://www.idealista.com/inmueble/107381364/
