municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Boadilla del Monte,40.40525,-3.876992,109336237,4200.0,4,4,460.0,calle Isla de Tabarca,,https://www.idealista.com/inmueble/109336237/
Boadilla del Monte,40.40525,-3.876992,109854722,2150.0,2,3,160.0,Sector B,,https://www.idealista.com/inmueble/109854722/
Boadilla del Monte,40.40525,-3.876992,109324493,5250.0,2,3,224.0,avenida de la Condesa de Chinchón,,https://www.idealista.com/inmueble/109324493/
Boadilla del Monte,40.40525,-3.876992,108859067,2200.0,2,3,138.0,"avenida Isabel de Farnesio, 3",,https://www.idealista.com/inmueble/108859067/
Boadilla del Monte,40.40525,-3.876992,110090465,1990.0,2,3,100.0,calle Joaquín Zurita,,https://www.idealista.com/inmueble/110090465/
Boadilla del Monte,40.40525,-3.876992,110088950,2000.0,3,5,200.0,Casco Antiguo,,https://www.idealista.com/inmueble/110088950/
Boadilla del Monte,40.40525,-3.876992,94374058,1525.0,2,2,123.0,"cristobal colon, 4",,https://www.idealista.com/inmueble/94374058/
Boadilla del Monte,40.40525,-3.876992,108434332,4200.0,4,4,467.0,calle Isla de Tabarca,,https://www.idealista.com/inmueble/108434332/
Boadilla del Monte,40.40525,-3.876992,104798353,2550.0,2,3,129.0,calle Cristóbal Colón,,https://www.idealista.com/inmueble/104798353/
Boadilla del Monte,40.40525,-3.876992,93902530,1975.0,3,4,254.0,"Julio Caro Baroja, 5",,https://www.idealista.com/inmueble/93902530/
Boadilla del Monte,40.40525,-3.876992,102361988,1400.0,1,2,78.0,Convento,,https://www.idealista.com/inmueble/102361988/
Boadilla del Monte,40.40525,-3.876992,108900982,3000.0,4,4,225.0,Sector S,,https://www.idealista.com/inmueble/108900982/
Boadilla del Monte,40.40525,-3.876992,110008338,4200.0,3,4,468.0,calle Isla de Tabarca,,https://www.idealista.com/inmueble/110008338/
Boadilla del Monte,40.40525,-3.876992,109984210,2300.0,4,4,178.0,avenida Julio Fuentes,,https://www.idealista.com/inmueble/109984210/
Boadilla del Monte,40.40525,-3.876992,90222564,16500.0,7,5,953.0,Las Lomas,,https://www.idealista.com/inmueble/90222564/
Boadilla del Monte,40.40525,-3.876992,106258504,975.0,1,0,50.0,calle Juan Carlos I,,https://www.idealista.com/inmueble/106258504/
Boadilla del Monte,40.40525,-3.876992,36141454,2150.0,3,4,144.0,Infante Don Luis,,https://www.idealista.com/inmueble/36141454/
Boadilla del Monte,40.40525,-3.876992,109871273,2300.0,3,3,222.0,CL MIGUEL LOPEZ DE LEGAZPI,,https://www.idealista.com/inmueble/109871273/
Boadilla del Monte,40.40525,-3.876992,109985547,1900.0,2,3,154.0,Valenoso,,https://www.idealista.com/inmueble/109985547/
Boadilla del Monte,40.40525,-3.876992,109903376,1700.0,2,3,159.0,Sector B,,https://www.idealista.com/inmueble/109903376/
Boadilla del Monte,40.40525,-3.876992,109787139,1400.0,2,2,97.0,calle Juan Carlos I,,https://www.idealista.com/inmueble/109787139/
Boadilla del Monte,40.40525,-3.876992,103520347,5250.0,2,3,224.0,avenida CONDESA DE CHINCHON,,https://www.idealista.com/inmueble/103520347/
Boadilla del Monte,40.40525,-3.876992,109858200,2050.0,2,3,130.0,Sector B,,https://www.idealista.com/inmueble/109858200/
Boadilla del Monte,40.40525,-3.876992,107441403,2500.0,4,4,275.0,calle Valle de Tena,,https://www.idealista.com/inmueble/107441403/
Boadilla del Monte,40.40525,-3.876992,109891315,2100.0,3,3,186.0,"calle Gregorio Marañòn, 2",,https://www.idealista.com/inmueble/109891315/
Boadilla del Monte,40.40525,-3.876992,82161005,1700.0,2,3,150.0,"calle HERMANOS MACHADO, 2",,https://www.idealista.com/inmueble/82161005/
Boadilla del Monte,40.40525,-3.876992,110067689,2200.0,2,2,75.0,Valenoso,,https://www.idealista.com/inmueble/110067689/
Boadilla del Monte,40.40525,-3.876992,109801803,1900.0,2,3,130.0,avenida Julio Fuentes,,https://www.idealista.com/inmueble/109801803/
Boadilla del Monte,40.40525,-3.876992,109428083,3200.0,3,5,310.0,calle Isabel de Portugal,,https://www.idealista.com/inmueble/109428083/
Boadilla del Monte,40.40525,-3.876992,94752731,1100.0,1,1,50.0,juan carlos I,,https://www.idealista.com/inmueble/94752731/
Boadilla del Monte,40.40525,-3.876992,108619691,16000.0,8,6,670.0,Las Lomas,,https://www.idealista.com/inmueble/108619691/
Boadilla del Monte,40.40525,-3.876992,87953021,1900.0,2,3,120.0,Viñas Viejas,,https://www.idealista.com/inmueble/87953021/
Boadilla del Monte,40.40525,-3.876992,107877895,6500.0,5,4,359.0,calle Islas Canarias,,https://www.idealista.com/inmueble/107877895/
Boadilla del Monte,40.40525,-3.876992,109897039,1850.0,2,3,195.0,Sector S,,https://www.idealista.com/inmueble/109897039/
Boadilla del Monte,40.40525,-3.876992,109986213,1950.0,2,3,135.0,Viñas Viejas,,https://www.idealista.com/inmueble/109986213/
Boadilla del Monte,40.40525,-3.876992,109780908,1650.0,2,3,130.0,Sector S,,https://www.idealista.com/inmueble/109780908/
