municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Collado Villalba,40.62725,-4.008587,110099034,790.0,1,1,65.0,UR PEÑANEVADA I,,https://www.idealista.com/inmueble/110099034/
Collado Villalba,40.62725,-4.008587,110094605,1100.0,2,2,84.0,calle Pardo de Santallana,,https://www.idealista.com/inmueble/110094605/
Collado Villalba,40.62725,-4.008587,102241952,1000.0,1,1,75.0,"calle Juan XXIII, 17",,https://www.idealista.com/inmueble/102241952/
Collado Villalba,40.62725,-4.008587,110058129,1100.0,1,3,70.0,calle de Semisierra,,https://www.idealista.com/inmueble/110058129/
Collado Villalba,40.62725,-4.008587,109804304,2500.0,3,5,259.0,calle del Adriático,,https://www.idealista.com/inmueble/109804304/
Collado Villalba,40.62725,-4.008587,109826941,1200.0,2,3,102.0,CL MICA DE LA,,https://www.idealista.com/inmueble/109826941/
Collado Villalba,40.62725,-4.008587,38125466,895.0,1,1,55.0,"calle cordel de valladolid, 6",,https://www.idealista.com/inmueble/38125466/
Collado Villalba,40.62725,-4.008587,110059411,950.0,1,1,53.0,"calle Cordel de Valladolid, 6",,https://www.idealista.com/inmueble/110059411/
Collado Villalba,40.62725,-4.008587,32586751,850.0,1,1,50.0,calle DOCTOR JOSE MARIA POVEDA,,https://www.idealista.com/inmueble/32586751/
Collado Villalba,40.62725,-4.008587,109397604,1150.0,1,2,80.0,calle Santa Teresa de Jesús s/n,,https://www.idealista.com/inmueble/109397604/
Collado Villalba,40.62725,-4.008587,97230375,1100.0,1,3,93.0,"calle Pereda, 2",,https://www.idealista.com/inmueble/97230375/
Collado Villalba,40.62725,-4.008587,102863991,1025.0,2,2,70.0,"Charco de la Peña, 8",,https://www.idealista.com/inmueble/102863991/
Collado Villalba,40.62725,-4.008587,109756049,850.0,1,1,51.0,calle Isla de Lobeira,,https://www.idealista.com/inmueble/109756049/
Collado Villalba,40.62725,-4.008587,109965218,1275.0,2,2,128.0,calle Calleja Oscura,,https://www.idealista.com/inmueble/109965218/
Collado Villalba,40.62725,-4.008587,96351285,1050.0,1,3,95.0,Urbanización El Soto,,https://www.idealista.com/inmueble/96351285/
Collado Villalba,40.62725,-4.008587,107381364,2500.0,2,3,325.0,Alpedrete,,https://www.idealista.com/inmueble/107381364/
