municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Colmenar Viejo,40.65895,-3.766043,110097403,850.0,1,2,76.0,Centro,,https://www.idealista.com/inmueble/110097403/
Colmenar Viejo,40.65895,-3.766043,110093441,1015.0,2,2,67.0,calle del Talgo,,https://www.idealista.com/inmueble/110093441/
Colmenar Viejo,40.65895,-3.766043,110093439,1105.0,2,2,83.0,paseo de la Ermita de Santa Ana,,https://www.idealista.com/inmueble/110093439/
Colmenar Viejo,40.65895,-3.766043,110093471,1275.0,1,2,71.0,calle de la Estación de Chamartín,,https://www.idealista.com/inmueble/110093471/
Colmenar Viejo,40.65895,-3.766043,109825736,3500.0,3,4,381.0,Cerca Tejera,,https://www.idealista.com/inmueble/109825736/
Colmenar Viejo,40.65895,-3.766043,109575729,1250.0,1,1,90.0,San Crispín - La Estación Consorcio,,https://www.idealista.com/inmueble/109575729/
Colmenar Viejo,40.65895,-3.766043,109920347,1125.0,1,2,71.0,calle de la Estación de Chamartín,,https://www.idealista.com/inmueble/109920347/
Colmenar Viejo,40.65895,-3.766043,109067736,875.0,1,1,59.0,calle de las Carretas,,https://www.idealista.com/inmueble/109067736/
Colmenar Viejo,40.65895,-3.766043,109124804,1900.0,3,4,192.0,"calle del Doctor Torres Feced, 20",,https://www.idealista.com/inmueble/109124804/
Colmenar Viejo,40.65895,-3.766043,84028072,900.0,1,3,78.0,"calle del Río Duero, 32",,https://www.idealista.com/inmueble/84028072/
Colmenar Viejo,40.65895,-3.766043,108093803,1050.0,1,2,70.0,calle del Transcantábrico,,https://www.idealista.com/inmueble/108093803/
Colmenar Viejo,40.65895,-3.766043,110028857,2000.0,4,5,185.0,San Andrés,,https://www.idealista.com/inmueble/110028857/
Colmenar Viejo,40.65895,-3.766043,102396402,1150.0,2,3,107.0,Santa Teresa,,https://www.idealista.com/inmueble/102396402/
Colmenar Viejo,40.65895,-3.766043,109667906,1500.0,2,3,220.0,calle de la Hierbabuena,,https://www.idealista.com/inmueble/109667906/
Colmenar Viejo,40.65895,-3.766043,29255929,1400.0,2,4,135.0,"avenida Mediterraneo, 40",,https://www.idealista.com/inmueble/29255929/
Colmenar Viejo,40.65895,-3.766043,109329477,1050.0,1,2,79.0,Centro,,https://www.idealista.com/inmueble/109329477/
Colmenar Viejo,40.65895,-3.766043,109303702,800.0,1,1,69.0,Centro,,https://www.idealista.com/inmueble/109303702/
Colmenar Viejo,40.65895,-3.766043,109690398,850.0,1,2,66.0,Centro,,https://www.idealista.com/inmueble/109690398/
