municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Coslada,40.42594,-3.565464,110098245,1500.0,1,2,120.0,calle de Nanclares de Oca,Rejas,https://www.idealista.com/inmueble/110098245/
Coslada,40.42594,-3.565464,107765214,1700.0,2,3,100.0,calle del Océano Atlántico,,https://www.idealista.com/inmueble/107765214/
Coslada,40.42594,-3.565464,110094144,1300.0,1,2,82.0,calle de Pirra,Rejas,https://www.idealista.com/inmueble/110094144/
Coslada,40.42594,-3.565464,110092613,1150.0,1,2,80.0,Coslada Pueblo,,https://www.idealista.com/inmueble/110092613/
Coslada,40.42594,-3.565464,110091657,1200.0,1,1,61.0,Barrio Rejas,Rejas,https://www.idealista.com/inmueble/110091657/
Coslada,40.42594,-3.565464,110063018,1250.0,1,3,80.0,"plaza de Uruguay, 11",,https://www.idealista.com/inmueble/110063018/
Coslada,40.42594,-3.565464,110083338,1300.0,1,2,91.0,Centro,,https://www.idealista.com/inmueble/110083338/
Coslada,40.42594,-3.565464,110076858,1500.0,2,3,85.0,calle de Jesús de San Antonio,,https://www.idealista.com/inmueble/110076858/
Coslada,40.42594,-3.565464,109101560,1950.0,1,1,50.0,calle de Campezo,Rejas,https://www.idealista.com/inmueble/109101560/
Coslada,40.42594,-3.565464,109947209,2200.0,1,3,75.0,calle de Carmen Laforet s/n,Rejas,https://www.idealista.com/inmueble/109947209/
Coslada,40.42594,-3.565464,102680944,1499.0,2,2,145.0,calle de Nanclares de Oca,Rejas,https://www.idealista.com/inmueble/102680944/
Coslada,40.42594,-3.565464,109926761,1150.0,2,2,75.0,calle Francisca de Torres Catalán,Ambroz,https://www.idealista.com/inmueble/109926761/
Coslada,40.42594,-3.565464,109979256,1695.0,2,3,120.0,calle de la Sanidad Pública,,https://www.idealista.com/inmueble/109979256/
Coslada,40.42594,-3.565464,105901293,1895.0,2,2,90.0,"calle Arroyo del Cañaveral, 66",El Cañaveral,https://www.idealista.com/inmueble/105901293/
Coslada,40.42594,-3.565464,106013739,1145.0,1,1,47.0,"calle de Samaniego, 12",Rejas,https://www.idealista.com/inmueble/106013739/
Coslada,40.42594,-3.565464,110069557,1295.0,1,3,110.0,calle de Méjico,,https://www.idealista.com/inmueble/110069557/
Coslada,40.42594,-3.565464,89918778,1150.0,2,2,81.0,"DEYANIRA, 59",Rejas,https://www.idealista.com/inmueble/89918778/
Coslada,40.42594,-3.565464,109321825,1345.0,1,1,49.0,"calle Arroyo del Cañaveral, 66",El Cañaveral,https://www.idealista.com/inmueble/109321825/
Coslada,40.42594,-3.565464,109313798,1550.0,1,1,64.0,"calle Arroyo del Cañaveral, 64",El Cañaveral,https://www.idealista.com/inmueble/109313798/
Coslada,40.42594,-3.565464,106452329,1345.0,1,1,49.0,"calle Arroyo del Cañaveral, 66",El Cañaveral,https://www.idealista.com/inmueble/106452329/
Coslada,40.42594,-3.565464,107346070,1395.0,1,1,49.0,"calle Arroyo del Cañaveral, 66",El Cañaveral,https://www.idealista.com/inmueble/107346070/
Coslada,40.42594,-3.565464,109316016,1345.0,1,1,52.0,"calle Arroyo del Cañaveral, 64",El Cañaveral,https://www.idealista.com/inmueble/109316016/
Coslada,40.42594,-3.565464,109889539,1100.0,2,2,70.0,calle de Santiago,,https://www.idealista.com/inmueble/109889539/
Coslada,40.42594,-3.565464,110013259,1600.0,2,3,113.0,Barrio Rejas,Rejas,https://www.idealista.com/inmueble/110013259/
Coslada,40.42594,-3.565464,109763964,1200.0,2,3,90.0,plaza Fábrica de Paños,,https://www.idealista.com/inmueble/109763964/
Coslada,40.42594,-3.565464,109696083,1300.0,1,1,105.0,calle de Nanclares de Oca,Rejas,https://www.idealista.com/inmueble/109696083/
Coslada,40.42594,-3.565464,109514934,1150.0,1,1,81.0,"calle de Nanclares de Oca, 1",Rejas,https://www.idealista.com/inmueble/109514934/
Coslada,40.42594,-3.565464,87275563,3500.0,6,5,300.0,"calle de Fuencemillán, Madrid",Rejas,https://www.idealista.com/inmueble/87275563/
Coslada,40.42594,-3.565464,109978520,2399.0,2,3,138.0,calle de Yécora,Rejas,https://www.idealista.com/inmueble/109978520/
Coslada,40.42594,-3.565464,103919081,850.0,1,1,50.0,"calle de Deyanira, 59",Rejas,https://www.idealista.com/inmueble/103919081/
Coslada,40.42594,-3.565464,108848120,1250.0,1,1,60.0,calle de Arcaute,Rejas,https://www.idealista.com/inmueble/108848120/
Coslada,40.42594,-3.565464,109910860,1000.0,1,2,86.0,avenida de Francfort,,https://www.idealista.com/inmueble/109910860/
Coslada,40.42594,-3.565464,108729395,1200.0,1,1,81.0,calle de Nanclares de Oca,Rejas,https://www.idealista.com/inmueble/108729395/
Coslada,40.42594,-3.565464,110011785,1350.0,1,1,82.0,calle de Nanclares de Oca,Rejas,https://www.idealista.com/inmueble/110011785/
Coslada,40.42594,-3.565464,103641597,949.0,1,1,55.0,calle Belfast,Rejas,https://www.idealista.com/inmueble/103641597/
Coslada,40.42594,-3.565464,109856682,1750.0,2,3,111.0,Montserrat - Parque Empresarial,,https://www.idealista.com/inmueble/109856682/
Coslada,40.42594,-3.565464,110033273,650.0,1,0,29.0,calle de Julio,Rejas,https://www.idealista.com/inmueble/110033273/
Coslada,40.42594,-3.565464,102036041,1200.0,2,3,105.0,Valleaguado - La Cañada,,https://www.idealista.com/inmueble/102036041/
