municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Escorial (El),40.58508,-4.12952,110097260,1400.0,2,2,80.0,calle Floridablanca,,https://www.idealista.com/inmueble/110097260/
Escorial (El),40.58508,-4.12952,109505517,1300.0,1,1,84.0,calle Floridablanca,,https://www.idealista.com/inmueble/109505517/
Escorial (El),40.58508,-4.12952,110091753,900.0,1,2,54.0,Centro,,https://www.idealista.com/inmueble/110091753/
Escorial (El),40.58508,-4.12952,110088166,1900.0,3,4,153.0,CL QUINTAMORA,,https://www.idealista.com/inmueble/110088166/
Escorial (El),40.58508,-4.12952,110055732,1300.0,2,2,107.0,calle Duque de Medinaceli,,https://www.idealista.com/inmueble/110055732/
Escorial (El),40.58508,-4.12952,110055729,1400.0,2,2,118.0,calle Duque de Medinaceli,,https://www.idealista.com/inmueble/110055729/
Escorial (El),40.58508,-4.12952,110058134,650.0,1,1,52.0,calle Calvario,,https://www.idealista.com/inmueble/110058134/
Escorial (El),40.58508,-4.12952,110013130,800.0,1,2,50.0,CL POZAS,,https://www.idealista.com/inmueble/110013130/
Escorial (El),40.58508,-4.12952,109755748,1050.0,2,3,99.0,calle de Iglesia,,https://www.idealista.com/inmueble/109755748/
Escorial (El),40.58508,-4.12952,109578205,1000.0,2,2,92.0,calle Xavier Cabello Lapiedra,,https://www.idealista.com/inmueble/109578205/
Escorial (El),40.58508,-4.12952,97258730,925.0,2,3,87.0,hermanos alvarez quintero,,https://www.idealista.com/inmueble/97258730/
Escorial (El),40.58508,-4.12952,36523722,3000.0,3,4,278.0,Centro - Casco Histórico,,https://www.idealista.com/inmueble/36523722/
Escorial (El),40.58508,-4.12952,109712542,1700.0,2,4,163.0,CL JOAQUIN COSTA,,https://www.idealista.com/inmueble/109712542/
Escorial (El),40.58508,-4.12952,109687436,1350.0,2,2,90.0,calle Juan de Toledo,,https://www.idealista.com/inmueble/109687436/
Escorial (El),40.58508,-4.12952,109893808,1200.0,2,3,112.0,CL VELAZQUEZ,,https://www.idealista.com/inmueble/109893808/
Escorial (El),40.58508,-4.12952,109966473,1250.0,2,3,95.0,calle Juan de Austria,,https://www.idealista.com/inmueble/109966473/
Escorial (El),40.58508,-4.12952,99001173,700.0,1,1,60.0,ROMERAL,,https://www.idealista.com/inmueble/99001173/
Escorial (El),40.58508,-4.12952,110026303,2000.0,2,3,115.0,Jardín de los Reyes - Parque Real,,https://www.idealista.com/inmueble/110026303/
Escorial (El),40.58508,-4.12952,107207453,1300.0,2,5,137.0,Centro,,https://www.idealista.com/inmueble/107207453/
Escorial (El),40.58508,-4.12952,37579859,850.0,1,0,42.0,calle Retama,,https://www.idealista.com/inmueble/37579859/
Escorial (El),40.58508,-4.12952,109951785,790.0,1,1,55.0,calle de José Andrés,,https://www.idealista.com/inmueble/109951785/
Escorial (El),40.58508,-4.12952,109698868,900.0,1,0,62.0,Centro - Casco Histórico,,https://www.idealista.com/inmueble/109698868/
