municipio,municipio_lat,municipio_lon,propertyCode,precio,banos,habitaciones,tamano_m2,direccion,barrio,url
Getafe,40.30498,-3.732677,110096716,1500.0,1,3,99.0,calle Alonso de Covarrubias,,https://www.idealista.com/inmueble/110096716/
Getafe,40.30498,-3.732677,104784878,1753.0,1,3,60.0,"calle Sánchez Morate, 27",,https://www.idealista.com/inmueble/104784878/
Getafe,40.30498,-3.732677,105638724,895.0,1,2,74.0,La Alhóndiga,,https://www.idealista.com/inmueble/105638724/
Getafe,40.30498,-3.732677,109585796,1310.0,1,4,65.0,Getafe norte,,https://www.idealista.com/inmueble/109585796/
Getafe,40.30498,-3.732677,109369148,1165.0,1,3,60.0,El Bercial,,https://www.idealista.com/inmueble/109369148/
Getafe,40.30498,-3.732677,109053169,980.0,1,2,54.0,La Alhóndiga,,https://www.idealista.com/inmueble/109053169/
Getafe,40.30498,-3.732677,109473543,1125.0,1,3,51.0,Universidad,,https://www.idealista.com/inmueble/109473543/
Getafe,40.30498,-3.732677,110090885,1100.0,1,2,79.0,Getafe Centro,,https://www.idealista.com/inmueble/110090885/
Getafe,40.30498,-3.732677,110090713,4200.0,5,11,386.0,calle Islas Tonga,,https://www.idealista.com/inmueble/110090713/
Getafe,40.30498,-3.732677,110087960,1250.0,2,2,80.0,Getafe Centro,,https://www.idealista.com/inmueble/110087960/
Getafe,40.30498,-3.732677,110079497,1350.0,1,3,70.0,avenida Juan de la Cierva,,https://www.idealista.com/inmueble/110079497/
Getafe,40.30498,-3.732677,110078891,1500.0,1,3,70.0,calle Doctor Barraquer,,https://www.idealista.com/inmueble/110078891/
Getafe,40.30498,-3.732677,109923733,1350.0,1,3,69.0,avenida Aragón,,https://www.idealista.com/inmueble/109923733/
Getafe,40.30498,-3.732677,108247707,1060.0,1,1,52.0,"paseo de la estación, 29",,https://www.idealista.com/obra-nueva/108247707/
Getafe,40.30498,-3.732677,108764676,1695.0,2,3,127.0,"paseo de la estación, 29",,https://www.idealista.com/obra-nueva/108764676/
Getafe,40.30498,-3.732677,108247088,1730.0,2,3,140.0,"paseo de la estación, 29",,https://www.idealista.com/obra-nueva/108247088/
Getafe,40.30498,-3.732677,106464338,1450.0,2,3,113.0,"de la Estación, 25",,https://www.idealista.com/obra-nueva/106464338/
Getafe,40.30498,-3.732677,109238664,1050.0,1,2,66.0,"de la Estación, 25",,https://www.idealista.com/obra-nueva/109238664/
Getafe,40.30498,-3.732677,105584168,1160.0,2,2,74.0,"de la Estación, 25",,https://www.idealista.com/obra-nueva/105584168/
Getafe,40.30498,-3.732677,108191652,1380.0,2,3,98.0,"paseo de la estación, 29",,https://www.idealista.com/obra-nueva/108191652/
Getafe,40.30498,-3.732677,108191494,1060.0,1,1,61.0,"paseo de la estación, 29",,https://www.idealista.com/obra-nueva/108191494/
Getafe,40.30498,-3.732677,109258221,1180.0,2,2,75.0,"de la Estación, 25",,https://www.idealista.com/obra-nueva/109258221/
Getafe,40.30498,-3.732677,100836566,1250.0,2,2,86.0,calle Ramón Rubial,,https://www.idealista.com/inmueble/100836566/
Getafe,40.30498,-3.732677,110060800,1035.0,1,1,52.0,calle de Lina Odena,,https://www.idealista.com/inmueble/110060800/
Getafe,40.30498,-3.732677,110046796,1275.0,2,3,100.0,avenida de Javier Bueno,,https://www.idealista.com/inmueble/110046796/
Getafe,40.30498,-3.732677,108764861,1310.0,2,2,86.0,"paseo de la estación, 29",,https://www.idealista.com/obra-nueva/108764861/
Getafe,40.30498,-3.732677,109960649,1110.0,1,1,49.0,calle de Lina Odena,,https://www.idealista.com/inmueble/109960649/
Getafe,40.30498,-3.732677,99623530,1500.0,2,2,149.0,calle magadalena s/n,,https://www.idealista.com/inmueble/99623530/
Getafe,40.30498,-3.732677,108336317,1080.0,2,3,102.0,Buenavista,,https://www.idealista.com/obra-nueva/108336317/
