has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,labels,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopmentFinished,newDevelopment,latitude,suggestedTexts,externalReference,status,parkingSpace,address
False,chalet,False,False,184.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/87/ee/1175836635.jpg,True,False,3,nan,375000.0,2038.0,nan,3,es,"INMÔÔ, we present you exclusively: Welcome to the home of your dreams in Ajalvir! We present to you this spectacular three-story house that redefines elegance and comfort. With an irresistible price of 385,000 euros, it is the opportunity you have been waiting for. It stands out for its spaciousness and luminosity. Enjoy a large living room that is illuminated by natural light, creating a cozy and warm atmosphere for the whole family. It has a functional layout of three spacious bedrooms, three large bathrooms and an intelligent layout over three floors, each space has been carefully designed to maximize comfort and functionality. It has a large and spacious kitchen with pantry and laundry, where meals will extend into pleasant after-meals and memorable dinners. Imagine enjoying your mornings or afternoons in a spacious garden, a perfect outdoor place to relax, organize dinners or simply enjoy all year round thanks to its pergola with a glass enclosure. You can also protect your vehicle in a large private garage that offers additional comfort and security. The versatility of the attic is an additional space that you can adapt according to your needs: a study, games room or even a quiet corner to work from home, mention also the huge dressing room it has. Located in the town of Ajalvir, this house gives you the tranquility of a residential environment, with easy access to local services, schools and recreational areas. Live in a place that balances urban convenience with the serenity of a natural environment. Don't miss this unique opportunity to acquire your ideal home. Contact us now to schedule a showing and discover all the wonders this home has to offer!",sale,Ajalvir,False,https://www.idealista.com/inmueble/103033984/,-3.4755654,False,59,nan,nan,False,103033984,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.5325947,{'title': 'Terraced house'},nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Ajalvir
True,chalet,False,True,142.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/dc/8a/1154531013.jpg,False,True,3,nan,275000.0,1937.0,nan,3,es,"SEMI-DETACHED HOUSE IN AJALVIR! Located in a very quiet area of the town and consisting of the following distribution On the ground floor, the hall, with a built-in wardrobe and entrance to the spacious living room with a pantry under the stairwell. The kitchen, equipped with base units and basic appliances A bathroom, with pre-installation for the placement of a bathtub and currently used as a laundry area On the upper floor, three bedrooms, all with fitted wardrobes and the main one, with an en-suite bathroom. In addition, another bathroom with a shower tray, for the rest of the rooms. The most striking thing about this house is in the highest area, the 62 m² solarium, perfectly conditioned, with electricity and water supply and which will offer us great relief. Ajalvir is a municipality in the Community of Madrid, in the Corredor del Henares, very well connected with other towns. By public transport, lines such as number 256 to Canillejas in 20 minutes and lines 251 and 252 that include Ajalvir, Alcalá de Henares and Torrejón de Ardoz on their route. The area has services such as a school and institute, supermarkets, a medical center and restaurants. Interesting? Come and check it out for yourself.",sale,Ajalvir,False,https://www.idealista.com/inmueble/102403768/,-3.4849594,False,58,nan,nan,False,102403768,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.5378176,{'title': 'Terraced house in San Sebastián'},4330,good,nan,San Sebastián
False,duplex,False,True,219.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/f2/10/1200126653.jpg,False,True,4,True,320000.0,1461.0,nan,3,es,"BEAUTIFUL DUPLEX IN AJALVIR WITH BEDROOMS ON THE GROUND FLOOR! Located in a gated community, with common areas and swimming pool, which we describe below. On the ground floor, a spacious and very bright living room with two balconies that provide a lot of clarity and with views of the gardened and closed area. The kitchen, provided with high and low furniture and basic appliances. Two bedrooms with built-in wardrobes. One of them, the main one, with an en-suite bathroom and whirlpool bathtub. Again, another bathroom, for the rest of the rooms. On the upper floor, open space as a living room Two attic bedrooms with built-in wardrobes under cover and the bathroom with exterior window and storage area The property has two parking spaces included in the price and access via elevator. Ajalvir is a municipality in the Community of Madrid, in the Henares Corridor, very well connected to other towns. By public transport, lines such as number 256 to Canillejas in 20 minutes and lines 251 and 252 that include Ajalvir, Alcalá de Henares and Torrejón de Ardoz on their route. The area has services such as school and institute, supermarkets, medical center and restaurants. It's your chance! Ask without obligation!",sale,Ajalvir,False,https://www.idealista.com/inmueble/103787421/,-3.4821695,False,77,2,True,False,103787421,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,False,40.5346571,{'title': 'Duplex in Calle Mariano Hebrero'},4416,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Mariano Hebrero
True,flat,False,True,79.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/b6/01/1191642819.jpg,False,False,2,True,230000.0,2911.0,nan,1,es,"GROUND APARTMENT IN AJALVIR! We already have it here, the property you were waiting for! Great ground floor apartment with a large 39 m² paved patio with an awning, located in a gated community with common areas such as a swimming pool. It consists of a very bright living room, due to its two large windows and exit to the patio. Kitchen provided with wall and base furniture and basic appliances, and also with access to the patio Two bedrooms, both with built-in wardrobes The bathroom with a bathtub, which will serve the rooms of this house The price includes a parking space in the same building Ajalvir is a municipality in the Community of Madrid, in the Henares Corridor, very well connected to other towns. By public transport, lines such as number 256 to Canillejas in 20 minutes and lines 251 and 252 that include Ajalvir, Alcalá de Henares and Torrejón de Ardoz on their route. The area has services such as school and institute, supermarkets, medical center and restaurants. Interesting? Come and see for yourself.",sale,Ajalvir,False,https://www.idealista.com/inmueble/103505905/,-3.4813623,False,60,bj,True,False,103505905,Madrid,{'typology': 'flat'},nan,False,40.5331598,{'title': 'Flat in Julia Castro'},4361,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Julia Castro
True,duplex,False,True,150.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/c0/14/1006225705.jpg,False,False,3,True,275000.0,1833.0,nan,3,es,"Fantastic opportunity! Large duplex completely redistributed and renovated with 3 bedrooms, 2 bathrooms, 1 toilet and garage. This home has the following distribution: The entrance door is located on the upper floor, where we have a hall, a large 25m² kitchen equipped with air conditioning, a small pantry and a toilet on this floor. On the lower floor, there is the 27m² living room with access to a small terrace. We also have 3 double bedrooms on this floor. The main one is a suite with a full bathroom with a shower. We have another bathroom with a bathtub for shared use. Garage space in community parking on the ground floor. Completely renovated house. Qualities: heating throughout the house by Natural Gas, smooth paint, parquet and stoneware floors, vaporized beech doors, white aluminum windows with Climalit, intercom on both floors. Newly installed elevator, operational before the end of this year. Located next to parks, supermarkets, local businesses, town hall, medical center and public transportation. Excellent communication with the A-1 and A-2 roads through the M-50. Don't miss this opportunity and come see this home or call us for more information. WE DO NOT CHARGE MANAGEMENT COSTS TO THE BUYING PARTY.",sale,Ajalvir,False,https://www.idealista.com/inmueble/98271847/,-3.4825423,False,41,1,False,True,98271847,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,False,40.5316621,{'title': 'Duplex in Juan Carlos i'},0715,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Juan Carlos I
True,duplex,False,True,117.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/83/1b/1178726971.jpg,False,False,2,nan,196000.0,1675.0,nan,2,es,"INMOFACIL ***SELLS*** MAGNIFICENT RENOVATED DUPLEX LOCATED IN THE TOWN OF AJALVIR IN THE NORTHEAST AREA OF MADRID. (AGENCY EXPENSES INCLUDED) Magnificent Duplex of 117m2 built, located on the 1st floor of the building, all exterior, facing East, is distributed in: First floor of 40 m2: consists of a hall with a small wardrobe, a large independent living room, a kitchen furnished and equipped with basic appliances and with access to a clothesline, 1 toilet serving the first floor, and an oak staircase with access to the second floor. Second floor of 35 m2: 2 bedrooms with built-in wardrobes, and a small shoe rack in the main room, 1 full bathroom EXCELLENT QUALITIES, stoneware floors in the bathroom and kitchen, with flooring in the rest of the house, double glazed windows with thermal break, white lacquered doors, individual gas heating, split air conditioning hot and cold in the main room. Garage and storage room included in the price. Building without elevator. Located in an urbanization with a swimming pool. Located in a quiet area with all services, with good communication with access to M-113, M108, M100, M-50, A-2 and Radial, with several EMT Interurban bus lines such as lines 251 (Torrejón-Valdeavero- Alcalá), 252 (Torrejón-Daganzo-Alcalá), 256 (Madrid-Daganzo), COME SEE IT YOU WILL LOVE IT! For more information call or consult our website with*** REF. V805*** THE SALE PRICE DOES NOT INCLUDE PURCHASE EXPENSES (PATRIMONIAL TRANSFER TAXES, NOTARY-MANAGEMENT, REGISTRATION).",sale,Ajalvir,False,https://www.idealista.com/inmueble/102976750/,-3.474492,False,36,1,False,True,102976750,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,False,40.5364166,{'title': 'Duplex in Calle Avellano'},V805,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Avellano
True,flat,False,True,65.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/6b/3f/1184965534.jpg,False,True,1,True,188700.0,2903.0,nan,1,es,"WE DO NOT CHARGE FEES TO THE BUYING PARTY Great apartment with terrace and in an urbanization with a pool. Fantastic 65m² apartment with 1 large bedroom with a built-in wardrobe in the front wall with more than 4 meters. Living room with direct access to the 22m² patio private to the home; Kitchen furnished with basic appliances, which also has access to the patio, large bathroom with bathtub. The house is sold with a garage space at the same price, being different properties. Good qualities, smooth paint, parquet floors, bars in the house, removable awning on the terrace. Northeast orientation. Do not hesitate and contact us, we will inform you of all the details of this fantastic apartment. Great opportunity for your quality of life and with all the services at your fingertips. The sales prices do not include legal taxes or deed expenses.",sale,Ajalvir,False,https://www.idealista.com/inmueble/103135840/,-3.4817346,False,21,bj,True,False,103135840,Madrid,{'typology': 'flat'},nan,False,40.5347808,{'title': 'Flat in Calle Mariano Hebrero'},EP2161,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Mariano Hebrero
False,flat,False,False,83.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/04/c9/1203213905.jpg,False,True,2,True,216000.0,2602.0,nan,1,es,"Are you looking for a home in Ajalvir, Madrid? This is your chance. For sale this home that is located in an Urbanization with a swimming pool and parking space. It has a constructed area of 83 square meters, 2 bedrooms, 1 bathroom, balcony, living room. It also has built-in wardrobes, air conditioning It is in excellent condition and ready to move into. The location of this home is ideal, in the quiet town of Ajalvir, Madrid and only 10 minutes by public transport from the Parque Corredor Shopping Center. Ajalvir is known for its beautiful landscapes and welcoming atmosphere, making it an ideal place to set up home. In addition, this area offers a wide variety of services and amenities. From supermarkets and restaurants to parks and educational centers, everything you need to live comfortably is just a few minutes away. If you are interested in this home, do not hesitate to contact us for more information or to schedule a visit. Don't miss this opportunity to acquire the home of your dreams in Ajalvir, Madrid! Ask us about our House Change Plan and Financing Services.",sale,Ajalvir,False,https://www.idealista.com/inmueble/103885199/,-3.4806675,False,29,1,True,False,103885199,Madrid,{'typology': 'flat'},nan,False,40.5334733,{'title': 'Flat in Calle Julia Castro'},N02-EME-14152,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Julia Castro
True,flat,False,False,66.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/04/e2/1178835755.jpg,False,False,1,True,169000.0,2561.0,nan,1,es,"WE DO NOT CHARGE FEES TO BUYERS. Acota Real Estate sells a beautiful 1-bedroom apartment with elevator located in the old town of Ajalvir. The property located on the first floor consists of 60 m2 built, distributed in a living-dining room with a balcony and views of the street, a separate kitchen, a bathroom and a double bedroom. The price includes a garage space and community bicycle room. It is in perfect condition to move into, with excellent qualities, wooden floors, white lacquered doors and double glazed windows. Totally exterior, enjoying good views. Private property with few neighbors. The location is unbeatable as it is in the old town of the town, also located in a very quiet area from noise and traffic. Well connected with a bus stop a few meters away. WE DO NOT CHARGE FEES TO THE BUYER.",sale,Ajalvir,False,https://www.idealista.com/inmueble/101439141/,-3.4806542,False,27,1,True,False,101439141,Madrid,{'typology': 'flat'},nan,False,40.5352513,{'title': 'Flat in Calle Fuente'},ACO-GV599,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Fuente
False,chalet,False,True,183.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/86/6c/1153452488.jpg,False,False,4,nan,375000.0,2049.0,nan,3,es,"Exclusive project of elegant, contemporary and functional architecture combined with top quality materials, avant-garde finishes and energy efficient construction, which give rise to versatile spaces with spaciousness, light and comfort. ONZE RESIDENCIAL offers you to live in AJALVIR, where you can enjoy peace and tranquility without giving up the services and amenities of the city. It is located in a privileged residential location, with a perfect enclave where you can enjoy a quiet and familiar atmosphere 30 minutes from Madrid. The project consists of 11 single-family homes with 4 bedrooms on plots from 150 to 226 m2, with a garden. The access to the house through wide entrances with a parking area, together with its elegant architecture and finishes, give the complex great style and presence, inviting you to discover its interior, where functionality, spaciousness and light are the main protagonists. that make ONZE RESIDENCIAL the perfect place to create your home. Being energy efficiency a priority, the house enjoys an A rating thanks to its air conditioning through underfloor heating and cooling by Aerothermal energy.",sale,Ajalvir,False,https://www.idealista.com/obra-nueva/102982602/,-3.4819639,True,32,nan,nan,False,102982602,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,True,40.5371854,{'title': 'Terraced house in Calle Francisco de Goya no number'},4.08,newdevelopment,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Francisco de Goya no number
