country,priceByArea,floor,newDevelopmentFinished,municipality,bathrooms,propertyCode,longitude,parkingSpace,externalReference,topNewDevelopment,hasVideo,showAddress,size,description,newDevelopment,suggestedTexts,propertyType,hasStaging,latitude,labels,address,has3DTour,topPlus,numPhotos,url,operation,hasPlan,has360,thumbnail,province,status,detailedType,exterior,hasLift,price,rooms,district
es,2158.0,nan,nan,Alcalá de Henares,3,103730221,-3.3727153,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5935,False,False,False,212.0,"ALCALÁ INMOBILIARIA sells an exclusive semi-detached house in the best area of the expansion of Alcalá de Henares.   We access the house from the front porch, with approximately 30 meters and a built-in barbecue, to the entrance hall, in front there is a furnished kitchen, equipped with space for a table, a large window that provides a lot of light and gives access to a direct patio of about 25 meters. This first floor has a full bathroom with a shower, a large living room, the garage that is used as a living room and a 24-meter wine cellar with a bar and sink ready to enjoy moments with friends or family. Going up the stairs to the left we find the large master bedroom with an en-suite bathroom with screen and hydromassage and a built-in wardrobe. To the right are 3 more bedrooms with built-in wardrobes and a full bathroom. On the third floor there is a cozy attic with its velux and space for a pleasant living room and a bedroom. The interior and exterior garage door is motorized. The house in perfect condition has natural gas heating, air conditioning, oak doors, marble and parquet floors, white double glazed windows and bars on the first floor. The expansion of Alcalá de Henares is one of the most sought-after areas for its wide avenues and parks with green areas. It has all the services in its surroundings, a health and specialty center, several public and private schools, as well as various faculties. It has several shopping and dining areas within walking distance, as well as a convenient public transport network and easy access to the A2. If you are demanding and are looking for the perfect home, call us to make an appointment, because this is your true ideal home.   The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses. WE DO NOT CHARGE THE BUYER AND WE HELP YOU FIND THE BEST FINANCING.",False,"{'subtitle': 'Ensanche, Alcalá de Henares', 'title': 'House'}",chalet,False,40.4978616,nan,Ensanche,True,False,97,https://www.idealista.com/inmueble/103730221/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/4f/79/1198379337.jpg,Madrid,good,{'typology': 'chalet'},nan,nan,457600.0,5,Ensanche
es,2337.0,bj,nan,Alcalá de Henares,2,103744209,-3.380141,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5936,False,False,False,175.0,"ALCALÁ INMOBILIARIA EXCLUSIVELY sells a spectacular ground floor apartment with a 23-meter corner garden in the private urbanization Isla de Arosa in Alcalá de Henares.It consists of 175m² of constructed area (according to registration), of which 100m² correspond to the house, 35m² to the garage, 9.96m² to the storage room.(Optional second parking space) The apartment was delivered in January 2019 as a new construction with a current design by the prestigious architecture studio of Rafael de la Hoz and built with excellent quality materials.The entire residential complex stands out not only for its location but also for its architectural style and design.  It is distributed in a large living room with a modern kitchen with lighting under furniture and a granite surface open to the living room and a modern central island which makes the entire house very bright.From the living room you can access the paved garden of more than 23 meters on the corner, which provides privacy within the urbanization and with nearby moving access.The apartment has 3 bedrooms and two bathrooms, one of them in the main room.All bedrooms have built-in wardrobes.It is freshly painted and ready to move into.The façade is ventilated with super-insulating envelopes to provide adequate thermal, acoustic and lighting comfort.Central heating and hot water with individual meter, ducted air conditioning throughout the house with heat pump and inverter technology, imitation wood porcelain floor throughout the house (the original was made of flooring), shower tray with extra-flat screen in the bathroom. suite in the main room, heated towel rail in both bathrooms, tilt-and-turn aluminum windows, motorized blinds in the living room, alarm pre-installation with Securitas Direct.Energy Rating Certificate A, which guarantees economical comfort in any season of the year. The common areas have a saltwater pool and children's pool (serviced by a lifeguard in season), an event room, a paddle tennis court, an equipped gym, Amazon lockers, 2 playgrounds with rubber floors, large green spaces, surveillance cameras and 24 hour concierge. The urbanization is located in a perfect setting, on Ukraine Street, in one of the areas with the greatest projection and in the midst of a transformation process.It is located just 8 minutes walk from the Historic Center of the City and 5 minutes from the La Garena commuter station and the main shopping centers in the area, Garena Plaza Shopping Center, Health Center, pharmacies, banks and schools, just 50 meters from a Mercadona Supermarket, next to the old GAL factory.It has quick and comfortable access to the A-2, M300, M100 and almost direct to the R-2.Bus stops very close that connect with the entire city of Alcalá de Henares.In addition, the La Garena and Alcalá Centro Cercanías stations are located a few minutes away, and with the Cercanías lines C-1, C-2, C-7, communication is perfect both with Madrid and with other towns in the Henares Corridor. The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors.It is shown for informational purposes and is not contractual.The sales prices do not include legal taxes or deed expenses.",False,"{'subtitle': 'San Isidro - Los Almendros, Alcalá de Henares', 'title': 'Flat'}",flat,False,40.4823679,nan,San Isidro - Los Almendros,True,False,85,https://www.idealista.com/inmueble/103744209/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/59/93/1198837054.jpg,Madrid,good,{'typology': 'flat'},True,True,409000.0,3,San Isidro - Los Almendros
es,2452.0,1,nan,Alcalá de Henares,2,102491056,-3.3901623,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5832,False,False,False,80.0,"Alcalá Inmobiliaria sells a wonderful duplex in La Garena. The house has 85 meters built divided into two floors. Located in one of the best areas of Alcalá de Henares with all kinds of services around. With the RENFE station just a 5-minute walk away! On the ground floor we have a spacious and bright living room with an unbeatable orientation and a terrace with views of nature, a fully equipped American kitchen and a complete bathroom with a shower. On the top floor we have two large, very bright bedrooms with enough space for double beds and a terrace each, we also have a charming full bathroom. The house has wooden floors and air conditioning heating, we also have 4 solar panels on the terrace for energy improvement. The property has a large garage space included in the price with very easy access. Do not hesitate to come and visit it. Free Financing! We do not charge the buyer! The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,"{'subtitle': 'La Garena, Alcalá de Henares', 'title': 'Flat in Calle Antonio Suárez'}",flat,False,40.4740252,nan,Calle Antonio Suárez,True,False,59,https://www.idealista.com/inmueble/102491056/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/53/b5/1157368170.jpg,Madrid,good,{'typology': 'flat'},True,True,196193.0,2,La Garena
es,1700.0,2,nan,Alcalá de Henares,1,102645536,-3.3817189,nan,EG5845,False,False,False,77.0,"Alcala Inmobiliaria sells a fantastic exterior apartment in very good condition, in one of the best areas of the Reyes Católicos neighborhood. The house consists of 77 meters distributed in 3 large bedrooms with space for double beds and built-in wardrobes, a renovated bathroom with a shower, a large kitchen in perfect condition, fully equipped and a spacious and bright living room with access to a large glazed terrace. The property has high quality wooden floors and Gress in the bathroom and kitchen, we have oak doors and aluminum windows. The house has electric heating, air conditioning in all rooms and south-east orientation for improved energy efficiency. We are located in an area with all kinds of services and shops, as well as public transport, with urban and interurban buses right outside the house or the La Garena Renfe station a 10-minute walk away. Do you want to know if they grant you the mortgage? Call me and I will be happy to explain.   The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,"{'subtitle': 'Reyes Católicos, Alcalá de Henares', 'title': 'Flat in Calle de Blasco de Garay'}",flat,False,40.4758283,nan,Calle de Blasco de Garay,True,False,66,https://www.idealista.com/inmueble/102645536/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/f6/69/1162422333.jpg,Madrid,good,{'typology': 'flat'},True,False,130890.0,3,Reyes Católicos
es,1950.0,nan,nan,Alcalá de Henares,3,101616398,-3.3468936,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5757,False,False,False,218.0,"Alcalá Inmobiliaria is pleased to announce another chalet in La Hípica, with incredible views of the Club Hípico Militar from the attic solarium, where you can watch the sunsets or enjoy the night sky. The chalet is in an excellent state of conservation, and consists of 4 floors that are distributed as follows: basement for a garage with capacity for 3 cars, with a laundry room and clothesline, with a sink, and with a window. The door is automatic. This floor has direct access to the rear garden, and on it is the Saunier Duvall condensing boiler; On the ground floor is the kitchen with a bay window, a toilet with a window, a built-in wardrobe, and the living room with air conditioning, with a fireplace framed in travertine marble with a cassette and in operation, and with access to the wonderful garden. Rear, designer garden and excellent care, with low-root trees (fir, cypress), with a pond, with automatic irrigation and drip, with porch, and with direct access to the pool! ; The first floor contains the 3 bedrooms, the main one incorporates a suite-type bathroom with a hydromassage bathtub and a dressing room, each room with its built-in wardrobe lined and dressed, another wardrobe in the distributor, and another complete bathroom; The attic is completely finished and leads to the solarium mentioned at the beginning. This floor has water and drainage connections and could be used as another bedroom or even as an apartment. It also has air conditioning, and an additional emergency heater. The house is very bright. Other features: alarm, video intercom, stoneware flooring below and upstairs, interior carpentry in solid sapele wood, exterior PVC tilt-and-turn climalit, laminated aluminum radiators, chimney draft to the attic. 218 meters built according to cadastre and simple note. The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses..",False,"{'subtitle': 'El Pilar - Bripac, Alcalá de Henares', 'title': 'House'}",chalet,False,40.5006179,nan,El Pilar - Bripac,True,False,82,https://www.idealista.com/inmueble/101616398/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/cc/7d/1127984215.jpg,Madrid,good,{'typology': 'chalet'},nan,nan,425000.0,3,El Pilar - Bripac
es,2250.0,4,nan,Alcalá de Henares,2,102664212,-3.3728023,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5839,False,False,False,120.0,"Enjoy family life in your new home! Fantastic 120m2 apartment with 3 large bedrooms and 2 full bathrooms, located in an exclusive urbanization in the Los Pinos area in Alcalá de Henares. The urbanization has spectacular common areas such as a gym, playroom, events room, swimming pool, paddle tennis and a playground. The interior of the apartment stands out for its spaciousness and luminosity. The 3 bedrooms are ideal for a family. The 2 full bathrooms with bathtub offer comfort. The living room is perfect for meetings and family life. The location is unbeatable, located next to O'Donnell Park and just 10 minutes walk from the historic center and the train station. The neighborhood has all the amenities such as supermarkets, schools and public transportation. Enjoy this exclusive opportunity to have your dream home with all the comforts in the historic and green city of Alcalá. Includes garage space. Contact today to visit it! The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,"{'subtitle': 'Chorrillo, Alcalá de Henares', 'title': 'Flat'}",flat,False,40.4863164,nan,Chorrillo,True,False,87,https://www.idealista.com/inmueble/102664212/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/24/4a/4c/1163029665.jpg,Madrid,good,{'typology': 'flat'},True,True,269990.0,3,Chorrillo
es,2101.0,4,nan,Alcalá de Henares,1,102052095,-3.365142,nan,EG5790,False,False,False,68.0,"Cozy apartment, located in one of the best areas, and with the most demand in Alcalá De Henares. To access the portal we go through a private garden that gives the farm a special charm as it is surrounded by green areas, the location of the property is unbeatable, just 5 minutes on foot from the Renfe station, just 10 minutes on foot to the town historic center of Alcalá de Henares, and just 10 minutes on foot from the central bus station. In addition to being surrounded by all imaginable services, schools, institutes, universities, clinics, pharmacies, tobacconists, leisure areas and O\'Donnell Park, being the reference park in the city, etc.. . The house is distributed in 3 rooms, two singles, both with built-in wardrobes, with generous and exterior spaces. The double room, also with a built-in wardrobe and unobstructed views. The dining room with access to a glazed terrace with climalite enclosure which allows a better air conditioning of the property at any time of the year, due to its size it is perfect for living room and dining room. The kitchen equipped with high-quality wall and base units, with an outdoor clothesline which allows better light in the room. Whether you are looking to create your own home, or if your intention is to invest in one of the best cities in Madrid, be sure to visit this property. The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.    .",False,"{'subtitle': 'San Isidro - Los Almendros, Alcalá de Henares', 'title': 'Flat'}",flat,False,40.4872134,nan,San Isidro - Los Almendros,True,False,60,https://www.idealista.com/inmueble/102052095/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/c9/e1/1142596285.jpg,Madrid,good,{'typology': 'flat'},True,False,142890.0,3,San Isidro - Los Almendros
es,1772.0,7,nan,Alcalá de Henares,1,101237927,-3.3729928,nan,EG5721,False,False,False,79.0,"Alcalá real estate puts at your disposal this apartment in the neighborhood of Reyes Católicos investment opportunity Three bedrooms, bathroom, living room with terrace and kitchen. Very bright apartment with three bedrooms, one double with a built-in wardrobe and two singles, one of them with a small built-in wardrobe, a kitchen with a drying rack, a bathroom with a bathtub and a living room with a terrace with an awning. The exterior carpentry of basic aluminum, the interior of basic wood, the floors are terrazzo except in the bathroom, which is stoneware, heating and central hot water. Very close to the center and with all the services available around it in one of the most commercial neighborhoods of Alcalá de Henares, schools, institutes, urban and interurban buses, supermarkets and a lot of street shops, playgrounds and green areas, a neighborhood of Alcalá with a lot of life. Don't hesitate to come see it Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will inform you of everything for free. The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,"{'subtitle': 'Reyes Católicos, Alcalá de Henares', 'title': 'Flat'}",flat,False,40.4749281,nan,Reyes Católicos,True,False,63,https://www.idealista.com/inmueble/101237927/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/38/28/40/1141765114.jpg,Madrid,renew,{'typology': 'flat'},True,True,140000.0,3,Reyes Católicos
es,2241.0,nan,nan,Alcalá de Henares,3,102856384,-3.3705697,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5859,False,False,False,190.0,"Alcalá real estate offers you this wonderful corner semi-detached house, in one of the best urbanizations with a swimming pool, paddle tennis courts and children's areas, in the Espartales neighborhood of Alcalá de Henares. Kitchen, living room, toilet, three bedrooms and two bathrooms plus attic, with two parking spaces in the basement and a large backyard. At the door of the house we have a space like a clothesline.Entering through the white lacquered armored main door we have a completely renovated toilet on the right.To the right is the kitchen, which is furnished with high and low furniture plus basic appliances (hood, vitro and oven).We continue through the entrance hall where we have a built-in wardrobe and the access door to the basement where we have the garage with two spaces and an independent automatic door plus a room as a storage room. In front of the hall we have the large living room where the tilt-and-turn folding PVC windows with thermal break and double climalit have been changed, we have an air conditioning unit with heat pump, from the living room we can go out to the large patio of about 75 meters, (According to cadastre, deeds), with perimeter wall, paved floor and artificial grass. In the living room, we have the access staircase to the upper floors, going up it we find on the first floor three double bedrooms with built-in wardrobes and a shared bathroom with a bathtub.In the large master bedroom we have an en-suite bathroom with bathtub and dressing room, the windows are PVC, folding, tilt-and-turn, with thermal break and double climalit, and the blinds in this room are automatic.We have air conditioning with heat pump. Finally we have the attic, which has a door at the entrance, open plan with two large velux and built-in wardrobes on the sides and air conditioning with heat pump. The urbanization is closed and has a doorman, we also have a swimming pool, paddle tennis court, playgrounds and green areas within it. The floors are made of wood except for the stairs, which are made of stoneware, the doors on the ground floor are made of beech, on the first floor they are lacquered in white, the heating and hot water are by natural gas with an independent boiler in the kitchen. The Espartales neighborhood is a very well connected area of Alcalá de Henares with easy access to the A2 and all the basic services to make your life comfortable, buses, supermarkets, doctor, church, playgrounds and green areas and very close to the Príncipe hospital. from Asturias. Don't hesitate to come visit it, it can be your home. Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will inform you about everything for free. Trust us to accompany you in the exciting process of finding your new home.We are here to help and advise you every step of the way.Contact us today and start turning your dreams into reality! Discover the path to your new home with the support of our financial department.We provide you with all the necessary support to obtain the best conditions for your mortgage, allowing you to achieve your goals in a more accessible and convenient way. The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors.It is shown for informational purposes and is not contractual.The sales prices do not include legal taxes or deed expenses.  .",False,"{'subtitle': 'Espartales, Alcalá de Henares', 'title': 'House'}",chalet,False,40.5096411,nan,Espartales,True,False,103,https://www.idealista.com/inmueble/102856384/,sale,True,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/52/14/73/1169633464.jpg,Madrid,good,{'typology': 'chalet'},nan,nan,425759.0,3,Espartales
es,2229.0,nan,nan,Alcalá de Henares,3,101164232,-3.3471376,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",EG5715,False,True,False,218.0,"ALCALÁ INMOBILIARIA exclusively markets this fantastic villa in the best area of Alcalá de Henares and fully ready to move into. The single-family home consisting of a basement, ground floor, upper floor and under cover is distributed in various units and services and has 218 m² built according to a simple registry note distributed at various heights on a 164 m² plot. Three very large bedrooms, three bathrooms, separate living room, fitted kitchen, finished attic, laundry room and garage for two vehicles. On the ground floor, upon entering we find the distributor corridor and to the left a bright and spacious fitted kitchen, on this same floor we find a courtesy toilet, in front there is a large independent living-dining room with access to the back of the house where the porch is located in height that gives way to the plot. On the first floor, going up the stairs we find a large hall where the bedrooms and a second bathroom are located. The main bedroom is a suite with built-in wardrobes and a complete bathroom with a bathtub. The other two bedrooms are large and all have fitted wardrobes. Going up to the third floor we find an impressive attic finished with a large, completely open-plan space. In the basement we find a laundry room in addition to the large garage for two cars with automated gates both at the entrance to the garage and the one that communicates with the street. Finished and landscaped plot both in front and behind the house, the community has a community pool and common areas ideal for a family with small children. The area has all the services, a ten-minute walk from the train station, with an area of supermarkets and shopping centers such as Alcalá Magna, urban and intercity buses, doctors and the Príncipe de Asturias Hospital, school, nursery, etc. As a real estate agency we offer you financing without study or management expenses; ask us without obligation. The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,"{'subtitle': 'El Pilar - Bripac, Alcalá de Henares', 'title': 'House'}",chalet,False,40.4975713,nan,El Pilar - Bripac,False,False,95,https://www.idealista.com/inmueble/101164232/,sale,True,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/85/90/44/1112888625.jpg,Madrid,good,{'typology': 'chalet'},nan,nan,485900.0,3,El Pilar - Bripac
