labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'subtitle': 'Norte, Alcobendas', 'title': 'Flat in Calle del Maestro Barbieri'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/9e/87/1181540987.jpg,121.0,3264.0,False,32,False,Alcobendas,es,True,-3.6401372,{'typology': 'flat'},{'groupDescription': 'Featured'},Norte,True,False,flat,4,False,Calle del Maestro Barbieri,103198459,VMN2311014,395000.0,2,sale,https://www.idealista.com/inmueble/103198459/,True,"Flat for sale in calle Maestro Barbieri. BRIGHT FLAT WITH GLAZED TERRACE FOR SALE IN ALCOBENDAS. With 122 m² built according to the land registry and 99 m² usable. Completely refurbished in 2009. Excellent distribution. On entering with entrance hall and fitted kitchen with marble worktop and laundry area and pantry. Then we come to the spacious living/dining room with glazed terrace of 4,80 m². Being east facing, the room receives a lot of light. The sleeping area consists of 4 bedrooms (two of them exterior) and two facing the patio. Two bathrooms (one en suite with bathtub) and one with shower. Laminate and wooden floors in bedrooms. Oak doors. Air conditioning by splits in main bedroom and living room. Natural gas central heating. Parking space in the same property. Entry phone. The property is surrounded by all kinds of shops and 10 minutes from the Valdelasfuentes Sports Centre and metro stations, as well as supermarkets. Can you imagine living here?","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.5517442,False,2
nan,False,"{'subtitle': 'Norte, Alcobendas', 'title': 'Flat in Severo Ochoa'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/fb/c6/1199699707.jpg,115.0,6000.0,True,38,False,Alcobendas,es,True,-3.656655,{'typology': 'flat'},nan,Norte,True,False,flat,3,False,Severo Ochoa,103757056,VGLO-193606,690000.0,4,sale,https://www.idealista.com/inmueble/103757056/,True,"Gilmar Real Estate Consulting offers a bright three-bedroom apartment with a large terrace in a modern urbanization in Alcobendas. Starting your journey, after the hall, we are welcomed by a bright living-dining room with access to a large south-facing terrace. Separate kitchen with top quality furniture and appliances. It also has a large covered clothesline. The sleeping area has three bedrooms and two bathrooms, one of them en-suite, as well as an additional home space area with custom-made wardrobe and storage space. The apartment has two comfortable parking spaces included in the price; as well as a large storage room. It has A-level energy efficiency and high qualities: Climalit windows with unsurpassed thermal and acoustic insulation, electric blinds, Home Automation system accessible from different electronic devices and underfloor heating. The urbanization has all the services expected in communities of this category: 24-hour security, large swimming pool, children's play area and gourmet room. It is an area with multiple shops, supermarkets, pharmacies, restaurants, health centers, parks and sports centers.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.5425666,True,2
nan,False,"{'subtitle': 'Norte, Alcobendas', 'title': 'Flat in Paseo de Valdelasfuentes'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/c7/1c/1199743729.jpg,134.0,4179.0,True,37,False,Alcobendas,es,True,-3.6554783,{'typology': 'flat'},nan,Norte,True,False,flat,3,False,Paseo de Valdelasfuentes,103756479,JM193557,560000.0,2,sale,https://www.idealista.com/inmueble/103756479/,True,"Welcome to your new home in Valdelasfuentes, Alcobendas Norte! This beautiful 3-bedroom apartment is an excellent opportunity for those who wish to invest in a property with great profitability potential.In addition, it has a large terrace facing East, which will allow you to enjoy excellent natural lighting throughout the day. The apartment is located in a private and landscaped urbanization that has a spectacular community pool, perfect for cooling off on summer days.In addition, it has 2 parking spaces and a private area for bicycles, which will allow you to move around the area in total comfort. With a constructed area of 134 m², this second-hand apartment in good condition is located on the 2nd floor and is exterior, which will allow you to enjoy clear views.In addition, it has an elevator for your convenience. The Valdelasfuentes neighborhood in Alcobendas Norte is a quiet and familiar residential area, ideal for those looking for a safe and comfortable environment to live.In addition, it has an excellent location, with easy access to the main communication routes and just a few minutes from the city of Madrid. As for services and amenities, you will find everything you need just a few minutes from your home.Less than 10 kilometers away is the prestigious SEK El Castillo International School, which offers quality education at an international level.In addition, the La Vega shopping center is within walking distance, where you can find a wide variety of shops, restaurants and cinemas. As for transport connections, the closest metro lines are L10 and L10B, which will allow you to quickly reach the center of Madrid. In addition, commuter lines C4 and C7 are also nearby, making it easier to travel to other areas of the city.In addition, there are several bus lines that pass near the location of this property, which will allow you to easily move around the area. Don't miss the opportunity to live in this beautiful apartment in Valdelasfuentes, Alcobendas Norte.Contact us for more information and to schedule a visit.Remember to provide us with the property reference (193557) so that we can provide you with a better service. GILMAR is a company with more than 40 years of experience in the real estate market.Since 1983, we have helped our clients find the home of their dreams, offering personalized and quality service. Our team at the Plaza de la Moraleja office will be happy to help you with anything you need.You can contact us at or send us an email at.We are at your disposal to provide you with all the information you need about this property and any other property that interests you.We look forward to helping you find your new home!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.5516635,True,2
"[{'name': 'loftType', 'text': 'Loft'}]",False,"{'subtitle': 'Valdelacasa, Alcobendas', 'title': 'Studio apartment in Carretera de Fuencarral, 44'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/52/07/1198643241.jpg,90.0,2389.0,True,28,True,Alcobendas,es,True,-3.6480096,"{'typology': 'flat', 'subTypology': 'studio'}",nan,Valdelacasa,True,False,studio,0,False,"Carretera de Fuencarral, 44",103708111,LO193452,215000.0,bj,sale,https://www.idealista.com/inmueble/103708111/,True,"Gilmar Moraleja Consulting offers a great opportunity to acquire a unique apartment in the TRIBECA complex. This spacious 90 square meter loft offers a modern and avant-garde design. With a distribution that includes a large living room, bedroom, bathroom and kitchen, this property offers you the possibility of expanding it to two floors. With a height of 5 meters, you will feel in an open and bright environment. In addition, it has natural gas heating and ducted air conditioning for your greatest comfort. In the TRIBECA complex, you can enjoy exclusive services such as security, concierge, swimming pool and gym. Located near roads, supermarkets and with easy access to the capital, this apartment is ideal both as a home or as an investment to rent. Don't miss the opportunity to be part of this high quality complex. Gilmar Moraleja Consulting is the agency in charge of the sale, with more than 4,000 homes on offer. On its website you can find a wide variety of second-hand apartments, new apartments, chalets, villas, beachfront and rustic properties. Trust the best professionals in the real estate sector and visit our website for more information. Do not miss this opportunity!",nan,False,40.5314547,True,1
nan,False,"{'subtitle': 'Ensanche, Alcobendas', 'title': 'Flat in Calle del Doctor Casimiro Morcillo, 6'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/bd/40/1172566864.jpg,115.0,4339.0,True,28,True,Alcobendas,es,True,-3.6438238,{'typology': 'flat'},nan,Ensanche,True,False,flat,3,False,"Calle del Doctor Casimiro Morcillo, 6",102777985,2e930f8a-708c-4dac-8dd8-f7e86d356a63,499000.0,1,sale,https://www.idealista.com/inmueble/102777985/,True,"Huspy presents an impressive apartment with 3 bedrooms and 2 bathrooms, with an area of 115m2 on the famous Paseo de la Chopera in Alcobendas. This property offers you ample space and comfort for you and your family. The living room is bright and spacious, ideal for relaxing. The fully equipped kitchen has high quality appliances and plenty of storage space. Enjoy your meals in the dining room or on the private balcony with panoramic views. The rooms are elegant and cozy, with built-in wardrobes. The master bedroom has a private bathroom with a bathtub and shower. The second bathroom is modern and functional. The building offers access for people with reduced mobility, air conditioning, swimming pool, barbecue area, garden, games area and parking. With a privileged location in Valverde, close to shops, restaurants and parks. Don't miss this unique opportunity! Call to visit your new home in Alcobendas. Although there is no parking space available, there is an option for residents to have nearby parking spaces.",nan,False,40.5421262,False,2
"[{'name': 'reformed', 'text': 'Renovated'}]",False,"{'subtitle': 'Alcobendas Centro, Alcobendas', 'title': 'Flat in Calle de Santa Lucía'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/6f/d2/1186743139.jpg,51.0,3118.0,True,14,False,Alcobendas,es,False,-3.6339328,{'typology': 'flat'},{'groupDescription': 'Highlight'},Alcobendas Centro,True,False,flat,2,False,Calle de Santa Lucía,101401202,CLK00/2954,159000.0,3,sale,https://www.idealista.com/inmueble/101401202/,True,"Make your New Year's resolution a reality! Launch your new home with an incredible discount of up to 10%. Reserve a home and get an exclusive discount. Clikalia offers this 51 m2 exterior property for sale under renovation. It is located on the 3rd floor without elevator, on Santa Lucia Street, in Alcobendas. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The property consists of 2 bedrooms, one of them double and the other single, joined by the terrace, living-dining room that connects with the equipped open kitchen and 1 bathroom. The house also has a terrace and heating. This property has an excellent location since it is located a few minutes walk from the Alcobendas Art Center and the Valdavia Medical Center, and it is also surrounded by supermarkets, restaurants and boutiques. The closest metro line is Marqués de la Valdavia (L10). The house has been completely renovated and is represented by real images after the completion of the work. The furniture is not included in the price, it is representative to visualize the real dimensions of the room and an example of how the house is decorated. Are you interested in this house? Call us! Clikalia is at your disposal from Monday to Friday from 9:00 a. m. to 8:00 p. m.",nan,True,40.5423119,False,1
nan,False,"{'subtitle': 'Alcobendas Centro, Alcobendas', 'title': 'Flat in Calle del Romero, 1'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/a2/0d/1192162816.jpg,110.0,2709.0,False,30,True,Alcobendas,es,True,-3.6419145,{'typology': 'flat'},nan,Alcobendas Centro,True,False,flat,3,False,"Calle del Romero, 1",103510248,JM193030,298000.0,3,sale,https://www.idealista.com/inmueble/103510248/,True,"GILMAR MORALEJA OFFERS EXCLUSIVELY Spacious 110 m² apartment for sale, ideal for families. Completely renovated with smooth walls and large spaces that provide comfort and light. The kitchen has also been renovated, offering a modern and functional environment. In addition, it has a terrace where you can enjoy moments outdoors. The property has access to all the necessary services and shops, and has a storage room in the same building. If you need, you also have the possibility of using the garage space that the property has in the residents' parking lot, a 3-minute walk away. The Garage space would be an assignment of the rent from the town hall and an option to purchase. Surrounded by green areas, it is in good condition and is located on the 3rd floor with an elevator. The house is located in the Alcobendas-Avenida de España area, very well connected by train, metro and bus services. It is a mainly residential area, with close access to large green areas, as well as schools, daycare centers and shops of all kinds. It also has nearby business enclaves, occupied by top-level national and international companies. The municipality of Alcobendas borders the municipalities of Madrid, San Sebastián de los Reyes and Paracuellos de Jarama. Gilmar has more than 4,000 homes for sale, second-hand apartments, new apartments, chalets, villas, beachfront, rural properties.. . Visit our website and find the best real estate investment from the best professionals in the real estate sector.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.5457216,False,1
nan,False,"{'subtitle': 'Ensanche, Alcobendas', 'title': 'Flat in Calle de Manuel de Falla'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/f7/21/1167403073.jpg,96.0,3385.0,False,27,False,Alcobendas,es,True,-3.6459898,{'typology': 'flat'},nan,Ensanche,True,False,flat,3,False,Calle de Manuel de Falla,102138641,CLK00/3392,325000.0,2,sale,https://www.idealista.com/inmueble/102138641/,True,"3-bedroom apartment ready to move into without space problems! A modern and functional home that will allow you to enjoy that additional room you talk so much about. You can put an office, a dressing room, a guest area or even a playroom for your children. Exclusive brand new apartment located in the Alcobendas Centro neighborhood, in Alcobendas. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The house is located on the 2nd exterior floor with an elevator. It has a total area of 96 m², distributed in a living room and dining room, an equipped independent kitchen, 3 bedrooms and 2 bathrooms. In addition, it has an elevator, terrace, fitted kitchen, built-in wardrobes, air conditioning and reduced mobility accessibility. Located in the Alcobendas Centro neighborhood, on Manuel de Falla Street, it will allow you to be close to everything you need such as supermarkets, restaurants, schools, parks, bus stops and the Manuel de Falla metro station (L10). Schedule your virtual visit and we will accompany you throughout the process. Call us from Monday to Friday from 9:00 a. m. to 8:00 p. m. The house has been completely renovated and is represented by real images after the completion of the work.",nan,False,40.5503799,False,2
nan,False,"{'subtitle': 'Alcobendas Centro, Alcobendas', 'title': 'Flat in Calle de Soria'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/58/02/1174552030.jpg,76.0,2632.0,False,39,False,Alcobendas,es,True,-3.6323876,{'typology': 'flat'},nan,Alcobendas Centro,True,False,flat,3,False,Calle de Soria,102074579,CLK00/3367,200000.0,3,sale,https://www.idealista.com/inmueble/102074579/,True,"Make your New Year's resolution a reality! Launch your new home with an incredible discount of up to 10%. Reserve a home and get an exclusive discount. Exclusive brand new apartment located in the Alcobendas Centro neighborhood, in Alcobendas. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The house is located on the 3rd exterior floor with an elevator. It has a total area of 76 m², distributed in living room and dining room, equipped independent kitchen, 3 bedrooms and 1 bathroom. In addition, it has an elevator, terrace, fitted kitchen, built-in wardrobes and accessibility for people with reduced mobility. Located in the Alcobendas Centro neighborhood, on Calle Soria, it will allow you to be close to everything you need such as the National Museum of Science and Technology and the Alcobendas Art Center. At the same time, it is close to supermarkets, restaurants, schools, parks, bus stops and the Marqués de la Valdavia metro station (L10). Schedule your visit and we will accompany you throughout the entire process. Call us from Monday to Friday from 9:00 a. m. to 8:00 p. m. The house has been completely renovated and is represented by real images after the completion of the work.",nan,True,40.5390422,False,1
nan,False,"{'subtitle': 'Ensanche, Alcobendas', 'title': 'Flat in Marques De La Valdavia'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/77/1c/1161050574.jpg,97.0,2990.0,False,31,False,Alcobendas,es,True,-3.6471752,{'typology': 'flat'},nan,Ensanche,True,False,flat,2,False,MARQUES DE LA VALDAVIA,102569138,23-043,290000.0,bj,sale,https://www.idealista.com/inmueble/102569138/,True,"FIRST LEVEL REAL ESTATE SELLS an exterior apartment with a very good distribution and located in one of the best areas of Alcobendas. The apartment originally had 3 bedrooms and was renovated to leave a layout of 2 large bedrooms. It also has a large living room, kitchen with access to a good-sized patio and bathroom with a bathtub. It has a garage and storage room included in the indicated price. The elevator goes to the garage and both the property and the apartment are adapted for people with reduced mobility. It is a ground floor with mezzanine height, which gives it good light and privacy. It is located in a good urbanization with common areas, 24-hour concierges, 2 swimming pools, gym and green areas. It is well connected, very close to the Manuel de Falla metro, the Renfe station and the sports city of Valdelasfuentes, close to shops, schools, institutes and green areas with playgrounds. It has central heating and air conditioning in main rooms, its distribution being as follows: It is a fantastic opportunity, both to move in without the need for a significant investment and to obtain a good return if you opt for leasing. With 20 years of experience in the real estate sector, our team is at your disposal to help you with everything you need. Don't miss the opportunity to live in this wonderful property! Contact us today to learn more about available mortgage financing terms.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.5456321,True,1
