labels,topPlus,suggestedTexts,province,neighborhood,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'subtitle': 'Campodón - Ventorro del Cano, Alcorcón', 'title': 'Flat in Avenida de M-40'}",Madrid,Campodón - Ventorro del Cano,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/30/28/1139569848.jpg,161.0,1615.0,False,31,False,Alcorcón,es,True,-3.8393973,{'typology': 'flat'},nan,Campodón - Ventorro del Cano,True,False,flat,1,False,Avenida de M-40,101957520,EM-111,nan,260000.0,1,sale,https://www.idealista.com/inmueble/101957520/,True,"Triplex loft for sale of 128 square meters in the area of the ""Ventorro del Cano"" industrial estate distributed over three floors: On the ground floor, an American kitchen furnished with appliances, a bathroom, both integrated into a large, very bright living room with 6m high windows. Going up the wooden stairs to the second floor, a large open area with two built-in wardrobes with a complete bathroom with a shower, and windows throughout the floor that give a lot of light and overlook two streets, with the possibility of making two bedrooms. And finally, going up the stairs to the third floor, a terrace with views of Madrid. Two parking spaces and a large storage room are included in the price. Quality memories: Split air conditioning with heat/cold pump. Wooden stairs leading to the second floor. Built-in cabinets. Electric blinds on one of the windows on the second floor. Electric boiler. We do not charge commission to the buyer. Ideal for investors to rent with high profitability. Very well located in Ventorro del Cano, with easy access to M-40, M-501 and M-411. In front of the entrance to the Montepríncipe urbanization, one of the most exclusive areas of Madrid. Located a few km from the CEU San Pablo University and the Santander Financial City. Close to supermarket, light metro Line 3 ""Ventorro del Cano"" and bus stop 673 and 574. A few minutes from the HM Montepríncipe University Hospital, Quirón University Hospital and Ciudad de la Imagen, and the Finca.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3961069,False,2
nan,False,"{'subtitle': 'Zona Centro Joven, Alcorcón', 'title': 'Flat in Avenida Torres Bellas'}",Madrid,Zona Centro Joven,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/e8/5a/1171077692.jpg,52.0,2981.0,False,25,False,Alcorcón,es,True,-3.8191598,{'typology': 'flat'},nan,Centro,True,False,flat,3,False,Avenida Torres Bellas,102229821,CLK00/3291,nan,155000.0,1,sale,https://www.idealista.com/inmueble/102229821/,True,"Make your New Year's resolution a reality! Launch your new home with an incredible discount of up to 10%. Reserve a home and get an exclusive discount. Exclusive brand new apartment located in Alcorcón. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The house is located on the 1st floor with elevator. It has a total area of 52 m², distributed in living room and dining room, open equipped kitchen, 3 bedrooms and 1 bathroom. In addition, it has an elevator, terrace, fitted kitchen, built-in wardrobes in one of the bedrooms, air conditioning, storage room and accessibility for people with reduced mobility. Located in Alcorcón, on Avenida Torres Bellas, it has a location that will allow you to be close to the Parque de la Paz and metro stops such as Puerta del Sur (L12). Schedule your visit and we will accompany you throughout the entire process. Call us from Monday to Friday from 9:00 a. m. to 8:00 p. m. The house has been completely renovated and is represented by real images after the completion of the work.",nan,True,40.3477074,False,1
nan,False,"{'subtitle': 'Prado de Santo Domingo, Alcorcón', 'title': 'Flat in Calle los Arces'}",Madrid,Prado de Santo Domingo,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/2e/40/1199950944.jpg,81.0,3395.0,False,28,False,Alcorcón,es,True,-3.8293911,{'typology': 'flat'},nan,Prado de Santo Domingo,False,False,flat,2,False,Calle los Arces,103782031,Urbalor/Arces2D/Mario,nan,275000.0,3,sale,https://www.idealista.com/inmueble/103782031/,True,"This flat is at Calle los Arces, 28922, Alcorcón, Madrid, on floor 3. It is a flat, built in 1992, that has 81 m2 of which 68 m2 are useful and has 2 rooms and 2 bathrooms.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3383684,False,2
nan,False,"{'subtitle': 'Casco Antiguo, Alcorcón', 'title': 'Flat in Calle De Santo Domingo'}",Madrid,Casco Antiguo,renew,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e2/6a/9f/1193330211.jpg,51.0,2549.0,False,20,False,Alcorcón,es,True,-3.8249032,{'typology': 'flat'},nan,Centro,True,False,flat,3,False,Calle DE SANTO DOMINGO,103504795,3640,nan,130000.0,4,sale,https://www.idealista.com/inmueble/103504795/,True,"THE FIRST PHOTOS ARE RENDERINGS SO YOU CAN GET AN IDEA OF HOW IT COULD BE FURNISHED. ELEVATOR INSTALLATION APPROVED Incredible opportunity! Discover your new home in this charming three-bedroom apartment with a bathroom and a sunny terrace. With an area of 51 square meters, this property offers a perfect canvas to unleash your creativity and design the home of your dreams. Outstanding features: Three cozy rooms. A functional bathroom. Terrace to enjoy moments outdoors. Surface area of 51 square meters, offering enough space to adapt the home to your needs. Renovation opportunity: customize each corner according to your tastes and preferences. Located in a strategic area, this apartment gives you easy access to services, public transportation and various amenities. In addition, the possibility of renovation allows you to create a unique space that adapts to your lifestyle. Don't miss this opportunity to invest in your future home. Contact us now to schedule a showing and explore the possibilities this property has to offer!",nan,True,40.3462625,False,1
nan,False,"{'subtitle': 'Parque Lisboa - La Paz, Alcorcón', 'title': 'Flat in Calle Inspector Juan Antonio Bueno'}",Madrid,Parque Lisboa - La Paz,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/17/6f/1162858832.jpg,180.0,2389.0,False,38,False,Alcorcón,es,True,-3.8149053,{'typology': 'flat'},nan,Parque Lisboa - La Paz,True,False,flat,3,False,Calle Inspector Juan Antonio Bueno,102658630,nan,nan,430000.0,1,sale,https://www.idealista.com/inmueble/102658630/,True,"BN Properties sells this excellent home located in one of the best private urbanizations in the area, with a swimming pool, gardens and common areas, and a doorman. The house also has a garage and storage room included in the price. Upon entering the house we can find a hall with a built-in wardrobe, and to the right the recently renovated kitchen, which has a covered clothesline. From the same hall and to the left we find a spacious and cozy living room with generous windows facing southwest and unobstructed views of a garden area and a park. Below is the hallway that gives access to three bedrooms and a full bathroom, and the master bedroom with an en-suite bathroom. One of the main attractions of this house, and what makes it different from many others, is its very large terrace for private use, with a size of 80 m2 and where you can enjoy different environments. All windows are made of white climalit lacquered aluminum. The floor is parquet. The urbanization dates back to 1990 and is very well maintained. Close to the home there is a varied network of services such as schools, shops, restaurants, parks, and a magnificent transport communication network, both buses and Metro. It is a 7-minute walk from the Puerta del Sur Metro stop (lines 10 and 12) and 8 minutes from Joaquín Villaumbrales (line 10).","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3479535,False,2
nan,False,"{'subtitle': 'Prado de Santo Domingo, Alcorcón', 'title': 'Flat in Avenida las Retamas'}",Madrid,Prado de Santo Domingo,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/93/e3/1186313619.jpg,97.0,2423.0,False,26,False,Alcorcón,es,True,-3.8314974,{'typology': 'flat'},nan,Prado de Santo Domingo,True,False,flat,2,False,Avenida las Retamas,103336963,Urbalor/Retamas2D/ Daniel,nan,235000.0,4,sale,https://www.idealista.com/inmueble/103336963/,True,"Urbalor real estate manages for sale in Prado de Santo Domingo (Las Retamas) in Alcorcón. Housing with double orientation distributed on a single floor as follows: Large hall, with a built-in wardrobe, which distributes to a separate living room, kitchen with access to a closed and covered clothesline, two double bedrooms, all of them equipped with built-in wardrobes with a trunk, two complete bathrooms, one of them en suite. Regarding the qualities, we find parquet floors, climalit enclosures in red lacquered aluminum, oak doors, the entrance being armored, built-in wardrobes in all bedrooms, natural gas boiler and modular aluminum radiators. Storage included in the price. Property located in a private urbanization with concierge service, paddle tennis courts, community pool, children's area, gym and sauna.",nan,True,40.3363456,False,2
nan,False,"{'subtitle': 'Parque Lisboa - La Paz, Alcorcón', 'title': 'Flat in Calle Porto Colón'}",Madrid,Parque Lisboa - La Paz,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/cb/78/1176784126.jpg,160.0,1994.0,False,38,False,Alcorcón,es,True,-3.8190923,{'typology': 'flat'},nan,Parque Lisboa - La Paz,True,False,flat,4,False,Calle Porto Colón,102949721,3403-02630,nan,319000.0,14,sale,https://www.idealista.com/inmueble/102949721/,True,"The home of your dreams awaits you in Alcorcón! This spacious apartment with 4 bedrooms, 2 bathrooms and a living room of approximately 42 square meters, has a total of 138 square meters according to deeds, 144 square meters according to cadastre and 160 square meters according to architect (all are approximate measurements), it is the opportunity that you were looking to create the perfect residence tailored to you. Located on the prestigious Porto Colón Street in Alcorcón, this building with a stately portal gives you the elegance you deserve.But that's not all, what really makes this property stand out is its spectacular terrace that offers stunning views.Imagine relaxing there after a long day at work, enjoying the sunset over the city. What else can you expect from living in this area? Very much! Porto Colón is surrounded by everything you need for a comfortable and convenient life.Just a few steps from your new home, you will find supermarkets, shops, fruit stores, pharmacies, hairdressers, restaurants, bakeries and gyms.You will have everything at your fingertips to simplify your daily life. If you have children, you will be delighted to know that this area also offers access to excellent schools and colleges, which means quality education for your loved ones. But what about urban transportation? Don't worry! You are just a few minutes away from the center of Madrid.The distance from Porto Colón street in Alcorcón to the center of Madrid is easily travelable thanks to excellent public transport connections.You will enjoy the comfort of being close to the big city without giving up the tranquility and charm of Alcorcón. Don't miss the opportunity to make this apartment your new home.Come and discover the comfort, elegance and possibilities that await you on Porto Colón Street.Contact us today and make your dreams of living in this exceptional place come true! The publication includes indicative plans of both the current state and a possible renovation option, along with some infographics, which are virtual recreations of some rooms after a renovation.Renovation not included in the sale price. Arrangement of visits at least 48/72 hours in advance. In the case of two or more clients interested in the property, the highest economic offer will be taken into account, conditional on the choice and acceptance of the property.Even if the aforementioned offer is above the price set in this announcement. This announcement is not binding, it may contain errors.It is shown for informational purposes and not contractual.The public sale price does not include acquisition or cancellation costs (Notary, registration, management, mortgages, taxes, capital gains, fees, etc.The furniture, fixtures, vehicles, or any other movable property that appears in the photographs is NOT included in the transfer price, unless expressly reflected in the advertisement.",nan,True,40.3517709,False,2
nan,False,"{'subtitle': 'Prado de Santo Domingo, Alcorcón', 'title': 'Duplex in Calle Chopos Los'}",Madrid,Prado de Santo Domingo,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/6d/23/1182064056.jpg,154.0,2922.0,False,42,False,Alcorcón,es,False,-3.8412324,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,Prado de Santo Domingo,True,False,duplex,4,False,Calle Chopos Los,103206751,MTDÚP_84,nan,450000.0,1,sale,https://www.idealista.com/inmueble/103206751/,True,"We do not charge fees to the buyer! Discover elegance and comfort in the heart of Alcorcón. This triplex with 3 bedrooms and 3 bathrooms, with an impressive 33 square meter open-plan loft, redefines the idea of home. Located in an exclusive gated community with a swimming pool and parking space, this property offers an incomparable lifestyle. Features that Define your New Home Modern Triplex Design: Experience innovation on every level of this triplex home. The ground floor welcomes you with a bright living room that extends to a glazed terrace. On this same floor we also have a guest toilet and a large fully equipped kitchen that has a terrace-drying area. Go up to the first floor to find three very spacious bedrooms, the main one has an en-suite bathroom and air conditioning, as does another of the bedrooms. On this same floor we find another full bathroom with a hydromassage shower, which serves both bedrooms. Finally, your experience culminates on the top floor, where the open-plan 33 m2 wooden attic with cabinets that can be used as storage. This room offers you a versatile and cozy space that also has a Velux window and air conditioning. Heating and Air Conditioning: Maintain the ideal temperature in any season. The individual natural gas heating, with a recently changed boiler, guarantees comfort in winter, while the air conditioning in two rooms and the attic provide you with freshness in summer. Contact Us for an Exclusive Visit If you are ready to experience life in this exceptional triplex, do not hesitate to contact us. As experts in the real estate market, we are here to make your dream of a perfect home come true.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3408086,False,3
nan,False,"{'subtitle': 'Parque oeste - Fuente Cisneros, Alcorcón', 'title': 'Flat in Calle Fuente Cisneros, 78'}",Madrid,Parque oeste - Fuente Cisneros,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/71/74/1200370675.jpg,163.0,2282.0,False,57,True,Alcorcón,es,True,-3.8560266,{'typology': 'flat'},nan,Parque oeste - Fuente Cisneros,False,False,flat,2,False,"Calle Fuente Cisneros, 78",103795858,Alcorcon,nan,372000.0,8,sale,https://www.idealista.com/inmueble/103795858/,True,"Beautiful and wonderful duplex penthouse in the best area of Alcorcón that has 106 m2, two bedrooms, two bathrooms and two incredible terraces of 50 m2 and 6 m2. With the following distribution: entrance hall or hall, then on the left we will find a large, very bright living-dining room, with access to two terraces to enjoy the good weather, summer afternoons and wonderful views. In addition, the apartment has ducted air conditioning and a hot and cold pump machine in the living room. The top-quality laminate flooring and smooth walls give it a modern and elegant touch. Separate kitchen with window, custom furniture, ventilation and access to the great terrace. On the second floor we will find two bedrooms and two bathrooms. The rooms are spacious and stand out for their height. The master bedroom has built-in wardrobes on both sides and an en-suite bathroom with a bathtub. The secondary room also has built-in wardrobes. Both with double windows and lots of lighting. The property has a swimming pool, gym, paddle tennis court, playground and green areas for the enjoyment of the whole family. In addition, easy parking and proximity to schools, shops and the x-Madrid shopping center make this apartment a unique opportunity. The price includes two parking spaces and a storage room. Don't miss the opportunity to live in this incredible duplex penthouse. We are InmoYael your reliable team.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3387922,False,2
"[{'name': 'reformed', 'text': 'Renovated'}]",False,"{'subtitle': 'Parque Lisboa - La Paz, Alcorcón', 'title': 'Flat in Calle Porto Cristo'}",Madrid,Parque Lisboa - La Paz,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ac/4c/e7/1193899607.jpg,105.0,2790.0,False,46,False,Alcorcón,es,True,-3.8176319,{'typology': 'flat'},{'groupDescription': 'Highlight'},Parque Lisboa - La Paz,True,False,flat,4,False,Calle Porto Cristo,102089237,CLK00/3095,nan,293000.0,1,sale,https://www.idealista.com/inmueble/102089237/,True,"Exclusive brand new apartment located in the Parque Lisboa - La Paz neighborhood, in Alcorcón. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The house is located on the 1st floor with elevator. It has a total area of 105 m², distributed in a living room and dining room, an equipped independent kitchen, 4 bedrooms and 2 bathrooms. In addition, it has an elevator, terrace, built-in wardrobes, air conditioning, doorman and kitchen furnished with appliances included in the price: refrigerator, dishwasher, washing machine, oven and microwave. Located in the Parque Lisboa - La Paz neighborhood, on Porto Cristo Street, it will allow you to be close to everything you need such as the Parque de Lisboa and the Parque Lisboa Sports Social Club. At the same time, it is close to supermarkets, restaurants, schools, pharmacies, bus stops and the Parque Lisboa metro station (L12). Schedule your visit and we will accompany you throughout the entire process. Call us from Monday to Friday from 9:00 a. m. to 8:00 p. m. The house has been completely renovated and is represented by real images after the completion of the work.",nan,False,40.3539567,False,2
