labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'subtitle': 'Centro, Aranjuez', 'title': 'Detached house in Calle Mirador'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/63/b4/1168816054.jpg,500.0,1160.0,True,64,False,Aranjuez,es,nan,-3.6038355,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Centro,True,False,chalet,5,False,Calle Mirador,102832667,8310PV-F,nan,580000.0,nan,sale,https://www.idealista.com/inmueble/102832667/,nan,"This villa is at Calle Gobernador, 28300, Aranjuez, Madrid. It is a sunny villa, built in 2009, that has 500 m2 and has 5 rooms and 4 bathrooms. It has windows climalit, patio, alarma, chimenea, smooth walls, wine cellar, sótano, ssss, caseron, warehouse, toilet, permanent ford, parquet floor, individual heating, a pie de calle, cocina amueblada, puerta blindada, building with parking lot, storage room included, wardrobe, terraze, tv antenna, concrete structure, porche, natural gas, aire acondicionado, exterior, alto standing, floor tiles, individual natural gas heating and good condition.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.0247827,False,4
nan,False,"{'subtitle': 'La Montaña-El Cortijo, Aranjuez', 'title': 'Detached house in Calle Ibiza'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/86/08/1144246442.jpg,444.0,1408.0,True,73,False,Aranjuez,es,nan,-3.5965328,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",La Montaña-El Cortijo,True,False,chalet,4,False,Calle Ibiza,102094366,BFP-V1135,nan,625000.0,nan,sale,https://www.idealista.com/inmueble/102094366/,nan,"We do not charge the buyer. Fantastic independent self-promotion villa in the La Montaña - El Cortijo area, belonging to Aranjuez. The property is distributed in: -Central floor, initially with a spacious hall with a built-in wardrobe, it has a large, bright living-dining room with direct access to the garden, a full kitchen with an island in the center and direct access to the garden with a wonderful porch/gazebo. Two bedrooms with fitted wardrobes, one of them with direct access to the garden. Very spacious bathroom with double sinks, shower tray and bathtub, built-in wardrobe and exterior windows. -Attic floor with a very good height so there are no space inconveniences. It has two bedrooms with direct access to an upper terrace/solarium and a bathroom with a shower. One of the bedrooms corresponds to the master bedroom with a dressing area and direct access to the upper terrace/solarium mentioned above. -Basement. It has a second lounge or multipurpose space, we have a laundry area with direct access to a patio with lights, heating and aerothermal systems. This floor also has a toilet. From the basement we access the garage that has space for two or three vehicles and a large independent storage room. The outdoor area has a wonderful garden with natural grass, a saline chlorination pool, an office area with a sink and space for a fridge, a room for tools and utensils with an exterior window, and a very spacious bathroom with a shower tray and window to the outside. Other features: Brick facades rendered internally with polyurethane insulation, also covered with insulating sandwich panels and a thermal insulating core. It has aerothermal heating for hot and cold with individual thermostat in each room, solar panels for domestic hot water (Acs), external closing in climalit pvc with kommerling tilt-and-turn RPT and ceramic floor.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.0636662,False,4
nan,False,"{'subtitle': 'Centro, Aranjuez', 'title': 'Flat in Calle del Capitán Angosto Gómez Castrillón'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/6d/d4/1189167736.jpg,95.0,1895.0,False,30,False,Aranjuez,es,True,-3.6035767,{'typology': 'flat'},Centro,True,False,flat,2,False,Calle del Capitán Angosto Gómez Castrillón,103426923,OFIVENT 460,nan,180000.0,bj,sale,https://www.idealista.com/inmueble/103426923/,True,"Great opportunity! This ground floor apartment without architectural barriers is perfect for those looking for comfort and accessibility. With 2 large bedrooms and built-in wardrobes, it offers more than enough space for the whole family. The shutters and double glazed windows guarantee a quiet environment isolated from outside noise. The bathroom has a relaxing bathtub, while the living-dining room and the open-plan kitchen with large windows provide light and spaciousness. The east orientation ensures pleasant natural lighting throughout the day. In addition, it has air conditioning and a natural gas boiler to maintain an ideal temperature in all seasons. The kitchen is fully furnished and appliances are included. The community has few neighbors, which guarantees tranquility and privacy. With a direct exit to the A-4 and a bus stop at the door, the location is perfect for those looking for a quick and easy connection to the rest of the city. In addition, the area is quiet and has all the necessary services nearby. It is located equidistant from the center and the zone of delight, so you can enjoy the best of both worlds. Don't miss this opportunity and request a visit by appointment. Call us now! This apartment is ideal for you. Ground floor without elevator.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0259977,False,1
nan,False,"{'subtitle': 'Nuevo Aranjuez-Ciudad de las Artes, Aranjuez', 'title': 'Terraced house in Avenida de las Artes'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/53/44/1160625174.jpg,338.0,1121.0,False,36,False,Aranjuez,es,nan,-3.5846466,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Nuevo Aranjuez-Ciudad de las Artes,True,False,chalet,4,False,Avenida de las Artes,102436906,CG-09640-0002,nan,379000.0,nan,sale,https://www.idealista.com/inmueble/102436906/,nan,"Solvia offers 336 m² single-family semi-detached houses, with 3 bedrooms and a multipurpose room, 3 bathrooms and a toilet, for sale in the municipality of Aranjuez, Madrid.The houses are located in an area of ​​consolidated expansion called Ciudad de las Artes.Regarding road access routes, the most common due to their use are M-305 and TO-2542.Less than 11 minutes from the train station.These are semi-detached houses developed on 4 basement floors, low, high and under cover.The basement is used as a private garage with capacity for two cars and a cellar. On the ground floor we find the living-dining room, the kitchen and a toilet.The upper floor consists of 3 bedrooms and 2 bathrooms.On the ground floor is space 1 with the possibility of being used for multiple uses, space 2 with the possibility of being used as a bathroom and exit to two terraces.Built on private plots of around 150 m².They have a PANASONIC AQUAREA T-CAP brand aerothermal system that feeds the radiant/refreshing wire circuit and fan coil circuit in bedrooms and living room, as well as a DHW production system.In addition to 4 JA SOLAR brand photovoltaic panel units with a power of 545W that services the entire electrical installation (including aerothermal installation) with surpluses to the network.The aluminum carpentry is CORTIZO Brand with thermal break and climalit insulating glass.The kitchen is fully furnished with high and low furniture.The appliances included are a CATA brand hood, sink and faucet and a BALAY oven, microwave and induction hob.The bathrooms are equipped with ROCA brand toilets and taps and a walk-in shower finished in natural stone with a perimeter drain and thermostatic taps in the main bathroom.They have an English patio and a terrace on the ground floor with access from the living room, both measuring 21 m² each.It also has two terraces on the ground floor with access from multipurpose room 1.The north terrace has an area of ​​17 m² and the south of approximately 22 m².Individual pool of 2x2 m.In the town we can find services such as supermarkets, restaurants, sports facilities, educational centers, bank offices, other commercial businesses, etc.With Solvia's services you will be able to find the home you need and secure your investment with the best of specialized advice.Get started right now by asking for more information.A person close to you will attend to you personally.The graphic information contained in this support is indicative, prepared from the basic project, and is not contractual, so it may be modified by the promoter company during the execution of the works for reasons of a technical, legal and commercial nature.Likewise, the furniture, decoration, setting elements and electrical appliances included are of a decorative nature and are not subject to contracting.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0302676,False,3
nan,False,"{'subtitle': 'Centro, Aranjuez', 'title': 'Flat in Agustín de Bethancourt'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/13/7f/1142072592.jpg,92.0,2554.0,False,50,False,Aranjuez,es,True,-3.6083203,{'typology': 'flat'},Centro,True,False,flat,3,False,Agustín de Bethancourt,102036361,OFIVENT 441,nan,235000.0,2,sale,https://www.idealista.com/inmueble/102036361/,True,"ARANKEY REAL ESTATE S. L SELLS: Arankey Servicios Inmobiliarios sells a very spacious 3-bedroom apartment in a privileged location! This apartment has two full bathrooms, a garage and an elevator for your convenience. The kitchen is fully furnished and equipped with modern appliances so you can enjoy your meals with ease. In addition, this offer includes a garage space and a storage room to store your belongings. This apartment is perfect for those looking for a comfortable and spacious home in an excellent location. With its three bedrooms with built-in wardrobes in each of them, it has ducted air conditioning and natural gas, as well as wooden and ceramic floors in the bathrooms and kitchen, making it ideal for families or people who need additional space to work from home. The two full bathrooms offer the privacy and comfort you need. The location is unbeatable, with easy access to public transport, train and bus stations, as well as the main communication routes. In addition, the area has a wide variety of services, such as shops, restaurants, and educational and health centers. Don't miss the opportunity to acquire this beautiful apartment in a privileged location with all the amenities you need. Contact us to schedule a showing today!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0277451,False,2
nan,False,"{'subtitle': 'La Montaña-El Cortijo, Aranjuez', 'title': 'Terraced house in Avila'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/1a/df/1132721288.jpg,163.0,1399.0,False,29,False,Aranjuez,es,nan,-3.5923768,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",La Montaña-El Cortijo,True,False,chalet,4,False,Avila,96510674,nan,nan,228000.0,nan,sale,https://www.idealista.com/inmueble/96510674/,nan,"ARANKEY REAL ESTATE, S. L. OR. Arankey offers a semi-detached house for sale in the Pau de la Montaña area, the urbanization has all the services, the house has an area of 163m2 divided into two floors: On the ground floor there is the garage with a laundry area, the Furnished independent kitchen, a bedroom, a toilet and the spacious living room of 30m2. Front and rear patio flooring. On the first floor there are another 3 bedrooms and two full bathrooms with a shower and bathtub. Natural gas heating and ducted air conditioning, wooden floors, excellent qualities. Near the hospital and supermarket. DO NOT HESITATE TO VISIT IT!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0565807,False,3
nan,False,"{'subtitle': 'La Montaña-El Cortijo, Aranjuez', 'title': 'Terraced house in Calle Guimaraes'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/4d/d8/1178340321.jpg,172.0,1471.0,False,44,False,Aranjuez,es,nan,-3.6002032,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",La Montaña-El Cortijo,True,False,chalet,4,False,Calle Guimaraes,103064095,2583,nan,253000.0,nan,sale,https://www.idealista.com/inmueble/103064095/,nan,"TOWNHOUSE WITH POOL IN LA MONTAÑA, ARANJUEZ (MADRID) Magnificent semi-detached house with communal pool, playground and large green areas. The house has a constructed area of 172 m2, distributed over two floors with four bedrooms, two bathrooms, a toilet, a 30 m2 living room with direct access to the patio. Located in the residential area of La Montaña de Aranjuez (Madrid) in a quiet urbanization with maximum privacy and security. The house has a garage. Heating managed by Natural Gas. The master bedroom suite has an 8.2 m2 terrace and a large built-in wardrobe. The neighborhood of La Montaña, just 5 minutes from Aranjuez, is quite quiet, it has the Hospital del Tajo, Mercadona supermarket, playgrounds, Litterator and Maestro Rodrigo public school, it has a golf course and many green areas to practice outdoor sports. fresh air. Characteristics: -Communal swimming pool. -Four rooms. -Two bathrooms and a toilet. -Two patios. -8.2 m2 terrace in the master bedroom. -Garage. -Natural gas heating. Do not hesitate to contact us! [IW].","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0603422,False,3
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Nuevo Aranjuez-Ciudad de las Artes, Aranjuez', 'title': 'Detached house in Calle de Zurbarán'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bd/a3/23/1098193069.jpg,345.0,1725.0,False,75,False,Aranjuez,es,nan,-3.5974201,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Nuevo Aranjuez-Ciudad de las Artes,True,False,chalet,6,False,Calle de Zurbarán,100766266,2527,nan,595000.0,nan,sale,https://www.idealista.com/inmueble/100766266/,nan,"LUXURIOUS AND STATERY HOUSE WITH IMPRESSIVE VIEWS OF ARANJUEZ. We present this luxurious home located in the El Mirador urbanization, with incredible views of all of Aranjuez. The main floor is divided into a living-dining room with a fireplace separated into two rooms with access to a side terrace, a large kitchen with exclusive views of the Royal Palace of Aranjuez, a guest bathroom and a bedroom on the ground floor. If we access the lower floor we find five double bedrooms with panoramic views and two bathrooms, one of them en suite. Also on this floor we have the laundry room. On the next floor we find the second living-dining room with fireplace, kitchen, bathroom, sauna room and gym. From this floor we can access two large patios. It has a garage and covered heated pool. The design of the house is of unsurpassed beauty, having created a harmonious and highly functional set where the spaces are filled with light and all kinds of details have been thought of for your enjoyment. The house has 331 m2 built, distributed in six bedrooms, four bathrooms, garage, gym, two living rooms, two kitchens, two fireplaces, terrace and two patios. The villa is located in the El Mirador de Aranjuez urbanization (Madrid). 45 minutes from Atocha by Renfe Cercanías. Convenient access to the A4. The bus stop is next to the house. Only 50 minutes to your destinations by plane, connecting from the A4 to the M40. Its unbeatable communication in the De la Vega axis of Madrid, halfway between the A4 and A3, makes you feel close to lively towns with high heritage and cultural interest such as Aranjuez, Colmenar or Chinchón where you can enjoy their wide gastronomic offer, cultural and leisure. [IW].","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0238522,False,4
nan,False,"{'subtitle': 'La Montaña-El Cortijo, Aranjuez', 'title': 'Semi-detached house in Calle Santiago Compostela'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f9/d2/26/1178340074.jpg,194.0,1799.0,False,63,False,Aranjuez,es,nan,-3.6007848,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",La Montaña-El Cortijo,True,False,chalet,5,False,Calle SANTIAGO COMPOSTELA,102563165,2577,nan,349000.0,nan,sale,https://www.idealista.com/inmueble/102563165/,nan,"High Standing Semi-Detached Villa with Private Pool in La Montaña Urbanization | Exclusive Ródenas Welcome to the elegance in the La Montaña de Aranjuez Urbanization, Madrid. This exclusive semi-detached house is a masterpiece of contemporary architecture and offers an incomparable lifestyle in a high-end environment. Outstanding Features: - Exclusive private pool, an oasis of tranquility and sophistication in your own patio. - Generous constructed area of 194 m2, with the highest quality finishes in every corner. - Outdoor area of 184 m2 that gives you a space of serenity and beauty. - 300 m2 plot that guarantees privacy and infinite possibilities. - Natural Gas heating for unbeatable comfort. - Fireplace that creates a cozy atmosphere in the spacious living room. - Dream kitchen with island, designer furniture in white and gray tones, and direct access to a private patio for your culinary and relaxation moments. - Large living room with direct access to a beautiful porch and pool, ideal for entertaining. - Private garage for the security of your vehicle and a laundry room for your convenience. - 5 bedrooms, including a master bedroom with en-suite bathroom. - 3 bathrooms that offer comfort and style. Prime location: This property is located in an enviable location in Aranjuez, with close access to the Hospital del Tajo, public and private schools, and a Mercadona supermarket for your daily needs. In addition, you will enjoy excellent connectivity with Madrid and the Renfe Cercanías station. Don't miss the opportunity to live the luxury and comfort you deserve. Contact Exclusivas Ródenas today for more information and to schedule a visit to this high-end residence in Aranjuez. [IW].","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.0669319,False,3
nan,False,"{'subtitle': 'La Montaña-El Cortijo, Aranjuez', 'title': 'House in Calle Iguazú, 33'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/88/a9/1089201665.jpg,168.0,1637.0,False,44,True,Aranjuez,es,nan,-3.5995006,{'typology': 'chalet'},La Montaña-El Cortijo,True,False,chalet,4,False,"Calle Iguazú, 33",100388313,Chalet,nan,275000.0,nan,sale,https://www.idealista.com/inmueble/100388313/,nan,"SegundoB Real Estate sells this fantastic villa in Aranjuez, Madrid. It has 4 bedrooms, a toilet downstairs and two bathrooms upstairs, a fitted kitchen, living room and garage, it has a community pool, ONLY SALE, NO RENT OPTION Find out without obligation by calling the phone number (hidden phone number).",nan,False,40.0549192,False,3
