labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'subtitle': 'Centro, Arganda', 'title': 'Semi-detached house in Calle Rafael Alberti'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/d7/18/1158219079.jpg,191.0,1963.0,False,58,False,Arganda,es,nan,-3.4455214,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",Centro,True,False,chalet,4,False,Calle Rafael Alberti,102499537,BFP-V1157,nan,375000.0,nan,sale,https://www.idealista.com/inmueble/102499537/,nan,"We do not charge the buyer. Fantastic semi-detached house in Arganda del Rey, belonging to the central area very close to the Southeast University Hospital. It has 225 meters of plot and 191 meters of housing that are distributed in: -Ground floor, initially has an entrance area as a 30-meter terrace, before entering the house, we continue with a hall, guest toilet with window, full kitchen, large living-dining room with pellet and wood fireplace with access to a second terrace of 26 meters and access to the garden with 102 meters currently with a tubular pool. -First floor, it has four bedrooms, one of them corresponds to the master bedroom with a bay window and en-suite bathroom.It has built-in wardrobes in all bedrooms and another independent bathroom serving the rest of the bedrooms. From the ground floor we access the garage that has two electric entry/exit doors to the street and a current laundry area or multipurpose space. It has a currently unfurnished attic floor with a possible option to expand the home if desired. The outdoor area has a porch and garden space mentioned above with the current pool.Regarding the garden, as you will see, it is currently divided into two spaces because originally, even though it belonged to the property, it belonged to natural gas in usufruct.As of today, Natural Gas formalized its renunciation of the land and belongs to the property in full ownership, currently already registered in the property registry.No unification of the land has been carried out so that the future buyer can carry it out according to his needs. Other features: It has recently installed solar panels to supply light, heating and hot water through an individual gas boiler, air conditioning in the living room and in each bedroom, double windows with mosquito nets in each room, wooden floors. It also belongs to a community of only 11 chalets that have another community pool. About the area: 25 kilometers from the capital in a southeasterly direction, within the region that connects the so-called Alcarria of Madrid with the plain of the Jarama River, Arganda del Rey is located.History, tradition, nature and modernity merge in today's Arganda. Almost half of its municipal area is located within the Southeast Regional Park, a protected environmental space due, among other things, to the fact that the white stork nests in Arganda, where the lower courses of the Manzanares and Jarama rivers converge, an enclave where nature and fauna They make up a perfect place to enjoy with the family.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2973455,False,3
nan,False,"{'subtitle': 'Centro, Arganda', 'title': 'Flat in valdeparazuelos'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/b5/f4/1159783242.jpg,72.0,2290.0,False,29,False,Arganda,es,True,-3.439278,{'typology': 'flat'},Centro,True,False,flat,3,False,valdeparazuelos,102566104,003.6287,nan,164900.0,3,sale,https://www.idealista.com/inmueble/102566104/,True,"CHANCE! CENTRAL AREA, 3 BEDROOMS WITH TERRACE. In perfect condition, to enter to live. If you are looking to be one step away from everything you need, 5 minutes from the metro station line 9, with excellent communications, this is your home. 72 m2 apartment, distributed in a hall. Fully furnished kitchen with very complete high and low storage units. It has an oven, hood and ceramic hob. Very bright living room, given its excellent orientation with access to an outdoor terrace. 3 large bedrooms, the main one with a built-in wardrobe. Fully furnished bathroom with shower tray and built-in screen. Excellent condition, ready to move into. It is characterized by being a very bright home with a very good distribution. Parquet floors, stoneware floors in kitchen and bathroom. Air conditioning in living room + master bedroom. Central heating. NOTE, that the windows are replaced with thermal break, a savings already guaranteed. Very neat building, with elevator. A few meters from a supermarket, souk shopping center, bars and restaurants, pharmacies, schools, and much more. Call us and don't miss the opportunity. A very quiet area, but located in an excellent connected area. /.",nan,True,40.3012403,True,1
nan,False,"{'subtitle': 'Los Villares, Arganda', 'title': 'Flat in republica argentina, 4'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/90/d7/1125304828.jpg,109.0,2239.0,False,37,True,Arganda,es,True,-3.452389,{'typology': 'flat'},Los Villares,True,False,flat,3,False,"republica argentina, 4",101536839,nan,nan,244000.0,2,sale,https://www.idealista.com/inmueble/101536839/,True,"FREE HOUSING. Excellent 3-bedroom apartment in the 'Los Villares' area, Arganda del Rey. Don't miss this opportunity, in very good condition, to move into. House of 93 m2 useful, distributed in hall. Very spacious and bright living room, with views of the same street. Furnished kitchen, with high and low furniture and access to a closed/glazed drying terrace where the wet area is located. In addition, this area has a storage closet. 3 exterior bedrooms, with built-in wardrobes. One of the bedrooms is a suite, very large, with large spaces and a full bathroom with a bathtub. This bedroom, in addition to being very spacious and enjoying lots of light, has an area of built-in wardrobes with great storage. A second bathroom located in the hallway with a bathtub. Housing facing southeast. Wooden floors. Air conditioning in living room and master bedroom. Windows changed, folding with RPT. Among other features. Garage and storage included. Very quiet building, with well-kept common areas. 'Los Villares' area, one of the most sought-after areas of Arganda. Excellent location, given its proximity to Arganda line 9 metro station and communications with A3 and R3 roads. A few minutes from supermarkets, schools, institutes, pharmacies, etc. Surrounded by green areas. Call us and come meet him, don't miss the opportunity. /.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3097752,False,2
nan,False,"{'subtitle': 'Perlita, Arganda', 'title': 'Penthouse in Calle Presidente José María Aznar'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/5a/ee/1020464299.jpg,271.0,1900.0,False,52,False,Arganda,es,True,-3.4501465,"{'typology': 'flat', 'subTypology': 'penthouse'}",Perlita,True,False,penthouse,3,False,Calle Presidente José María Aznar,98686020,nan,nan,515000.0,6,sale,https://www.idealista.com/inmueble/98686020/,True,"Fantastic unique penthouse in the area. All exterior with wonderful clear views. Hall with built-in wardrobe and large storage capacity. 40 meter living room with two rooms and a large window that provides a lot of light. Motorized blinds. Access to terrace with fabulous views. Furnished kitchen with access to drying terrace. Three large bedrooms with built-in wardrobes and large storage capacity. Master bedroom suite with jacuzzi bathtub and large shower. Exit to the terrace from the master bedroom. Another large bathroom with window and bathtub that serves the other two bedrooms. LED lighting throughout the house. Ducted air conditioning with heat pump. Natural gas heating and hot water. Awnings on the terraces. Hose taps at two points on the terrace, one of them with a programmer and irrigation. Light points and sockets on the terrace. Completely renovated three years ago and very well preserved. 271 meters built and 166 useful meters of housing. 101 meters of terrace that surrounds the entire house. East, west, north and south orientation. Two large parking spaces and a storage room included in the price. Common area with swimming pool, paddle tennis court and playground surrounded by green areas. Concierge and 24-hour security. A few minutes from the Sureste Hospital, schools and public transport. Easy access to A3 and R3. Financial study service and help to obtain a mortgage loan. Moving and cleaning service. Possibility of customizing the home with an architectural studio. Comprehensive and exclusive service with expert professionals. Possibility of expanding information and contact with the real estate agency. 271 m² built. 166 useful m². 3 bedrooms. 2 bathrooms. Terrace. Balcony. Second hand/Good condition. Built-in cabinets. Storage room. Year of construction: 2007. Access adapted to people with reduced mobility. Floor 6, exterior. With elevator. North, South, East, West orientation. Parking space included in the price. Air conditioner. Pool. Yard.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2936473,False,2
nan,False,"{'subtitle': 'Los Villares, Arganda', 'title': 'Semi-detached house'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/d9/06/1106132739.jpg,250.0,2198.0,False,58,False,Arganda,es,nan,-3.4445944,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",Los Villares,True,False,chalet,4,False,Los Villares,100980833,15103,nan,549500.0,nan,sale,https://www.idealista.com/inmueble/100980833/,nan,"If you are looking for a home that fills you with life, with large rooms, extra light and privacy, we have what you are looking for and if you think about it, you lose it! It is a semi-detached house in one of the best areas of Villares. It consists of 251 m² built and 210 m² useful. On a 315 m2 plot, completely tiled, with a 26 m² gazebo fully equipped, stone barbecue and a covered porch that gives access to the house. In the basement we have a garage with an automated door and capacity for two vehicles, a toilet and a room that can be set up as you wish or according to your needs. On the ground floor we find a spacious and wonderful independent living room of 32 m2 with fantastic natural light, a splendid kitchen with designer wall and base units, it has an office that can also be adapted as a bedroom on the ground floor, being a large advantage. This floor has a toilet. On the first floor we find 3 large bedrooms, previously this house had 4, 2 full bathrooms, one of them in the master bedroom and a 20 m2 terrace where you can contemplate sunsets on a whim. It has a large attic, open-plan and fully passable, with built-in base cabinets taking advantage of the sides, and from here we access a 9 m2 terrace. As for qualities, it has exterior carpentry in white climalit aluminum, interior carpentry in solid wood, the house as a whole consists of 4 built-in wardrobes, wooden floors and rustic stoneware, individual natural gas heating, ducted air conditioning, smooth paint. The bathrooms and toilets all have windows. THIS IS ONE OF THOSE HOUSES WITH ALL THE COMFORTS THAT MAKES LIFE EASIER. *Energy Certification: ""E"" *Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3150899,False,4
nan,False,"{'subtitle': 'Los Villares, Arganda', 'title': 'Terraced house'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/89/a7/1199719548.jpg,266.0,1688.0,False,51,False,Arganda,es,nan,-3.453992,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Los Villares,False,False,chalet,5,False,Los Villares,103757515,W-02UC8Z,nan,449000.0,nan,sale,https://www.idealista.com/inmueble/103757515/,nan,"Magnificent semi-detached house in the best area of Arganda Engel & Völkers presents this magnificent townhouse with five bedrooms in the best area of Arganda del Rey. This wonderful four-storey house is accessed by a beautiful and comfortable exterior staircase. The distribution of the house is as follows: On the main floor we have a large bright living room with access to an outdoor terrace where we can enjoy another outdoor dining area(33,69m), fully equipped kitchen (12,65m), toilet with window (2,98m), hall (3,51m) and hallway / staircase (9,28m). From the kitchen we access to a large outdoor patio with a prefabricated swimming pool, barbecue area and games. The second floor is accessed by a comfortable staircase where we find 4 beautiful bedrooms and two bathrooms, all with fitted closets and large windows. The master bedroom has an en suite bathroom. Bedroom 1 (13,41m), bedroom 2 (11,37m), bedroom 3 (8,59m), bedroom 4 (8,91m), bathroom 1 (7,22m), bathroom 2 (4,92m), hallway (3,77m). On the second floor we find a large attic fully equipped for the enjoyment of the lucky buyer. We also have a huge terrace with a large window (the measure is 19.88m). In the semi-basement floor we find a large garage for two large vehicles with automated doors (33.66 m), storage room or multipurpose room (5.62m), bathroom that serves the patio and pool area (2.36m), distributor (2.75m) and hallway / staircase (10.67m) and direct access to the rear courtyard. Arganda del Rey is a municipality that is in expansion, close to the capital, very well connected through the A3-R3 highway, public transport both bus and metro. In a few minutes you can be in any area of Madrid. In particular, the area of Los Villares where this great house is located is a highly demanded area, with a residential profile. It has all the necessary services such as supermarkets, leisure areas, sports, schools, kindergartens and a great gastronomic offer.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3178149,False,4
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Centro, Arganda', 'title': 'Detached house'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/34/5f/1043087780.jpg,387.0,1537.0,False,54,False,Arganda,es,nan,-3.4449648,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Centro,False,False,chalet,3,False,Centro,90716637,nan,nan,595000.0,nan,sale,https://www.idealista.com/inmueble/90716637/,nan,"INDEPENDENT VILLA FOR SALE IN ARGANDA DEL REY  M&M Servicios Inmobiliarios presents a fantastic independent villa of 376 m2 built on a plot of 980 meters. Location: High area of the town, quiet and with excellent views Macael white marble floors throughout the house, smooth white paint. Description: Basement: garage and cellar Ground floor: large distributor, living room approx.50 m2, kitchen 22 m2, toilet, two large bedrooms and bathroom Upstairs: master bedroom, dressing room and bathroom. Office with the possibility of converting into a room. Outside building of approx.50 m2 with three independent rooms Garden: 80% printed concrete flooring, 12x4 meter work pool. Consolidated area, private and public schools, Hospital del Sureste, Sports Pavilion, green areas, excellent communication direct exit A3, R3, Metro L9, urban and interurban bus. The high zone. If you are interested write me and leave a contact phone number.HOUSE FOR SALE IN ARGANDA DEL REY 475.000 € Independent house of 376 m2 built on a plot of 980 meters. Location: High area of the town, quiet and with excellent views Macael white marble floors throughout the house, smooth white paint. Description: Basement: garage and cellar Ground floor: large distributor, living room approx.50 m2, kitchen 22 m2, toilet, two large bedrooms and bathroom Upstairs: master bedroom, dressing room and bathroom. Office with the possibility of converting into a room. Outside building of approx.50 m2 with three independent rooms Garden: 80% printed concrete flooring, 12x4 meter work pool. Consolidated area, private and public schools, Hospital del Sureste, Sports Pavilion, green areas, excellent communication direct exit A3, R3, Metro L9, urban and interurban bus. The high zone. If you are interested write me and leave a contact phone number.Services in the Zone: Public and subsidized schools, institutes, health center, private medical center, supermarket, restaurants and cafeterias, hairdressers, Sports City and football fields, green areas, playgrounds.Sport City It is currently the most sought-after area of the city Metro station L9, urban and interurban bus, direct exit A3 and R 3 Km 27 of the A3 a few minutes from the capital and with everything you need. Come see it! ""Financial service at your disposal up to 100%"" ""Architecture studio in case you want to personalize your home"" We offer you removals, cleaning, in short, an INTEGRAL and EXCLUSIVE service with EXPERT PROFESSIONALS like you deserve. Write to us and we will contact you as soon as possible.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2989827,False,3
"[{'name': 'apartamentoType', 'text': 'Apartment'}]",False,"{'subtitle': 'Centro, Arganda', 'title': 'Flat'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/df/98/1200199622.jpg,44.0,2841.0,False,9,False,Arganda,es,False,-3.4387192,{'typology': 'flat'},Centro,True,False,flat,1,False,Centro,103789939,RP2302024122885,nan,124990.0,bj,sale,https://www.idealista.com/inmueble/103789939/,True,"Redpiso Arganda Plaza offers you a wonderful, completely renovated apartment in the downtown area. The house is located in a quiet building from 2002 with two floors and two neighbors per floor. The property has 44 m2 distributed in a living-dining room, separate kitchen, bathroom, master bedroom and entrance hall. It is renovated with unbeatable qualities: stoneware floors, double glazed folding windows with blind mosquito nets, oak doors and a shower tray in the bathroom. Soundproof walls in the living room and air conditioning. Very well connected by bus lines 312,312A, 326,350 from the stop located in the Plaza de la Constitución just 5 minutes walk from the house, easy road access to the A-3, M-330 and R-3. Close to the Sureste Hospital, medical clinics, sports center, schools and institutes, both public and subsidized, parks, supermarkets and a shopping area. We put our Dcredit financial department at your disposal to obtain a mortgage with tailor-made conditions. The price does not include the Property Transfer Tax (max. 6% on the sale price or the value of the property set by the Community of Madrid), nor 3% (min. €4,000) plus VAT (21%) on the final price of the property equivalent to the buyer's fees for real estate intermediation, nor notarial and/or registration expenses, if applicable.",nan,False,40.3006065,False,1
nan,False,"{'subtitle': 'Centro, Arganda', 'title': 'Flat in Calle de las Viñas'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/da/91/1183737739.jpg,74.0,1676.0,False,30,False,Arganda,es,False,-3.4441256,{'typology': 'flat'},Centro,True,False,flat,3,False,Calle de las Viñas,103263575,139622,nan,124000.0,3,sale,https://www.idealista.com/inmueble/103263575/,True,"For sale exclusively with Housell, call us and visit this home. 74m² apartment in Arganda del Rey, Madrid. The spaciousness of this house provides a family with children all the space they need. It is located on the 3rd floor without an elevator and is distributed in a living room, three bedrooms, a bathroom, and a furnished kitchen, completely independent from the rest of the rooms and equipped with appliances. In addition, the apartment has a terrace, to enjoy natural light throughout the room. The property is all exterior. Due to its south orientation, it is a very sunny house in the central hours of the day. The house is sold unfurnished and in good condition, ready to move into. As for the qualities, this apartment has heat pump heating and air conditioning, aluminum carpentry and parquet flooring, which gives a lot of warmth to the home. To make you feel more secure in your home, the main door is armored. This house is located in a well-connected area, very close to all the services you may need in your daily life. At Housell we offer you a large selection of properties that adapt to your lifestyle. Don't miss this opportunity to find the perfect house for you. h1o3u9s6e2l2l.",nan,False,40.305619,False,1
nan,False,"{'subtitle': 'Centro, Arganda', 'title': 'Detached house in Vereda de la Ladronera'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/3c/64/1178200503.jpg,511.0,1155.0,True,45,False,Arganda,es,nan,-3.4458913,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Centro,True,False,chalet,5,False,Vereda de la Ladronera,100345706,3373-6833,nan,590000.0,nan,sale,https://www.idealista.com/inmueble/100345706/,nan,"GREAT PURCHASE OPPORTUNITY! Magnificent independent villa in a residential area of Arganda del Rey. It has four floors, a plot of 503 square meters, high-quality renovation materials, the house is best valued on the market, air conditioning, oil heating with the option of connecting to Natural Gas. It is in perfect condition, to enter to live. The most interesting characteristics ******************************** -The villa has a plot of 502 square meters, more than 463m2 built. -It has 5 bedrooms, 4 bathrooms with bathtub and wrestling plate and two toilets. -The living room is about 45 square meters. -The kitchen is fully equipped and renovated -The main bedroom consists of about 35 m2, with a 10m2 terrace. -A beautiful garden. -Large garage spaces for two cars or more.. . -Air conditioning distributed in the living room and bedrooms. THE AREA IS VERY WELL COMMUNICATED. -It is located two minutes from the A-3 highway, 15 minutes from Plaza Conde de Casal and a 10-minute walk from the Arganda del Rey Metro station, on line (9). -Very close to the Mercadona supermarket and various shops, restaurant, cafeteria, pharmacy, health center and the Hospital Universitario del Sureste, Rda. del Sur, Virgen del Carmen Sports Center and La Poveda Soccer field, public and private school, Pincelada Early Childhood Education School. Public school. Call us for more information and to arrange a visit. ** WE DO NOT CHARGE COMMISSION TO BUYERS **.",nan,True,40.297112,False,5
