labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'subtitle': 'Zona el Caño, Arroyomolinos', 'title': 'Semi-detached house in Torrevieja'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/c5/0c/1186845867.jpg,341.0,1583.0,True,36,False,Arroyomolinos,es,nan,-3.9198805,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,Zona el Caño,True,False,chalet,3,False,Torrevieja,103353350,nan,nan,539900.0,nan,sale,https://www.idealista.com/inmueble/103353350/,nan,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELLS INCREDIBLE SEMI-DETACHED VILLA of the year 2022 for FREE INCOME in the best area of ​​Arroyomolinos. The house is located in a privileged area of ​​Arroyomolinos, close to schools, a medical center, cafes, restaurants, green areas and walks with a bike path, and less than 200 meters from supermarkets. This fabulous semi-detached house was built in 2022 and has the best qualities and the best energy efficiency (A).It is distributed over three huge floors. MAIN FLOOR We find a large hall which divides the room and gives access to both the full bathroom and the kitchenette.It also has a dining area, equipped with built-in wardrobes for more storage and with the possibility of making a bedroom on the ground floor. The floor is porcelain and also has GEOTHERMY.The high-quality tilt-and-turn windows have thermal break for greater energy efficiency. UPPER FLOOR We find two incredible secondary bedrooms, both equipped with built-in wardrobes, as well as a full bathroom that serves them.It also has a huge MASTER BEDROOM.This bedroom comes with a separate dressing room and an en-suite bathroom, with a double sink and a large shower tray.In addition, we find a magnificent terrace overlooking the backyard of the house. On this floor we find access to the roof of the house where the solar panels are located. LOWER FLOOR Raw plant with infinite possibilities.In this plant we find the geothermal machinery. EXTERIOR OF THE HOUSE We have TWO aerial GARAGE SPACES, with a large main entrance decorated with built-in planters.The plot has more than 230m², all flat, with a spectacular built-in pool. The house has an EAST-WEST orientation, which is why it has one of the best orientations both for the enjoyment of the plot and for energy efficiency. DON'T MISS THE OPPORTUNITY TO COME VISIT YOUR FUTURE HOME! CHECK OUT OUR MORTGAGE FINANCING OPTIONS, THE BEST ON THE MARKET.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.2744868,False,3
nan,False,"{'subtitle': 'Zona el Caño, Arroyomolinos', 'title': 'Flat in Alemania'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/44/c9/1182443139.jpg,124.0,3023.0,True,28,False,Arroyomolinos,es,True,-3.9230343,{'typology': 'flat'},nan,Zona el Caño,True,False,flat,3,False,Alemania,103224419,nan,nan,374900.0,bj,sale,https://www.idealista.com/inmueble/103224419/,True,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELLS beautiful GROUND FLOOR WITH GARDEN for FREE INCOME. **EXCLUSIVE THREE BEDROOM GROUND FLOOR WITH GARDEN IN ARROYOMOLINOS** The house is located in the Europe area, close to all services: supermarkets, transportation, schools, institutes, health center, and proximity to the A-5 highway. The house is distributed as follows: Large hall where we first find the kitchen, spacious and very bright, with space for an office table and with direct access to the patio. We find three large bedrooms facing the outside of the house, all of good size and equipped with air conditioning equipment (with heat pump) from the leading brands, and built-in wardrobes. One of the bedrooms with an en-suite bathroom, which has a double sink, bathtub and heated towel rail. We also find another full bathroom to serve the rest of the rooms and rooms. The living room is a good size to have a dining area and TV, it also comes equipped with air conditioning and direct access to the side patio of the house. The 190m² PATIO is the most exclusive in the area, as you can enjoy different environments thanks to its east-west orientation. We find a glass POOL, it also has several water intake points, as well as an outdoor shower. All windows and exterior doors have bars for greater peace of mind. The common areas have a SWIMMING POOL, CHILDREN'S PARK and GREEN AREAS. The community is the most sought after in the area. The price includes a well-located garage space. DON'T HESITATE AND COME VISIT YOUR FUTURE HOME!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.2774923,False,2
nan,False,"{'subtitle': 'Las Castañeras - Bulevar, Arroyomolinos', 'title': 'Terraced house in Calle San Fernando, 1'}",Madrid,newdevelopment,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/e1/ac/1141289076.jpg,225.0,2040.0,True,43,True,Arroyomolinos,es,nan,-3.9161734,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,Las Castañeras - Bulevar,True,True,chalet,4,False,"Calle San Fernando, 1",99798957,TIPO 1,False,459000.0,nan,sale,https://www.idealista.com/obra-nueva/99798957/,nan,"Promotion of semi-detached and semi-detached houses with refrigerated and heated floors by aerothermal energy and low-e glass windows. With a garage in the basement and a laundry room, three bedrooms plus an office or four bedrooms, 3 bathrooms, a fitted kitchen with an oven, microwave and induction hob, connected to the living room by a sliding door, a spacious living room with direct access to the plot without stairs. quality construction. With Shaded Blinker Brick that requires little maintenance. Porcelain flooring in the main rooms. Anthracite gray PVC windows on the outside and white on the inside. See quality memory. Located between Calle Cádiz, San Fernando, Corcubión and Avd. del Cantábrico, very close to the new ambulatory and the shopping area. Construction company with great experience, born in 1971, which has built in Arroyomolinos: Villa Europa I and II, Los Altos del Pinar and in Navalcarnero: Las Terrazas del Pinar or Pinar de Navalcarnero I, II, III and IV..","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.2826065,True,3
nan,False,"{'subtitle': 'Zona Europa, Arroyomolinos', 'title': 'Semi-detached house in Grecia'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/da/49/1161596951.jpg,174.0,2298.0,True,28,False,Arroyomolinos,es,nan,-3.9293932,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,Zona Europa,True,False,chalet,3,False,GRECIA,102621139,nan,nan,399900.0,nan,sale,https://www.idealista.com/inmueble/102621139/,nan,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELLS SPECTACULAR SEMI-DETACHED HOUSE FOR FREE INCOME IN ONE OF THE BEST AREAS OF THE MUNICIPALITY. Located in the Europe area, very close to all services, schools and supermarkets. Very good communication: close to the A-5 highway and bus stops. The house has a spectacular entrance. Overhead garage with a large space that gives access to the house and the backyard of the house, which is equipped with a magnificent good-sized built-in POOL. The chalet is distributed over two floors: MAIN FLOOR: On the one hand we find access to the covered garage, with capacity for one vehicle and equipped with automatic doors both inside and outside. The access to the house has glazing that illuminates the main hall where we find a large kitchen with space for an office table, a toilet on the ground floor and a large living room with a television and dining area, equipped with air conditioning and direct access to the backyard. We also find bars throughout the ground floor of the house. FIRST FLOOR: We find a large hallway which separates the main bedroom from the secondary bedrooms. The main one has been renovated to expand the dressing area (it currently has 10 rooms) and is equipped with air conditioning, and also has an en-suite bathroom. The secondary bedrooms are very spacious, both have built-in wardrobes and one of them with a window that provides magnificent views. Both bedrooms are accompanied by a secondary bathroom. The house also has access to the ATTIC with many possibilities. DON'T HESITATE TO COME VISIT THIS SPECTACULAR HOUSE! 100% FINANCING.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.2780347,False,3
nan,False,"{'subtitle': 'Urbanización Mediterráneo, Arroyomolinos', 'title': 'Terraced house in menorca'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/8e/c3/1174841490.jpg,145.0,3172.0,True,34,False,Arroyomolinos,es,nan,-3.9075582,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,Urbanización Mediterráneo,True,False,chalet,3,False,menorca,103005601,nan,nan,459900.0,nan,sale,https://www.idealista.com/inmueble/103005601/,nan,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELLS SPECTACULAR TOWNHOUSE FOR FREE INCOME IN ONE OF THE BEST AREAS OF THE TOWN. This home is distributed as follows: At the entrance there is a completely closed overhead garage. Main floor: We have a large, fairly bright living room, a large fully renovated kitchen in the shape of an island with one of the best qualities and with a dining area, a full bathroom, and it also has enough space if you want to make a bedroom on the ground floor. First floor: We find 3 large bedrooms with built-in wardrobes. The master bedroom is large in size and very bright with access to a large terrace, and has an en-suite bathroom with a shower. There is also a second bathroom with a shower that serves the other two secondary bedrooms. The house has countless improvements, it has a private pool, air conditioners, renovations with the best qualities, a fully closed overhead garage with automatic door. We also have solar panels, which leads to great savings. Located in one of the best areas of Arroyomolinos. Very close to schools, shopping areas, sports centers and green areas. Very good communication: close to the R-5, bus stops to Madrid, Móstoles and with good access to the A5. DON'T HESITATE TO COME VISIT THIS SPECTACULAR HOUSE! 100% FINANCING.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.2680618,False,3
nan,False,"{'subtitle': 'Las Castañeras - Bulevar, Arroyomolinos', 'title': 'Semi-detached house in Calle San Fernando, 1'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/e1/ac/1141289076.jpg,228.0,2101.0,True,39,True,Arroyomolinos,es,nan,-3.9161734,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,Las Castañeras - Bulevar,True,True,chalet,4,False,"Calle San Fernando, 1",99798970,TIPO 3,False,479000.0,nan,sale,https://www.idealista.com/obra-nueva/99798970/,nan,"Promotion of semi-detached and semi-detached houses with refrigerated and heated floors by aerothermal energy and low-e glass windows. With a garage in the basement and a laundry room, three bedrooms plus an office or four bedrooms, 3 bathrooms, a fitted kitchen with an oven, microwave and induction hob, connected to the living room by a sliding door, a spacious living room with direct access to the plot without stairs. quality construction. With Shaded Blinker Brick that requires little maintenance. Porcelain flooring in the main rooms. Anthracite gray PVC windows on the outside and white on the inside. See quality memory. Located between Calle Cádiz, San Fernando, Corcubión and Avd. del Cantábrico, very close to the new ambulatory and the shopping area. Construction company with great experience, born in 1971, which has built in Arroyomolinos: Villa Europa I and II, Los Altos del Pinar and in Navalcarnero: Las Terrazas del Pinar or Pinar de Navalcarnero I, II, III and IV..","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2826065,False,3
nan,False,"{'subtitle': 'Las Castañeras - Bulevar, Arroyomolinos', 'title': 'Semi-detached house in Pontevedra'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/b3/75/1194939956.jpg,387.0,1356.0,False,41,False,Arroyomolinos,es,nan,-3.9142318,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,Las Castañeras - Bulevar,True,False,chalet,4,False,Pontevedra,103588586,TECNOCASA  ARROYOMOLINOS,nan,524900.0,nan,sale,https://www.idealista.com/inmueble/103588586/,nan,"Real estate agency in Arroyomolinos INMOBILIARIA TECNOCASA NUEVO ARROYOMOLINOS SELLS SPECTACULAR SEMI-DETACHED CORNER VILLA FOR FREE RENT IN ONE OF THE BEST AREAS OF ARROYOMOLINOS. The chalet is distributed over 3 floors with one of the best possible layouts: On the ground floor you will find a luxurious hall that leads to the bright and spacious living-dining room with unbeatable views of the garden outside, you can also find a wonderful large bright and fully equipped kitchen, the house has a full bathroom and the possibility of having a room on the ground floor, a perfect option to live without having to climb stairs. On the first floor you can find an unbeatable distribution as it has 3 double bedrooms, each larger than the previous one. One of them is for the double room, a spacious and bright room that has a very large en-suite bathroom and a dressing area. In addition to having its own terrace, you can also find two other very spacious rooms, all of which have large and bright windows and with large closets, and that share a large, very practical bathroom. On the -1 floor you can find a wonderful space, completely independent and with the possibility of housing everything a person may need to live, The current use is as a wine cellar, having a living room area and a dining room area with a wooden bar ready to spend great moments, it has a full bathroom with a shower and a kitchen - laundry area perfect for relaxing, it has a garage for 2 vehicles. possibility of making an attic. The chalet has: -POOL. -GARDEN. -PORCH -BBQ AREA A perfect home to live in or as an investment. A perfect home for a family that does not want to miss out on the good things about living in Madrid, but at the same time wants to enjoy green areas, parks and tranquility, with one of the best connections to get around and without needing to move to access any services. that everything you need is at your fingertips. Do not hesitate to come see it, it may be what you are looking for.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2857838,False,4
nan,False,"{'subtitle': 'Zona el Caño, Arroyomolinos', 'title': 'Flat in aguilas'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/79/0d/1165054659.jpg,85.0,2564.0,False,29,False,Arroyomolinos,es,True,-3.9211115,{'typology': 'flat'},nan,Zona el Caño,True,False,flat,2,False,aguilas,102709367,TECNOCASA  ARROYOMOLINOS,nan,217900.0,bj,sale,https://www.idealista.com/inmueble/102709367/,True,"Real estate agency in Arroyomolinos INMOBILIARIA TECNOCASA NUEVO ARROYOMOLINOS SELLS SPECTACULAR GROUND FLOOR WITH 2 BEDROOMS AND PRIVATE GARDEN IN ONE OF THE BEST AREAS OF ARROYOMOLINOS. The apartment is distributed on a single floor with different rooms: For sale: GROUND FLOOR WITH PRIVATE GARDEN. The ground floor is distributed in two rooms with a very good patio: On the apartment you will find a bright and spacious living-dining room with unbeatable views to the outside, you can also find a wonderful large, bright and fully equipped kitchen that has an interior window that overlooks the living room. The apartment has two bedrooms, one of them used as a double room that has a built-in dressing room. And another secondary room with lots of light and its own built-in wardrobe. Both share a full bathroom with all the amenities. The rooms are spacious and bright thanks to the great layout of the apartment. El Bajo has: -COMMUNAL SWIMMING POOL. -GARDEN. -PLAY AREAS FOR THE LITTLE ones. -CLOTHING ROOMS. -REST ZONE. A perfect home to live in or as an investment. A perfect home for a family that does not want to miss out on the good things about living in Madrid, but at the same time wants to enjoy green areas, parks and tranquility, with one of the best connections to get around and without needing to move to access any services. that everything you need is at your fingertips. Do not hesitate to come see it, it may be what you are looking for.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2775972,False,1
nan,False,"{'subtitle': 'La Cárcaba - El Encinar - Montemolinos, Arroyomolinos', 'title': 'Terraced house in Murillo'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/ec/6c/1153898888.jpg,260.0,1769.0,True,37,False,Arroyomolinos,es,nan,-3.9103188,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,La Cárcaba - El Encinar - Montemolinos,True,False,chalet,4,False,MURILLO,102384784,nan,nan,459900.0,nan,sale,https://www.idealista.com/inmueble/102384784/,nan,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELLS SPECTACULAR TOWNHOUSE IN ONE OF THE BEST AREAS OF THE TOWN This wonderful villa is located in the Rinconada area, close to all types of shops, schools, institutes, direct access to the R5 radial, etc. The property is distributed in: FIRST FLOOR: Magnificent open space with two orientations and lots of light in which there is an American kitchen with peninsula, living room with TV and dining area, guest toilet and flying staircase with glass railings that gives access to the upper floor and Direct access to the garden with pool. SECOND FLOOR: bright hallway with three bedrooms, a guest bathroom and an en-suite bathroom in the master bedroom. THIRD FLOOR: LARGE TERRACE with solarium plus an enclosure to have a room. The house has large windows and of the best qualities. Private aerial parking with automatic doors and roof. BETTER SEE IT, IT WON'T LEAVE YOU INDIFFERENT. FINANCING UP TO 100%!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2630106,False,3
nan,False,"{'subtitle': 'Casco Antiguo - La Dehesa - Los Monteros, Arroyomolinos', 'title': 'Duplex in Calle del Potro'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/db/66/ac/1164820624.jpg,160.0,1525.0,True,27,False,Arroyomolinos,es,False,-3.9202684,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,Casco Antiguo - La Dehesa - Los Monteros,True,False,duplex,4,False,Calle del Potro,102713529,nan,nan,244000.0,1,sale,https://www.idealista.com/inmueble/102713529/,True,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELLS SPECTACULAR DUPLEX PENTHOUSE This spectacular duplex is located in the town area, one of the best locations in Arroyomolinos close to all types of shops and services, bus stops, schools, institutes, etc. It is distributed as follows: FIRST FLOOR: We have a completely renovated kitchen, a spacious and bright living room, bedroom and a complete bathroom with a shower. SECOND FLOOR: We find three large bedrooms, a full bathroom to serve these rooms, and a large terrace. The house has many improvements and renovations carried out. THE PRICE INCLUDES PARKING SPACE.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.2721265,False,2
