has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,labels,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopment,latitude,suggestedTexts,externalReference,status,parkingSpace,address
False,countryHouse,False,True,127.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/61/cf/1175289491.jpg,False,False,2,nan,59000.0,465.0,nan,1,es,"LOOKING FOR A QUIET TOWN WITH ALL THE SERVICES? ARE YOU LOOKING FOR A HOUSE AT A GOOD PRICE TO PUT IT TO YOUR TASTE? Do not look any further! We offer you this house with 127 meters with endless possibilities. The house is accessed through a patio shared with 4 neighbors and has another 25-meter totally private patio. It is distributed over two floors plus a cave. On the ground floor there is the bathroom, the kitchen and two more rooms, which could be left open-plan and converted into a living room with a kitchenette. Through the stairs, on the second floor, we have an open-plan attic and another space for one more bedroom. The cave is accessed through an external door. It has height and width, so again, there are several options to adapt this space to whatever you can think of. Recently, checks have been made both on the structure and foundation, as well as on the roof, beams, and walls.. . The water and electricity meter are recent. Areas of both the ceiling and the floor have been chopped to make checks. The idea was to cut the ceiling and leave the vaults with the original wooden beams since they are in GOOD CONDITION. IT IS A PERFECT OPPORTUNITY TO TURN IT INTO YOUR IDEAL HOME. If you have any questions, want to see ideas on how to leave it or want to make a visit, do not hesitate to contact us. Belmonte de Tajo is a Spanish municipality and town in the southeast of the Community of Madrid. The municipal term, located in the region of Las Vegas and in the Alcarria de Chinchón, has a population of 1769 inhabitants. It has three bus lines, one of them linking with the capital, specifically, at the Conde de Casal station. These lines are: 337Madrid (Count of Casal) - Chinchón - Valdelaguna 350C Arganda del Rey (Hospital) – Belmonte de Tajo 430Aranjuez – Villarejo de Salvanés In addition, Belmonte has educational centers (C. AND. I. P. Belmonte de Tajo and ""Las Brisas"" Early Childhood Education School), Pharmacy, Playgrounds, supermarkets and a wide range of jobs in the industrial zone. [IW].",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/101999647/,-3.3401334,False,21,nan,nan,False,101999647,Madrid,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",False,40.1336177,{'title': 'Village house in Calle Barrio Alto'},PUE0028,renew,nan,Calle Barrio Alto
False,chalet,False,False,44.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/0d/10/1100909563.jpg,False,False,1,nan,55000.0,1250.0,nan,1,es,"Are you looking to buy a semi-detached house in Belmonte del Tajo? We offer you this excellent opportunity to own this house with an area of 44 m² distributed in 1 rooms and 1 bathroom. In an unbeatable natural environment, close to Parque de las Fuentes and close to the Plaza de la Constitución de Belmonte. What are you waiting for? Call us and our area specialist will answer any questions. We do not charge commission to the buyer. When calling, give us the reference C0127-MURE-308005 CENTURY 21 Now ""The best of people at the service of people"".",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/100847960/,-3.3417248,True,30,nan,nan,False,100847960,Madrid,{'typology': 'chalet'},False,40.1333222,"{'title': 'House in Camino del Tío Miguel, 4'}",C0127-MURE-308005,good,nan,"Camino del Tío Miguel, 4"
False,chalet,False,True,44.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/80/cc/1139057821.jpg,False,False,1,nan,55000.0,1250.0,nan,1,es,"Are you looking for the house of your dreams in a quiet and well-connected area? We have an excellent property investment opportunity for you. It is a residential semi-detached house in the town of Belmonte de Tajo, province of Madrid, with an area of 44.13 m² well distributed in 1 bedroom and 1 bathroom. And it also has a parking space! This house is perfect for those looking for a cozy home, with well-distributed spaces full of natural light. Its modern and functional design will allow you to fully enjoy every corner of the house. The location of this semi-detached house is unbeatable, as it is located in a very quiet residential area of Belmonte de Tajo, surrounded by nature and with all the necessary services at your fingertips. You will be able to enjoy the comfort of living in a privileged environment and at the same time be very well connected to the main access roads. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling out the contact form. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/100703559/,-3.3428596,False,17,nan,nan,False,100703559,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.1343736,{'title': 'Terraced house in Camino del Tío Miguel'},MURE-308004,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Camino del Tío Miguel
False,chalet,False,False,153.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/34/2c/1122205735.jpg,False,False,4,nan,123100.0,805.0,nan,2,es,"SegundoB Real Estate sells this home in Belmonte de Tajo, Madrid. The main floor is upstairs and there is a toilet, a bedroom, the living room with a kitchenette and from the kitchen there is access to a small patio. On the 1st floor they have a bathroom and 3 bedrooms, the main one has a small dressing room. Parking space is included. A few meters from the town hall, bus stops and good communication via the M-404 highway. The Spanish municipality of Belmonte de Tajo is located in the southeastern area of the Community of Madrid, it is one of the 23 towns that make up the informal Madrid region known as Comarca de Las Vegas (lands and orchards of the Tajo) and the historic Alcarria from Chinchón, it is located 55 kilometers from Madrid capital. In 2018 it had a population of 1,627 inhabitants. Find out without compromise.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/101446272/,-3.3416989,True,42,nan,nan,False,101446272,Madrid,{'typology': 'chalet'},False,40.133438,"{'title': 'House in Camino del Tío Miguel, 3'}",XE60579456,good,nan,"Camino del Tío Miguel, 3"
False,chalet,False,False,360.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4a/83/64/1201663521.jpg,False,True,6,nan,250000.0,694.0,nan,3,es,"DO NOT LOSE THIS OPPORTUNITY. MAGNIFICENT TOWNHOUSE of 360m². For sale €250,000, 10% of the deposit will be given as a purchase commitment. GESPROMAR SELLS Great Villa 48km from Madrid. It is well connected by buses that arrive and depart from Conde de Casal every 30 minutes. The Urbanization is made up of 10 chalets and has a community pool, garage and community areas. The property consists of two bathrooms and a toilet, and three bedrooms, as well as a ground floor that can be used as a bedroom or given another use. The property has a large living room, Heating (cold heat pump or also pellet), Terraces.. . Garage and storage room included. The house comes with a furnished kitchen equipped with appliances. Get informed without commitment! It is the house you are looking for, come see it!",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/101374349/,-3.3422218,False,26,nan,nan,False,101374349,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.1324588,{'title': 'Detached house in Senda de la Solana'},LTN0345-.-,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Senda de la Solana
False,chalet,False,False,44.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/67/42/1139057835.jpg,False,False,1,nan,55000.0,1250.0,nan,1,es,"Do you want to buy a 1-bedroom semi-detached house for sale in Belmonte de Tajo? Excellent opportunity to own this residential semi-detached house with an area of 44.13 m², well distributed in 1 bedroom and 1 bathroom located in the town of Belmonte de Tajo, province of Madrid. It has a garage. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling out the contact form. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/100869684/,-3.3434711,False,37,nan,nan,False,100869684,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.134069,{'title': 'Terraced house in Camino del Tío Miguel'},MURE-308005,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Camino del Tío Miguel
False,chalet,False,False,154.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/54/ea/1091309973.jpg,False,False,4,nan,123100.0,799.0,nan,4,es,"GARSIERRA. Housing distributed in living room, kitchen, 4 bedrooms, 2 bathrooms, doorman and 1 parking space. A few meters from the town hall, bus stops and good communication via the M-404 highway. Urbanization with swimming pool and common areas. Municipality that has all the basic services at its fingertips, with a commercial offer (large surfaces and necessary neighborhood stores) and an educational offer, a variety of restaurant services and valued green areas in which to carry out outdoor activities. Housing for those who want to live in a quiet area very well connected and for those who seek to invest for rent with a very good profitability. All this, in addition, with excellent communications by public transport (bus) and roads.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/99973502/,-3.3414694,True,6,nan,nan,False,99973502,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.1330259,"{'title': 'Semi-detached house in tio miguel, 11'}",TIO MIGUEL,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","tio miguel, 11"
False,flat,False,False,74.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/6d/d5/1196041392.jpg,False,False,2,True,86000.0,1162.0,nan,2,es,"FINCAS GONZALO SELLS LARGE APARTMENT IN BELMONTE DE TAJO. 74 m2 of housing, to which we must add the surface of the terrace. The house consists of a fully equipped kitchen*, living room, two bedrooms, a bathroom and a toilet, as well as the aforementioned terrace. **The kitchen is completely renovated. Air conditioning and heat pump in the living room (2 devices). Furniture: to be agreed. IBI: €178/year. If you would like more information and arrange a visit, please do not hesitate to contact us. We streamline all procedures, including financing.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/103650214/,-3.3400473,False,24,bj,False,False,103650214,Madrid,{'typology': 'flat'},False,40.1315588,{'title': 'Flat'},nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Belmonte de Tajo
False,flat,False,False,72.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/f9/23/1147660151.jpg,False,False,3,True,45675.0,634.0,nan,1,es,"Investment opportunity: housing without possession. Impossibility of interior visit, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation. Investment opportunity: housing without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102200279/,-3.3413011,True,2,bj,False,False,102200279,Madrid,{'typology': 'flat'},False,40.133146,"{'title': 'Flat in Senda de la Solana, 5'}",OKPMADRID24,good,nan,"Senda de la Solana, 5"
False,chalet,False,False,83.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0b/c8/6d/1167943923.jpg,False,False,2,nan,87000.0,1048.0,nan,2,es,"DP2020 sells a duplex in the town of Belmonte de Tajo, 50 minutes from Madrid on the A3 towards Valencia. The property is distributed in two floors. On the ground floor there is a living room, kitchen and a bathroom. On the upper floor there are two bedrooms and a bathroom. Building built in 2008. It has good quality memory. The town has good communication with Madrid, the most developed nearby town is Villarejo de Salvanés (institute, supermarkets, industrial estate, commercial premises). No agency fee. Information and visit without obligation. We have finance.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102747032/,-3.3420429,False,21,nan,nan,False,102747032,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.1319426,{'title': 'Detached house'},H0183,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Belmonte de Tajo
False,flat,False,False,606.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/7b/96/1089961539.jpg,False,False,5,True,75000.0,124.0,nan,3,es,"SegundoB sells this 606m2 building in Belmonte de Tajo, Madrid exclusively and without agency commission. Fantastic development of 14 apartments under construction in the town of Belmonte de Tajo. Located in the interior of the town, it has great access to both the main road of the municipality and the M-404 with direct access to the A3, just 10 minutes from towns such as Chinchon and Colmenar de Oreja, making the communication is excellent. You will be able to enjoy the tranquility that a quiet town of 1700 inhabitants offers you, but at the same time, with great activity. It has public transport and all types of shops such as bars, restaurants, bazaars, shops, supermarkets and historical monuments, This stopped work has a construction of 10.20% completed, of which we own 88% of the property (14 homes). The building is made up of 16 homes and 16 parking spaces. With a buildable area of 4 floors, 1 below ground and 3 above ground. Don't miss this opportunity and contact us. We will inform you without any obligation.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/100281071/,-3.3379725,True,6,nan,nan,False,100281071,Madrid,{'typology': 'flat'},False,40.1345485,"{'title': 'Flat in Calle Escarchada, 27'}",1066958/1,renew,nan,"Calle Escarchada, 27"
True,duplex,False,False,83.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/84/a8/1184562286.jpg,False,True,2,nan,87000.0,1048.0,nan,2,es,"Do you want to buy 2-bedroom duplexes for sale in Belmonte de Tajo? Excellent opportunity to own this residential duplex with an area of 82.72 m², well distributed in 2 bedrooms and 2 bathrooms located in the town of Belmonte de Tajo, province of Madrid. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling out the contact form. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102652507/,-3.3426164,False,6,1,False,False,102652507,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.1319194,{'title': 'Duplex in Camino del Tío Miguel'},MURE-308008,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Camino del Tío Miguel
True,duplex,False,False,104.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9a/eb/78/1160657994.jpg,False,True,2,nan,96500.0,928.0,nan,2,es,"Do you want to buy a 3-bedroom semi-detached house for sale in Ceutí? Excellent opportunity to own this residential semi-detached house with an area of 183m² well distributed in 3 bedrooms and 2 bathrooms located in the town of Ceutí, province of Murcia. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling out the contact form. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102593349/,-3.3423094,False,8,1,False,False,102593349,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.1345117,{'title': 'Duplex in Camino del Tío Miguel'},MURE-308009,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Camino del Tío Miguel
True,duplex,False,False,83.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/5d/b3/1184562273.jpg,False,True,2,nan,87000.0,1048.0,nan,2,es,"Do you want to buy 2-bedroom duplexes for sale in Belmonte de Tajo? Excellent opportunity to own this residential duplex with an area of 82.73 m², well distributed in 2 bedrooms and 2 bathrooms located in the town of Belmonte de Tajo, province of Madrid. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling out the contact form. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102652449/,-3.3434766,False,6,nan,False,False,102652449,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.132476,{'title': 'Duplex in Camino del Tío Miguel'},MURE-308007,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Camino del Tío Miguel
False,duplex,False,False,172.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/60/eb/1147659439.jpg,False,False,3,True,80707.0,469.0,nan,1,es,nan,sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102200286/,-3.3428519,False,2,1,False,False,102200286,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.1338443,{'title': 'Duplex in Camino Del Tio Miguel'},OKPMADRID23,good,nan,Camino DEL TIO MIGUEL
False,chalet,False,False,104.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/f4/f0/1190640629.jpg,False,False,3,nan,81500.0,784.0,nan,1,es,"Investment opportunity: housing without possession. Impossibility of interior visit, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation. Investment opportunity: housing without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102210747/,-3.3420643,False,1,nan,nan,False,102210747,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.1319927,{'title': 'Terraced house in Senda de la Solana'},OKPMADRID57,good,nan,Senda de la Solana
False,chalet,False,False,149.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/cc/d7/1163690802.jpg,False,False,2,nan,111000.0,745.0,nan,2,es,House for sale in Belmonte De Tajo and with 149 m².,sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/102682921/,-3.3393144,False,26,nan,nan,False,102682921,Madrid,{'typology': 'chalet'},False,40.1330029,{'title': 'House'},1300,good,nan,Belmonte de Tajo
False,chalet,False,False,154.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/dd/03/1187241513.jpg,False,False,4,nan,123100.0,799.0,nan,2,es,"Mercaser Grupo Inmobiliario sells housing distributed in living room, kitchen, 4 bedrooms, 2 bathrooms, doorman and 1 parking space.A few meters from the town hall, bus stops and good communication via the M-404 highway. Municipality that has all the basic services at its fingertips, with a commercial offer (large surfaces and necessary neighborhood stores) and an educational offer, a variety of restaurant services and valued green areas in which to carry out outdoor activities. Writing expenses and taxes not included. We do not charge commission to the buyer. Belmonte de Tajo is a municipality that is part of the Las Vegas Region, located 55 kilometers from the capital, Madrid.As places of interest, highlight the Plaza de la Constitución, the Church of Our Lady of the Star, the Hermitage of San Isidro and the Monte de El Calvario. Sociodemographics Inhabitants: 1,605Number of households: 968Average age of people: 40 years% foreigners: 5%Average level of education: Secondary.",sale,Belmonte de Tajo,False,https://www.idealista.com/inmueble/103366229/,-3.3427967,False,11,nan,nan,False,103366229,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.131527,{'title': 'Terraced house'},60579456,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Belmonte de Tajo
