labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Valdecabañas, Boadilla del Monte', 'title': 'Detached house'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/3c/67/1189874066.jpg,730.0,1438.0,True,31,False,Boadilla del Monte,es,nan,-3.8877065,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Valdecabañas,True,False,chalet,5,False,Valdecabañas,97441907,PV8229I,1050000.0,nan,sale,https://www.idealista.com/inmueble/97441907/,nan,"A sunny and comfortable 730 m² detached house on a 1,625 m² plot with great potential in Valdecabañas, Boadilla del Monte. A magnificent family house with great potential for an update. This is an extremely comfortable two-storey house but most of the living space is on the main floor. It is on a residential estate with 24-hour security. Valdecabañas is currently one of the most sought-after residential areas. It belongs to the municipality of Boadilla del Monte, which is only 15 km from Madrid and provides easy access to the M503, M40, and M50. It is surrounded by landscaped areas, sports facilities, and international and bilingual schools, such as Saint Michael’s, Trinity College, Highlands School, and Mirabal. Only a few minutes away from shopping centres and the best hospitals in the Northwest of Madrid, such as Hospital Puerta de Hierro or HM Montepríncipe. In recent years, Boadilla del Monte has attracted residents with the highest per capita incomes in Spain thanks to the quality of life it provides, its extensive landscaped areas, and security.  Layout: MAIN FLOOR: •A spacious entrance hall. •A large kitchen with direct access to the porch. •A spacious living-dining room with views of the garden. •Laundry room. •Pantry. •Guest W. C. •Extremely large master bedroom with an en suite bathroom. •Two large bedrooms. •A complete bathroom. FIRST FLOOR: •Lounge with a fireplace. •Two large bedrooms with en suite bathrooms. BASEMENT: •300 m2 garage for 8 cars. •Cellar. •Storeroom. GARDEN: •Porch. •An extensive garden with a private pool. •Barbecue area. The house includes air conditioning in all the rooms and an extremely low heating bill. CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING Monte de Las Encinas, Las Lomas, Bonanza, Valdecabañas, Valdepastores, Pino Centinela… The residential estates in Boadilla del Monte are highly valued and feature detached villas. Most include 24-hour security services, social clubs, schools and health centres. They are all well-connected via the old Majadahonda Road, the M-40 and M-50.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4420464,True,5
nan,False,"{'subtitle': 'Sector S, Boadilla del Monte', 'title': 'Terraced house in Victoria Rubio'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/72/70/1189918759.jpg,251.0,2311.0,True,45,False,Boadilla del Monte,es,nan,-3.8863318,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Sector S,True,False,chalet,4,False,Victoria Rubio,103352699,RO192481,580000.0,nan,sale,https://www.idealista.com/inmueble/103352699/,nan,"Pending photographic report. Gilmar presents exclusively this fantastic townhouse in Sector S of Boadilla del Monte. The house is located in a gated community, very well maintained and with common areas with swimming pool. Unbeatable location next to two parks; open, green spaces and great privacy in the private garden of the house. Close to all services, schools, high school, historic center of Boadilla, ambulatory, sports facilities, etc. The house is distributed over 4 floors. On the main floor, the house welcomes us with a bright living room with access to a glazed porch, very well insulated, with air pump cold / heat to enjoy it all year round, and that leads to the beautiful private garden of the house, kitchen with nice views of the garden of the house, toilet and closet. Upstairs there are 3 bedrooms with two bathrooms, the master en suite with dressing room and bathroom with shower. On the attic floor, open space with closets taking advantage of the fall of the roof. Fantastic terrace with spectacular views. In the basement, a fantastic garage for two cars, spacious and accessed through the interior of the urbanization thus favoring privacy. Interior carpentry in oak, exterior in double glazed aluminum, marble floors on main floor, parquet in the bedrooms, air conditioning by splits, natural gas heating. Very luminous. A cozy and familiar urbanization, which allows you to create a fantastic home in which to see your family grow. Do not hesitate to visit it! In Gilmar Consulting Inmobiliario we accompany you on this path offering you all our experience. If you need to sell your home, we put at your disposal our more than 35 commercial teams and our important portfolio of clients in active search of housing, in addition to our investment and financial department from which we can offer our clients the best conditions of the mortgage market. For us, the most important thing is you and we will defend your interests as if they were our own. Do not hesitate to contact us!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4078009,True,3
nan,False,"{'subtitle': 'Sector B, Boadilla del Monte', 'title': 'Flat in Severo Ochoa'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/d3/86/1175780662.jpg,125.0,4200.0,True,44,False,Boadilla del Monte,es,True,-3.889782,{'typology': 'flat'},Sector B,True,False,flat,3,False,SEVERO OCHOA,102999783,RO190835,525000.0,3,sale,https://www.idealista.com/inmueble/102999783/,True,"Gilmar is offering a well-maintained apartment in a gated community in Boadilla del Monte. The community offers amenities such as a heated pool, gym, jacuzzi, sauna, and sports courts. The apartment has good qualities, including climalit tilt and turn windows, underfloor heating, wooden floors, and air conditioning ducts. It also has a glazed terrace with Lumon system and a south orientation. The apartment features a hall, three large bedrooms with fitted closets, and two full bathrooms. The kitchen is spacious with a dining area, and the living room has access to a terrace. The apartment is in perfect condition, freshly painted, and comes with two parking spaces and a storage room. Gilmar Consulting Inmobiliario offers their experience and assistance throughout the process.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4122812,True,2
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Urb. este - Montepríncipe, Boadilla del Monte', 'title': 'Detached house'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/c2/9f/1195180527.jpg,750.0,2660.0,True,60,False,Boadilla del Monte,es,nan,-3.8488777,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Urb. este - Montepríncipe,True,False,chalet,6,False,Urb. este - Montepríncipe,102946428,PV8606I,1995000.0,nan,sale,https://www.idealista.com/inmueble/102946428/,nan,"740 m² detached villa on a 3,000 m² plot with a consolidated garden and private pool on a residential estate with communal areas, security service and easy access to main roads. Layout: MAIN FLOOR: spacious entrance hall with guest toilet, hall wardrobe, living room with a fireplace and separate dining room; all these rooms have large windows overlooking the garden. Kitchen with a utility area and daily dining area with access to a glazed porch. Toilet and laundry area on the same floor. The bedroom area consists of two bedrooms and one complete bathroom as well as two more bedrooms with en-suite bathrooms. TOP FLOOR: bedroom with a walk-in closet, bathroom and a terrace. Large office. BASEMENT: bedroom and bathroom for the staff with a separate entrance. Laundry room, cellar. Large multi-purpose room with a fireplace and access to the garden. Storeroom. Garage for three cars. Diesel heating based on radiators Air conditioning. CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING These residential estates belong to the municipalities of Pozuelo de Alarcon, Majadahonda and Boadilla del Monte. They are connected by the M-40, M-500 and M-503. They are very safe and have 24-hour security services, public transport, schools, shops and a social and sports club. They all offer detached houses in large plots with trees. Many of the homes have been renovated in recent years with the arrival of young families, who have contributed a very pleasant lifestyle.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4078982,False,7
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Valdecabañas, Boadilla del Monte', 'title': 'Detached house'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/35/96/1198248328.jpg,470.0,3191.0,True,48,False,Boadilla del Monte,es,nan,-3.8797789,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Valdecabañas,True,False,chalet,5,False,Valdecabañas,98140600,PV8272I,1500000.0,nan,sale,https://www.idealista.com/inmueble/98140600/,nan,"A comfortable property ready to move in in Valdecabañas. A wonderful villa designed by a renowned architect with a garden divided into several atmospheres in Valdecabañas. The house stands out for its contemporary style with an elegant combination of noble materials, stunning windows and a carefully designed interior that make this house a home for design enthusiasts. An extremely functional design with a comfortable layout and all the comforts. The ideal size with 5 bedrooms, a heated pool, built-in barbecue, chill out area, a cinema, bar and a large garage for 6 cars. It is close to international schools, such as Mirabel, Trinity College, Saint Michael, Highlands, and Virgen de Europa. Easy access to the M40, M503, and M50, only 20 minutes from Madrid, and a few minutes from the Puerta de Hierro Hospital in Majadahonda and the HM Montepríncipe Hospital, shopping centres, several parks and access points to green routes where you can enjoy the outdoors and do some sport. Valdecabañas is an exclusive residential complex that has become an attractive area in recent years thanks to its proximity to Pozuelo and Majadahonda, its comfortable access, and the charm of Boadilla’s green areas that are synonymous with quality of life. A residential complex with 24-hour security. Layout: MAIN FLOOR: • A spacious entrance hall with tempered glass walls. • A guest WC. • A large living room in various atmospheres with access to the porch and views of the garden and pool, a skylight and a large fireplace. • A spacious kitchen with a large central island, excellent storage and high-end furniture. Direct access to the chill out, barbecue and lounge areas. FIRST FLOOR: • The master bedroom has a large walk-in closet and an en suite bathroom with a bathtub and shower. Fantastic views. • 3 double bedrooms with excellent views. • A complete bathroom with a double shower. • Possibility of building an additional bathroom in one of the bedrooms. BASEMENT: (Receives light from a courtyard) • An open-plan game room. • A bedroom and bathroom for the staff. • A leisure lounge with a bar and access to a courtyard. This room also features a surround sound cinema system, a discotheque, and a bar. Soundproofed room, a real treat.  • A large laundry room. • Storeroom • Utility room. • Garage for 6 cars. Air conditioning. Natural gas. CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING Monte de Las Encinas, Las Lomas, Bonanza, Valdecabañas, Valdepastores, Pino Centinela… The residential estates in Boadilla del Monte are highly valued and feature detached villas.Most include 24-hour security services, social clubs, schools and health centres. They are all well-connected via the old Majadahonda Road, the M-40 and M-50.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4381745,False,4
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Parque Boadilla, Boadilla del Monte', 'title': 'Detached house'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ed/db/41/1163162335.jpg,415.0,4795.0,True,48,False,Boadilla del Monte,es,nan,-3.913434,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Parque Boadilla,True,False,chalet,6,False,Parque Boadilla,102667743,nan,1990000.0,nan,sale,https://www.idealista.com/inmueble/102667743/,nan,"Vanguard style detached villa on a 950m2 plot.  Domotics of the year 2023 (KNX). Ventilated facade, which improves energy efficiency. Technal windows, first class, with high thermal insulation, ideal to achieve the best energy efficiency. SONOS sound system with BOSÉ quality. The interior and exterior floor of the house is made of Macael and the black marble is from Marquina. The garden is a very important part of this house, where the landscaping project, porches and the overflowing swimming pool, make it have an aesthetic balance and harmonious color with the species of flowers and trees that have been decided to plant. This property is distributed as follows: Floor 0: Entrance hall Courtesy toilet. Office Living room Dining room Kitchen Master bedroom with ""Walking Closet"" and bathroom with first class qualities. The large windows on this floor, are designed so that, once open, the garden and the porch is an extension of the inside of the house, making easy communication between the two. Floor 1:  Bedroom for double bed with en-suite bathroom. 2 bedrooms for double bed sharing a bathroom. Floor -1: Garage for 4 cars without getting in each other's way + ramp. Laundry room Service bedroom with full bathroom. In addition to all this, the house has a covered outdoor garage courtesy, for 2 cars.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4299069,True,5
nan,False,"{'subtitle': 'Urb. este - Montepríncipe, Boadilla del Monte', 'title': 'Terraced house in Paseo De Los Tilos'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/7e/4b/1162881439.jpg,361.0,3019.0,True,51,False,Boadilla del Monte,es,nan,-3.8481104,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Urb. este - Montepríncipe,True,False,chalet,5,False,Paseo DE LOS TILOS,102624197,RO189704,1090000.0,nan,sale,https://www.idealista.com/inmueble/102624197/,nan,"Gilmar sells an exclusive corner semi-detached house in the prestigious urbanization of Montepríncipe, a privileged area surrounded by extensive green areas with century-old pines and oaks. A quiet area surrounded by protected Monte, just 14km from the Capital, very attractive and in demand in the real estate market.This urbanization is home to high purchasing power and the highest per capita income in Boadilla del Monte.It is an ideal and unique place to live and watch your family grow. The house welcomes us with a large hall from which the different rooms of the house are distributed. On the main floor and accessing from the hall we find an office, a living-dining room with different environments and direct access to the private garden of the house that has a beautiful seating area with a pergola, where you can relax and enjoy with your family and friends. friends. The kitchen, renovated and expanded, has Anloc furniture and a 10cm granite countertop.And also with direct access to the garden.Both rooms, the living room and the kitchen, integrate environments with the garden, allowing them to be enjoyed for most of the year. From the kitchen, we access the service area that is completely independent, but at the same time discreetly connected to the sleeping area in case it is necessary.In this area we find a room with a full bathroom, a laundry area and access to the basement.It has a separate service entrance. The upper floor is distributed in 4 bedrooms and two bathrooms, the main one en suite with a double shower.All bedrooms are spacious with good built-in wardrobes; It also has closets in the hallway for storage and linen. The basement has a large games room with the possibility of expansion and a toilet to service the floor. The urbanization in which the home is located has an access control barrier and a community green area with a playground.Neither the house nor the urbanization has a swimming pool, but there is enough space on the plot to do so. Among its facilities we find the HM Montepríncipe Hospital in Madrid, the prestigious San Pablo CEU educational center that ranges from primary school to specialized higher education, a sports club and a shopping area.All its streets have monitored access control and patrolled surveillance throughout the urbanization. Its fantastic location allows access to the main ring roads of Madrid, in addition to having a good public transport service. Do not hesitate to visit it! At Gilmar Real Estate Consulting we accompany you on this path, offering you all our experience.If you need to sell your home, we put at your disposal our more than 35 commercial teams and our important portfolio of clients actively searching for housing, in addition to our investment and financial departments from which we can offer our clients the best conditions. mortgage market. For us, the most important thing is you and we will defend your interests as if they were our own.Do not hesitate to contact us!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4130882,True,6
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Las Lomas, Boadilla del Monte', 'title': 'Detached house in Valle De Tormes'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/7b/05/1156066733.jpg,770.0,2591.0,True,63,False,Boadilla del Monte,es,nan,-3.9027471,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Las Lomas,True,False,chalet,5,False,VALLE DE TORMES,102419618,JI170654,1995000.0,nan,sale,https://www.idealista.com/inmueble/102419618/,nan,"Gilmar sells exclusive detached villa in urbanization of Las Lomas. It is a special house, of great size with almost 700 meters built. on a spectacular plot of 3,270 square meters. The plot has a great privacy due to its large wooded area.  On the ground floor, large entrance hall, guest toilet, living room with fireplace and in several rooms and heights. From the living room there is access to a covered and glazed terrace or gallery. It also has a separate dining room which communicates with the kitchen with central island and office area. There is also a covered gallery overlooking the garden. Terrace overlooking the conservatory on the lower floor.  Upstairs, hallway leading to a large bedroom with dressing room and two bathrooms. Exit to gallery and very large terrace. Another very large bedroom with sitting area, en-suite bathroom and dressing area. In the basement, toilet, large conservatory, a large summer lounge with office area and several rooms. In addition, a bedroom with bathroom en suite. Also, a staff bedroom with dressing room and bathroom en suite, another living room with access to the garden, and finally the boiler room.  It is a special house, different from what is available in the area.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4249531,True,7
nan,False,"{'subtitle': 'Casco Antiguo, Boadilla del Monte', 'title': 'Duplex in Juan Carlos i'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/82/4d/1176621915.jpg,233.0,2790.0,True,42,False,Boadilla del Monte,es,True,-3.879651,"{'typology': 'flat', 'subTypology': 'duplex'}",Casco Antiguo,True,False,duplex,4,False,JUAN CARLOS I,103057903,JI181140,650000.0,3,sale,https://www.idealista.com/inmueble/103057903/,True,"Gilmar sells duplex in the centre of Boadilla del Monte, next to the Town Hall, close to all kinds of shops. It has a built area of 233 square metres and has four bedrooms and three bathrooms.  The property is distributed over two floors. On the main floor, it has an entrance hall, living-dining room with access to a large terrace, kitchen with office area and drying area. It also has three bedrooms and two bathrooms. On the upper floor, there is another bedroom with en-suite bathroom, an attic dressing room and a very spacious living room.  It is located in a gated community with communal area and swimming pool. It also has two parking spaces and a large storage room.  It has parquet floors, natural gas boiler heating and air conditioning by means of splits. Boadilla del Monte is an exceptional place to live, offering a perfect balance between the convenience of urban life and the serenity of nature. With its exclusive ambience and wide range of services, this area has become a popular choice for those looking for an elegant and peaceful home on the outskirts of Madrid.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4067442,True,3
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'subtitle': 'Valdecabañas, Boadilla del Monte', 'title': 'Detached house'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/e7/96/1033643263.jpg,844.0,1955.0,True,50,False,Boadilla del Monte,es,nan,-3.8875498,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",Valdecabañas,True,False,chalet,5,False,Valdecabañas,99090311,VMO2309008,1650000.0,nan,sale,https://www.idealista.com/inmueble/99090311/,nan,"Detached house for sale in Valdecabañas. VERY BRIGHT HOUSE WITH LARGE WINDOWS, GARDEN AND POOL IN BOADILLA DEL MONTE. aProperties presents this bright property, with large windows and open spaces that transmit comfort and spaciousness. The property, built with high quality materials, has a built area of 844 m² and a well-kept plot of 2.234 m², with a lovely landscaped garden, outdoor swimming pool and a large driveway. The property is distributed over three floors. The ground floor has a spacious entrance hall from which we access a kitchen with an office, laundry room and drying area. From here we also have access to a very spacious and bright living room with fireplace, with direct access to the porch and the garden. In the entrance hall there is also a guest toilet and a large walk-in wardrobe. On the same floor we find the master bedroom with a wonderful study that serves as an anteroom, as well as a large dressing room and an en suite bathroom with large windows overlooking the garden. On the first floor there are three bedrooms, two of them of a large size (70 and 60 m² respectively), both with dressing room, sitting area, en suite bathroom and independent terraces. The third bedroom also has its own dressing room and en suite bathroom. The basement level has a large living area, a gymnasium, changing room and heated swimming pool with natural light. It also has a storage room, a large pantry, a central vacuum room, a boiler room and access to a garage for three cars. Next to the garage, the property has a space to house a service dwelling, independent from the main dwelling, a room for the water treatment plant and another room for the garden machinery and automatic irrigation. Changing rooms could also be built to serve the swimming pool as in the original project. To highlight, a magnificent lift that connects all the floors of the house, the wide staircases with natural light and the centralized aspiration in all the house. The municipality of Boadilla del Monte is an integral district of the Metropolitan Area of Madrid, located to the west of the capital, from which it is 15 km away, bordering the municipalities of Majadahonda, Pozuelo de Alarcón, Alcorcón, Villaviciosa de Odón and Villanueva de la cañada. It belongs in its entirety to the Guadarrama river basin. This municipality experienced a strong increase in population in the mid-1970s with the establishment of a large number of single-family homes on housing estates. The main population centres of Boadilla, apart from the old town, are the urbanisations of Montepríncipe, Olivar de Mirabal, Parque Boadilla, Bonanza, Valdecabañas and Las Lomas. The property is in an unbeatable location, with good access to the M-50 or to the M-503 which leads to Madrid city centre in less than 20 minutes. Can you imagine living here?","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.4387539,True,6
