labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,{'title': 'Country home'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/37/11/1117020417.jpg,119.0,668.0,False,58,False,Cadalso de los Vidrios,es,nan,-4.4167911,"{'typology': 'countryHouse', 'subTypology': 'casale'}",True,False,countryHouse,3,False,Cadalso de los Vidrios,99202785,395268,nan,79500.0,nan,sale,https://www.idealista.com/inmueble/99202785/,nan,"Fincas VIllalobos exclusively offers this charming home with a pool. In a privileged natural environment, on the edge of an immense century-old pine forest, on the slopes of the Sierra de Gredos.. . A place of rest and connection with nature. With many corners that the orography itself develops in its extension, a variety of spaces where you can enjoy the natural environment.. . Cultivation area / vineyards, wooded area with pine trees, rocky area.. . it can even be a good place for stargazing due to very little light pollution. The farm has more than 2000m2 and is developed on a rustic land in which pines, vines and fig trees outcrop. It borders a seasonal stream and also has 2 wells. Fully fenced, with access gate and exterior walls. The construction has 119m2 segmented into: -62m2 of Housing -32m2 of swimming pool -25m2 of Garage/Warehouse Access to the house is paved from the exterior entry point. The house is developed with coherence and cohesion to the environment in its construction style and interior decoration. Stone floors, climalit wooden windows, wooden structures. It is segmented into 3 floors. Street plan: - Living room with fireplace - Kitchen - Bathroom - Room Upper Floor: - 2 rooms - Common spaces Low level: (not communicated with the house) -Woodshed/Storage room Equipment: - Fireplace and wood stove - Climalit windows - Water by drilling - Electricity by solar panels - Swimming pool with treatment plant - Kitchen and hot water with Gas. - Stone and Wood Floors - Garage Come visit it without obligation. Farms Villalobos S. L.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.288743,False,1
nan,False,{'title': 'Detached house in Calle Badajoz'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/c6/e6/1185236461.jpg,248.0,762.0,False,40,False,Cadalso de los Vidrios,es,nan,-4.4616869,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,False,chalet,3,False,Calle Badajoz,103306135,878-RED-64930-1,nan,189000.0,nan,sale,https://www.idealista.com/inmueble/103306135/,nan,"Chalet in Southwest, with 248 m² built, 1050 m² meters of plot, 3 bedrooms, 2 bathrooms, good condition, exterior, 3 closets, 2 terrace(s), unfurnished kitchen, 2005 individual heating, propane fuel, individual hot water, propane water energy, paddle tennis, soccer. Villa 248 m² in Cadalso de los Vidrios, Madrid Make your offer for this fantastic independent Villa. Within a 1,050 m2 plot. Estate from 2005. The Chalet consists of 247.74 m2 built, among which is a large 110 m2 attic on the upper floor, 3 bedrooms, 2 bathrooms, a large living room, and a very bright kitchen with beautiful views. The living room has 28 m2 of space and an exit door to the garden. The kitchen is unfurnished but completely finished and in perfect condition, with the opportunity to design and create it to your liking. The 3 bedrooms are double and have large built-in wardrobes. And the bathrooms are fully equipped, the main one with four pieces and a bathtub. The second is a toilet. Located in Entrepinos. Very quiet area, with supermarkets, bus stops, sports courts and swimming pool. In a natural paradise within the Tiétar Valley. 3 km away. Cadalso de los Vidrios and Rozas de Puerto Real. Call now for more information about the home and to arrange a visit. Possibility of financing up to 100%.",nan,True,40.3192357,False,2
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/a2/94/1200066345.jpg,160.0,938.0,False,37,False,Cadalso de los Vidrios,es,nan,-4.4469014,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,False,chalet,5,False,Cadalso de los Vidrios,103785896,0100574,nan,150000.0,nan,sale,https://www.idealista.com/inmueble/103785896/,nan,"103-MAIN DELEGATION. _Single-family semi-detached house of 151 m2, developed on three floors, distributed on an entrance floor with hall and access to the garage, living-dining room, separate furnished kitchen and a bathroom on the first floor with three bedrooms with built-in wardrobes, two bathrooms and a terrace on the second floor with a large terrace of 22.76 m2. The home has the exclusive use of the patio/garden area to which it has access at the back of the house.",nan,False,40.3029308,False,3
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/1e/5a/1200066048.jpg,160.0,938.0,False,37,False,Cadalso de los Vidrios,es,nan,-4.4471817,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,False,chalet,5,False,Cadalso de los Vidrios,103785872,0100573,nan,150000.0,nan,sale,https://www.idealista.com/inmueble/103785872/,nan,"-MAIN DELEGATION. _Single-family semi-detached house of 151 m2, developed on three floors, distributed on an entrance floor with hall and access to the garage, living-dining room, separate furnished kitchen and a bathroom on the first floor with three bedrooms with built-in wardrobes, two bathrooms and a terrace on the second floor with a large terrace of 22.76 m2. The home has the exclusive use of the patio/garden area to which it has access at the back of the house.",nan,False,40.3041074,False,3
nan,False,{'title': 'Terraced house in Calle Orense no number'},Madrid,newdevelopment,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/9d/08/1025591102.jpg,112.0,982.0,False,24,True,Cadalso de los Vidrios,es,nan,-4.4619202,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",True,True,chalet,4,False,Calle Orense no number,103536635,B10.01,False,110000.0,nan,sale,https://www.idealista.com/obra-nueva/103536635/,nan,"Last homes of the 3rd Phase for sale! MIXED promotion of flats and grouped chalets with 3 and 4 bedrooms with a cooperative plot, in an urbanization with common areas and surveillance in Cadalso de los Vidrios, Entrepinos Urbanization. All homes have a surface parking space. The promotion has common landscaped areas with a swimming pool. In the urbanization there is a social club with swimming pool, paddle and tennis courts, multipurpose court, soccer field, terrace with cafeteria.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3135926,False,2
nan,False,{'title': 'Detached house'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/56/ac/1092512794.jpg,175.0,2257.0,False,54,False,Cadalso de los Vidrios,es,nan,-4.4381243,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,3,False,Cadalso de los Vidrios,100359083,V231Q3,nan,395000.0,nan,sale,https://www.idealista.com/inmueble/100359083/,nan,"QUALITÉ Agence Immobilière Française présente LES PLUS BELLES MAISONS DE MADRID. THE PERFECT HOUSE ON A SINGLE FLOOR in the Sierra de Gredos. Living on one floor is the luxury that we ALL look for to make our home a comfortable home on a daily basis. Its exquisite stone design, wooden porches, clay floors similar to those of the Paradores in Spain, luxury finishes in bathrooms, kitchen, security doors, kommerling security/tilt-and-turn windows, security doors and automated closed garage, a set that makes you not want to go anywhere else. The 1,500 m2 garden, with automatic irrigation and with local stones, is another of the wonders of this home with a private pool and well. HOUSING DISTRIBUTION. MAIN FLOOR. Entrance hall, living-dining room (60 m2) with fireplace and exit to the private garden. Kitchen open to the living-dining room and fully equipped. Master bedroom suite with shower and dressing room, two children's bedrooms with wardrobes that share a bathroom with bathtub. Laundry area and boiler area. Garage for one car. EXCLUSIVE ELEMENTS. Diesel central heating. Kommerling security tilt-and-turn exterior carpentry. Blinds throughout the house. Fireplace with insert. Parador clay floors. Alarm. Beautiful private garden with private pool. Intercom. Armored doors. Automatic watering. Well Closed garage. COMMUNITY AREAS Communal swimming pool. Tennis court. Paddle court. Football field. Volleyball field. Table tennis. Playground. Supermarket. Bar. Concierge. Surveillance. PROXIMITIES. Entrepinos Urbanization Supermarket 150 m. Playground 100 m. Cadalso de los Vidrios 5 km. Las Rozas de Puerto Real 4 Km. San Martin de Valdeiglesias 10 km. Sotillo de la Adrada 11 km. Eugenio Muro Public School 10 km. Pharmacy 3 km. SALE 395,000. (I. e. REF. V231Q3 Independent chalet Entrepinos Urbanization 3 bedrooms 2 bathrooms 1 garage Private pool 175 m2 built 1,463 m2 of plot Construction year 2004 Reform year 2016 Floors 1 South, east and west orientation.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3016111,False,2
nan,False,"{'title': 'Terraced house in Nueva, 2'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/5a/5e/1188194828.jpg,210.0,714.0,False,6,True,Cadalso de los Vidrios,es,nan,-4.4426499,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",True,False,chalet,3,False,"NUEVA, 2",103395234,NUEVA,nan,150000.0,nan,sale,https://www.idealista.com/inmueble/103395234/,nan,"GARSIERRA. Semi-detached single-family home of 151 m2, developed on three floors, distributed on an entrance floor with hall and access to the garage, living-dining room, separate furnished kitchen and a bathroom on the first floor with three bedrooms with built-in wardrobes, two bathrooms and a terrace on the second floor. with a large terrace of 22.76 m2. The home has the exclusive use of the patio/garden area to which it has access at the back of the house.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3015944,False,3
nan,False,"{'title': 'Terraced house in Nueva, 1'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/f2/97/1188194646.jpg,178.0,843.0,False,6,True,Cadalso de los Vidrios,es,nan,-4.4426499,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",True,False,chalet,3,False,"NUEVA, 1",103395249,NUEVA,nan,150000.0,nan,sale,https://www.idealista.com/inmueble/103395249/,nan,"GARSIERRA. Semi-detached single-family home of 151 m2, developed on three floors, distributed on an entrance floor with hall and access to the garage, living-dining room, separate furnished kitchen and a bathroom on the first floor with three bedrooms with built-in wardrobes, two bathrooms and a terrace on the second floor. with a large terrace of 22.76 m2. The home has the exclusive use of the patio/garden area to which it has access at the back of the house.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3015944,False,3
nan,False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f9/c2/cc/1199341273.jpg,77.0,974.0,False,27,False,Cadalso de los Vidrios,es,False,-4.4404342,{'typology': 'flat'},False,False,flat,3,False,Cadalso de los Vidrios,103759530,RP3112024122769,nan,75000.0,4,sale,https://www.idealista.com/inmueble/103759530/,True,"REDPISO MADRID SUROESTE offers you exclusive housing for sale in Cadalso de los Vidrios, municipality of the Sierra Oeste of Madrid. Very bright exterior 4th floor with a constructed area of 85m² distributed in living room, kitchen, three bedrooms and a bathroom. The house has a large terrace with access from the living room with extraordinary views and another closed terrace with access from the kitchen. Equipped with air conditioning with heat pump. The stoneware floors. To enter to live. Housing in very good condition. Finca with fantastic pool. In its surroundings it has large green areas where you can go out and enjoy. Excellent location, very close to the urban center, where you will find all the services necessary for daily life (supermarkets, shops, health centers and other establishments). A residential place where you will have everything you need at your fingertips. The town of Cadalso de los Vidrios is located about 80km away. from Madrid. In a natural environment that combines olive trees and vineyards in a landscape of abundant tree vegetation complete with pines and oaks. Town with several assets of cultural interest such as the Palace of Villena and its gardens, the Church of Our Lady of the Assumption, Fuente de los Álamos.. . In the surroundings of Cadalso de los Vidrios, you can also find interesting and varied routes for hiking. Not far away is the San Juan Reservoir and the Iruelas Valley, on the banks of the Burguillo Reservoir. Cadalso de los Vidrios is reached by road: N-V until connecting with the M-507. Secondary road: N-V, exit San José de Valderas, to take the C-501 until connecting with one of the following: the M-541 at Pelayos de la Presa, the N-403 at San Martín de Valdeiglesias until connecting with the M-542 or directly along the M-542 past San Martín de Valdeiglesias. By public transport: Bus lines 545 and 546 from the Príncipe Pio bus station in Madrid. Call us without obligation and we will coordinate your visit. Don't hesitate to take advantage of this opportunity!",nan,False,40.303823,False,1
nan,False,{'title': 'Flat in Calle Orense no number'},Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/4e/fc/1177641575.jpg,94.0,720.0,False,24,True,Cadalso de los Vidrios,es,False,-4.4619202,{'typology': 'flat'},True,True,flat,2,False,Calle Orense no number,103082863,B14.03,False,67700.0,1,sale,https://www.idealista.com/obra-nueva/103082863/,True,"Phase 4 on sale! Promotion of grouped 3 and 4 bedroom villas with a cooperative plot, in an urbanization with common areas and surveillance in Cadalso de los Vidrios, Entrepinos Urbanization. All homes have a surface parking space. The development has landscaped common areas with a swimming pool. In the urbanization there is a social club with a swimming pool, paddle tennis and tennis courts, a multipurpose court, a soccer field, and a terrace with a cafeteria.",nan,False,40.3135926,False,1
