labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,{'title': 'House'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/d8/3f/1170288433.jpg,297.0,1343.0,True,98,False,Camarma de Esteruelas,es,nan,-3.3774718,{'typology': 'chalet'},True,False,chalet,4,False,Camarma de Esteruelas,102875272,EG5860,nan,399000.0,nan,sale,https://www.idealista.com/inmueble/102875272/,nan,"Alcalá Inmobiliaria sells a wonderful semi-detached house of 295 m2 built (according to cadastre) on a 410 m2 plot, with 3 bedrooms on the ground floor, located in the best area of Camarma de Esteruelas, 10 minutes from Alcalá de Henares It is distributed over 3 floors: On the ground floor, entrance through a front plot with access to a porch with a glass entrance to the house, on the left, a very bright living room with fireplace with cassette, on the right, separate kitchen furnished with basic appliances (oven, hood and ceramic hob), full bathroom, 3 bedrooms on the ground floor and in the main room a suite-type bathroom with a built-in shower tray. On the ground floor we find a completely renovated open-plan attic converted into a large living room, two velux windows, with the possibility of making bedrooms and even a bathroom.   On the semi-basement floor, a large Andalusian-style living room with a wine cellar to enjoy gatherings with family or friends, a rustic kitchen, furnished with basic appliances (ceramic hob), toilet, pantry, garage for 1 car with motorized door with access to a landscaped side patio and large Backyard with its own built-in pool. Heating and hot water with a natural gas boiler, wooden and parquet floors in the rooms, double glazed aluminum windows, built-in wardrobes in all rooms and bars throughout the house, in good condition. Camarama de Esteruelas is a town near Alcalá de Henares, with all the necessary services to make your life comfortable and quiet. with good communication to the A2, buses, schools, shops, pharmacy, etc... COME VISIT IT!   Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will inform you about everything for free. Meters of the home collected and contrasted according to cadastre/registry. The sales prices do not include legal taxes or deed expenses.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual.  .","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.551824,False,3
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/52/99/1154237415.jpg,295.0,1054.0,False,40,False,Camarma de Esteruelas,es,nan,-3.3760797,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,4,False,Camarma de Esteruelas,102395106,GPA-19005,nan,310890.0,nan,sale,https://www.idealista.com/inmueble/102395106/,nan,"GPA-19005 Would you like to live in a quiet place, away from the permanent hubbub of traffic and surrounded by nature. The time has come for you to fulfill that dream with your family. Stop thinking about moving home! Make it real at once. This charming house is located in Camarma de Esteruelas in the El Practicante Urbanization, a natural and privileged environment, just 15 minutes from Alcalá and 45 minutes from Madrid. It is an individual Chalet with a 1373 m2 plot with a private pool, it offers a perfect connection between nature and the comfort of a home. The house has 255 useful m2 distributed over two floors, the first has 4 large bedrooms and a complete bathroom, one of the rooms could be converted into a kitchen since the installation is ready, a spacious living room that communicates with a large terrace facing the back of the house with spectacular views. In the lower part we find an open space with an American kitchen plus a living room and a complete bathroom, this part of the house takes us to the back of the house, giving rise to a large space where you can cool off in the pool in On hot summer days how to enjoy a good barbecue with the family. In addition, this house has a closed garage for two vehicles. You and yours deserve to live in a place like this. The time has come to do it. About us: GEPPCO is a Real Estate Agency that offers, both to the owner and to the buyer, all the necessary services so that they can turn their dream into a reality and, for this, throughout the process, you will have high-level advice and management with a extensive experience of more than 25 years and a multidisciplinary team in the sector: financial, real estate and legal PVP WITH FEES INCLUDED (Notary or registry expenses are not included).","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.5460579,False,2
nan,False,{'title': 'Detached house'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/82/f1/1186377583.jpg,231.0,2965.0,False,38,False,Camarma de Esteruelas,es,nan,-3.3717085,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,4,False,Camarma de Esteruelas,101979817,W-02SRGC,nan,685000.0,nan,sale,https://www.idealista.com/inmueble/101979817/,nan,"Wonderful design house in Camarma de Esteruelas Engel & Völkers presents this wonderful designer house located in Camarma de Esteruelas. This exceptional property has been built with the best qualities and offers a perfect combination of elegance, comfort and functionality. With an area of approximately 231 m2 this house is distributed over 2 floors, providing ample indoor and outdoor spaces. Upon entering, you will be greeted by a bright foyer that will lead you to the main living area. Here you will find a spacious living room with large windows that allow plenty of natural light and offer panoramic views of the garden. The kitchen, fully equipped with state-of-the-art appliances, presents itself as the perfect place for food lovers. It features a peninsula, high quality countertops and plenty of storage space. The house has 4 bedrooms, all of them with generous dimensions, large windows and fitted closets. The master bedroom has a luxurious en-suite bathroom, which includes a modern whirlpool tub and shower. In addition, the property has several areas for leisure and entertainment. A large private garden will allow you to enjoy outdoor moments in complete privacy. The terrace, equipped with outdoor furniture, is the ideal place to relax and enjoy the views. The location of this property is unbeatable. Located in a quiet residential area, it gives you the opportunity to live in a serene and safe environment, away from the hustle and bustle of the city, but with easy access to services, stores and public transport. In short, this is an exceptional design house with the best qualities, located in Camarma de Esteruelas. With its ample spaces, private garden and additional amenities, it offers the perfect environment to enjoy a comfortable and luxurious life. Do not miss the opportunity to make this house your home! Camarma de Esteruelas is a charming town located in the province of Madrid, Spain. It is an ideal place for those looking for a quiet and relaxing environment to establish their home, while enjoying an excellent quality of life. It offers a rural and picturesque atmosphere, surrounded by beautiful natural landscapes and green areas. Here you can enjoy the serenity and tranquility that only a rural environment can provide, away from the hustle and bustle and stress of the city. Despite its rural character, Camarma de Esteruelas has a wide range of services and amenities for its residents. In the center of town, you will find a variety of stores, supermarkets, restaurants and cafes, where you can satisfy all your daily needs. In addition, there are pharmacies, banks and other professional services available. In terms of education, there are nursery schools, schools and high schools, which makes it an excellent choice for families with children. There are also sports centers and parks where you can enjoy outdoor activities and maintain a healthy lifestyle. The town has good transport connections, making it easy to travel to other nearby areas. There are bus lines that connect Camarma de Esteruelas with neighboring towns and with the center of Madrid. In addition, the proximity to the highway facilitates access by car to other areas of the province. If you are a lover of nature and outdoor activities, you will be delighted with the possibilities offered by Camarma de Esteruelas. Its surroundings are full of beautiful rural landscapes, ideal for walking, hiking or cycling. You will also find recreational areas and natural spaces where you can enjoy a day with family or friends.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.5519042,False,3
nan,False,{'title': 'Duplex in Henares'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/4c/82/1200198150.jpg,60.0,2250.0,False,14,False,Camarma de Esteruelas,es,False,-3.3849497,"{'typology': 'flat', 'subTypology': 'duplex'}",False,False,duplex,2,False,Henares,103789872,nan,nan,135000.0,1,sale,https://www.idealista.com/inmueble/103789872/,False,"FOR SALE BY REAL ESTATE AGENCY OF ALCALÁ DE HENARES NEIGHBORHOOD JUAN DE AUSTRIA - EL VAL EXCELLENT DUPLEX LOFT RENOVATED IN CAMARMA DE ESTERUELAS: Tecnocasa Sells: Excellent, very Bright Apartment, recently renovated on a whim including insulation and LED lighting system throughout the property. The apartment is made up of a first floor where the Entrance Hall and a complete toilet are located, a Completely Renovated American Kitchen and a Large Living-Dining Room that connects to a Terrace. A second floor with 2 bedrooms that have a built-in wardrobe and a renovated bathroom with a shower tray. The house is sold completely equipped with top-of-the-range appliances and furniture. The building is very well located surrounded by nature and quiet green areas. It is located less than 5 minutes from Camarma de Esteruelas, an area populated with numerous services within reach, such as supermarkets, health centers, pharmacies, schools, institutes, shops and with direct access to the M-119 highway and connected to Alcalá de Henares just 20 minutes by public transport (ALSA, LINE 255) and 10 minutes by car. ""COME VISIT IT WITHOUT COMMITMENT, AND REMEMBER THAT WE CAN GET YOU UP TO 100% FINANCING WITH OUR KIRON FINANCIAL DEPARTMENT AND FIXED AND VARIABLE RATE FINANCING CONDITIONS. "".",nan,False,40.5310786,False,2
"[{'name': 'apartamentoType', 'text': 'Apartment'}]",False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/d4/9e/1138563373.jpg,56.0,2141.0,False,19,False,Camarma de Esteruelas,es,False,-3.3803009,{'typology': 'flat'},True,False,flat,1,False,Camarma de Esteruelas,101758434,EG5777,nan,119900.0,1,sale,https://www.idealista.com/inmueble/101758434/,True,"Brand new one-bedroom apartment, designer, spacious, bright and with quality finishes, in the heart of Camarma town. Of 56.23 m² built and 45.46 m² useful. Kitchen furnished and equipped with basic appliances. Tilt-and-turn PVC exterior carpentry with air chamber, white interior carpentry, high-resistance AC5 flooring and stoneware in the kitchen and bathroom, tiling with designer ceramics.   Smooth plastic paint. Air conditioning through ducts throughout the house with a digital thermostat in the living room, domestic hot water through a low-consumption electric water heater from the Aristón brand. Armored door with security lock. Bars.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses..",nan,False,40.5498639,False,1
nan,False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/3d/34/1138563456.jpg,69.0,2028.0,False,16,False,Camarma de Esteruelas,es,False,-3.3810789,{'typology': 'flat'},True,False,flat,1,False,Camarma de Esteruelas,101758467,EG5774,nan,139900.0,bj,sale,https://www.idealista.com/inmueble/101758467/,True,"Brand new one-bedroom apartment, designer, spacious, bright and with quality finishes, in the heart of Camarma town. Of 69.85 m² built and 56.47 m² useful. Kitchen furnished and equipped with basic appliances. Tilt-and-turn PVC exterior carpentry with air chamber, white interior carpentry, high-resistance AC5 flooring and stoneware in the kitchen and bathroom, tiling with designer ceramics. Half meter underground air chamber Smooth plastic paint. Air conditioning through ducts throughout the house with a digital thermostat in the living room, domestic hot water through a low-consumption electric water heater from the Aristón brand. Armored door with security lock. Bars.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",nan,False,40.55023,False,1
nan,False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/fa/b0/1138563475.jpg,61.0,2293.0,False,20,False,Camarma de Esteruelas,es,False,-3.3798828,{'typology': 'flat'},True,False,flat,1,False,Camarma de Esteruelas,101758449,EG5773,nan,139900.0,bj,sale,https://www.idealista.com/inmueble/101758449/,True,"Brand new one-bedroom apartment, designer, spacious, bright and with quality finishes, in the heart of Camarma town. Of 61.51 square meters built and 49.73 useful m². Kitchen furnished and equipped with basic appliances. Tilt-and-turn PVC exterior carpentry with air chamber, white interior carpentry, high-resistance AC5 flooring and stoneware in the kitchen and bathroom, tiling with designer ceramics. Half meter underground air chamber Smooth plastic paint. Air conditioning through ducts throughout the house with a digital thermostat in the living room, domestic hot water through a low-consumption electric water heater from the Aristón brand. Armored door with security lock. Bars.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses..",nan,False,40.5466818,False,1
"[{'name': 'apartamentoType', 'text': 'Apartment'}]",False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/14/08/1138563430.jpg,54.0,2313.0,False,16,False,Camarma de Esteruelas,es,False,-3.38053,{'typology': 'flat'},True,False,flat,1,False,Camarma de Esteruelas,101758466,EG5775,nan,124900.0,1,sale,https://www.idealista.com/inmueble/101758466/,True,"Brand new one-bedroom apartment, designer, with premium quality finishes and accessories, spacious, and in the heart of Camarma town. Of 54.56 m² built and 44.11 m² useful. Kitchen with island, furnished and equipped with basic appliances. Tilt-and-turn PVC exterior carpentry with air chamber, white interior carpentry, high-resistance AC5 flooring and stoneware in the kitchen and bathroom, tiling with designer ceramics.   Smooth plastic paint. Air conditioning through ducts throughout the house with digital thermostat in the living room, domestic hot water through a low-consumption electric water heater from the Ariston brand. Armored door with security lock. Bars.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",nan,False,40.5474597,False,1
"[{'name': 'apartamentoType', 'text': 'Apartment'}]",False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5b/c7/62/1138563419.jpg,54.0,2220.0,False,16,False,Camarma de Esteruelas,es,False,-3.3808818,{'typology': 'flat'},True,False,flat,1,False,Camarma de Esteruelas,101758439,EG5776,nan,119900.0,1,sale,https://www.idealista.com/inmueble/101758439/,True,"Brand new one-bedroom apartment, designer, spacious, bright and with quality finishes, in the heart of Camarma town. Of 54.71 m² built and 44.23 m² useful. Kitchen furnished and equipped with basic appliances. Tilt-and-turn PVC exterior carpentry with air chamber, white interior carpentry, high-resistance AC5 flooring and stoneware in the kitchen and bathroom, tiling with designer ceramics.   Smooth plastic paint. Air conditioning through ducts throughout the house with a digital thermostat in the living room, domestic hot water through a low-consumption electric water heater from the Aristón brand. Armored door with security lock. Bars.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses..",nan,False,40.5484879,False,1
nan,False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/b4/82/1199999686.jpg,72.0,2153.0,False,11,False,Camarma de Esteruelas,es,False,-3.3748651,{'typology': 'flat'},False,False,flat,2,False,Camarma de Esteruelas,103783037,ACL-CAMAR-00027,nan,155000.0,-1,sale,https://www.idealista.com/inmueble/103783037/,True,"TWO BEDROOM APARTMENT, ready to move into, separate kitchen, furnished,. Two bedrooms with built-in wardrobes, very bright house facing East, full bathroom, cozy living room,. In a building built in 2002, a few minutes from the center of the town, in a residential area, surrounded by gardens, parks, walking areas, excellent construction qualities. Natural gas heating, double glazed aluminum windows. Come visit it you will love it.",nan,False,40.551411,False,1
