labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
"[{'name': 'villaType', 'text': 'Villa'}]",False,{'title': 'Detached house in Avenida Pinar'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/ac/aa/1123852183.jpg,420.0,1583.0,False,133,False,Campo Real,es,nan,-3.3960065,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,5,False,Avenida Pinar,101479128,nan,nan,665000.0,nan,sale,https://www.idealista.com/inmueble/101479128/,nan,"SKY SOLUTIONS sells this wonderful opportunity to acquire a spacious two-story villa located in the sought-after urbanization of Montehermoso, in Campo Real. With a privileged location and a modern design, this property is ideal for those looking for a comfortable and elegant home in a quiet environment. Low level: •Large dining room ideal for entertaining family and friends. •Fully equipped kitchen with high quality finishes. •Full bathroom. • Bedroom 1. •Bedroom 2 with bathroom en suite. •Large garage space. •Stay under the stairs, offering additional storage space. Upper floor: • Master bedroom with dressing room and closet en suite, providing space and privacy. •Two additional bedrooms, perfect for family or guests. •Bathroom with shower, providing comfort and functionality. •Large living room that offers additional space for entertainment and relaxation. Exteriors: • Well-kept garden that surrounds the property, with a wide variety of features: *Playhouse, ideal for the smallest members of the family. *Cookhouse, offering a separate space to prepare delicious meals outdoors. *Space with a gazebo, perfect for enjoying outdoor meals and social gatherings. * Barbecue area, for barbecue lovers. *Pool, where you can cool off and enjoy relaxing moments under the sun. *Seven olive, pine and pomegranate trees, among other trees, that provide beauty and a natural environment to the property. Qualities: High-quality stoneware flooring in the home, Bathrooms and kitchen with large-format ceramic tiles, Individual natural gas heating and hot water through a mixed boiler with a storage tank for hot water, heat distribution through underfloor heating, air conditioning, etcDuring the visit we will expand the information. Location: •Campo Real, a strategic location that provides access to all the necessary amenities, such as supermarkets, schools, restaurants and medical services. •Excellent connection with the rest of the city thanks to its proximity to main roads. Don't miss the opportunity to visit this charming chalet and discover all it has to offer! Garden, gazebo, swimming pool views: The first visit will be made online where we will resolve the first questions you have. If you have more questions or need additional information, do not hesitate to contact me.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.3357129,False,4
"[{'name': 'villaType', 'text': 'Villa'}]",False,{'title': 'Detached house in Avenida M-209'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/81/8b/ef/1143952427.jpg,600.0,1500.0,False,75,False,Campo Real,es,nan,-3.3955881,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,5,False,Avenida M-209,102091734,7051,nan,900000.0,nan,sale,https://www.idealista.com/inmueble/102091734/,nan,"Detached villa of 600 m2 with a plot of 1,180 m2 INDEPENDENT luxury villa, 1,180 m2 plot, 5 bathrooms, 6 bedrooms, wine cellar and private pool. Do you want to live in a luxury urbanization, in a movie-like independent house just a few minutes from Madrid? A few kilometers from Arganda del Rey and Rivas Vaciamadrid, in the EXCLUSIVE MONTEHERMOSO Urbanization, with the R3 next door that allows you to reach Madrid O'Donnell in 15 minutes, VIVA HOME offers the house of your dreams for sale. Its spectacular garden designed by professionals stands out for its overflowing pool with waterfalls, built-in jacuzzi with waterfall, terrariums, flowers, ponds, natural grass..., words cannot describe the feeling you have when you enter that wonderful environment. The home is ideal for celebrating events and parties on summer nights due to its spectacular lighting and exquisite design. The chalet is distributed in a very comfortable way for the whole family: -5 spacious rooms with colonial atmosphere decoration.All with large built-in wardrobes.The main room with glass and security blinds, as well as a dressing room and shower area with water sprinklers. -6 bathrooms. -Living room of 46 m2 and 8 m high with an opening staircase open from above, very illuminated thanks to its huge windows distributed throughout the room, with a colonial decoration and has 8 different types of natural stone and wood.The large fireplace in the living room keeps the entire room warm on winter days. -Wine cellar for up to 300 bottles, with water waterfall and indirect lighting. -Ground floor equipped as a 52 m2 inn with natural stones and fireplace, ideal for spending magnificent gatherings with friends or family. -Under the convertible attic roof there is a cinema room, multimedia equipment with a 4 m screen. - Large fully equipped kitchen with island lighting with indirect lights in footlights -Living area, terrace with porch leading to the garden. -26 m2 independent apartment in the basement for service. -67 m2 garage for 3 cars. -2 bar counters. -Overflowing pool with waterfall, 14 m/l massage jets and tropical wood on the beach Hot saline water pool, spas and chromotherapy. -700 m2 designer garden, with natural grass and exemplary plants and trees.Perimeter hedge.With exterior garden and pool lighting and automated pond waterfalls with remote control.Automated irrigation 20 stations.2 tropical areas with fish ponds and waterfalls.Overflowing pool with 14 m/l street and tropical wood on the beach, 4 laminar waterfalls 90 cm and overflowing waterfall on the pool wall with massage jets, Spa with independent water and air pumps and LED lighting.Separate area with barbecue. ADDITIONAL FEATURES -Multimedia centralization throughout the house -Independent internet computer system throughout the house -Complete interior alarm with 6 sensors -4 armored doors -Heat pump for pool and spa heating -Underfloor heating with heat and cold pump throughout the house -Split hot/cold air conditioning in all rooms -Outdoor lighting for garden, pool, waterfalls and automated ponds with remote control -Perimeter alarm throughout the garden -Different types of waterfalls and water games in the pool The house of your dreams, at an extraordinary price a few kilometers from Madrid, do not let it escape into a fantasy If you can afford it, come visit it, you will fall in love. In VIVAHOME you have: Guided visits. We help you manage your purchase. We review and draft your contracts.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3358771,False,5
nan,False,{'title': 'Flat in Calle Nuestra Señora del Castillo'},Madrid,renew,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/d7/98/1192537376.jpg,81.0,1130.0,False,21,False,Campo Real,es,False,-3.3836056,{'typology': 'flat'},nan,True,False,flat,3,False,Calle Nuestra Señora del Castillo,103504064,REMO-01515,nan,91500.0,3,sale,https://www.idealista.com/inmueble/103504064/,nan,"Do you want to buy a 3-bedroom apartment for sale in Campo Real? Excellent opportunity to own this residential apartment with an area of 81.2m², well distributed in 3 bedrooms and 1 bathroom located in the town of Campo Real, province of Madrid. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling in the contact form or by phone. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",nan,True,40.3402067,False,1
nan,False,"{'title': 'Flat in Calle Antonio González Gordón, 20'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/f8/09/1104263318.jpg,93.0,1452.0,False,18,True,Campo Real,es,True,-3.3838544,{'typology': 'flat'},nan,True,True,flat,2,False,"Calle Antonio González Gordón, 20",100929922,2ºC - Nº 20,False,135000.0,2,sale,https://www.idealista.com/obra-nueva/100929922/,True,"Do you want to live surrounded by nature? Do you want to release your new home at an incredible price? Well now is your chance. Wilsa has what you need. Residential building in Campo Real. 30 minutes from Madrid. Town where you can enjoy nature and tranquility. With only 12 homes, divided into 2 portals with 6 homes each, with 1 and 2 bedrooms and all with storage included in the price. All exterior. With unbeatable qualities. Come visit our show home and discover your new home! Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc. The photographs belong to one of the houses. The furniture shown is not included in the price.",nan,False,40.340951,False,1
nan,False,"{'title': 'Flat in Calle Antonio González Gordón, 20'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8e/44/c5/1104263319.jpg,93.0,1452.0,False,18,True,Campo Real,es,True,-3.3838544,{'typology': 'flat'},nan,True,True,flat,2,False,"Calle Antonio González Gordón, 20",100929923,2ºA - Nº 22,False,135000.0,2,sale,https://www.idealista.com/obra-nueva/100929923/,True,"Do you want to live surrounded by nature? Do you want to release your new home at an incredible price? Well now is your chance. Wilsa has what you need. Residential building in Campo Real. 30 minutes from Madrid. Town where you can enjoy nature and tranquility. With only 12 homes, divided into 2 portals with 6 homes each, with 1 and 2 bedrooms and all with storage included in the price. All exterior. With unbeatable qualities. Come visit our show home and discover your new home! Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc. The photographs belong to one of the houses. The furniture shown is not included in the price.",nan,False,40.340951,False,2
nan,False,"{'title': 'Flat in Calle Antonio González Gordón, 20'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/08/c9/1104263322.jpg,93.0,1452.0,False,18,True,Campo Real,es,True,-3.3838544,{'typology': 'flat'},nan,True,True,flat,2,False,"Calle Antonio González Gordón, 20",100929929,1ºA - Nº 22,False,135000.0,1,sale,https://www.idealista.com/obra-nueva/100929929/,True,"Do you want to live surrounded by nature? Do you want to release your new home at an incredible price? Well now is your chance. Wilsa has what you need. Residential building in Campo Real. 30 minutes from Madrid. Town where you can enjoy nature and tranquility. With only 12 homes, divided into 2 portals with 6 homes each, with 1 and 2 bedrooms and all with storage included in the price. All exterior. With unbeatable qualities. Come visit our show home and discover your new home! Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc. The photographs belong to one of the houses. The furniture shown is not included in the price.",nan,False,40.340951,False,2
nan,False,"{'title': 'Flat in Calle Antonio González Gordón, 20'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/67/f3/1104263320.jpg,93.0,1452.0,False,18,True,Campo Real,es,True,-3.3838544,{'typology': 'flat'},nan,True,True,flat,2,False,"Calle Antonio González Gordón, 20",100929926,1ºC - Nº 20,False,135000.0,1,sale,https://www.idealista.com/obra-nueva/100929926/,True,"Do you want to live surrounded by nature? Do you want to release your new home at an incredible price? Well now is your chance. Wilsa has what you need. Residential building in Campo Real. 30 minutes from Madrid. Town where you can enjoy nature and tranquility. With only 12 homes, divided into 2 portals with 6 homes each, with 1 and 2 bedrooms and all with storage included in the price. All exterior. With unbeatable qualities. Come visit our show home and discover your new home! Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc. The photographs belong to one of the houses. The furniture shown is not included in the price.",nan,False,40.340951,False,1
nan,False,"{'title': 'Flat in Calle Antonio González Gordón, 20'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/fc/74/1104263321.jpg,96.0,1406.0,False,18,True,Campo Real,es,True,-3.3838544,{'typology': 'flat'},nan,True,True,flat,2,False,"Calle Antonio González Gordón, 20",100929927,2ºA - Nº 20,False,135000.0,2,sale,https://www.idealista.com/obra-nueva/100929927/,True,"Do you want to live surrounded by nature? Do you want to release your new home at an incredible price? Well now is your chance. Wilsa has what you need. Residential building in Campo Real. 30 minutes from Madrid. Town where you can enjoy nature and tranquility. With only 12 homes, divided into 2 portals with 6 homes each, with 1 and 2 bedrooms and all with storage included in the price. All exterior. With unbeatable qualities. Come visit our show home and discover your new home! Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc. The photographs belong to one of the houses. The furniture shown is not included in the price.",nan,False,40.340951,False,2
nan,False,"{'title': 'Flat in Calle Antonio González Gordón, 20'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/0f/a6/1104263310.jpg,96.0,1406.0,False,18,True,Campo Real,es,True,-3.3838544,{'typology': 'flat'},nan,True,True,flat,2,False,"Calle Antonio González Gordón, 20",100929886,1ºA - Nº 20,False,135000.0,1,sale,https://www.idealista.com/obra-nueva/100929886/,True,"Do you want to live surrounded by nature? Do you want to release your new home at an incredible price? Well now is your chance. Wilsa has what you need. Residential building in Campo Real. 30 minutes from Madrid. Town where you can enjoy nature and tranquility. With only 12 homes, divided into 2 portals with 6 homes each, with 1 and 2 bedrooms and all with storage included in the price. All exterior. With unbeatable qualities. Come visit our show home and discover your new home! Taxes and expenses NOT INCLUDED: ITP or VAT, notary, registration, agency, appraisal, etc. The photographs belong to one of the houses. The furniture shown is not included in the price.",nan,False,40.340951,False,2
nan,False,"{'title': 'Flat in Calle Jarales, 1'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/d8/75/1169951258.jpg,58.0,2069.0,False,11,True,Campo Real,es,True,-3.3779398,{'typology': 'flat'},nan,True,True,flat,1,False,"Calle Jarales, 1",102865417,BºC,False,120000.0,bj,sale,https://www.idealista.com/obra-nueva/102865417/,True,"AC HOME presents a fantastic new construction housing development ""ARENAL 2"" just 30 minutes from Madrid Capital. Private residential complex with top quality facilities that offers 24 exclusive homes with 1,2 and 3 bedrooms, all with Garage and Storage Room included in the price. Homes cared for in detail that incorporate the best qualities: PVC exterior carpentry with thermal bridge breakage with tilt-and-turn opening and double ""Climalit"" glass, Armored entrance door, built-in wardrobes in all bedrooms, kitchens furnished and equipped with oven, hob and extractor hood, Pre-installation for charging electric cars in garages. Comfortable and highly energy efficient interiors, individual gas heating and pre-installation of air conditioning in the living room and master bedroom. An urbanization equipped with complete common areas: children's area for the little ones and swimming pool. Campo Real is perfectly connected by several bus lines (313, 320 and 321), and access by road from the A-3 and R-3. At AC HOME, we are at your disposal to help you in the purchase of your home, we have our own financial department.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.3402637,False,1
