labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,{'title': 'Detached house in Robledal'},Madrid,renew,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/a9/db/1060050009.jpg,307.0,1010.0,True,38,False,Cercedilla,es,nan,-4.0741942,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,5,False,Robledal,99894900,FP177004,nan,310000.0,nan,sale,https://www.idealista.com/inmueble/99894900/,nan,"Incredible opportunity to acquire an independent villa for sale in Cercedilla! This property has optimal differential elements and offers multiple possibilities to adapt it to your needs. With 5 bedrooms and 3 bathrooms, this home gives you all the space you need for your family. Enjoy pleasant moments in the spacious living room with fireplace and take advantage of the light in the kitchen. In addition, you can relax in the private garden and have a parking space. The location is perfect, near the center of town, with nearby public transport and a wide range of leisure and dining options. In addition, communication with Madrid is excellent through the A6. Enjoy the tranquility of the mountains, with nearby routes and landscapes, multiple parks and a theater nearby. You will also have all kinds of shops, banks and supermarkets at your fingertips. Don't miss the opportunity to live in this wonderful independent chalet. Contact now for more information!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.729385,False,3
nan,False,{'title': 'Flat in Ramon y Cajal'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2f/b5/e4/1149620968.jpg,69.0,2884.0,True,17,False,Cercedilla,es,False,-4.0617482,{'typology': 'flat'},True,False,flat,2,False,Ramon y Cajal,102220209,FP188652,nan,199000.0,2,sale,https://www.idealista.com/inmueble/102220209/,True,"Gilmar offers an apartment for sale in Cercedilla ready to move into. The property consists of two bedrooms, a living room, a separate kitchen and a bathroom, all with plenty of light. Interior wood carpentry and aluminum exterior. Built-in wardrobes, stoneware floor, natural gas boiler and pellet installation. Mosquito nets on windows. Close to the town center on foot and with a bus stop to Madrid Moncloa at the door of the house. Optimal differential elements. Excellent communications. WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! WE DO NOT CHARGE THE BUYER"" IF YOU WANT TO SELL YOUR HOUSE… CALL US! “At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 40 years of activity, Gilmar has managed to reach a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams.",nan,False,40.7376959,False,1
nan,False,{'title': 'Flat in Pontezuela'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/81/01/1036534118.jpg,68.0,2676.0,True,31,False,Cercedilla,es,False,-4.0551772,{'typology': 'flat'},True,False,flat,2,False,Pontezuela,98944609,FP178217,nan,182000.0,1,sale,https://www.idealista.com/inmueble/98944609/,True,"Gilmar sells a two-bedroom apartment in downtown Cercedilla, ready to move into. The house has lots of light and excellent orientation, beautiful garden views. There are two bedrooms, a large living room, bathroom and kitchen, and it also has a large storage room. Located in the center of town a few steps from Calle Mayor, Town Hall and church, with excellent communications to Madrid by RENFE and bus at the door of the house to Moncloa. Multiple leisure and restaurant offers offered by the Sierra de Guadarrama, as well as excellent routes just a few steps away, close to the Navacerrada Ski resort. Very quiet and pleasant area to live. WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! WE DO NOT CHARGE THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US"" At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of existence, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams.",nan,False,40.7405255,False,1
nan,False,{'title': 'Detached house in Colonia Vaqueriza'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/6e/ba/1163334193.jpg,174.0,2730.0,False,45,False,Cercedilla,es,nan,-4.0571422,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,5,False,Colonia Vaqueriza,102670099,06403,nan,475000.0,nan,sale,https://www.idealista.com/inmueble/102670099/,nan,"Spectacular house located in a natural environment with amazing views It consists of two independent houses The main house is distributed over two floors. On the ground floor we find an entrance that gives access to a huge living room with large windows and dream views and a fireplace, a kitchen also with a fireplace, a toilet and a door that gives access to the garage, currently used as part of the house. The first floor consists of 4 bedrooms and two full bathrooms, one of them with an en-suite bathroom. The second house, is a loft-type room, consists of a huge fully glazed room with access to the garden and a functional kitchen, and a toilet. If something defines this home, it is that it is surrounded by trees and natural beauty and all rooms receive an incredible bath of light. It is an excellent option for nature-loving families. There is the option of renting one of the houses if you want to do a business of this type.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.7414969,False,4
"[{'name': 'villaType', 'text': 'Villa'}]",False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/78/bc/1198472337.jpg,495.0,1394.0,False,28,False,Cercedilla,es,nan,-4.0716796,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,False,chalet,5,False,Cercedilla,101245563,W-02REPF,nan,690000.0,nan,sale,https://www.idealista.com/inmueble/101245563/,nan,"Spectacular House in Cercedilla Engel & Voelkers present a spectacular house in the Sierra de Madrid, right next to the Sierra de Guadarrama National Park with mountain views where you can enjoy tranquility and nature. The house, totally efficient, is equipped with Solar Panels, Aerothermal energy, Underfloor Heating, Electric Shutters, A/C and remote access control. Top quality materials throughout the house. We present 3 floors. The first floor has a courtesy toilet, bedroom with bathroom en suite, living room area with dining room and open space and kitchen with direct access to the terrace, solarium and pool. The second floor consists of three bedrooms, all with fitted wardrobes, 1 bathroom and the master bedroom on suite, wardrobe-dressing room and office area. The ground floor consists of one wine cellar and direct access to the outdoor dining area and pool, kitchen, laundry room and a guest bedroom. The house is currently in the renovation phase with an architect project and materials report included with the price of 690,000 euros and when the house will be finished the price will be 940,000 euros. Engel & Voelkers presents a spectacular fully efficient home located in the beautiful town of Cercedilla. This location has accessible public transportation such as commuter trains, restaurants, health centers, supermarkets and schools. It is located next to the Guadarrama National Park with amazing views in a unique and private environment. An excellent location to share great moments in a great environment and to enjoy the mountains.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7357529,False,5
"[{'name': 'villaType', 'text': 'Villa'}]",False,{'title': 'Detached house'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/c5/c5/1102206320.jpg,400.0,1488.0,False,83,False,Cercedilla,es,nan,-4.0752535,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,5,False,Cercedilla,100232668,03872,nan,595000.0,nan,sale,https://www.idealista.com/inmueble/100232668/,nan,"Spectacular stone chalet with South orientation and wonderful views.400m2 built on a 1,891m2 plot with an indoor pool.5 bedrooms, 3 bathrooms, 2 living rooms, 1 games room, tower and 2 kitchens.Closed garage for three cars.Built with the best qualities and in a very quiet area 1km from the FF station.DC. THIS PROPERTY IS SPECIAL BECAUSE Located in the heart of the Sierra de Guadarrama National Park, this unique property has been built with the best qualities, dedicating great care and affection to all the details and selection of its materials.The walls have double insulation, there are no hollow partitions, the double glazed windows with thermal break and a South orientation with privileged views make this home a very cozy place as a first or second residence.Fiber optics can be installed to telework comfortably, and the two floors are independent of each other, making it ideal for investment as rural accommodation as it has a large parking area both inside and outside the property and a large living room. 70m2 games with terrace. High quality barbecue, swimming pool and direct access from the plot to a mountain path.Ideal for outdoor activities such as hiking, cycling, trail running, etc.It even has its own fountain that emanates high-quality water from the Sierra, suitable for consumption.You can also choose to rent one of the floors and live on the other, since they are, if desired, completely independent.It is a very quiet area with no traffic, the property is located at the end of a dead end street.Oil heating with boiler in perfect condition.Possibility of installing aerothermal heating and solar panels. ENVIRONMENT Located within the Sierra de Guadarrama National Park and facing South, it is very bright and enjoys spectacular views, surrounded by nature, with a path that leaves directly from the farm and an oak forest at the back and foot of the Pico de La Peñota.The Los Molinos road and the railway station are just 1km away.of the property. DISTRIBUTION On the ground floor we find 4 double bedrooms, 2 large bathrooms with shower, south facing living room, new equipped kitchen, heated garage for three vehicles with electric door with high quality insulation, storage or workshop area and utility room. boiler.All rooms with built-in wardrobes and radiators.Ceramic terrazzo floor.The structure of the house is made of stone.From the garage you can go up to the upper floor through the tower if you wish.On the upper floor is the main living room with library and fireplace with heat output to four rooms.High quality ceramic floor.The stone arch in the living room is made of granite brought from Extremadura and the one in the library is made of large solid wood.Master bedroom suite with dressing room equipped with opaque glass doors and exterior window.Main bathroom with shower tray with sauna and hydromassage.Kitchen equipped with all appliances in perfect condition.70m2 games room with outdoor terrace ideal for family gatherings and leisure time.On the top floor of the tower there is a room set up as a small library.The house does not need renovation. EXTERIOR Plot of 1,891m2.With barbecue, spring fountain and tool shed that can be expanded.Covered swimming pool currently disused.Bungalows could be installed on the plot and it offers a wide variety of possibilities. SERVICES All services within a few minutes walking, by bike or by vehicle, restaurants, cafes, supermarkets and shops, medical centers, Fuenfría hospital, schools, institutes, municipal sports center. TRANSPORT FF Station.DC.Cercedilla, lines C-8 and C-9 Buses: L1.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.730314,False,3
nan,False,"{'title': 'Penthouse in Calle arroyo, 11'}",Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/1f/05/1190734894.jpg,54.0,2352.0,False,25,True,Cercedilla,es,False,-4.0541871,"{'typology': 'flat', 'subTypology': 'penthouse'}",True,False,penthouse,1,False,"Calle arroyo, 11",103477372,6707/731,nan,127000.0,2,sale,https://www.idealista.com/inmueble/103477372/,True,"Apartment in the center of CERCEDILLA of 53m2 200 meters from the town hall. 1-bedroom penthouse apartment 200 meters from the bus stop, town hall and shops, with wooden floors, equipped kitchen, built-in wardrobe and individual electric heating. Perfect for investors, the apartment has been rented for 600e per month, the house needs repairs, changing the floors and painting.It has humidity that the community must solve, it is now in process. The house has white climalit windows with blinds and wooden velux climalit windows, built in 2004, the community is 56 every two months, IBI 74.5 every 3 months and garbage rate 23.18. It has a large 21m2 living room and a 15m2 kitchen, the 12.6m2 bedroom consists of a built-in wardrobe and an en-suite bathroom. WE DO NOT CHARGE FEES TO THE BUYER. POSSIBILITY OF 100% FINANCING CONSULT US.",nan,False,40.7398349,False,1
nan,False,"{'title': 'Detached house in Avenida de la Sierra del Guadarrama, 75'}",Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/1b/82/1189088295.jpg,160.0,2688.0,False,67,True,Cercedilla,es,nan,-4.0468423,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,False,chalet,3,False,"Avenida de la Sierra del Guadarrama, 75",102772906,02.2 OR,nan,430000.0,nan,sale,https://www.idealista.com/inmueble/102772906/,nan,"Tailor & Key presents, exclusively, an independent Chalet with impressive views of the Sierra de Guadarrama.Located in the town of Cercedilla. The 150 m chalet on a 2400 m plot.It has a large living room and dining room.Kitchen.Three bedrooms with fitted wardrobes.A bathroom.Garage. NEEDS REFORM! It is perfectly connected to Madrid, which is 60 km away.Renfe station and buses. The Town of Cercedilla is located in an incomparable place for lovers of nature and quality of life. For more information regarding the use of the plot, as well as project proposals, contact Tailor & Key. At Tailor & Key we are specialized in the residential and commercial market of Madrid.We offer a comprehensive and personalized service, accompanying our clients throughout the different phases of the real estate cycle, in purchase-sale operations, rentals and comprehensive home renovations. If you are interested in this property or want to receive additional information about our services, do not hesitate to contact us or go to our tailorkey website.com.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7388701,False,1
nan,False,{'title': 'Flat in Calle Linares'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/d4/af/1179586575.jpg,120.0,2458.0,False,66,False,Cercedilla,es,True,-4.0548763,{'typology': 'flat'},True,False,flat,3,False,Calle Linares,103140460,IDE1101123,nan,295000.0,2,sale,https://www.idealista.com/inmueble/103140460/,True,"Inmobiliaria VOhome propiedades Collado Villalba vende: Piso de 3 dormitorios con ASCENSOR en Urbanización Vistahermosa en la localidad de Cercedilla. La vivienda se encuentra distribuida en amplio hall recibidor, salón comedor con acceso a terraza acristalada de 8 m2, cocina office unida al tendedero, 3 amplios dormitorios con armarios empotrados y 1 baño completo. Toda la vivienda cuenta con suelos de parquet y gres en baños y cocina, ventanas de madera y calefacción individual de gas natural. Este inmueble cuenta con mucha luz por su orientación suroeste. Además está situada en una urbanización privada que cuenta con ascensor, zonas comunes, piscina comunitaria, pista de tenis y zonas verdes. Inmejorable ubicación, muy cercana a colegios, centros comerciales, de ocio y restauración.  Fácil acceso A-6, desde Collado Villalba o Guadarrama, por la carretera de Colmenar (M-607), tomando un desvío por la M-614 hacia Cerceda y el Puerto de Navacerrada y desde Segovia por las carreteras CL-601, M-601, M-602 y M-603. Con un amplio abanico de transportes públicos como tren de cercanías línea C8B (Guadalajara - Madrid-Segovia), o autobuses urbanos e interurbanos que hacen de esta localidad de fácil y rápido acceso a Madrid. Por todo ello, Cercedilla, es la mejor de las opciones si buscas tranquilidad, accesibilidad y todo tipo de servicios en la sierra de Madrid, pero si estar muy lejos del centro de Madrid. En el precio de venta no están incluidos los gastos de compra ( Impuestos de transmisiones patrimoniales/ Notaría / Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % Para más información, llamar al teléfono gratuito  Pásate a conocernos por nuestra oficina en Collado Villalba (28400) C/ Real, nº48 en el horario de L–V de 09:30h a 14:00h / 17:00h a 20:00h o sábados de 10:00h a 14:00h.",nan,False,40.7384091,False,1
nan,False,"{'title': 'Flat in Calle Carmen, 1'}",Madrid,newdevelopment,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7b/8b/4d/1137666130.jpg,70.0,2938.0,False,8,True,Cercedilla,es,False,-4.0546273,{'typology': 'flat'},True,True,flat,1,False,"Calle Carmen, 1",101925061,B 04,False,205681.0,bj,sale,https://www.idealista.com/obra-nueva/101925061/,True,"Aliaria manages this exclusive development of 29 homes in Cercedilla with 1, 2 and 3 bedrooms, each equipped with a private garage and storage room. The promotion is located in a privileged enclave, on Calle Carmen nº 1 in Cercedilla, in the center of the town and in the heart of the Sierra de Guadarrama, therefore offering a unique location for those seeking to enjoy nature without give up urban comforts. Cercedilla has a complete infrastructure of services, including shops, restaurants, educational centers, health centers and a wide range of outdoor leisure activities. It is the perfect place to settle down and enjoy a balanced and pleasant life in an exceptional natural environment. In addition to its wonderful natural environment, the homes are designed with your comfort and quality of life in mind. Each of them has Aerothermal systems, an efficient and environmentally friendly technology that provides heating and cooling, guaranteeing a pleasant indoor environment in all seasons of the year. As for the qualities, we bet on the renowned Porcelanosa brand to guarantee a high-end finish in every corner of the homes. From the floors to the bathrooms and the kitchen, you will enjoy top quality materials that add a touch of elegance and style to the home. Do not miss the opportunity to be part of this exclusive community and enjoy all the advantages that Cercedilla and its surroundings have to offer.",nan,False,40.7411902,False,1
