labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'title': 'Village house in Contreras, 5'}",Madrid,renew,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/b6/51/996183279.jpg,600.0,333.0,False,35,True,Chinchón,es,nan,-3.4255964,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",True,False,countryHouse,9,False,"Contreras, 5",95144545,02.2 OR,200000.0,nan,sale,https://www.idealista.com/inmueble/95144545/,nan,"Tailor & Key presents for sale this beautiful rustic house located in the historic center of Chinchón.  A few meters from the Plaza Mayor and adjacent to the hermitage of San Roque. The house has been used as a habitual residence, but at various times it has been used for different purposes, in it period films, Renaissance documentary series, etc. have been shot. Due to the large number of useful meters and the distribution of its rooms allows a great variety of uses, such as restoration purposes (restaurant), as a rural house thanks to its spacious rooms and has a spectacular cave-cellar (renovated) with more 300 years old. The house is located in the historic center of Chinchón a few meters from the Plaza Mayor, the Ermita de San Roque and the Convent of the Clarisas. At Tailor & Key we are specialized in the residential market in Madrid. We offer a comprehensive and personalized service, accompanying our clients throughout the different phases of the real estate cycle, in purchase-sale, rental and comprehensive home renovation operations.  If you are interested in this property or would like to receive additional information about our services, do not hesitate to contact us or go to our website tailorkey. com.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.1401133,False,1
nan,False,"{'title': 'Village house in Convento, 8'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/e6/a9/1047169341.jpg,787.0,1080.0,False,59,True,Chinchón,es,nan,-3.4229594,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",True,False,countryHouse,10,False,"Convento, 8",99548425,10 OR,850000.0,nan,sale,https://www.idealista.com/inmueble/99548425/,nan,"Tailor & Key exclusively presents this spectacular rustic house located in the historic center of Chinchón, a few meters from the Plaza Mayor Located on a corner of Convento Street, it enjoys a patio of more than 230 m2, with the possibility of transforming it into a garden with a pool. The farm, completely isolated from outside views, has its typical Chinchón cave/cellar, partially renovated. The access to the house opens to a Hall with a square structure that distributes circulation to the different spaces. At the back, a large door invites us to go out to the bright and spacious outdoor patio. The house is distributed over three floors, with the different rooms occurring throughout the floor. On the first floor we find in the left wing, four bedrooms and a bathroom.All the residences are exterior. This wing is characterized by having an independent distributor that configures the space, as well as a viewpoint towards the patio. The right wing has a living room with fireplace and access to a second floor with an independent apartment with a bedroom, living room, bathroom and kitchen, attic and exterior. On the ground floor we find a majestic living room of more than 40 m2 with access to two rooms, one of them interior, currently configured as bedrooms. We find a separate bedroom on this floor, adjacent to a full bathroom. Also on the ground floor, independent of the life on the other side of the house, we find a living-dining room with a fireplace, rectangular and located facing the patio, as well as the large kitchen of the house with its pantry room. Outside, an attached construction finishes the space.It is a three-story building that has been half renovated., with façades and roofs arranged, hopes to be distributed to the taste of whoever returns to inhabit it. The cave/cellar, typical of the town houses of Chinchón, deserves your special attention for its distribution and possibilities.It is half renovated and has several independent rooms. It is also worth highlighting the two independent entrances it has and the large capacity of the lower patio that houses several parking spaces if you want. At Tailor & Key we are specialized in the Madrid residential market.We offer a comprehensive and personalized service, accompanying our clients throughout the different phases of the real estate cycle, in purchase-sale operations, rentals and comprehensive home renovations. If you are interested in this property or want to receive additional information about our services, do not hesitate to contact us or go to our tailorkey website.com.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.1388642,False,5
nan,False,"{'title': 'Detached house in Calle Cañada, 7'}",Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/10/f6/41859180.jpg,2000.0,475.0,False,47,True,Chinchón,es,nan,-3.4218636,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,9,False,"Calle Cañada, 7",452815,CHINCHON ,950000.0,nan,sale,https://www.idealista.com/inmueble/452815/,nan,"Townhouse, stately in Chinchon within the historic center, with large cave-cellar, corraliza very spacious, patio, several lounges. Ideal house for small hotel, or division in several housing since it has realized a horizontal division, the ideal would be three houses, can be hotel, restaurant, house. Allow rehabilitation works. Optional furniture (120.000 euros) Distribution: Patio 20 m 2 with well, corraliza of 400 m 2 the house has: kitchen butane gas walls of the ceramic bathroom floor of the ceramic bathroom wooden windows wooden shutters cellar. It consists of Ground floor or main distributed in: Portalón of access to the building, Hall of distribution paved that gives access to housing in ground floor, composed by 5 bedrooms, 2 bathrooms, two courtyards one landscaped with storage room, living room, dining room and large living room First floor access staircase with fresh paint on ceiling and magnificent access door, living room, very large dealer. Apartment with living room with fireplace and balcony to patio, and bedroom en suite, with large bathroom, Reception area, lounge, with viewpoint and fireplace, sliding door that communicates with living room of 60 m2 with three balconies to the street and 4 m high ceilings, three bedrooms with a bathroom, kitchen with dining room, pantry and access to the corraliza and service dormitory with bathroom. 2º Floor diaphanous nave with gables dependancies, magnificent views to the roofs of Chinchon and the convent of nuns.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.1386138,False,5
nan,False,"{'title': 'Estate in Diseminado Vega Chinchon, km 0'}",Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/3a/1e/1168177567.jpg,119.0,580.0,False,41,True,Chinchón,es,nan,-3.46098,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",True,False,countryHouse,3,False,"Diseminado Vega Chinchon, km 0",102813202,3248-23093,69000.0,nan,sale,https://www.idealista.com/inmueble/102813202/,nan,"Rustic property with housing in Vega de Chinchón (Madrid), in a place called Dehesa de Villaverde. It is the sum of two cadastral plots, one of agricultural land (2,464 m²) and the other of urban land (1,222 m²). The latter contains a house. In total 3,686 m² of plot and 119 m² of housing. The house needs renovation and currently has two bedrooms, living room, kitchen and bathroom. It has a small water tank on the roof and small solar panels for light. For this purpose it has batteries and appropriate installation. The plot has many adult trees: walnut trees, pear trees, almond trees, apple trees.. . It has a water well, a tool shed, barbecue, pool and removable pool with purifier. Currently the purchase cannot be financed through a mortgage loan.",nan,False,40.18157,False,1
nan,False,"{'title': 'Detached house in Urbanización Valgrande, 30'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/29/5d/1197328281.jpg,448.0,1295.0,False,66,True,Chinchón,es,nan,-3.4823137,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,False,chalet,6,False,"Urbanización Valgrande, 30",103694168,3248-23383,580000.0,nan,sale,https://www.idealista.com/inmueble/103694168/,nan,"Half an hour from Madrid, you will find this oasis of nature, in a privileged enclave. The property we present has all the necessary characteristics, both to become your first home due to its proximity to the capital, and your second, if what you are looking for is to escape on weekends to surround yourself with tranquility. Almost three hectares of land with spectacular panoramic views within the Valgrande Urbanization of Chinchón, in which two chalets are built, one as the main residence, which has three floors, four bedrooms, kitchen, bathroom, and two large living rooms. , and another chalet, which has two floors. At the access to the property there is a covered parking area. On the agricultural land you can cultivate, and it has automatic irrigation. Connection with the capital by A-3 / A-4 and M-506. Interurban buses 331 / 332 / 333 / 334/ 337.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.2038329,False,3
nan,False,"{'title': 'Flat in Calle de las Mulillas, 1'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/57/19/1199979227.jpg,86.0,1512.0,False,26,True,Chinchón,es,False,-3.4221064,{'typology': 'flat'},False,False,flat,2,False,"Calle de las Mulillas, 1",103783088,nan,130000.0,1,sale,https://www.idealista.com/inmueble/103783088/,True,"Apartment for sale in Chinchón, Madrid. With an area of 86m², this cozy property has a large 27m² living room-kitchen, fully furnished and equipped. It has two very spacious bedrooms with built-in wardrobes, one of them the size of a storage room, perfect for storing all your belongings. The bathroom is complete and modern. The apartment is completely exterior, so you can enjoy beautiful views of the church. It has been completely renovated, using high quality materials, such as wooden carpentry and Gress floors. The windows are climallit, white and tilt-and-turn, which guarantees excellent thermal and acoustic insulation. In addition, the plumbing and electricity are new, providing greater comfort and security. Located in a central and well-connected area, near the Plaza Mayor, this apartment offers easy access to the road and has a nearby bus stop. In its surroundings, you will find everything you need, such as a medical center, schools, institutes and supermarkets. In addition, you can enjoy nearby green areas and sports centers, ideal for outdoor activities. This apartment is located on the 1st floor and does not have an elevator. Don't miss the opportunity to acquire this charming property in a privileged location. Contact us for more information!",nan,False,40.140537,False,1
nan,False,{'title': 'Flat'},Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/6e/87/1169984763.jpg,103.0,1447.0,False,21,False,Chinchón,es,False,-3.4205617,{'typology': 'flat'},True,False,flat,4,False,Chinchón,102866340,3248-23137,149000.0,bj,sale,https://www.idealista.com/inmueble/102866340/,True,"Large exclusive apartment a few meters from the Plaza Mayor of Chinchón (Madrid). Exterior, with three windows facing Grande Street and one facing Emiliano Montero Street. With entrance on Emiliano Montero street (corner with Grande street) through a large patio for exclusive and private use (approximately 80 m²). ). It consists of two floors, in addition to the patio: - Second floor: 84.29 m², with several rooms and outbuildings: three bedrooms, living room, dining room, hallway, kitchen, toilet and storage room. - First floor: with a room or workshop of 13.41 m². Both floors communicate with each other and with the patio, from the staircase that begins at the access door to the house from said patio. The house is to be renovated, except for the roof, which is completely repaired, with everything new and with the possibility of leaving high ceilings with exposed beams. It is a great opportunity as an investment for property for tourism purposes, or as a permanent or weekend family home. The location is excellent, in the historic center and a few meters from the Plaza Mayor. Chinchón is located 42 minutes from Madrid by road (by car), with access from the A-3 highway towards Valencia and from the A-4 towards Córdoba. It has stops for several bus lines that connect you with Madrid city and the different towns in the area. Chinchón is declared a historical-artistic site and has an important gastronomic and cultural offer.",nan,False,40.1388643,False,1
nan,False,{'title': 'House in Calle de Doña Francisca y Don Francisco Fausto'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/e1/e6/1176437794.jpg,168.0,1071.0,False,26,False,Chinchón,es,nan,-3.4452604,{'typology': 'chalet'},True,False,chalet,3,False,Calle de Doña Francisca y Don Francisco Fausto,102526618,138392,180000.0,nan,sale,https://www.idealista.com/inmueble/102526618/,nan,"Exclusive sale with Housell Spacious house with a surface area of 168 m² and a plot of 900 m², where you can enjoy your leisure time without leaving home, in Chinchón, province of Madrid. The spaciousness of this house provides a family with children all the space they need. This chalet is distributed in a spacious living room with fireplace, a fitted kitchen completely independent from the rest of the rooms, three bedrooms and three complete bathrooms. In addition, the chalet has a terrace to enjoy natural light throughout the room, a patio with many possibilities and built-in wardrobes to optimize your storage space. The property is all exterior, with a private garden where you will take advantage of the good weather and a private pool that will make the summer heat much more bearable. This chalet is located on an easily accessible road, it has a garage so you can park comfortably and an outside storage room, which increases the storage capacity of your home. Due to its south orientation, it is a very sunny house in the central hours of the day. The house is sold furnished and in good condition, ready to move into. As for the qualities, this chalet has aluminum exterior carpentry, wooden floors, which give a lot of warmth to the home, and ceramic floors, which are very resistant and easy to clean. This house is located in a quiet area with very good views, well connected, very close to the bus stop. For greater comfort, the house is very close to a medical center, a school, a sports center and all the necessary services. At Housell we offer you a large selection of properties that adapt to your lifestyle. Don't miss this opportunity to find the perfect house for you. h1o3u8s3e9l2l.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.1358416,False,3
nan,False,{'title': 'Flat'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/e9/8a/1192061417.jpg,76.0,1763.0,False,37,False,Chinchón,es,False,-3.4240594,{'typology': 'flat'},True,False,flat,3,False,Chinchón,103390270,AMC6123,134000.0,1,sale,https://www.idealista.com/inmueble/103390270/,True,"Don't miss the opportunity to live in this cozy apartment located in the historic center of Chinchón! With a constructed area of 76 m2, this property has large, bright rooms: one double with a bed 2.10 wide by 2 long and two singles, perfect for families or couples who need extra space. In addition to the full bathroom, it also has an additional toilet. The kitchen is fully equipped with appliances and includes all the furniture available for your comfort. The floors are ceramic and the exterior windows are made of aluminum and Climalit, which contribute significantly to thermal comfort, without losing clear views from different points; interior to the patio of the urbanization from the kitchen and two bedrooms, or exterior from the living room and master bedroom. Additional features make this beautiful home stand out even more; Among them are all types of basic services (water-electricity-TV), as well as everything furnished to just move in, a gated community guaranteeing absolute security, including easy parking, ensuring peace of mind while you rest after long days of work. You will also find medical centers, schools, supermarkets, nearby parks, gyms, buses, restaurants and leisure areas. All within its magnificent privileged central location, within the center of the most touristic town in Madrid. The house is left fully furnished and equipped! What are you waiting for to enjoy this unbeatable home?",nan,False,40.1371005,False,2
"[{'name': 'villaType', 'text': 'Villa'}]",False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/30/9d/1026735937.jpg,978.0,1431.0,False,59,False,Chinchón,es,nan,-3.5061189,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",True,False,chalet,10,False,Chinchón,98890750,EOR34881,1400000.0,nan,sale,https://www.idealista.com/inmueble/98890750/,nan,"Country house with a special charm within a small farm of 10 hectares. Very close to Chinchón and only 40 minutes from Madrid. The house is reached by a path lined with cypresses that opens onto a terrace with the entrance to the house in the middle. A beautiful metal door, an exotic entrance hall and a magnificent wooden door welcome you. Two rooms serve as a hall with different environments before moving on to the living room and dining room. The kitchen is large with an office space and another for ironing and washing machine. Two different stairs, one of them wrought iron, give access to the upper floor. Here we find a wonderful living room with balconies and a small office. From here there is access to the main room, with a dressing room and bathroom. We also find 3 other rooms that share 2 bathrooms. These 3 rooms open onto a large terrace overlooking the green garden. At the end of the corridor there is another small room with a bathroom and another room. All the rooms are big. In front of the main entrance and passing through the halls, there is access to a splendid porch with 3 gatherings and a fireplace from where you can enjoy the magnificent garden full of greenery, trees, a fountain and paths that lead to the guest house and the pool. The garden is designed with art and is beautiful. The guest house consists of 3 bedrooms, two bathrooms, kitchen and two living rooms. The pool is paved around with mud and grass. In the background, a beautiful hedge and several cypresses make the pool area a special and peaceful place. In addition there are two other small buildings, an orchard and fruit trees in the fenced area around the house. This area has automatic irrigation. We found a trellis to park the cars on one side of the house. The other 9 hectares that surround the house are farmed and irrigated with a water concession from the Tagus Hydrographic Confederation. All these characteristics make the place the perfect place to rest on weekends or to develop a new crop or livestock business (horses, for example). The house is decorated with exquisite and very special taste. The furniture is not included in the sale but it could be studied. You can enjoy good excursions being very close to Chinchón and Aranjuez, and other towns where you can taste Madrid recipes in their restaurants.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.1412677,False,8
