labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,district,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,"{'subtitle': 'Casco Antiguo norte, Ciempozuelos', 'title': 'Flat in Calle de las Estrellas'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/b5/2f/965338061.jpg,127.0,1102.0,False,36,False,Ciempozuelos,es,False,-3.6247465,{'typology': 'flat'},Casco Antiguo norte,True,False,flat,2,False,Calle de las Estrellas,97084194,3248-21070,140000.0,2,sale,https://www.idealista.com/inmueble/97084194/,True,"NO COMMISSION TO THE BUYER! Large apartment of 127 m2, two bedrooms (before three bedrooms), 1 bathroom, kitchen with adjoining dining room and pantry, large living room, completely renovated to move into, smooth paint, air conditioning in living room and bedrooms, terrace, garage and storage room included in price. Located on a main street very close to the center, schools, institute, within a radius of 500 m. Urban and interurban bus with a direct line to the Infanta Elena de Valdemoro hospital, 15 min to RENFE on foot, C-3 suburban line 32 min to Atocha, good access to Madrid capital and neighboring towns by A-IV, M-50, M -40 etc...","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.159333,False,1
nan,False,"{'subtitle': 'San Benito - Soledad - Hispanidad, Ciempozuelos', 'title': 'Flat in Calle de Jerónimo del Moral'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/e8/60/1165871646.jpg,88.0,1420.0,False,29,False,Ciempozuelos,es,True,-3.6216641,{'typology': 'flat'},San Benito - Soledad - Hispanidad,True,False,flat,3,False,Calle de Jerónimo del Moral,102746458,3248-23072,125000.0,1,sale,https://www.idealista.com/inmueble/102746458/,True,"Welcome to your new home! This apartment with three bedrooms and a bathroom is completely renovated and ready to move into. With 88 m² built, this cozy home has air conditioning in the living room and the master bedroom, to ensure your comfort at all times. Located in a very quiet area, on a main street with the primary school right in front and the institute just 500 meters away. In addition, it has a bus stop in front of the urbanization and is only approximately 1 kilometer away. from the RENFE commuter line C-3, with 32 minutes to Atocha. The bathroom has a shower tray adapted for adults and the urbanization has a direct line to the Infanta Elena Hospital. With good road access to Madrid and neighboring cities via A-IV, M-50, M-40, etc. With 80 m², this second floor has built-in wardrobes and a terrace to enjoy the views. Year of construction: 1979. The East orientation ensures natural lighting at all times. With elevator for your comfort. Don't miss the opportunity to visit your new home! No commission to the buyer.",nan,True,40.1640048,False,1
nan,False,"{'subtitle': 'Los Cestos - Belén - Las Eras, Ciempozuelos', 'title': 'Flat'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/0c/18/1178582979.jpg,81.0,1469.0,False,19,False,Ciempozuelos,es,True,-3.6344295,{'typology': 'flat'},Los Cestos - Belén - Las Eras,True,False,flat,3,False,Los Cestos - Belén - Las Eras,103045777,673,119000.0,7,sale,https://www.idealista.com/inmueble/103045777/,True,"KASAURBANA offers an apartment in the Plaza de Toros de Ciempozuelos area, which is characterized by having good communication both by road and by public transport, supermarkets, and a municipal swimming pool. The apartment has the following characteristics: - Fully furnished independent kitchen with glazed clothesline. - Large living room, with air conditioning, which is divided into two well-differentiated rooms, living/dining room, with glazed terrace and awning. - THREE bedrooms, with built-in wardrobes and shutters, two of them have air conditioning installed.",nan,True,40.1563959,True,1
nan,False,"{'subtitle': 'Cuevas - Ilustración, Ciempozuelos', 'title': 'Terraced house in Cañadas del Teide'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/1d/71/1199021694.jpg,272.0,1103.0,False,82,False,Ciempozuelos,es,nan,-3.6307286,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Cuevas - Ilustración,True,False,chalet,4,False,Cañadas del Teide,103750836,3248-23404,300000.0,nan,sale,https://www.idealista.com/inmueble/103750836/,nan,"Semi-detached house for sale in Ciempozuelos.NO COMMISSION TO THE BUYER! With a constructed area of ​​272 m² and useful areas of 214 m², this property has 4 bedrooms, 2 bathrooms and 2 toilets.On the semi-basement floor you will find a large garage with space for at least 2 cars, workshop, kitchen and toilet, as well as access to the backyard and pool.On the ground floor, the cozy living-dining room, the large kitchen, a toilet and a terrace that is accessed from the living room with a staircase leading down to the patio, with barbecue, chill out area and swimming pool stand out.On the first floor there is the master bedroom with an en-suite bathroom, a bedroom used as a dressing room, two large bedrooms and an additional bathroom.The attic is completely finished, the house has air conditioning in all rooms.Heating is by natural gas and there is also the option of using an electric heater for hot water.The villa is located in a consolidated residential area, 150 meters from a school and with excellent access to Madrid and other nearby towns through the N-IV, M-50, M-45 and M-40 roads.In addition, it has commuter line C-3 and urban and interurban bus service.Also worth highlighting is the proximity to the Infanta Elena de Valdemoro hospital with a direct bus line, and the large number of schools, secondary education institutes and daycare centers within a radius of 500 meters.The house is in good condition and has built-in wardrobes, a storage room and a garage.Year of construction: 1998.North-South orientation.200 m² plot according to deeds.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.1510874,False,2
nan,False,"{'subtitle': 'Casco Antiguo norte, Ciempozuelos', 'title': 'Flat in Calle del Doctor Rivas'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/d8/60/1199955817.jpg,60.0,1833.0,False,30,False,Ciempozuelos,es,False,-3.6223198,{'typology': 'flat'},Casco Antiguo norte,True,False,flat,2,False,Calle del Doctor Rivas,103760920,nan,110000.0,2,sale,https://www.idealista.com/inmueble/103760920/,True,"Apartment for sale in the center of town, ready to move into. This house has a constructed area of 60m2 distributed in two bedrooms, a bathroom, living room, separate kitchen and two balconies. Its excellent location will allow you to enjoy all the nearby services, as well as the convenience of having schools and the Renfe station just a few minutes away. Don't miss the opportunity to acquire this ideal home to start a new stage. Contact us now!",nan,False,40.1576852,False,1
nan,False,"{'subtitle': 'La Estación - Psiquiátrico San José, Ciempozuelos', 'title': 'Flat in Calle Caretos'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/21/be/990150391.jpg,93.0,1495.0,False,38,False,Ciempozuelos,es,True,-3.617158,{'typology': 'flat'},La Estación - Psiquiátrico San José,True,False,flat,3,False,Calle Caretos,97742231,3248-21349,139000.0,3,sale,https://www.idealista.com/inmueble/97742231/,True,"Beautiful apartment very close to the one close to the nerve center of Ciempozuelos, you can walk to any of the main services that we need in daily life, including an urban bus stop 30 m away. , in a well-built building, has an elevator, three large bedrooms, with fitted wardrobes, two full bathrooms, kitchen with utility room, separate living room and large hall. Air conditioning in the living room and master bedroom, stoneware floors and is very well cared for. Ciempozuelos is a town with almost 25,000 inhabitants and very well connected by RENFE line C3, urban and intercity buses with lines to Madrid, Aranjuez, San Martín, Hospital Infanta Elena in Valdemoro. Ciempozuelos is also a town with a University School of Nursing, something to be taken into account by investors due to the demand for leases.",nan,False,40.1629774,False,2
nan,False,"{'subtitle': 'Cuevas - Ilustración, Ciempozuelos', 'title': 'Terraced house in Calle Cañadas del Teide'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/e9/f1/1199965714.jpg,182.0,1478.0,False,34,False,Ciempozuelos,es,nan,-3.6290579,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Cuevas - Ilustración,False,False,chalet,3,False,Calle Cañadas del Teide,103782544,nan,269000.0,nan,sale,https://www.idealista.com/inmueble/103782544/,nan,"Ciempozuelos real estate agency-Ciempozuelos area-Tecnocasa office FOR SALE fantastic semi-detached house of 182 m2 BUILT located in an urbanization with wonderful common areas with various services such as a community pool, paddle tennis courts and green areas in addition to being located just 15 minutes from the RENFE, close to supermarkets, schools and institutes. The house has 2 floors distributed as follows: GROUND FLOOR: It consists of a large front patio with a garage at street level, a large closed porch that leads to a hall with access to a bright kitchen, 1 guest toilet and a large living-dining room equipped with a wood-burning fireplace and a Air conditioning with a cold pump, this room also has access to a closed porch currently used as an office that gives access to a large patio equipped with a barbecue and swimming pool that connects to the front patio. FIRST FLOOR: It consists of 3 bedrooms all equipped with built-in wardrobes, the master bedroom having air conditioning with cold pump, an en-suite bathroom, a dressing room and access to a large terrace with views of the street, the 2 bedrooms also have access to a second terrace with views towards the patio of the house, said terrace has stairs to the patio. In addition, the property has a large storage room with access from the kitchen and the front patio of the house, 2 electric awnings, gas heating, double glazed windows and large windows with double thermal bridge and mosquito nets throughout the house. Do not hesitate to call us to make your appointment to visit the property, in which you will also receive free advice from our Kiron financial department.",nan,False,40.1531568,False,2
nan,False,"{'subtitle': 'Cuevas - Ilustración, Ciempozuelos', 'title': 'Village house in Callejón del Prado, 2'}",Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/df/1e/37/1199937338.jpg,232.0,733.0,False,41,True,Ciempozuelos,es,nan,-3.6174058,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",Cuevas - Ilustración,False,False,countryHouse,3,False,"Callejón del Prado, 2",103781679,nan,170000.0,nan,sale,https://www.idealista.com/inmueble/103781679/,nan,"Welcome to your new home in Ciempozuelos, Madrid! We present this spectacular home for sale, a jewel in the middle of the charming town of Ciempozuelos, Madrid. With a plot of 296 square meters and a constructed area of 232 square meters, this home gives you spaciousness and comfort in every corner. The house has three cozy rooms that will allow you to create unique and personalized spaces for each member of the family. The kitchen, equipped perfect for family gatherings and unforgettable dinners. Two bathrooms guarantee the comfort and privacy you deserve, while the living room invites you to relax and enjoy unforgettable moments with your loved ones. In addition, it has a garage for your convenience and a charming patio where you can enjoy pleasant moments outdoors. The property has oil heating to keep the atmosphere warm and cozy throughout the year. The south east and northwest orientation ensures exceptional natural lighting and stunning views from every window. A unique feature of this property is the six caves, offering a touch of authenticity and additional space to explore and customize to your needs. Security is a priority, so the house is equipped with a video surveillance system to give you peace of mind and protection. This home represents a unique opportunity for those looking for a spacious home, full of charm and comforts in the heart of Ciempozuelos. Don't miss the opportunity to turn this house into your new home! Contact us today to schedule a visit and discover all the wonders this property has to offer. We will wait for you!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.155072,False,2
nan,False,"{'subtitle': 'Casco Antiguo sur, Ciempozuelos', 'title': 'Flat in Calle de las Estrellas'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/de/3e/1161306557.jpg,75.0,1600.0,False,31,False,Ciempozuelos,es,False,-3.624631,{'typology': 'flat'},Casco Antiguo sur,False,False,flat,2,False,Calle de las Estrellas,102612827,3248-23039,120000.0,bj,sale,https://www.idealista.com/inmueble/102612827/,True,"NO COMMISSION TO THE BUYER! Ground floor with two bedrooms, one bathroom, access to a small patio, very well maintained, in a magnificent area, very quiet and with magnificent access. 75 m2 built, ceramic floors, double glazing, very bright house, totally exterior, with schools, institutes and shops, all within a radius of 500 meters, 10 minutes walk from RENFE, commuter line C-3, 32 minutes to Atocha, Ciempozuelos has an urban and interurban BUS line, lines to Madrid and neighboring cities, direct line to the Infanta Elena Hospital, good road access to the capital and nearby cities via A-IV, M-50, M-40, M-30 etc..",nan,False,40.1587003,True,1
nan,False,"{'subtitle': 'San Benito - Soledad - Hispanidad, Ciempozuelos', 'title': 'Terraced house in Calle de Nicanor Zabaleta'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/95/55/1199878763.jpg,149.0,1233.0,False,5,False,Ciempozuelos,es,nan,-3.6252422,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",San Benito - Soledad - Hispanidad,False,False,chalet,3,False,Calle de Nicanor Zabaleta,103779710,REGO-257001,183750.0,nan,sale,https://www.idealista.com/inmueble/103779710/,nan,"Do you want to buy a 3-bedroom semi-detached house for sale in Ciempozuelos? Excellent opportunity to own this residential semi-detached house with an area of 149.42m² well distributed in 3 bedrooms and 3 bathrooms located in the town of Ciempozuelos, province of Madrid. Would you like more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling out the contact form. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction... both at a private level and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.1622249,False,3
"[{'name': 'casaBajaType', 'text': 'Single-storey house'}]",False,"{'subtitle': 'Casco Antiguo norte, Ciempozuelos', 'title': 'Terraced house in Doctor Rivas'}",Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/57/48/1146736392.jpg,149.0,1074.0,False,42,False,Ciempozuelos,es,nan,-3.6231437,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",Casco Antiguo norte,False,False,chalet,3,False,Doctor Rivas,102172509,3248-22924,160000.0,nan,sale,https://www.idealista.com/inmueble/102172509/,nan,"Are you looking for a low town house to renovate to your liking? We have the perfect property for you! This house of 149 square meters is located in the center of Ciempozuelos, with all municipal services and shops less than 300 meters away. In addition, the RENFE station is just a 10-minute walk away and there is an urban and interurban bus stop 100 meters from the property. The house has three bedrooms, a bathroom and a patio with grapevines and a well. It also has a 236 square meter plot with a rear exit to a parallel street. In addition, it has a garage, storage room and porch of 51 square meters. The last Technical Building Inspection was carried out a year ago. The property is located in an area with good communications with Madrid capital and neighboring towns, thanks to the proximity of the A-IV, M-50, M-40 and M-30 roads, as well as the C-3 commuter line. which reaches Atocha in just 32 minutes. Don't miss the opportunity to acquire this property without commission to the buyer and tailored to your needs. Contact us for more information!",nan,False,40.1593572,False,1
nan,False,"{'subtitle': 'Los Cestos - Belén - Las Eras, Ciempozuelos', 'title': 'House in Calle de Antonio Cabezón'}",Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/2c/7f/1128861937.jpg,423.0,969.0,False,57,False,Ciempozuelos,es,nan,-3.6304916,{'typology': 'chalet'},Los Cestos - Belén - Las Eras,True,False,chalet,4,False,Calle de Antonio Cabezón,101641193,137496,410000.0,nan,sale,https://www.idealista.com/inmueble/101641193/,nan,"From private to private. Call us and visit this house. Spectacular 423m² house in Ciempozuelos, Madrid. This house, due to its size, meets the needs of a family with children. This chalet is two stories high and has a living room, four bedrooms, two bathrooms, a toilet and a furnished kitchen, completely independent from the rest of the rooms and equipped with appliances. In addition, the chalet has a balcony, which brings great light to the entire room, a terrace, so you can rest outdoors, a patio so you can have breakfast outdoors, and built-in wardrobes to optimize your space. The property is all exterior, with an attic where you will find a gym and an office. It also has a private pool that will make the summer heat much more bearable, and a storage room so you can store everything you need. This chalet, located on an easily accessible road, has a garage for greater security. Furthermore, due to its west orientation, you will enjoy the sun in the afternoons, a time when the house is especially cozy. The house is sold unfurnished and in good condition, ready to move into, with very usable spaces and excellent qualities. In that sense, this chalet has solar panels, heat pump heating and air conditioning, wooden carpentry and stoneware floors, which are easy to maintain and highly resistant. This house is located in a well-connected, residential and quiet area, very close to the bus stop. For greater comfort, the house is very close to a hospital and a school. At Housell we offer you a large selection of properties that adapt to your lifestyle. Don't miss this opportunity to find the perfect house for you. h1o3u7s4e9l6l.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.1547534,False,3
nan,False,"{'subtitle': 'Los Cestos - Belén - Las Eras, Ciempozuelos', 'title': 'Flat in parque olimpia'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/c3/ea/1199631145.jpg,78.0,1795.0,False,35,False,Ciempozuelos,es,True,-3.6339236,{'typology': 'flat'},Los Cestos - Belén - Las Eras,True,False,flat,3,False,parque olimpia,103771413,nan,140000.0,2,sale,https://www.idealista.com/inmueble/103771413/,True,"Incredible opportunity to acquire a beautiful apartment for sale. This property has three large bedrooms, perfect to accommodate the entire family. Located in an urbanization with a swimming pool. With a constructed area of 78m2, this apartment is completely exterior, which guarantees excellent lighting and natural ventilation. The living room is cozy, the bathroom is spacious and the kitchen is very comfortable, ideal for preparing delicious meals. In addition, it has a terrace. Don't miss the opportunity to visit this wonderful apartment. Call us now!",nan,False,40.1548577,False,1
