labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,{'title': 'Detached house'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/f6/f5/1084484712.jpg,400.0,3363.0,True,62,False,Collado Mediano,es,nan,-4.010327,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,6,False,Collado Mediano,100276476,FP182152,1345000.0,nan,sale,https://www.idealista.com/inmueble/100276476/,nan,"On sale! Magnificent independent House / Chalet with impressive views of the Navacerrada reservoir and orientation towards the Bola del Mundo. Located a few steps from the center of Navacerrada, this property stands out for its excellent communication with Madrid. Located in an urbanization with 24-hour security, it has optimal differential elements, such as a security system with motion detector cameras, piped music and fiber optic Wi-Fi. Inside, we find Canadian oak flooring and high-quality carpentry. It has six bedrooms, four bathrooms and a toilet, as well as three living rooms to enjoy large open spaces. The house has a hot/cold pump heating system and an insulated and armored security upstairs. In addition, it has a cozy fireplace and three parking spaces. The property stands out for its 15 cm rock wool insulation and has automatic irrigation in its large front patio. It also has a central aspiration system and a garden area. The house is filled with light thanks to its large double glazed windows. The kitchen, with an island, has a practical garbage disposal. With a constructed area of 400 m² and useful areas of 390 m², this independent House / Chalet offers all the necessary comforts. In addition, it has built-in wardrobes, storage room, terrace, balcony and south orientation. All this on a 1,500 m² plot. Don't miss the opportunity to live in this incredible property. Call us now and arrange a visit!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7103238,False,4
nan,False,{'title': 'Flat'},Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/98/49/1176039796.jpg,88.0,1807.0,True,32,False,Collado Mediano,es,False,-4.0391401,{'typology': 'flat'},nan,True,False,flat,3,False,Collado Mediano,103005143,DP191006,159000.0,2,sale,https://www.idealista.com/inmueble/103005143/,True,"Apartment for sale in Collado Mediano in an urbanization. Gilmar Villalba sells Apartment in Collado Mediano of approx. 88 m2 built. , consists of 3 bedrooms, 1 bathroom, kitchen and glazed terrace, clothesline, 12 m2 terrace with views and includes a garage and storage room. The urbanization is located very close to the train station, just a 3-minute walk away, and also has a swimming pool and tennis court and beautiful green areas. Very quiet area. CHARACTERISTICS: Heating: Individual Propane Gas Yard Pool Clothes line Intercom Conservation status: origin Garage and storage room. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.692706,False,1
nan,False,{'title': 'Detached house'},Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/64/9b/1153027169.jpg,213.0,1808.0,True,32,False,Collado Mediano,es,nan,-4.0150758,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,False,chalet,5,False,Collado Mediano,102303344,DP187553,385000.0,nan,sale,https://www.idealista.com/inmueble/102303344/,nan,"Sale of independent Villa in the Urb. The Linens of Collado Mediano. Gilmar Villalba sells charming Detached Villa in Collado Mediano of 213 m2 built on a 635 m2 plot with pool. It is spread over 2 comfortable floors. It has 5 bedrooms, 3 bathrooms and a toilet, kitchen with access to the garden, living room with beautiful fireplace and dining area with access to the porch that has many possibilities for expansion. House with a lot of flavor that with a renovation can become a dream house. Very quiet area with buses at the door, the train just 10 minutes away. DISTRIBUTION: BASEMENT: 25m2 cellar GROUND FLOOR: hall, 7m2 kitchen + toilet, dining room with access to the porch, living room with charming open fireplace, FIRST FLOOR: 5 bedrooms with two bathrooms, very good spaces CHARACTERISTICS: Interior carpentry: wood Exterior carpentry: wood Electric heating Pool cul-de-sac At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of existence, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.6901641,False,3
nan,False,{'title': 'Duplex'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/ee/ce/1196288495.jpg,105.0,2048.0,False,32,False,Collado Mediano,es,True,-4.0235765,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,True,False,duplex,3,False,Collado Mediano,101761636,04598,215000.0,2,sale,https://www.idealista.com/inmueble/101761636/,True,"Beautiful duplex in the heart of the town of Collado Mediano with all the services in the area. THIS PROPERTY IS SPECIAL BECAUSE it has three bedrooms and two full bathrooms, a garage and an elevator. You can live just a few minutes from the capital of the mountains in an environment surrounded by nature and tranquility. DISTRIBUTION The house is distributed over two floors: on the ground floor there is a large hall, a fully equipped and furnished kitchen, two large bedrooms, a complete bathroom with a bathtub and a living-dining room with a large window overlooking La Cobañera, an emblematic natural monument formed by three granite rocks. On the first floor is the master bedroom with a dressing and storage area. It also has a full bathroom with a shower tray. COMMUNICATIONS It has a RENFE CERCANIAS station, line C-8 Direct buses to Madrid line 683 By road A6 and M607 Colmenar you can reach Madrid in just 40 minutes. BUSINESS AND SERVICES: The duplex is located in the town of Collado Mediano in the center of town, with access to all the services of a pharmacy, fruit shop, bakery, supermarket, optician, bars, post office. Health Center, Sports Center, municipal swimming pools, paddle tennis courts. Regarding educational centers, primary and secondary education in two centers such as school and institute. A few kilometers away is the town of Collado Villalba, which has a much wider range of shops, restaurants, a general hospital, etc. We do not charge fees to the buyer.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.6945738,False,2
nan,False,{'title': 'Semi-detached house in Calle Coruña'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/c4/fa/976334324.jpg,240.0,1371.0,False,48,False,Collado Mediano,es,nan,-4.0257841,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,True,False,chalet,3,False,Calle Coruña,97077903,160013,329000.0,nan,sale,https://www.idealista.com/inmueble/97077903/,nan,"YOU LIKE THE SAW! GRUPO CASA 10 SELLS a beautiful semi-detached house in the Sierra de Guadarrama. The ground floor is distributed in a spacious living room with a terrace overlooking the mountains, a toilet and an original kitchen with appliances. On the first floor, three bedrooms with very bright fitted wardrobes, one of them with direct access to a covered terrace. Two bathrooms, one of them with hydromassage shower. It also has an office room. It has a large diaphanous attic with multiple utilities. It has a huge garage with storage room and boiler room. The windows are made of pvc, the doors are made of wood, the floor is made of ceramic flooring. Heating is diesel. The precise garden has a barbecue. Collado Mediano is perfectly located just a few minutes from the center of Madrid. It has Renfe Cercanías and bus lines and access to the A-6. It is close to all services: pharmacy, veterinarian, school, supermarkets, restaurants, medical center ect. DON'T WAIT TO SEE IT! REF: 160010.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.695887,False,3
nan,False,{'title': 'Detached house in Encinar Del Rey'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/24/e8/7c/1145779264.jpg,200.0,2500.0,False,63,False,Collado Mediano,es,nan,-4.0362576,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,5,False,ENCINAR DEL REY,102136402,160210,499900.0,nan,sale,https://www.idealista.com/inmueble/102136402/,nan,"BEAUTIFUL AND IMPRESSIVE CHALET! Located at the top of Collado Mediano, in a quiet environment, surrounded by nature with spectacular views. The house has 200 meters built on two floors, a basement and 500 meters of garden. It is a very bright home full of charm. With rustic approaches, stoneware floors, wooden carpentry and double glazing. The first floor has a large terrace, on the second floor there is a magnificent living room, with a fireplace with access to the terrace. In the living room there is a room with a built-in wardrobe. The kitchen with a door to the garden has a large dining room with lots of light. A full bathroom, a small pantry and another large room. The upstairs has a large and beautiful bathroom with shower and bathtub. Three rooms. , two of them with access to a large terrace from where the views are impressive, both bedrooms have built-in wardrobes and the chambered part can be used as storage rooms. The third room with mountain views and its built-in wardrobe. In the hallway there is a large built-in wardrobe. COME SEE IT AND YOU WILL FALL IN LOVE REFERENCE 160210 EMERALD.",nan,True,40.6985286,False,2
nan,False,{'title': 'Flat'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/38/ae/04/1190833323.jpg,72.0,2222.0,False,22,False,Collado Mediano,es,False,-4.0236354,{'typology': 'flat'},nan,True,False,flat,2,False,Collado Mediano,103276019,05227,159950.0,2,sale,https://www.idealista.com/inmueble/103276019/,True,"WE DO NOT CHARGE FEES TO THE BUYER THIS HOUSE IS SPECIAL BECAUSE It is a completely exterior apartment, very bright and cozy. Located in the heart of Collado Mediano, in the heart of Madrid's mountains. A very quiet town, but with all the services at your fingertips. DISTRIBUTION The house has been completely renovated a few years ago, even changing its original distribution to make it more comfortable. It consists of two bedrooms, both have built-in wardrobes, fully dressed and with excellent qualities. In the master bedroom you will enjoy a balcony from where you can see mountain views. The kitchen is independent, it has been designed to offer functionality and comfort, it is equipped with everything you need, it even has space for a table. The living room is located at the end of the hallway, bright and so spacious that it will allow you to have two rooms. IT IS IMPORTANT TO KNOW THAT It has a garage space included in the price. Due to its unbeatable location you will have all the services within a few minutes walk, banks, nurseries, schools, institutes, supermarkets, pharmacies, health center, restaurants, sports center, gas station, buses and commuter train. And by car, just 5 minutes away, you will find shopping centers and the Villalba hospital. With the best access to Madrid and surrounding areas, you can choose between the A6 through Villalba, 8 km away, or the M-607, choosing depending on the area you want to go to. The town, as its name indicates, is located on a hill, so if you like nature you will discover beautiful forest routes and tracks where you will enjoy pleasant walks through the mountains on foot or by bicycle. Contact me and we will arrange a visit!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.6938226,False,1
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/bc/45/1104630556.jpg,308.0,1617.0,False,51,False,Collado Mediano,es,nan,-4.0212561,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,3,False,Collado Mediano,99137437,02782,498000.0,nan,sale,https://www.idealista.com/inmueble/99137437/,nan,"WE DO NOT CHARGE FEES TO THE BUYER THIS PROPERTY IS SPECIAL BECAUSE: It is a home extremely cared for by its owners, it is one of those houses that, as soon as you enter, gives you a feeling of home, of pampering, of quiet, of wanting to live in it, it is bright, with large, simple and elegant spaces. It is almost all on one floor, with a large terrace to enjoy the long summer afternoons. DISTRIBUTION: This property has three bedrooms, two full bathrooms, on the ground or main floor, we find a large double-height hall with a staircase made of wrought iron. From the hall we access the fully furnished kitchen with large storage capacity, high-end appliances, a large island to enjoy cooking and sharing with family or friends, with an office area, it is bright and very spacious. On this same floor is the 41 m2 living room with fireplace, large windows, with access to a terrace with views of the mountains and the garden. On this floor we also have two bedrooms with closets and a full bathroom with a hydromassage shower. On the first floor we find a large room with built-in wardrobes and a complete bathroom with a bathtub and shower. In the basement there is a large multipurpose room, the boiler room, a large laundry room, a storage or storage room, all rooms have windows, the installation has been done to install radiators, and there is pre-installation to make a bathroom. , IT IS IMPORTANT TO KNOW THAT: The house was built with high quality materials, the first years, the house was inhabited as a second residence, only its current owners have lived there, it is extremely well cared for, it looks like a recently built house. COMMUNICATIONS: It is important to note that it has a RENFE CERCANIAS station. Just 35 minutes from Madrid on the A6, there are buses to Madrid. Line 683. Surroundings. On the A6 Madrid road. M607 Apiary. BUSINESS AND SERVICES: The chalet is located in the town of Collado Mediano in the center of town, with access to all the services of pharmacy, fruit shop, bakery, supermarket, optician, bars post Office. Health Center, Sports Center, municipal swimming pools, paddle tennis courts. SCHOOLS AND UNIVERSITIES: Public school, institute.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.6945365,False,3
nan,False,{'title': 'Semi-detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/0c/53/1138239664.jpg,217.0,1820.0,False,30,False,Collado Mediano,es,nan,-4.042655,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,True,False,chalet,4,False,Collado Mediano,101925260,A-1901,395000.0,nan,sale,https://www.idealista.com/inmueble/101925260/,nan,"Rayan Real Estate Consulting SELLS EXCLUSIVELY! Semi-detached house in an exceptional location, 217 m² built on a 465 m² plot, living room with fireplace, large kitchen, 4 double bedrooms (3 of them with access to the terrace), 2 bathrooms (one in the master bedroom) and a toilet, 2 terraces, huge attic with facilities to make a bathroom, just 400 meters from the train station and bus stop practically at the door, street with hardly any traffic and easy parking (although it has a closed garage in the house). The East-South-West orientation makes it ideal for living all year round, it has no buildings in front, and the Monastery of San Lorenzo and El Valle de los Caídos can be seen from some rooms of the house. Likewise, it is almost attached to the magnificent sports facilities and municipal swimming pool of the town. IT HAS NO COMMUNITY EXPENSES. The spaces of the house are spacious, bright and intimate. The garden has the possibility of building a pool, gazebo, etc.. . The construction quality of the house is magnificent and the demonstrable energy consumption is very low. SPECTACULAR VIEWS! For more information contact your real estate advisor David Rayán.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.690022,False,3
nan,False,{'title': 'Detached house in Calle Mirador de la Cabreriza'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/de/4c/1178278500.jpg,232.0,2004.0,True,35,False,Collado Mediano,es,nan,-4.0374813,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,3,False,Calle Mirador de la Cabreriza,102456179,3373-07310,465000.0,nan,sale,https://www.idealista.com/inmueble/102456179/,nan,"^^EXCEPTIONAL INDEPENDENT VILLA, COMPLETELY RENOVATED, WITH INCREDIBLE PANORAMIC TERRACE^^ Discover this magnificent opportunity to live in a completely renovated independent villa of 232 m2, in one of the most stunning natural environments in Madrid. This charming villa is situated on a 500 m2 plot, offering multiple spaces and ideal settings to create unforgettable moments with your family and friends. The house has been entirely refurbished and features a fabulous kitchen that opens up to a spectacular outdoor dining terrace, perfect for enjoying the warm Madrid summers. The spacious main living room, bathed in natural light, consists of two distinct areas and connects to a large 41 m2 terrace that provides unparalleled panoramic views. The three bedrooms in this house offer flexibility to adapt to your needs, allowing you to enjoy exceptional privacy and create different spaces according to your preferences. The villa boasts a spacious garage with direct access to the house, with room for two vehicles. As for the plot, you won't be able to resist the tranquility and the wonderful south-facing terrace, perfect for savoring summer days. Additionally, the garden requires minimal maintenance, making care effortless. Located in the municipality of Collado Mediano, this villa is close to points of interest and all necessary amenities, making it the ideal place to relish the stunning natural surroundings. If you are seeking to live in a unique villa in Madrid, in one of the most beautiful municipalities in the capital, this is your future home! ^^This advertisement is not binding and may contain errors. It is provided for informational purposes and is not contractual^^ ***WE DO NOT CHARGE COMMISSION TO THE BUYER.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.6949719,False,2
