bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
6,Madrid,408.0,True,False,{'title': 'Detached house in Avenida de las Naciones'},False,4,False,nan,False,57,ES0010124002520,es,nan,219000.0,103871181,40.0795088,False,nan,sale,nan,"Detached house in Colmenar de Oreja Plot of approximately 1200m2. The property has a built area of 408 m2 and a usable area of approximately 376 m2 and is distributed in 3 floors: Basement, Ground Floor and First Floor. It is in a residential area in the middle of nature and only 62 Km from Madrid, good communication by M-311 and M-318. Next Steps Click on the “additional link” below the map and it will take you to the property page where you can: Arrange a viewing | Access the legal documents | Make an offer | Contact our team directly We don’t charge commission to the buyer.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,537.0,https://www.idealista.com/inmueble/103871181/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/f7/df/1202762250.jpg,Avenida de las Naciones,False,-3.4465588,Colmenar de Oreja,nan,chalet,False
1,Madrid,115.0,True,False,{'title': 'Detached house'},False,3,True,nan,False,56,05089,es,nan,195000.0,102946380,40.0751301,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Detached villa in the Urb.Urtajo, in Colmenar de Oreja.Ready to move into.Discover every corner of this wonder with a beautiful garden, which will undoubtedly make you fall in love. THIS PROPERTY IS SPECIAL BECAUSE It is a SINGLE FLOOR house with a POOL and a very well-kept GARDEN with ornamental and fruit trees that give a lot of life to the house, freshness to the land and shade. Garden with automatic irrigation and timers to water by zones, making maintenance of the garden and its trees very easy and comfortable. Designed to enjoy with the family. Fiber Optic Internet. HOUSING CHARACTERISTICS Good qualities distributed as follows: Plant • Large entrance porch to the house. • Living room with pellet fireplace that heats the house. • Furnished independent kitchen. • Bathroom with shower. • 3 Bedrooms with built-in wardrobes Outside it has: • 1,035m² land that surrounds the house. • Entrance to the land and around the house is made of printed concrete, as well as the paths to explore the beautiful garden it has. • Barbecue, pond, fountains, orchard area, fruit trees and storage room for gardening material. • The entire garden has automatic irrigation with timers to water the garden in zones, making maintenance of the garden and its trees very easy and comfortable.As well as the lighting of streetlights and lights with twilight sensors that illuminate the garden at night. Qualities and construction: • East main façade orientation. • Sanitary water by electric heater. • Heating by pellet fireplace, Air conditioning with hot/cold pump and ceiling fans in the rooms. • PVC Climalit windows with thermal break, tilt and turn and with mosquito net. • Stoneware tile floors and smooth walls. • Interior carpentry in pine. The home you are looking for.Do not miss this opportunity. IT IS IMPORTANT TO KNOW THAT We do not charge fees to the buyer. COMMUNICATIONS There is public transport to Aranjuez and Madrid through bus lines 415 and 430 with a stop at the access door of the urbanization. The closest suburban stations are Ciempozuelos and Aranjuez. In terms of road communications, Colmenar de Oreja is located in a strategic point, since from the municipality there is easy access to several important roads such as the M-305 with which you reach Aranjuez, and connects with the A-highway. 4 There is also access via the M-315 and M-317 to the A-3 Highway (Madrid-Valencia). Colmenar de Oreja is one of the 11 towns in the community of Madrid that, together with Aranjuez and Chinchón, are recognized for their gastronomy. Its restaurants are one of the main economic drivers that, together with its wines, oils and cheeses, make living here, be a relaxed, close and enriching experience. LOCATION AND SERVICES The Chalet is located in the Urtajo Urbanization, in Colmenar de Oreja.Area without traffic and 10 minutes by car from the center of Colmenar de Oreja or Aranjuez and just 3 minutes from Villaconejos, with its shopping areas, cafes, restaurants, etc., and also with municipal facilities, such as the City Hall, Cultural Center, sports centers, etc. Do you see yourself living here? Contact me.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1696.0,https://www.idealista.com/inmueble/102946380/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/aa/a1/1181452105.jpg,Colmenar de Oreja,False,-3.4870644,Colmenar de Oreja,nan,chalet,False
2,Madrid,192.0,True,False,{'title': 'Detached house in Orense'},False,5,True,nan,False,62,nan,es,nan,176000.0,102530483,40.083633,False,nan,sale,nan,"GESTIÓNPISO offers this beautiful independent house for sale, VIRTUAL TOUR AVAILABLE. It has a 1000m² plot, a separate pool and two orchards, perfect for enjoying the tranquility that nature offers. In addition, it has a well and a water softener to ensure your comfort. Outside you will find a vine of black and white grapes, stamped concrete patios and back porch, a tool room and an oil tank. It also has a well bailing facility and a fiber optic connection for your entertainment. The house of 190 meters built and 160 useful meters has a living room with a kitchenette, a bedroom with access to the service and a shower. It also has another living room that can be converted into a bedroom and three bedrooms on the upper floor, a living room or bedroom on the upper floor and a bathroom. All windows are double glazed. Outside, you can enjoy a beautiful garden with an indirect barbecue area. In addition, it has a 600-liter water tank in the patio. The price is negotiable, don't miss the opportunity to live your dream come true! In addition, the property has 192 m² built, 160 m² useful, 5 bedrooms, 2 bathrooms, built-in wardrobes, storage room and was built in 2003. The orientation is North, South, East and West and the plot has a size of 1,043 m². Don't hesitate and contact us to visit this wonderful property! S. AND. OR. OR.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,917.0,https://www.idealista.com/inmueble/102530483/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/fe/80/1159071021.jpg,ORENSE,False,-3.4975171,Colmenar de Oreja,nan,chalet,False
3,Madrid,240.0,True,False,{'title': 'Detached house in Calle de Aranjuez'},True,4,True,nan,False,95,nan,es,nan,267000.0,103214960,40.07676,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"VILLA GESTIONES INMOBILIARIAS EXCLUSIVELY manages the sale of this independent villa located in Colmenar de Oreja, Urtajo urbanization. This impressive single-story property has 240 m² and is located on a 1,000 m² plot. With a total of 4 bedrooms, each with its own space of 11, 14, 17 and 20 m² respectively, this property offers ample space for the whole family. The chalet also has 3 full bathrooms, perfect to ensure the comfort of all members of the household. The living room, generously sized at 32 m², has a cozy fireplace, ideal for enjoying winter nights. The 28 m² kitchen has direct access to a terrace/patio. In addition, the property has a garage and boiler room of 20 m², as well as another independent garage of 60 m². Outside, you can enjoy a refreshing swimming pool, a barbecue area, a bathroom, an orchard and a beautiful garden. Built-in wardrobes, air conditioning with hot/cold pump, Climalit tilt-and-turn windows, mosquito nets, wooden floors, smooth walls, oak doors, oil heating and a water softener machine are just some of the features. amenities that this property offers. The Chalet is located in the Urtajo Urbanization, in Colmenar de Oreja. Area without traffic and 10 minutes by car from the center of Colmenar de Oreja or Aranjuez and just 5 minutes from Villaconejos, with its shopping areas, health center, schools, restaurants, pharmacies, banks, etc. , and also with municipal facilities, such as the City Hall, Cultural Center, sports centers, etc. Don't miss the opportunity to acquire this spectacular home in a privileged location. In addition, we offer you free financial advice to facilitate the purchase of your new home. Don't hesitate to contact us for more information!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1113.0,https://www.idealista.com/inmueble/103214960/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/20/53/1182202785.jpg,Calle de Aranjuez,False,-3.4943186,Colmenar de Oreja,nan,chalet,False
3,Madrid,372.0,False,False,{'title': 'Detached house'},False,6,False,nan,False,21,SRB0000055110_copia,es,nan,175000.0,103870330,40.0838616,False,nan,sale,nan,"100% Home Red Inmobiliaria sells independent villa in Colmenar de Oreja, Urtajo Urbanization. The house, under construction, distributed over 2 floors, has 6 bedrooms, 3 bathrooms, living room and kitchen. Located on a 1,057m2 plot.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,470.0,https://www.idealista.com/inmueble/103870330/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/40/2e/1202777422.jpg,Colmenar de Oreja,False,-3.4870222,Colmenar de Oreja,nan,chalet,False
3,Madrid,220.0,False,False,{'title': 'Detached house in Calle Noruega'},True,3,False,nan,False,60,5550,es,nan,266000.0,103850782,40.0780501,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOMLI PRESENTS THIS WONDERFUL PROPERTY! This charming detached villa is located in the picturesque town of Colmenar de Oreja, just a few kilometers from Madrid. Situated in a quiet residential area, the villa offers a relaxing atmosphere and an excellent quality of life. The exterior of the property stands out for its classic and elegant style. The facade is clad with cement in warm tones, while the gable roof adds a traditional touch. The villa is surrounded by a large private garden, carefully designed and with a variety of plants and trees that create a green and pleasant environment. The garden also has a lawn area ideal for outdoor enjoyment, as well as a private swimming pool that invites you to relax on hot summer days. When accessing the interior of the house, we find a spacious entrance hall leading to the different areas of the house. The villa has a comfortable and functional layout, with ample spaces and abundant natural light in all rooms. The marble floors and the careful selection of materials confer a refined and high quality style. The main living room is the heart of the house, a cozy and bright space with large windows that allow you to enjoy the views of the garden. Next to the living room, there is a separate dining room, perfect for entertaining guests and celebrating special occasions. The kitchen is fully equipped with modern appliances and offers an additional area for breakfast or an informal meal. Stylish finishes, built-in cabinets and ample work surface make this kitchen an ideal place for foodies. The villa also has several bedrooms, all of which are bright and spacious, with built-in closets and large windows. The bathrooms are designed in a modern and elegant style, equipped with high quality sanitary ware and top quality finishes. In short, this detached villa in Colmenar de Oreja combines the tranquility of a residential location with the elegance and comfort of a high quality home. With its large garden, bright spaces and luxury finishes, this property is the perfect place to enjoy a quiet and comfortable life in a natural environment.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1209.0,https://www.idealista.com/inmueble/103850782/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/59/37/1202164044.jpg,Calle Noruega,False,-3.4441813,Colmenar de Oreja,nan,chalet,False
3,Madrid,251.0,False,False,{'title': 'Detached house in Avenida de las naciones'},False,3,False,nan,False,27,e8009d74-6309-444d-9b1f-5a78980208ab,es,nan,200000.0,103223802,40.0779436,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Huspy presents you this exclusive home in Colmenar de Oreja, a villa that redefines comfort in a private urbanization with 24-hour security on the outskirts of Madrid. With 4 bedrooms and 3 bathrooms, this home offers an oasis of tranquility and privacy. The villa, built in 2004 with remarkable construction quality, stands on a 312 square meter plot. Its 251 square meters are ingeniously distributed over three floors, providing spaciousness and versatility to every corner. The fully equipped kitchen is the heart of the home, while the living room offers a cozy space with direct access to the garden. The four bedrooms are serene retreats, and the three bathrooms, including one by the pool, are designed with style and functionality. Immerse yourself in the outdoor patio, where the pool blends with a garden, creating an environment for entertaining or relaxing. This chalet also has a storage room and garage for greater convenience. This property is more than a house, it is an exceptional lifestyle in a safe environment. Discover the serenity and serenity in every corner of this charming villa in Colmenar de Oreja.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,797.0,https://www.idealista.com/inmueble/103223802/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/29/9b/1182428794.jpg,Avenida de las naciones,False,-3.4446885,Colmenar de Oreja,nan,chalet,False
5,Madrid,519.0,True,False,{'title': 'Detached house in Calle Gualija'},False,3,False,nan,False,91,01946,es,nan,790000.0,99070192,40.0724511,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Detached villa with a modern design and pure lines, ABSOLUTELY SPECTACULAR. More than 400 m2 built. 1500 m2 of plot, in urbanization with 24 hour surveillance and access control. Functional, comfortable, precious, incredible… from a movie. With details in every corner. The home we all dream of… now you can make it a reality. THIS PROPERTY IS SPECIAL BECAUSE In addition to the modern aesthetics, and the high quality of all its materials and construction, it is a house that inspires calm and relaxation. It is like entering an oasis of peace and tranquility. And that oasis can be your future home. CHARACTERISTICS OF THE HOUSING Very high qualities, careful design, distributed as follows: Low level First floor • Master bedroom of 24 m2, with a 14 m2 dressing room, and an impressive 25 m2 full bathroom, with shower, Jacuzzi, double sink, and toilet and bidet area. • Room 2, 21 m2, with bathroom en suite • Room 3 of 10 m2. Basement • Living area, with kitchen and bathroom. Rustic style. Amazing Castilian doors, in the access to the living area, and the closet. • Workshop / multipurpose area • Garage with capacity for 2 cars • Boiler and services area. Outside it has: • 5 centenary olive trees. • 11 olive trees on the farm. • Laminated sandstone wall cladding, Burgos Cathedral • Waterfall with 4 benches. Treated sandstone cladding. 3 cubic meters of water with 4 benches. • Fruit trees throughout the farm. • Impressive barbecue area with wood oven and sink area. All this covered with snake skin stone. • Garden with careful natural grass, and differentiated areas of flooring for the enjoyment and comfort of the family. Qualities and construction •Metallic structure. 16m external flight and 9 m. internal underground • 25 meter beams brought from Italy • All suspended concrete slab. 44cm • All exterior, withstands high tonnage. • Isolation. Exterior cladding, made of stone from Burgos Cathedral. Wall 15 cm projected inside and outside. 15 cm projected foam insulation. 7cm wall. Interior rendering. No plaster or drywall on walls. • Bamboo flooring. Ground floor toast. Natural on the first floor. • Doors throughout the house, made of bamboo. Special measures, more than 2.5 meters high. • 7+7 armored skylight glass. Camera 16. 3+3+3 • Living room floor and natural snakeskin slate shot stairs. (The one on the floor treated with gloss) • All the ceramics in the house are from Porcelanosa or Zirconium. • Sanitaryware and Laufen taps. • Authentic stone showers from Colmenar de Oreja • Ceiling height 2.88 • Living room skylight height. 6 meters The home you are looking for. Do not miss this opportunity. IT IS IMPORTANT TO KNOW THAT ***WE DO NOT CHARGE COMMISSION TO THE BUYER*** COMMUNICATIONS There is public transport to Aranjuez and Madrid via bus line 430 with a stop at the access door of the urbanization. The closest commuter stations are Ciempozuelos and Aranjuez. As for road communications, Colmenar de Oreja is located at a strategic point, since from the municipality there is easy access to several important roads such as the M-305, which leads to Aranjuez, and connects with the A- 4 There is also access via the M-315 and M-317 to the A-3 motorway (Madrid-Valencia).",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1522.0,https://www.idealista.com/inmueble/99070192/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/70/e5/1191264296.jpg,Calle Gualija,False,-3.4950687,Colmenar de Oreja,nan,chalet,False
3,Madrid,257.0,True,False,{'title': 'House in Calle Polonia'},False,5,True,nan,False,36,139681,es,nan,199000.0,103442561,40.0698658,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Exclusive sale with Housell Large house with a surface area of 257 m² with a plot of 784 m², where you can enjoy your leisure time, in Colmenar de Oreja, province of Madrid. This house, due to its size, meets the needs of a family with children. It has access control to the urbanization through barriers and a security guard. This chalet is three stories high and has a spacious and bright living room, a fitted kitchen with a pantry, completely independent from the rest of the rooms and equipped with appliances, five bedrooms, the main one with a dressing room and three full bathrooms. In addition, the chalet has a terrace, so you can rest outdoors, a patio with many possibilities and built-in wardrobes, to increase the storage capacity of your home. The property is all exterior, with a private garden where you will take advantage of the good weather. This chalet is located on an easily accessible road, it has a garage for two cars and a storage room, so you can store everything you need. Due to its south orientation, it is a very sunny house in the central hours of the day. The house is sold unfurnished and renovated, ready to move into. As for the qualities, this chalet has gas heating, air conditioning with heat pump, aluminum exterior carpentry, stoneware floors, easy maintenance and to make you feel safer in your home, the main door is armored. The facade is unpainted, but it would be delivered painted with the color chosen by the buyer. This house is located in a quiet area 15 minutes from Aranjuez and Ciempozuelos and 40 minutes from Madrid, well connected, very close to the bus stop, the train station and quick access by road. For greater comfort, the house is very close to a hospital and a school. h1o3u9s6e8l1l.",False,{'typology': 'chalet'},good,774.0,https://www.idealista.com/inmueble/103442561/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ea/b1/24/1189639435.jpg,Calle Polonia,False,-3.452701,Colmenar de Oreja,nan,chalet,False
2,Madrid,199.0,False,False,{'title': 'House'},False,3,False,nan,False,69,001234,es,nan,230000.0,103858115,40.0713061,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Total surface area 199 m², detached villa plot area 1019 m², usable floor area 180 m², double bedrooms: 3, 2 bathrooms, air conditioning (hot and cold), age ebetween 10 and 20 years, built-in wardrobes, heating (electric), paving, ext. woodwork (pvc), internal carpentry (lacada en blanco), kitchen (amueblada de 15m), dining room (independiente de 30m), state of repair: in good condition, garage (2), community fees: between 20 and 40€, garden (own), floor no. : 1, facing southeast, swimming pool (own), reinforced door, sunny, telephone, terrace, lands: marble, built-up, lighting, inner courtyard.",False,{'typology': 'chalet'},good,1156.0,https://www.idealista.com/inmueble/103858115/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/d9/da/1202393107.jpg,Colmenar de Oreja,False,-3.5018094,Colmenar de Oreja,nan,chalet,False
