bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
3,Madrid,289.0,True,False,"{'subtitle': 'Cerca Tejera, Colmenar Viejo', 'title': 'Terraced house in Calle Margarita Sala no number'}",False,4,False,nan,False,19,2,es,nan,575933.0,102997548,40.67844,True,nan,sale,nan,"Discover our 22 exclusive single-family homes in Colmenar Viejo, each with 4 bedrooms and 3 bathrooms, perfectly designed for comfort and elegance. With surfaces that vary between 286m2 and 331m2, these homes are distributed in basement, ground floor and upper floor. Enjoy a solarium ranging between 60 and 75m2 on the roof, where the panoramic views of the regional park of the upper Manzanares basin will take your breath away. Committed to sustainability and energy efficiency, we have incorporated: - Underfloor heating-cooling through individualized aerothermal energy. - 2KwP photovoltaic panels. - SATE insulation on facades for maximum thermal comfort. - Glass with solar control and low emissive treatment, integrated into aluminum carpentry with thermal bridge breakage. Personalize your home with options at no additional cost in: - Paint. - Kitchen furniture and countertop. - Flooring and tiling in bathrooms. - Sky Niessen mechanisms in five different finishes, with the freedom to choose their location in the home. Additionally, each home is equipped with an armored door, a home automation system for individual control of aerothermal heat per room, air conditioning in the living room, furniture and mirrors in the bathrooms on the first floor, LED lighting in the bedroom closets and many other details. quality. We invite you to contact us and discover everything these homes have to offer you.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,1993.0,https://www.idealista.com/obra-nueva/102997548/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/3c/c1/1174543329.jpg,Calle Margarita Sala no number,False,-3.77778,Cerca Tejera,Colmenar Viejo,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,289.0,True,False,"{'subtitle': 'Cerca Tejera, Colmenar Viejo', 'title': 'Terraced house in Calle Margarita Sala no number'}",False,4,False,nan,False,19,5,es,nan,570933.0,102997586,40.67844,True,nan,sale,nan,"Discover our 22 exclusive single-family homes in Colmenar Viejo, each with 4 bedrooms and 3 bathrooms, perfectly designed for comfort and elegance. With surfaces that vary between 286m2 and 331m2, these homes are distributed in basement, ground floor and upper floor. Enjoy a solarium ranging between 60 and 75m2 on the roof, where the panoramic views of the regional park of the upper Manzanares basin will take your breath away. Committed to sustainability and energy efficiency, we have incorporated: - Underfloor heating-cooling through individualized aerothermal energy. - 2KwP photovoltaic panels. - SATE insulation on facades for maximum thermal comfort. - Glass with solar control and low emissive treatment, integrated into aluminum carpentry with thermal bridge breakage. Personalize your home with options at no additional cost in: - Paint. - Kitchen furniture and countertop. - Flooring and tiling in bathrooms. - Sky Niessen mechanisms in five different finishes, with the freedom to choose their location in the home. Additionally, each home is equipped with an armored door, a home automation system for individual control of aerothermal heat per room, air conditioning in the living room, furniture and mirrors in the bathrooms on the first floor, LED lighting in the bedroom closets and many other details. quality. We invite you to contact us and discover everything these homes have to offer you.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,1976.0,https://www.idealista.com/obra-nueva/102997586/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/20/b1/1174543253.jpg,Calle Margarita Sala no number,False,-3.77778,Cerca Tejera,Colmenar Viejo,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,289.0,True,False,"{'subtitle': 'Cerca Tejera, Colmenar Viejo', 'title': 'Terraced house in Calle Margarita Sala no number'}",False,4,False,nan,False,19,4,es,nan,565933.0,102997564,40.67844,True,nan,sale,nan,"Discover our 22 exclusive single-family homes in Colmenar Viejo, each with 4 bedrooms and 3 bathrooms, perfectly designed for comfort and elegance. With surfaces that vary between 286m2 and 331m2, these homes are distributed in basement, ground floor and upper floor. Enjoy a solarium ranging between 60 and 75m2 on the roof, where the panoramic views of the regional park of the upper Manzanares basin will take your breath away. Committed to sustainability and energy efficiency, we have incorporated: - Underfloor heating-cooling through individualized aerothermal energy. - 2KwP photovoltaic panels. - SATE insulation on facades for maximum thermal comfort. - Glass with solar control and low emissive treatment, integrated into aluminum carpentry with thermal bridge breakage. Personalize your home with options at no additional cost in: - Paint. - Kitchen furniture and countertop. - Flooring and tiling in bathrooms. - Sky Niessen mechanisms in five different finishes, with the freedom to choose their location in the home. Additionally, each home is equipped with an armored door, a home automation system for individual control of aerothermal heat per room, air conditioning in the living room, furniture and mirrors in the bathrooms on the first floor, LED lighting in the bedroom closets and many other details. quality. We invite you to contact us and discover everything these homes have to offer you.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,1958.0,https://www.idealista.com/obra-nueva/102997564/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/6c/0d/1174543227.jpg,Calle Margarita Sala no number,False,-3.77778,Cerca Tejera,Colmenar Viejo,nan,chalet,False,{'groupDescription': 'Featured'}
5,Madrid,292.0,False,False,"{'subtitle': 'Las Vegas - El Pozanco - Adelfillas, Colmenar Viejo', 'title': 'Semi-detached house in Rosalía de Castro'}",False,4,False,nan,False,57,nan,es,nan,439000.0,101214903,40.662297,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"CRUZ&ASOCIADOS SELLS Spacious corner semi-detached house in the El Olivar area. Housing located within a small urbanization with green areas and a community pool. The house has a front patio, which is larger than the rest of the homes in the urbanization as it is on the corner and has a small backyard. Very bright house as it is on the corner. It is distributed on an entrance floor that is accessed from the front patio with a guest toilet, a kitchen furnished with high and low furniture, a pantry area and a living-dining room with access to the backyard. First floor with 3 bedrooms and 2 bathrooms, master bedroom suite with bathroom with bathtub, while the other two bedrooms share a bathroom and a terrace of about ten meters. Each bedroom has its built-in wardrobe, with the master bedroom wardrobe having three sections. Attic floor with bedroom with built-in wardrobe, bathroom with bathtub, office area and access to a terrace of about 6 meters from which you have views over Madrid capital. Finally, in the basement there is a second living room with a corner bar area, fireplace, games area, clothesline and laundry room and a large garage for two cars. The house needs updating. Negotiable price! Located in one of the most comfortable areas of Colmenar, with all kinds of services, school, bus stop, large supermarkets, health center, etc.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1503.0,https://www.idealista.com/inmueble/101214903/,nan,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/c0/0c/7a/1114685037.jpg,Rosalía de Castro,False,-3.7589456,Las Vegas - El Pozanco - Adelfillas,Colmenar Viejo,nan,chalet,False,{'groupDescription': 'Featured'}
4,Madrid,259.0,True,False,"{'subtitle': 'San Crispín - La Estación Consorcio, Colmenar Viejo', 'title': 'Semi-detached house in Pedro Lázaro'}",True,4,False,nan,True,56,VG-190976,es,nan,610000.0,102907419,40.6531475,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}]","Magnificent semi-detached house for sale in Colmenar Viejo, El Mirador de Madrid.Located in an exclusive gated community, this property offers a lifestyle of luxury and comfort.With common areas that include a swimming pool, green area and gym, you can enjoy moments of relaxation and fun in your own home. The house has three floors, offering large spaces for the whole family.On the ground floor, you will find a hall that will welcome you to a bright 40m2 living-dining room, perfect for meetings and celebrations.The modern American kitchen will allow you to prepare delicious meals while interacting with your guests.In addition, you can enjoy a terrace and a large garden, ideal for sunbathing or enjoying a barbecue. On the first floor, you will find three large bedrooms, all with multiple built-in wardrobes for additional storage.Two full bathrooms, one of them en suite, will provide you with comfort and privacy.One of the bedrooms also has a 7m2 terrace, where you can relax and enjoy the views. The third floor will surprise you with a large bedroom and a full bathroom.In addition, you will have two large terraces of 28m2 and 15m2, where you can enjoy the panoramic views and create your own outdoor spaces. The property has pre-installation of air conditioning, underfloor heating and solar panels for sanitary water, providing you with greater comfort and energy efficiency. Located in an area that is rapidly growing, this chalet is surrounded by nature and has nearby services such as schools, health centers and supermarkets.In addition, you will be just 5 minutes from the Ventanal de la Sierra Shopping Center, where you will find a wide range of shops, restaurants and entertainment. Colmenar Viejo is a municipality with a charming historic center, where you can enjoy the monumental Church of the Assumption and discover its history related to El Real de Manzanares and the Mendoza family.With constant development since the 19th century, this municipality has experienced an increase in population, service sector and construction, which has led to an increase in urban architecture and the construction of new homes and second homes. Don't miss the opportunity to acquire this magnificent semi-detached house in a privileged location.With 259 m² built, 4 bedrooms, 4 bathrooms, terrace, balcony, built-in wardrobes, storage room, access adapted for people with reduced mobility and garage space, this property is perfect for those looking for quality, comfort and an exclusive lifestyle.Contact us now for more information!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2355.0,https://www.idealista.com/inmueble/102907419/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/d5/7f/1174462279.jpg,Pedro Lázaro,True,-3.7773555,San Crispín - La Estación Consorcio,Colmenar Viejo,nan,chalet,False,nan
3,Madrid,257.0,True,False,"{'subtitle': 'San Crispín - La Estación Consorcio, Colmenar Viejo', 'title': 'Semi-detached house in Pedro Lázaro'}",True,3,False,nan,True,48,VG-193494,es,nan,580000.0,103760617,40.6523892,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}]","Welcome to luxury and comfort in Colmenar Viejo! Gilmar Consulting exclusively offers this magnificent semi-detached house for sale located in Colmenar Viejo ""El Mirador de Madrid"", within an exclusive gated community that offers a dream lifestyle. The common areas include a swimming pool, green area and a gym so you can enjoy your leisure moments to the fullest. The house has three floors, offering large spaces for the whole family. On the ground floor, you will find a hall that will welcome you to a bright 40m2 living-dining room, perfect for meetings and celebrations, and a separate kitchen. In addition, you can enjoy a terrace and a lush garden. On the first floor, you will find three large bedrooms, all with multiple built-in wardrobes for additional storage. Two full bathrooms, one of them en suite, will provide you with comfort and privacy. The third floor will surprise you with a 56m2 terrace to enjoy the panoramic views and create your own outdoor spaces. The area in which this chalet is located is in full growth and surrounded by nature. In addition, you will find nearby services such as schools, health centers and supermarkets. Just 5 minutes from the Ventanal de la Sierra Shopping Center, you will have everything you need at your fingertips. The historic center of Colmenar Viejo is charming, with the monumental Church of the Assumption and a history related to El Real de Manzanares and the Mendoza family. Since the 19th century, the population of Colmenar Viejo has been increasing, as has the service and construction sector. Urban architecture is constantly growing and many people have chosen this area to have their second residence. Don't miss the opportunity to have your own little piece of paradise in a prime location! Contact us for more information.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2257.0,https://www.idealista.com/inmueble/103760617/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/58/da/1199554161.jpg,Pedro Lázaro,True,-3.7748819,San Crispín - La Estación Consorcio,Colmenar Viejo,nan,chalet,False,nan
2,Madrid,75.0,True,False,"{'subtitle': 'Las Vegas - El Pozanco - Adelfillas, Colmenar Viejo', 'title': 'Flat in Legazpi, 12'}",True,2,False,True,True,25,nan,es,True,430000.0,103647017,40.6691213,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"EXCLUSIVE SALE WITH COLMENAR VIEJO HOMES In one of the best urbanizations in Colmenar Viejo, there is a unique opportunity to acquire an exceptional apartment in an exclusive urbanization. This two-bedroom property is distinguished by its contemporary design and exceptional amenities. The apartment has two bathrooms, one of them en suite to provide an additional level of privacy and convenience. The interior layout is characterized by a spacious living room with a modern open kitchen, a laundry room, and a splendid terrace that not only offers outdoor space, but also impressive panoramic views and a favorable orientation to enjoy natural light. The urbanization in which this elegant apartment is located elevates the residential experience to a higher level. Among its features, three pools with saline treatment stand out, providing not only entertainment but also health benefits. A fully equipped gym, accompanied by convenient toilets, gives residents the ability to maintain an active lifestyle without having to leave their home. For moments of socialization, the urbanization has a meeting area, while extensive green areas create a calm and relaxing atmosphere. Families will find a safe and fun space in the children's play area, and for sports lovers, a paddle tennis court available at all times. The urbanization cares about the safety and comfort of its residents, offering services such as a gatekeeper and a concierge. The latter not only manages the security of the place, but is also responsible for receiving packages and mail, ensuring the convenience and tranquility of the residents. For more information or to schedule a visit, do not hesitate to contact us. The house has good communication with public transport and access through the road with access to M-607 and M-40. 100% MORTGAGES.",False,{'typology': 'flat'},good,5733.0,https://www.idealista.com/inmueble/103647017/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/71/2e/1195956372.jpg,"LEGAZPI, 12",True,-3.7622597,Las Vegas - El Pozanco - Adelfillas,Colmenar Viejo,1,flat,False,nan
3,Madrid,250.0,True,False,"{'subtitle': 'Fuente Santa, Colmenar Viejo', 'title': 'Semi-detached house in Av Andalucia'}",True,4,False,nan,True,28,nan,es,nan,490000.0,103349526,40.6693328,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"EXCLUSIVE SALE WITH COLMENAR VIEJO HOMES Unique opportunity! A spectacular semi-detached house is for sale in the privileged location of Colmenar Viejo. This magnificent villa, with an area of 263 m2, has a 30m2 garden that gives it a special charm. The house is distributed over four floors, offering a functional design and well-defined spaces. On the main floor, you will enjoy a bright independent kitchen, a spacious double-height living-dining room with access to a terrace, a bathroom, a bedroom and a cozy entrance hall, The upper floor houses 3 bedrooms with built-in wardrobes, 2 full bathrooms (one of them in the main room) and a master bedroom with an en-suite bathroom. On the attic floor, we have a 40 m2 open space that allows it to be used for any activity. The lower floor will surprise you with ample space to store objects, a multipurpose room, laundry space and garage. The house is distinguished by the quality of its finishes, with wooden floors, double glazed climalit type enclosures. All bedrooms have fitted wardrobes. The residential complex offers exclusive amenities, such as a community pool. Located in a residential area north of Colmenar Viejo, the chalet is close to schools, parks, shopping centers and pharmacies. In addition, it enjoys excellent connections by both public transport and road. Don't miss this opportunity to acquire your dream home in one of the best areas of Colmenar Viejo! The house has good communication with public transport and access through the road with access to M-607 and M-40. 100% MORTGAGES.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1960.0,https://www.idealista.com/inmueble/103349526/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/ca/68/1186827702.jpg,AV ANDALUCIA,True,-3.7773929,Fuente Santa,Colmenar Viejo,nan,chalet,False,nan
3,Madrid,289.0,True,False,"{'subtitle': 'Cerca Tejera, Colmenar Viejo', 'title': 'Terraced house in Calle Margarita Sala no number'}",False,4,False,nan,False,19,14,es,nan,590933.0,102997602,40.67844,True,nan,sale,nan,"Discover our 22 exclusive single-family homes in Colmenar Viejo, each with 4 bedrooms and 3 bathrooms, perfectly designed for comfort and elegance. With surfaces that vary between 286m2 and 331m2, these homes are distributed in basement, ground floor and upper floor. Enjoy a solarium ranging between 60 and 75m2 on the roof, where the panoramic views of the regional park of the upper Manzanares basin will take your breath away. Committed to sustainability and energy efficiency, we have incorporated: - Underfloor heating-cooling through individualized aerothermal energy. - 2KwP photovoltaic panels. - SATE insulation on facades for maximum thermal comfort. - Glass with solar control and low emissive treatment, integrated into aluminum carpentry with thermal bridge breakage. Personalize your home with options at no additional cost in: - Paint. - Kitchen furniture and countertop. - Flooring and tiling in bathrooms. - Sky Niessen mechanisms in five different finishes, with the freedom to choose their location in the home. Additionally, each home is equipped with an armored door, a home automation system for individual control of aerothermal heat per room, air conditioning in the living room, furniture and mirrors in the bathrooms on the first floor, LED lighting in the bedroom closets and many other details. quality. We invite you to contact us and discover everything these homes have to offer you.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,2045.0,https://www.idealista.com/obra-nueva/102997602/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/6c/f8/1174543465.jpg,Calle Margarita Sala no number,True,-3.77778,Cerca Tejera,Colmenar Viejo,nan,chalet,False,nan
3,Madrid,139.0,True,False,"{'subtitle': 'San Crispín - La Estación Consorcio, Colmenar Viejo', 'title': 'Semi-detached house in Calle Luis Cancela, 2'}",False,5,False,nan,False,20,V-18,es,nan,483900.0,100457627,40.64978,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Next release for sale! Urbanization of 24 semi-detached houses, a few meters walk from the Renfe Cercanías station. Swimming pool and green areas. Surface garage. Flexible homes in distribution. Promotion in draft, subject to change.",True,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",newdevelopment,3481.0,https://www.idealista.com/obra-nueva/100457627/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/b5/96/1093426730.jpg,"Calle Luis Cancela, 2",True,-3.77573,San Crispín - La Estación Consorcio,Colmenar Viejo,nan,chalet,False,nan
