bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
6,Madrid,337.0,True,False,{'title': 'Detached house in Calle del Arroyo del Membrillo'},True,7,False,nan,False,51,CA182495,es,nan,695000.0,101226447,40.5529685,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","GILMAR presents you this spectacular opportunity in Colmenarejo! It is an impressive 400 m2 Detached Villa located on a 1,100 m2 plot. With a privileged location, just 10 minutes from the town hall, bus stops, shops and the town centre, this wonderful property offers you the freedom to live without community fees in an unparalleled environment. This magnificent property is distributed over 3 floors plus basement: On the street level, you will be greeted by a bright living room with fireplace, a large kitchen, a 30 m2 closed terrace and 2 bedrooms with built-in wardrobes, as well as a living room, a bathroom and a toilet. On the first floor, you will find 3 spacious bedrooms with en-suite bathrooms, all with built-in wardrobes, and a large 80 m2 living room with a fireplace, perfect for enjoying unforgettable family moments. The beautiful 80 m2 attic offers ample possibilities, from an office to a games room, your imagination is the limit! In the basement, you have a garage for two cars, a games room or cellar, an additional bedroom and a bathroom. This house has excellent qualities, such as aluminum windows with climalit thermal break, guaranteeing a cozy atmosphere at any time of the year. The well-established garden includes a fantastic swimming pool, barbecue area and semi-covered parking for two cars, everything ready for you to start enjoying from day one! Don't miss the opportunity to live in this dream home.Contact us now and make your dream of a perfect home in Colmenarejo come true! Ready to move in! We provide financing to our clients. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector.We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build... Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2062.0,https://www.idealista.com/inmueble/101226447/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/48/21/1115578305.jpg,Calle del Arroyo del Membrillo,True,-4.0070682,Colmenarejo,nan,chalet,False
1,Madrid,80.0,False,False,{'title': 'Flat'},False,2,False,True,False,16,CE189477,es,False,185000.0,103807645,40.5600356,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"The apartment consists of two bedrooms with a bathroom, which provides a lot of light as it is on the top floor of the building.In addition, it is directly ready to move into, which is an advantage for future owners. Colmenarejo is a quiet and residential municipality in Madrid, located in the northwest area of the city.It is known for its cozy atmosphere and proximity to nature.The area has a wide range of services, such as shops, restaurants and parks.In addition, it is located a few minutes by car from the Sierra de Guadarrama, which makes it an ideal place for lovers of nature and outdoor sports. As for shopping, Colmenarejo residents have access to several nearby shopping centers, such as the Los Valles Shopping Center, which is located just a few minutes from the property. As for public transport, the closest metro lines are line 10 and line 12, which connect Colmenarejo with the center of Madrid.In addition, the C-3 and C-8 commuter lines are also nearby, making it easier to travel to other areas of the city.As for bus lines, the closest stop to the geolocation of this property is a few minutes walk away. In summary, this exclusive apartment in Colmenarejo offers a central and comfortable location, with all the necessary services within walking distance.Its bright and modern design makes it an ideal option for those looking for a home ready to move into.If you are interested in finding out more information about this property, please do not hesitate to contact our team at the Gilmar office in Villalba.Since 1983, Gilmar has been helping clients find the home of their dreams, and we're confident we can help you too.Do not hesitate to contact us and provide us with the reference of this property (189477) for more details! You can find us at the following address: C/ Rincón de las Heras 3 (Los Valles Shopping Center), Villalba.You can also call us at or email us at.We are eager to help you find your new home in Colmenarejo. In more than 35 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector.We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build. Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. Houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, buy a penthouse.",False,{'typology': 'flat'},good,2313.0,https://www.idealista.com/inmueble/103807645/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/2a/a3/1201967072.jpg,Colmenarejo,True,-4.0146709,Colmenarejo,1,flat,False
1,Madrid,72.0,False,False,"{'title': 'Duplex in Calle Praofuentes, 20'}",False,2,False,True,False,27,CA178317,es,True,184000.0,99376441,40.5579468,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Apartment in Colmenarejo. The house includes a garage and a storage room, both in the basement. Brand new! The 72 square meter duplex is distributed as follows: - On the ground floor: American kitchen, living room and bathroom. - On the first floor there are two bedrooms and a full bathroom. Additionally, it has an open-plan storage room and garage space included in the price. The qualities are very good: Underfloor heating, smooth white paint, PVC exterior carpentry with thermal break and 4/16/4 glass, white wooden interior carpentry. Very well located, surrounded by all services a few meters from the Town Hall Square, Banks, Pharmacy, Health Center, Schools, just 400 meters from the direct bus stop to Madrid. Surrounded by restaurants, small shops and supermarkets (Mercadona) Common zones •Elevator •Common zones Now living in the center of Colmenarejo, Villa Universitaria, is easier than ever! Whether you are an investor or want a modern house for yourself on the outskirts of Madrid but with all the services at your fingertips, contact us DO NOT HESITATE TO ARRANGE A VISIT! YOU WILL BE SURPRISED BY AN EXCELLENT OPPORTUNITY. WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US!",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2556.0,https://www.idealista.com/inmueble/99376441/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/bf/3c/1070416719.jpg,"Calle Praofuentes, 20",True,-4.0165716,Colmenarejo,2,duplex,False
4,Madrid,217.0,True,False,{'title': 'Detached house in Abeto'},True,4,True,nan,False,55,3454-06541,es,nan,440000.0,101951071,40.5541401,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Fantastic independent villa located in a privileged area of Colmenarejo. Located on a beautiful and well-kept 650m2 plot with a comfortable distribution. We are on the main floor, at the entrance, a spacious hall-distributor with an outside courtesy toilet, a fully furnished kitchen with all electrical appliances (washing machine, dishwasher, oven, ceramic hob and extractor hood) and an incredible living room with fantastic light. Both from the kitchen and from the living room, we have access to the huge gazebo, made of wood, where we can enjoy every day to the fullest. From this same floor, direct access to the garage, which has another toilet, a very large games room or additional bedroom, another room and a storage room. Through some comfortable stairs we go up to the first floor: In front we find a large three-section wardrobe, a master bedroom with an integrated full bathroom and three bedrooms that share a second bathroom. All the bedrooms are equipped with fully fitted wardrobes and ceilings with a considerable height, creating very large spaces in them. All upstairs wood covered ceilings. Pine interior carpentry, stoneware floors with underfloor heating by natural gas heating. PVC windows with climalit, mosquito nets and smooth walls. The plot is floored in stamped concrete, with touches of nature thanks to the trees it has. Come meet him! You'll love it!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2028.0,https://www.idealista.com/inmueble/101951071/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/c7/2c/1144879580.jpg,Abeto,False,-4.0206177,Colmenarejo,nan,chalet,False
3,Madrid,196.0,True,False,{'title': 'Terraced house in Calle Pozuelo'},True,3,True,nan,False,28,06336,es,nan,328000.0,100188525,40.5649038,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Great opportunity to acquire this beautiful and practical semi-detached house for sale. With a semi-basement floor that has a large garage space and a large storage room, this property offers all the comforts you need. On the ground floor, you will find a room with a diesel boiler and another with a fuel tank, both with independent access. In addition, the ground floor has a fitted kitchen, a toilet and a large living room. From here, you can access a terrace and a small garden-patio, perfect for enjoying the outdoors. The chalet also offers access to common green areas and a communal pool, ideal for relaxing on sunny days. On the first floor, there are three bedrooms, the master bedroom being the most notable, as it has a bathroom and a dressing room. All bedrooms have built-in wardrobes and there is the possibility of converting them into double bedrooms. In addition, on this floor, there is a hallway with a full bathroom and beautiful natural light that illuminates every corner of the house. Located in Colmenajero, this chalet is close to all the services necessary for your daily life. With a total of 196 m² built, this property offers more than enough space to live comfortably. Do not miss the opportunity to acquire this semi-detached house and enjoy all its advantages. Year of construction: 1993. Orientation East. Includes garage space.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1673.0,https://www.idealista.com/inmueble/100188525/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/e0/5e/1072482667.jpg,Calle POZUELO,False,-4.015298,Colmenarejo,nan,chalet,False
6,Madrid,610.0,True,False,{'title': 'Detached house in Calle del Arroyo del Membrillo'},True,7,True,nan,False,99,182322,es,nan,790000.0,100329436,40.552024,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","IMPRESSIVE VILLA IN THE BEST AREA OF COLMENAREJO! In the quietest and most exclusive area of Colmenarejo, surrounded by nature and fabulous views! With all the tranquility necessary to enjoy the mountains but with very good communication and all the necessary services within walking distance that a municipality like Colmenarejo offers, this magnificent independent villa is located, completely renovated 25 years ago on a previous construction. It is a fantastic building of about 610 m2 on a 1,700 m2 plot, on 2 floors + attic and basement. The plot, with a fabulous pool and barbecue, also has covered parking for 2 cars, a garden and recreation area as well as a fountain and multiple plants and trees. On the plot, built apart from the main construction and for safety reasons, are the boiler and the diesel tank, heating fuel for the property, where we also have a storage room for garden items. The main building of the villa has, on the main floor, a large kitchen, living room with fireplace (with cassette), a large closed terrace of about 30 m2 and 2 bedrooms with fitted wardrobes plus a living room. On this floor we have 1 bathroom and a toilet. Going down a flight of stairs we would find the basement that has, in addition to a closed garage for another 2 vehicles with a laundry room and a beautiful cellar with a bar and kitchen for your main celebrations. Here, on this floor, we also have a bedroom and bathroom. Returning to the street level, we would access through another flight of stairs to the first floor of the chalet, the rest area with 3 very large bedrooms with built-in wardrobes and their corresponding en-suite bathrooms. The jewel in the crown of this floor is a very large living room of about 100 m2 with a fireplace with cassette and reading area. The top floor, the attic, is accessed by another flight of stairs. In this last room we find a very large gym of about 100 m2 with a bathroom with shower. All the interior closings are made of oak and the exteriors are made of climalit aluminum. Stoneware and junker wood floors throughout the house, depending on the rooms. Oil heating. Singular property, essential to see, you will love it, very good condition. BEST WATCH! HOUSE GROUP 10. BEEHIVE. Ref. 182322.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1295.0,https://www.idealista.com/inmueble/100329436/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/9d/90/1079914953.jpg,Calle del Arroyo del Membrillo,False,-4.0038955,Colmenarejo,nan,chalet,False
1,Madrid,56.0,True,False,{'title': 'Flat'},True,1,True,True,False,26,05261,es,False,155000.0,103329125,40.5588665,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"WE DO NOT CHARGE FEES TO THE BUYER INTERESTING OPPORTUNITY TO INVEST with a net profitability between 4 - 5% The tranquility of the environment and the advantage of having all the services within reach is something that is appreciated in a property, so whether you are looking for a home or prefer to invest, this apartment is for you. THIS PROPERTY IS SPECIAL BECAUSE it is located in a quiet area and with services nearby, such as: health center, supermarkets, schools, sports center.In addition, easy communication through the M-505 highway. DISTRIBUTION Movement is very comfortable since both access to the block and the floor are on the same level, thus not finding any steps.Upon entering the apartment, on the left, we find the kitchen and at the back of it, separated by a PVC door, the laundry room. We return to the hall that distributes the bathroom, the living room and the bedroom, which has a built-in wardrobe and fully dressed. IT IS IMPORTANT TO KNOW THAT its location is exceptional.You can enjoy the tranquility of a traditional town with its own services and, just by crossing the street, share the services of the neighboring town, Galapagar.And educational life can be developed, without leaving Colmenarejo, from kindergarten to University. COMMUNICATIONS.Colmenarejo has various transport options to Madrid and to the Puerta del Hierro hospital. - Commuter train: It is a 15-minute drive to the Galapagar train station. - Buses: lines that connect directly with Moncloa, Collado Villalba, Puerta del Hierro Hospital. - Car: easy access to the M-505 highway.Or 5 minutes to Galapagar, which has more transportation options. TRADE, SERVICES, LEISURE AND HOSPITALS: - Supermarkets: local, Mercadona and BM near the M-505. - Also a wide variety of local shops and businesses such as herbalists, bookstores, clothing stores, bakeries, hardware stores, among others. - Services: Health Center, Social Services, cultural activities and veterinary clinics. -Leisure: - Parks and green areas: 6 minutes from the Valmayor reservoir, multiple parks and green areas. - Sports activities: The Colmenarejo sports center has a variety of activities to sign up for, or practice freely such as tennis, soccer, basketball, swimming, among others. - Restaurants and bars: it has a magnificent variety of restaurants and bars where you can enjoy excellent types of food and drinks. Hospitals: - General Hospital of Villalba: 24 minutes by car, a benchmark in the area with outpatient services in various specialties, emergencies and hospitalization. - Madrid Torrelodones Hospital 18 minutes by car, in case you opt for private healthcare service. SCHOOLS: Carlos III University Campus Public schools Las Veredas School December Sixth School IES Gregorio Peces-Barba Secular Schools December Sixth School Bilingual Schools Las Veredas School December Sixth School IES Gregorio Peces-BarbaGran Private daycares Whenever you want we visit it.",False,{'typology': 'flat'},good,2768.0,https://www.idealista.com/inmueble/103329125/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/3c/f2/1198544966.jpg,Colmenarejo,False,-4.0176789,Colmenarejo,bj,flat,False
7,Madrid,935.0,True,False,"{'title': 'Detached house in Calle de Santiago Apóstol, 7'}",False,8,True,nan,False,83,4931,es,nan,1100000.0,103166000,40.5639796,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Detached Villa for sale in Colmenarejo, with 10,064 ft², 8 rooms and 7 bathrooms, Swimming pool, 5 Garage space, Storage room and Air conditioning.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1176.0,https://www.idealista.com/inmueble/103166000/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/fe/7f/1181940591.jpg,"Calle de Santiago Apóstol, 7",False,-4.0118255,Colmenarejo,nan,chalet,False
3,Madrid,464.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,85,4734,es,nan,750000.0,102728084,40.5524415,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Detached Villa for sale in Colmenarejo, with 4,994 ft², 5 rooms and 3 bathrooms, Swimming pool, 4 Garage space and Storage room.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1616.0,https://www.idealista.com/inmueble/102728084/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/cb/b5/1165263024.jpg,Colmenarejo,False,-4.0250614,Colmenarejo,nan,chalet,False
3,Madrid,270.0,False,False,{'title': 'Detached house in El Fresno'},True,5,True,nan,False,75,nan,es,nan,570000.0,101493451,40.5597418,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Welcome to the house of your dreams! This impressive independent House/Chalet has 243 useful meters and a plot of 642 square meters. With two floors and a basement, this house is ideal for large families or for those looking for space and privacy. The main floor has a spacious living room, a fully equipped kitchen, a guest toilet and a closed balcony overlooking the pool and gazebo. The first floor has three bedrooms, two bathrooms (one in the master bedroom), natural light, high ceilings, built-in wardrobes and Velux windows. The basement has been converted into an apartment for visitors, with an entrance hall, laundry area, work area, kitchen, bathroom, living room and two bedrooms. Everything you need to make your guests feel at home. The plot has a front garden with oak trees, parking area, decorative stones, swimming pool and gazebo in the rear. The materials used are of high quality, with Porcelanosa brand clay floors, climalit white lacquered aluminum exterior carpentry and white lacquered solid wood interior door carpentry. In addition, it has solar panels, pre-installation of aerothermal energy, radiant wire heating and hot water by individual natural gas. This house is cozy, with lots of light and various orientations. And the best of all is that it is available starting in September! With a negotiable price of €570,000, this house is a unique opportunity. In addition, we offer financial services available with the best market conditions. Don't miss the opportunity to visit this house, we offer care through virtual visits, WhatsApp and in person. Do not miss it!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2111.0,https://www.idealista.com/inmueble/101493451/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/3f/92/1123809399.jpg,El Fresno,False,-4.0158961,Colmenarejo,nan,chalet,False
