bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
3,Madrid,154.0,True,False,"{'subtitle': 'El Barral Ferial, Coslada', 'title': 'Penthouse in almendros'}",True,3,False,True,False,32,JS192065,es,True,103241064,570000.0,40.4322072,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, sells in Coslada this spectacular penthouse with 3 bedrooms and 2 bathrooms and an impressive terrace of 121 m² of use and enjoyment. The property is very bright and has high quality construction and spacious common areas with 2 swimming pools.  The house has an area of 154 sqm; has a separate living room, large kitchen with drying area, 3 bedrooms, the master with en suite bathroom and dressing room and another bathroom that serves the other 2 bedrooms.  The apartment has a garage and storage room included in the price. The urbanization has a swimming pool. It is strategically located in a residential location of exception, a few meters from the emblematic areas of influence of the airport and IFEMA.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,3701.0,https://www.idealista.com/inmueble/103241064/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/b8/94/1184895091.jpg,almendros,True,-3.5621288,El Barral Ferial,Coslada,7,penthouse,False
2,Madrid,137.0,True,False,"{'subtitle': 'El Puerto, Coslada', 'title': 'Flat'}",True,3,False,True,False,57,CM191749,es,True,103159532,484000.0,40.4212205,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, sells in Coslada this spectacular apartment with 3 bedrooms and 2 bathrooms, very bright, with high quality construction:  Stoneware flooring Venis of Porcelanosa throughout the house. - Tiling of kitchens and bathrooms with Venis Porcelanosa rectified tiles and chrome-plated brass profiles. - Porcelanosa System-Pool hydromassage bathtub with Hans Grohe thermostatic faucets. - Air conditioning with DAIKIN air conditioning equipment with heat pump and regulation grilles.  - High-end profiles with thermal bridge break. - Automatic blinds with thermal aluminum slats. - CLIMALIT double glazing with Wenge interior grid. The property has an area of 137 m²; has a separate living room, large kitchen with clothesline, 3 bedrooms, the master with en suite bathroom and dressing room and another bathroom that serves the other 2 bedrooms.  The apartment has a garage and storage room included in the price. The urbanization has a swimming pool. It is strategically located in a residential location of exception, a few meters from the emblematic areas of influence of the airport and IFEMA. The communication is unbeatable, as it is just a few minutes walk from the Coslada Central metro station (C2 and Regional lines). Nearby there are schools, sports centers, stores, green areas...",False,{'typology': 'flat'},good,3533.0,https://www.idealista.com/inmueble/103159532/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/d6/62/1180400639.jpg,El Puerto,True,-3.5736512,El Puerto,Coslada,5,flat,False
2,Madrid,115.0,True,False,"{'subtitle': 'El Puerto, Coslada', 'title': 'Flat in Plaza del Mar Egeo'}",False,3,False,True,False,63,4420,es,True,103801590,330000.0,40.4152967,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"BEAUTIFUL APARTMENT IN COSLADA! Located in a quiet area of the town, overlooking the residential complex. This, with garden parts, children's and leisure parks, which we describe below. It consists of a spacious and bright living room with a large window. The kitchen with double entrance, both through the hall and through the hallway, has wall and base furniture, basic appliances and access to the covered clothesline. Three bedrooms, all with built-in wardrobes, and the main one, with an en-suite bathroom. In addition to another bathroom, for the rest of the rooms. It should be noted that it has air conditioning with a heat pump, channeled throughout the house. Two parking spaces and a storage room are included in the price. It is located in an area with easy access to transportation, such as, for example, a few meters from the commuter train, metro, and direct bus lines to Ciudad Lineal and Vicálvaro. In its surroundings we will find all the services such as schools and sports centers, supermarkets, banks... etc. Come visit it!. Call us without obligation!",False,{'typology': 'flat'},good,2870.0,https://www.idealista.com/inmueble/103801590/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/96/e4/1201913142.jpg,Plaza del Mar Egeo,True,-3.5742296,El Puerto,Coslada,5,flat,False
4,Madrid,434.0,False,False,"{'subtitle': 'Las Conejeras - Esparragal, Coslada', 'title': 'Detached house'}",False,5,False,nan,False,81,nan,es,nan,102158269,695000.0,40.4230717,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","INMÔÔ, we present to you exclusively: IF YOUR LEMON TREE GIVES YOU LEMONS, MAKE LEMONADE AND ENJOY IT IN THE GARDEN! If you are reading this, I congratulate you in advance, since you may be one of those people who deserve this spectacular home. A home, a house in which you will not only enjoy space, or rather, a lot of space, you will also be able to enjoy great moments outdoors, having tapas with friends or having breakfast with your family in the shade of the lemon tree. Or better yet, enjoying the pool and the sun with a lemonade of your own harvest and a good book.. . Now let's go with the tangible: impressive independent villa with a 492m2 plot and 434m2 built, on the first floor a large hall that gives access to the versatile living room, kitchen with a lot of storage space, an endless green garden with a pool, a porch from where you can see your children with complete peace of mind and the great advantage of having a room and full bathroom on the ground floor, where you spend most of your time. As I told you at the beginning, this is your opportunity to have space, a lot of space, on the second floor 5 bedrooms, one of them en suite and 2 bathrooms. The main room and the office have direct access to a large terrace with spectacular views of the house. Wait.. . we're not done yet, this basement is not what you imagine, in addition to having what all basements have (storage room, garage) here you can escape the hottest days and enjoy with friends in a large cellar. If you think you deserve it to be your new home, do not hesitate to contact us, we will do everything to make you fall madly in love with it. At INMÔÔ, YOUR HAPPINESS IS OUR PURPOSE!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1601.0,https://www.idealista.com/inmueble/102158269/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/ef/0b/1147830113.jpg,Las Conejeras - Esparragal,True,-3.5517701,Las Conejeras - Esparragal,Coslada,nan,chalet,False
4,Madrid,350.0,True,False,"{'subtitle': 'Las Conejeras - Esparragal, Coslada', 'title': 'Terraced house in Calle Sofía'}",False,5,True,nan,False,61,WGI00596,es,nan,102487681,525000.0,40.4173435,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"WEGET INMOBILIARIA SELLS this incredible and exclusive semi-detached house in a privileged residential area of Coslada, Las Conejeras - Esparragal. The property is distributed over 2 floors plus the attic, the garage and the basement. Upon entering the property we find the garage ramp and a pleasant entrance with a beautiful olive tree and a small functional pond, through which we access the house through a glass-enclosed hall. On the 0th floor, we pass the door and arrive at a pleasant hall-distributor with a wardrobe.This floor offers us a LARGE LIVING ROOM of 35m2, which has LARGE LAMINATED GLASS windows that overlook both the entrance and the patio and a fully functional FIREPLACE. We also have the kitchen on this floor, it is independent and fully equipped and offers us another access to the garden through a beautiful plaster staircase.This floor has a toilet. We go up the stairs and on the 1st floor, we find a hall with 3 bedrooms, a common full bathroom and another en suite. The three SPACIOUS AND BRIGHT rooms have a BUILT-IN WARDROBE and drawers, LARGE WINDOWS, stoneware floors and gotelé walls.All rooms are very bright. The main room has an exposed brick headboard along with a beautiful mirror, a complete en-suite bathroom with a shower and a beautiful glazed terrace that overlooks the garden and pool. Both bathrooms have been completely RENOVATED and have a shower tray.In addition, this floor has a small glazed TERRACE which is accessed through the common bathroom. On the 2nd floor we find a large attic divided into two parts. The first half has a large open area that acts as a hall for the two attic rooms that make up the other half of this floor, double glazed windows and wallpaper walls. The attic has a wooden floor, and not stoneware like the rest of the house. In the garage we have a large space with capacity for at least 3 cars and a DIY area and storage room or storage area. On the -1 floor we find a very spacious 70m2 living room area with a bar and built-in furniture, as well as a bathroom with pre-installation for a shower tray. From this floor we can access the part of the garden, which has a wooden PORCH, WORK POOL and BARBECUE area. The construction pool has dimensions of 8x4m and has a maximum depth of 2.5m. At the bottom of the garden we find an area that also belongs to the property, but is currently unused. The house has the BEST QUALITIES, since it has been renovated in all its rooms.All doors and closet fronts are new and both plumbing and electrical wiring have been renovated.The property is equipped with natural gas heating Well connected both by public transport (bus lines 289 and 290 less than 2m on foot, Metro and Renfe de Coslada central 10m on foot) and by road (easy access to M -45). Zocoslada shopping center a few meters away and other nearby shops and leisure areas, supermarkets, etc. Green spaces and recreational-sports areas a few meters away (El Cerro Sports Center 200m). Henares Hospital just 10m away by car. The area has all the necessary services and a lot of variety. WE GOT A 100% MORTGAGE IN THE BEST CONDITIONS, come see this property and we will put at your disposal our team of specialists in the real estate, financial, legal and tax sectors.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1500.0,https://www.idealista.com/inmueble/102487681/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/13/31/1157269736.jpg,Calle Sofía,False,-3.5462218,Las Conejeras - Esparragal,Coslada,nan,chalet,False
2,Madrid,141.0,True,False,"{'subtitle': 'El Barral Ferial, Coslada', 'title': 'Flat in Avenida del Plantío'}",True,4,True,True,False,32,Coslada,es,True,97749068,445000.0,40.43095,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Magnificent renovated 140 m2 apartment, located in one of the most exclusive areas of Coslada, the Barral Ferial, with 4 bedrooms (three of them with fitted wardrobes), 2 full bathrooms, a large renovated kitchen with an office and 2 glazed terraces. Large living room with dining area and very bright glazed terrace. Large entrance hall with a spacious built-in wardrobe. Double windows in all the bedrooms that perfectly isolate the house. Smooth walls, wooden floor, a completely renovated bathroom with a shower tray, air conditioning throughout the house through ducts in each room. Private urbanization with 24-hour concierge, security cameras, gardens, large swimming pool for adults and another for children. The price includes a large storage room and 1 garage. In the surroundings of the house we can find all kinds of services such as supermarkets, cafes, restaurants, pharmacies, bakeries, medical center, etc. Easy access to the M-40, bus stop at the door, Renfe station and metro stop 10 minutes walk.",False,{'typology': 'flat'},good,3156.0,https://www.idealista.com/inmueble/97749068/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/2a/71/990009576.jpg,Avenida del Plantío,False,-3.5633158,El Barral Ferial,Coslada,1,flat,False
4,Madrid,381.0,True,False,"{'subtitle': 'Las Conejeras - Esparragal, Coslada', 'title': 'Detached house in Miguel Hernandez'}",False,5,True,nan,False,61,nan,es,nan,103431180,700000.0,40.4209543,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Incredible independent House / Chalet for Sale. This wonderful property has a 412m2 plot and a 381m2 construction distributed over 3 floors. On the main floor, you will find a large separate living-dining room with a fireplace, a spacious bedroom, a bathroom with a shower and screen, and a large kitchen with an office area. The first floor is accessed through a spiral escarole. In addition, you can enjoy a 20m2 terrace on the first floor. On this same floor, there are 4 very spacious bedrooms and a bathroom in the hallway with a bathtub. The master bedroom has a second large bathroom. In the basement, you will find a separate 90m2 living room, another bedroom and a garage for 2 cars with 2 mechanical access doors. The property also has a porch in the entrance area and another built-in porch next to the large, built-in pool. Don't miss the opportunity to acquire this magnificent property with all these amenities. Call us now for more information!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1837.0,https://www.idealista.com/inmueble/103431180/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/33/b9/1202901424.jpg,Miguel Hernandez,False,-3.5555611,Las Conejeras - Esparragal,Coslada,nan,chalet,False
2,Madrid,120.0,False,False,"{'subtitle': 'El Puerto, Coslada', 'title': 'Flat'}",False,3,False,True,False,28,nan,es,True,103869632,346000.0,40.4227597,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Port neighborhood - free rent Private urbanization with swimming pool and paddle tennis courts, garage and storage room with direct access. Beautiful apartment of 120m2 built and 93m2 useful, distributed in three bedrooms with built-in wardrobes, two complete bathrooms (one with a bathtub and the other with a shower), a large 25m2 living room with access to a small terrace, a fitted kitchen with a clothesline on the terrace. Oak doors, parquet and stoneware floors, double glazing, natural gas heating and air conditioning throughout the house. Very good location, just a few minutes from the metro (line 7), Mercadona, health center, and excellent access to M40, M45, etc.",False,{'typology': 'flat'},good,2883.0,https://www.idealista.com/inmueble/103869632/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/0f/43/1202717361.jpg,El Puerto,False,-3.5715012,El Puerto,Coslada,1,flat,False
1,Madrid,71.0,False,False,"{'subtitle': 'Coslada Pueblo, Coslada', 'title': 'Flat in Calle del Aeropuerto'}",False,3,False,True,False,50,BAS-AEROPUERTO,es,True,103761576,152000.0,40.4280684,False,nan,sale,nan,"+++++++++++++++BASTIA REAL ESTATE++++++++++++++++ Sells an apartment with an elevator, in the central area of Coslada. The house has 3 bedrooms, 1 full bathroom with a shower. Fully equipped and furnished kitchen, with appliances and 1 open terrace. Oven, extractor hood and hob (butane gas). It has sintasol floors, aluminum windows, white sapelly doors, gotelé paint and an armored entrance door. Individual heating with low consumption electric ceramic radiators. Bars on windows with lock and side opening. Very quiet area with all shops and schools nearby. Commuter train and metro station 300 meters away. Approx. Unbeatable location. Very good care. The municipality has excellent communications, both by public transport and its own transport on the M45, M50 roads that immediately connect us with the M-40, R-3, A2, A3, etc. 100 meters from the Coslada Central commuter and metro station, as well as a multitude of bus lines, urban buses 01 and 02, and another 14 interurban lines, as well as 2 nighttime lines, metro and commuter stations. 10 minutes by car from the Hospital del Henares, 15 minutes from the airport and Metropolitano, etc. We finance up to 100% of the purchase according to the profile, we advise you and find the best mortgage options for free and without obligation. +++++++++++++DO NOT HESITATE TO CALL AND MAKE AN APPOINTMENT++++++++++++++.",False,{'typology': 'flat'},renew,2141.0,https://www.idealista.com/inmueble/103761576/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/35/c5/1202500683.jpg,Calle del Aeropuerto,False,-3.5586413,Coslada Pueblo,Coslada,1,flat,False
1,Madrid,80.0,False,False,"{'subtitle': 'La Espinilla - Parque Blanco, Coslada', 'title': 'Flat in Plaza de Uruguay'}",True,3,False,True,False,21,nan,es,False,103857357,182000.0,40.4255947,False,nan,sale,nan,"Tecnocasa real estate agency from COSLADA. CIUDAD 70 area, VALLEAGUADO, LA ESPINILLA, PARQUE BLANCO. The property is located in PLAZA URUGUAY. It has 80 meters divided as follows: 3 spacious and bright rooms. Full bathroom with bathtub. Large living room and kitchen with terrace included. Completely renovated. Very bright exterior housing. It does not have a storage room. Dont have a elevator. Excellent location, 5 minutes from La Rambla Metro, 200 meters from the bus stop, close to the health center and 10 minutes from the Henares Hospital. Easy access to M206, M45, M50 and A2. We invite you to visit it, without obligation, and to ask about our KIRON Financial Department, we get up to 100% of the financing. TLF. CONTACT:.",False,{'typology': 'flat'},good,2275.0,https://www.idealista.com/inmueble/103857357/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/54/5e/1b/1202372578.jpg,Plaza de Uruguay,False,-3.5467247,La Espinilla - Parque Blanco,Coslada,4,flat,False
