bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
5,Madrid,387.0,True,False,{'title': 'House in Calle Retamar'},False,5,True,nan,False,41,135667,es,nan,599000.0,100327221,40.2002675,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"From private to private. Call us and visit this house. Large villa with a surface area of 387 m² with a plot of 1100 m², where you can enjoy your leisure time, in Cubas de la Sagra, province of Madrid. This house, due to its size, meets the needs of a family with children. This chalet is two stories high and is distributed in a spacious and bright living room, a fitted kitchen, completely independent from the rest of the rooms and equipped with appliances, five bedrooms, three complete bathrooms and two functional toilets. In addition, the chalet has a balcony so you can enjoy natural light throughout the room, a terrace to enjoy natural light throughout the room, a patio so you can have breakfast outdoors and built-in wardrobes, to optimize your storage space. The property is all exterior, with a private garden with a built-in gazebo with barbecue and chillout area, where you will take advantage of the good weather, a private pool that will make the summer heat much more bearable, and a gym. This chalet is located on an easily accessible road, it has a garage for two cars so you can park comfortably and a storage room, so you can take advantage of all the space in the house. Facing south, it is a very sunny house in the central hours of the day. The house is sold unfurnished and in good condition, renovated with great style, ready to move into. As for the qualities, this chalet has aerothermal heating, several fireplaces, PVC exterior carpentry, wooden floors, which gives a lot of warmth to the stoneware and marble home, easy to maintain and highly resistant. This house is located in a quiet and well-connected area, very close to the bus stop. For greater comfort, the house is very close to a medical center, a school and all the necessary services. h1o3u5s6e6l7l.",False,{'typology': 'chalet'},good,1548.0,https://www.idealista.com/inmueble/100327221/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e2/ee/e6/1078861308.jpg,Calle Retamar,False,-3.8471303,Cubas de la Sagra,nan,chalet,False,nan
3,Madrid,200.0,False,False,{'title': 'Semi-detached house'},False,3,False,nan,False,34,1435,es,nan,325000.0,103874698,40.1906286,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INMOCASARRUBUELOS SELLS VILLA IN CUBAS DE LA SAGRA! Spacious 200 m2 villa distributed over three floors, located in the center of town. This bright home has on the ground floor a 12 m2 furnished kitchen equipped with an oven, ceramic hob and extractor hood. Cozy 40 m2 living room/hall includes a practical built-in wardrobe and a pellet fireplace. In addition, it has a toilet and a 47 m2 front patio with a parking area. At the rear, we find a 34 m2 patio with direct access to the community pool. First floor; three large bedrooms with built-in wardrobes (the master bedroom with an en-suite bathroom with a shower) and another full bathroom with a shower. Attic; Spacious and bright 34 m2 attic with built-in wardrobes on the sides and air conditioning. Qualities; Stoneware floors, white lacquered interior carpentry, white PVC windows with tilt-and-turn climalit system, smooth paint and gas heating. Housing renovated 3 years ago. Visit without obligation! We get you the mortgage for this home (subject to banking conditions).",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1625.0,https://www.idealista.com/inmueble/103874698/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f3/c5/bd/1202878816.jpg,Cubas de la Sagra,False,-3.8359096,Cubas de la Sagra,nan,chalet,False,nan
4,Madrid,300.0,True,False,{'title': 'Semi-detached house in Calle mimbres no number'},True,5,False,nan,False,60,nan,es,nan,403000.0,103808810,40.194453,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"M&M Consulting S.L.exclusively markets this spectacular semi-detached house that redefines the idea of luxury and comfort in the real estate market.Located in a privileged urbanization with common areas and a private pool, this property has been completely renovated with meticulous attention to every detail, offering an exceptional lifestyle for those seeking the best in terms of quality and comfort. With five bedrooms, this chalet is perfect for large families or those who value space and privacy.One of the bedrooms is located on the entrance floor to the home, complemented by a full bathroom for greater convenience and accessibility.The master bedroom includes an en-suite bathroom and dressing area.The other four full bathrooms, all renovated with top quality finishes, offer an oasis of tranquility and relaxation.Three of them incorporate showers with a floor-level porcelain tray, while one has a luxurious whirlpool bathtub to enjoy moments of well-being and rest.Kitchen with office area which has a spectacular space to take advantage of the space during our meal times.Breakfast area space enabled. The house has been 100% renovated, taking care of even the smallest details to offer a modern and sophisticated atmosphere.The gray laminate flooring and smooth walls throughout the home create an elegant and contemporary atmosphere, while the double glazed windows with pre-installation for electric blinds offer additional comfort. In the area designated as a wine cellar, there is an independent apartment of about 80m2, perfect for hosting guests or for use as additional space according to the needs of each family.This apartment has a double bedroom, living-dining room, newly installed American kitchen and a full bathroom with a shower. One of the most notable features of this property is its private pool with salt chlorinator, located on a spectacular plot that is accessed from the living room, creating a perfect space to enjoy the outdoors and cool off on hot summer days.In addition, the urbanization has two swimming pools, a soccer field, a basketball court, a paddle tennis court and a social area for celebrations and meetings, offering an active and social lifestyle for the whole family. Heating using a pellet hydro stove with access to all radiators in all rooms. In addition, this home is totally efficient thanks to its energy efficiency achieved through solar panels on the roof, which not only generates significant savings on electricity bills, but also provides a bonus on the contribution (IBI), paying only 50% of the total capital per year. With a private two-car garage with electric vehicle charger already installed, this property offers a lifestyle of luxury, comfort and sustainability in an incomparable setting.Don't miss the opportunity to make this chalet your home.Contact us today to learn more and schedule a visit.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1343.0,https://www.idealista.com/inmueble/103808810/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/31/6b/1200802334.jpg,Calle mimbres no number,False,-3.8451943,Cubas de la Sagra,nan,chalet,False,nan
4,Madrid,387.0,True,False,{'title': 'Detached house in Retama no number'},False,5,False,nan,False,30,8303,es,nan,476000.0,103727004,40.1910568,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HMinmobiliaria offers EXCLUSIVE and LUXURY, INDEPENDENT Villa! 3 floors, plot of 1087 m, and 387m built... in Cubas de la SAGRA! 100% FINANCING! NO ENTRY! NO COMMISSIONS! WITHOUT GUARANTEE! Only with your INCOME and writing expenses! Nothing else! 8303 - INDEPENDENT Chalet, 3 FLOORS (basement or ground floor, first and second). GROUND OR BASEMENT: GARAGE for TWO cars, living room with fireplace, bathroom and storage room FIRST Floor: Separate living room, large kitchen with pantry and laundry room, 3 bedrooms, 2 bathrooms and a large central PATIO. SECOND floor: 2 bedrooms and bathroom. Good option as a FIRST HOME. With your INCOME, WITHOUT GUARANTEES! 100% FINANCING! you can have your home in PROPERTY. You only have to cover the writing costs and the bank will finance the rest up to 100% of the purchase value. Each client is UNIQUE, each Purchase is UNIQUE, each Home is UNIQUE. In bidding process! 100%! Financing! NO ENTRY! NO COMMISSIONS, NEITHER for the SALE, NEITHER for the PROCESSING of the sale OR of the loan! Only with YOUR INCOME and writing expenses! Nothing else! HMInmobiliaria has been turning dreams into homes since 1989!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1230.0,https://www.idealista.com/inmueble/103727004/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/8a/a0/1198289866.jpg,Retama no number,False,-3.8372005,Cubas de la Sagra,nan,chalet,False,nan
5,Madrid,387.0,True,False,{'title': 'Detached house in retamar'},True,5,False,nan,False,47,Cubas de la Sagra,es,nan,589000.0,102896363,40.1982219,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Detached villa for sale in Cubas de la Sagra. The house is distributed over 3 floors. We have a renovated kitchen, with plenty of countertop surface (Silestone) and enough space to do a good part of life in it. The floors are wooden except in the bathrooms (stoneware). Imitation wood aluminum windows with double glazed glass. All bathrooms with windows, and bedrooms with built-in wardrobes. For air conditioning we have an aerothermal installation. It is located in the garage so as not to take up useful space in the home. As for the street floor, we have everything necessary to live: the kitchen, the living-dining room, three bedrooms and two bathrooms (one of them en suite). In addition, the lobby is spacious and the central patio helps give light to the house. On the upper floor, we have two rooms with a terrace (one of them large, which can be used as an office or office) and a bathroom. In the basement we have the extra gym (which tomorrow could be a movie room if we want), a bathroom and the garage. On the outside we find a porch of more than 20m2 at the entrance door. The property has 1050m2 in which, in addition to the garden, we have a swimming pool, and a small bar, as well as a toilet and a pantry. All this together with a porch. The property according to cadastre has total meters 387 living place. In the attached plan you can see the real meters of the house, which are 266 useful meters. Construction of the year 2008. A current home, in good condition and with enough space for a family to start enjoying it as soon as we leave the notary.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1522.0,https://www.idealista.com/inmueble/102896363/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2b/90/d5/1171011480.jpg,retamar,False,-3.8463337,Cubas de la Sagra,nan,chalet,False,nan
4,Madrid,178.0,True,False,{'title': 'Semi-detached house in Calle de la Huerta no number'},False,4,False,nan,False,39,CUB01,es,nan,349000.0,102938741,40.1927002,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Exclusive New Construction: 165m² Residence with 4 Bedrooms, 4 Bathrooms and Pool Included Discover the Elegance of Modern Luxury Specifications: Size: 165m² of high standing housing. Rooms: 4 spacious bedrooms. Bathrooms: 4 full bathrooms with first-class finishes. Individual installations 25 years warranty on the panels 5 years warranty and 5 years maintenance Up to 100% financing Electric car charger included Kitchen/Living Room: Open space with a high-end integrated kitchen and living-dining room that invites family coexistence. Technology: Underfloor heating cold and heat by aerothermal energy with photovoltaic panels with a 5KW hybrid inverter, on a plot of more than 300m2, guaranteeing energy efficiency and thermal comfort all year round. Private Pool: Enjoy a custom-made 8x4 platelet pool included in your new home. Security and Privacy: Each chalet has a perimeter fence and automated carriage door, offering a safe and private environment. After-sales peace of mind: With Optima Investments, you will enjoy an A++ category home, with a 5-year maintenance and after-sales service guarantee, ensuring your peace of mind and avoiding extra costs. A Dream Home: It is not just a home, it is the opportunity to raise your quality of life, surrounded by luxury and nature, without moving away from urban comfort.",True,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",newdevelopment,1961.0,https://www.idealista.com/obra-nueva/102938741/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/fc/6c/1202659564.jpg,Calle de la Huerta no number,False,-3.8395732,Cubas de la Sagra,nan,chalet,False,nan
4,Madrid,387.0,True,False,{'title': 'Detached house in Calle Retamar'},False,5,False,nan,False,24,3395-01973,es,nan,476000.0,103687477,40.1988709,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Welcome to this independent home for sale! Built in 2008, built on two floors, it has 5 bedrooms, 4 full bathrooms and a useful area of 350 square meters. On the street access floor, you will find a large open living-dining room, a kitchen with a separate laundry area and pantry, 3 bedrooms and 2 full bathrooms, one of them en suite. On the first floor, there is a living room, 2 bedrooms and a full bathroom. In addition, the 70 square meter basement is perfect for storage or to create your own leisure area. Oil heating and air conditioning, as well as PVC exterior carpentry and stoneware and ceramic floors. Outside, you can enjoy a 1080 square meter plot with a private pool. The location is perfect, on a quiet cul-de-sac street surrounded by residential homes and green areas. In addition, there is a nursery school and two public bilingual preschool and primary schools in the town, as well as the bilingual secondary school ""IES Sor Juana de la Cruz"". There are also several accesses by road and public transport, such as the A-42 highway, M-404 highway, M-417 and buses. The house is in perfect condition and ready to be inhabited. Don't miss the opportunity to make it yours! The sale will be held by auction until February 16, so don't wait any longer! Contact us for more information.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1230.0,https://www.idealista.com/inmueble/103687477/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/ba/0d/1197115568.jpg,Calle Retamar,False,-3.8447065,Cubas de la Sagra,nan,chalet,False,nan
4,Madrid,387.0,True,False,{'title': 'Detached house in retamar'},False,5,False,nan,False,28,11380,es,nan,476000.0,103708871,40.2003204,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"100% financing!. Without agency commission and without providing endorsements! without entry, only with your payroll and contributing the writing expenses! vats of the sagra. Excellent independent villa of 387 m2, large plot of 1,087 m2, with private pool of 31 m2. Basement: garage for 2 cars + bathroom + cellar. Ground floor: 3 bedrooms, 2 bathrooms, separate living room, fitted kitchen + laundry + pantry, central patio. First floor: 2 bedrooms, bathroom, terrace. In the bidding period until. We do not charge you a commission, either for the sale of the house or for the processing of the loan!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1230.0,https://www.idealista.com/inmueble/103708871/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/e2/fe/1197793158.jpg,retamar,False,-3.8470289,Cubas de la Sagra,nan,chalet,False,nan
3,Madrid,160.0,True,False,{'title': 'Semi-detached house in Calle Robles'},False,3,False,nan,False,4,8307PV-M,es,nan,257500.0,102813723,40.1965718,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This villa is at Calle Robles, 28978, Cubas de la Sagra, Madrid. It is a sunny villa, built in 2006, that has 160 m2 and has 3 rooms and 3 bathrooms. It includes luminous, puerta blindada, cocina amueblada, toilet, garage included, exterior, individual heating, natural gas, pareado, security door, storage room, concrete structure, windows climalit, stairs, balcón, storage room included, jardín, individual natural gas heating, wardrobe, good condition, terraze, permanent ford, tv antenna and propietario.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1609.0,https://www.idealista.com/inmueble/102813723/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/bd/31/1168194992.jpg,Calle Robles,False,-3.8517471,Cubas de la Sagra,nan,chalet,False,nan
2,Madrid,240.0,True,False,{'title': 'Detached house in Camino de Batres'},True,4,True,nan,False,50,3395-01839,es,nan,436000.0,99448987,40.1920785,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Welcome to the rural world! Located in Cubas de la Sagra, just 35 minutes from the capital, this property is located in a quiet municipality full of La Mancha charm. With a total area of 3,355 m2, this urban land is perfect for those looking for a life away from the hustle and bustle of the city. The house, built on one floor, has 4 bedrooms, 2 bathrooms, living room, kitchen, toilet and a full bathroom. In addition, it has an entrance porch, a 12x6 square meter pool and a 15 meter warehouse. The property is surrounded by different fruit trees, which makes it even more attractive. Cubas de la Sagra is a town that has extensive history and architectural treasures, as well as a nursery school and two public bilingual preschool and primary schools. It also has the bilingual Secondary School ""IES Sor Juana de la Cruz"", which makes it ideal for families with children. The property has access by road and public transport, with the A-42 highway from Madrid and Toledo, the M-404 highway from Serranillos del Valle, Batres, El Álamo, Batres, Navalcarnero and A-5 to the west, and Griñón, Torrejón de la Calzada, Torrejón de Velasco, Chinchón and the A-3 and A-4 highways to the east. There are also buses available, such as line 460 Madrid (Plaza Elíptica) - Parla - Batres, line 468 Getafe - Griñón / Casarrubuelos / Serranillos, and line 468 Fuenlabrada-Griñón-Serranillos-Cubas de la Sagra-Casarrubuelos. Don't miss the opportunity to live in this beautiful property! Book your visit today and start enjoying a life away from the stress of the city. The published price does not include taxes and expenses derived from the transmission.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,1817.0,https://www.idealista.com/inmueble/99448987/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/66/d3/1044316070.jpg,Camino de Batres,False,-3.8582492,Cubas de la Sagra,nan,chalet,False,nan
