bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
2,Madrid,170.0,True,False,{'title': 'Terraced house in Monjas'},True,3,False,nan,False,79,4414,es,nan,365000.0,103664075,40.5507973,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"BEAUTIFUL TOWNHOUSE IN DAGANZO! Located in a quiet area of the town, distributed over three floors as follows: In the main room, spacious and bright living room with access to the garden. This one, with a paved part, natural grass and provided with an awning Large kitchen completely renovated, with high and low furniture and basic appliances. The toilet, also renovated, will serve the rooms on this floor. On the upper floor, three bedrooms, all with built-in wardrobes. The main one, with an en-suite bathroom and exterior window. In addition to another bathroom with a shower for the rest of the rooms. The attic, an open space, with closets under the roof, to give it the use and enjoyment that you like best. Built on a 150 m² plot, where we even find at the entrance an American garage with a beautiful wooden pergola and automatic door. Daganzo is a municipality in the east of the community of Madrid with excellent communication with NII, R2, M50 and A1, located 10 minutes from Madrid-Adolfo Suárez airport and 30 minutes from Plaza de Castilla. Don't hesitate! Call us without obligation.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2147.0,https://www.idealista.com/inmueble/103664075/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/f7/c7/1196473195.jpg,Monjas,False,-3.4574016,Daganzo de Arriba,nan,chalet,False,nan
2,Madrid,132.0,True,False,{'title': 'Terraced house in Calle Peñuelas'},True,3,True,nan,True,48,EP2112,es,nan,280000.0,99566559,40.554149,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"WE DO NOT CHARGE FEES TO THE PURCHASING PARTY Nice semi-detached house of 132 m², in one of the best areas of Daganzo. On the ground floor we find the entrance, glazed, with an armored door that gives access to the hall, a cozy living room with access to a small garden; The fully furnished kitchen with patio, has main appliances (oven hood and ceramic hob) and boiler in perfect condition. This floor also has a courtesy toilet. The house has a garden in the front, which, although it is not located in the same house, is a beautiful space for the whole family to enjoy just a few meters away. First floor: Access to this floor through the comfortable staircase with a large window that provides us with a lot of light leads us to the 3 bedrooms, all of them in good condition, with built-in wardrobes and very bright. On this floor we also have a complete bathroom with a shower that serves the bedrooms. Second floor: The attic is semi built. It is a wide space with a Velux type window. This room is perfect for storage or in the future as an additional room, games room, office, etc. The house has wooden floors and stoneware, wooden doors, gotelé type paint, Climalit aluminum windows, awning on the living room window and individual heating. In the same urbanization it has an underground community parking space. Daganzo is located in one of the best areas of the Corredor del Henares, with public transport, schools, a medical center, leisure areas and all the services at your fingertips. Just 15 minutes from Adolfo Suarez Madrid Barajas Airport and excellent communication with N-II-R2-M50 and A-1. Do not miss this opportunity, call us and we will inform you of all the details. The sales prices do not include legal taxes or deed expenses.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2121.0,https://www.idealista.com/inmueble/99566559/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/74/86/1198933132.jpg,Calle Peñuelas,False,-3.4574532,Daganzo de Arriba,nan,chalet,False,nan
3,Madrid,251.0,True,False,{'title': 'Terraced house in Valdezarza'},False,4,True,nan,True,64,0768,es,nan,374900.0,101246951,40.5433152,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Incredible semi-detached house in one of the best areas of Daganzo. 251m² distributed over 3 floors with 4 bedrooms, 2 bathrooms, 1 toilet and 96m² of patio with garden. Community area with swimming pools. It has the following distribution: entrance porch with the possibility of making a woodshed, hall with built-in wardrobe and access to a 24m² garage. Fully furnished kitchen equipped with basic appliances, bright 30m² living room with fireplace and access to the sunny and large 96² patio. We have a toilet on this floor. On the upper floor there are the 4 bedrooms, all with a built-in wardrobe. The main one is a suite with a bathroom and a 14m² terrace in the bedroom itself. Another of them also has access to a 4m² terrace. Another full bathroom with shower and window. Fully equipped attic and two different rooms: one with a 10m² storage room and another with a 25m² living room (with the possibility of a bathroom) and access to a 28m² solarium/terrace. Qualities: Heating throughout the house, drop paint, marble, stoneware and parquet floors. Oak doors, white aluminum windows with Climalit. Community area with swimming pool for adults and another for the little ones. Located very close to the entrance of Daganzo, greatly facilitating communication with the main roads and next to local businesses, supermarkets, parks, schools, institutes and public transport. Don't miss this opportunity and come see it or call us for more information.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1494.0,https://www.idealista.com/inmueble/101246951/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e2/18/17/1115675129.jpg,Valdezarza,False,-3.4666262,Daganzo de Arriba,nan,chalet,False,{'groupDescription': 'Highlight'}
3,Madrid,218.0,True,False,{'title': 'Terraced house in Calle Cervantes'},True,3,True,nan,False,35,EP2188,es,nan,316000.0,103619900,40.5464799,False,nan,sale,nan,"WE DO NOT CHARGE FEES TO THE BUYING PARTY Don't miss the opportunity to live in the heart of Daganzo! This two-story house with a basement is located in the center of town, next to the town hall. It has a total area of 218m², this property has large spaces and an excellent distribution. Upon entering the house, you will find a large entrance hall that will take you to the spacious living room in two rooms, with windows facing the east and west, which makes it very bright. In addition, it has a fireplace in the 24m² living room and a dining area of approximately 12m². On the ground floor, you will also find a fitted kitchen with access to a 30m² patio facing west, a large full bathroom with window and shower, and the possibility of making an additional bedroom with independent access and window. On the first floor, there are three double bedrooms with built-in wardrobes and Velux windows. The master bedroom has 19m² and two full bathrooms with windows, one with a shower and the other with a bathtub. The basement, with an area of 45m², is ideal for use as a cellar or storage area. The property has individual oil heating, a relatively new tank and boiler, and bars on the ground floor. Don't miss the opportunity to live in a house in perfect condition in an unbeatable location! The sales prices do not include legal taxes or deed expenses.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1450.0,https://www.idealista.com/inmueble/103619900/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/f5/75/1197365305.jpg,Calle Cervantes,False,-3.4574923,Daganzo de Arriba,nan,chalet,False,nan
4,Madrid,138.0,True,False,{'title': 'Terraced house'},True,5,True,nan,False,38,N06-LES-00017,es,nan,346000.0,102818163,40.5459218,False,nan,sale,nan,"The beginning of your new life can start today with your new home! We have for sale this fantastic townhouse in Daganzo de Arriba, (Madrid) with a built area of 138 square meters. The house consists of 4 bedrooms and a fifth room, currently used as a workspace, 3 full bathrooms with bathtub, and 1 guest toilet. It is in excellent condition. Ready to move in! It is located in the ""Las Moreras"" urbanization, a private development in the heart of the town, with a communal garden and swimming pool. Entering the house on the ground floor, there is a front patio with enough space to park a vehicle (surface parking). The reinforced front door gives us access to the house, where we find the fully fitted kitchen with some appliances included in the sale. A spacious living room with two separate areas and a fireplace, where we can enjoy a warm atmosphere during the cold winter days. From the living room, we can also access the back patio, where we can enjoy the warmer days. A guest toilet is the last room on this ground floor of the house. Going up a comfortable marble staircase, we reach the first floor where we find the sleeping area. It consists of 3 bedrooms, one of them being the master suite, which includes a complete bathroom and an open dressing area. On the same floor, there is another full bathroom with bathtub that will be shared by the other 2 bedrooms. Finally, on the second floor of the house, we have an attic area where we find a 4th bedroom, also a suite, a complete bathroom with bathtub, and an additional room that is used as an office or work area. We can also enjoy a small terrace with views of the development. Exterior aluminum carpentry and window grills on the ground floor. Interior wood carpentry. Herringbone parquet floors on the ground and first floors, and ceramic tiles on the top floor, as well as in the kitchen and bathrooms. It has air conditioning with heat pump in the master bedroom and attic. Domestic hot water and heating are supplied through individual oil-fired boiler. The house has all the necessary comforts for a family, with spacious and bright spaces. Each of the rooms is ideal for different needs, whether as bedrooms, offices, or playrooms. The 4 bathrooms, distributed in different areas of the house, ensure the comfort and convenience of all residents. The location of the house is excellent, in a quiet and well-connected area. Daganzo de Arriba is a charming town, surrounded by nature and with all the necessary services for day-to-day life (sports center, medical center, pharmacies, nurseries, schools, supermarkets, and a wide variety of restaurants). In addition, it is located just a few kilometers from Madrid, and only 10 minutes from Alcalá de Henares and Torrejón de Ardoz, which allows you to enjoy the tranquility of a rural environment without giving up the comforts of a large city. If you are truly looking for a home, do not miss the opportunity to see this property. Contact us for more information or to schedule a visit, even on weekends. ** NO FEES FOR BUYERS **' Return the translated ad to English in a utf8 JSON structure, serializable in javascript.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2507.0,https://www.idealista.com/inmueble/102818163/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/5f/bd/1168342913.jpg,Daganzo de Arriba,False,-3.459651,Daganzo de Arriba,nan,chalet,False,nan
3,Madrid,154.0,True,False,{'title': 'Semi-detached house in Calle Valdeorilla'},True,3,True,nan,False,51,EP2178,es,nan,389000.0,102968289,40.547658,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"WE DO NOT CHARGE FEES TO THE BUYING PARTY! Fabulous corner villa for sale, with community pool and Padel courts. Access to the house is very comfortable, without stairs, which makes it easier for us to enter. The beautiful glass porch connects us to the ground floor, where we access a large independent living-dining room with air conditioning (hot-cold) and direct access. to the porch and garden. The garden is a large space in perfect condition, it has natural grass, a vegetable garden area, automatic irrigation and beautiful night lighting. On this floor, we also have a guest toilet and a large kitchen furnished with the main appliances (oven, hood and ceramic hob), it also has a glazed clothesline. On the first floor we find 3 bedrooms, all of them with built-in wardrobes and two full bathrooms. The master bedroom suite has a double walk-in closet and a built-in bathroom. The completely independent attic is perfectly equipped, has storage cabinets and two Velux-type windows, which guarantees natural light throughout the day. The entire house has PVC windows, stoneware and parquet floors in perfect condition, smooth paint, individual heating, alarm, etc. The house also has a surface garage for one vehicle. Unbeatable location, in the downtown area of Daganzo near the institute, schools, shops, playgrounds and health center. Bus stops a few meters away. Daganzo is located in one of the best areas of the Henares Corridor, just 15 minutes from the Adolfo Suarez Madrid-Barajas airport and excellent communication with N-II-R2-M50 and A-1. Do not hesitate and contact us, we will inform you of all the details of this beautiful chalet. Great opportunity for your quality of life and with all the services at your fingertips. The sales prices do not include legal taxes or deed expenses.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2526.0,https://www.idealista.com/inmueble/102968289/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/0f/e1/1173489101.jpg,Calle Valdeorilla,False,-3.4605158,Daganzo de Arriba,nan,chalet,False,nan
3,Madrid,220.0,True,False,{'title': 'Terraced house in Calle Calderón de la Barca'},False,3,True,nan,False,51,0809,es,nan,416000.0,102498886,40.5448701,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Spectacular 207m² villa built in 2008, ready to move into with 3 bedrooms and a 60m² garden. This house has the following distribution: Nice front patio of 30m² that gives us access to the house and the garage. Glazed porch, hall with armored door, closet under stairs and access to garage, large kitchen fully furnished and equipped with basic appliances. Bright 28m² living room from which we access the 60m² paved backyard with planters and a water intake. On this floor we have a bathroom equipped with a bathtub and screen. On the upper floor we find the 3 double bedrooms, all of them with a built-in wardrobe. The main one is a suite, with air conditioning, access to a 7m² terrace and a private bathroom with a shower. We have another bathroom with a bathtub and double sink for shared use. Closed attic, fully equipped and very bright thanks to its 3 Velux windows equipped with blackout blinds. Possibility of making a bathroom. In the garage on the ground floor we have enough space for 1 vehicle and it is equipped with a water connection to automatic doors. Excellent qualities: Smooth paint, in Florentine lands attic. Solid beech doors. Double aluminum windows with Climalit and mosquito nets. Heating throughout the house. Bars on the ground floor. Located in a very quiet area, but next to parks, town hall, post office, pharmacy, medical center and public transportation. Don't miss this opportunity and come visit it or call us for more information. WE DO NOT CHARGE FEES TO THE PURCHASING PARTY.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1891.0,https://www.idealista.com/inmueble/102498886/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/c8/d1/1157653768.jpg,Calle Calderón de la Barca,False,-3.4643814,Daganzo de Arriba,nan,chalet,False,{'groupDescription': 'Highlight'}
3,Madrid,190.0,True,False,{'title': 'Terraced house in Ajar'},False,3,True,nan,False,63,0769,es,nan,363000.0,100902521,40.5520779,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"WE DO NOT CHARGE FEES TO THE BUYER. Great corner terraced house for sale with 190m² built and distributed over 4 floors. 3 bedrooms, 2 bathrooms, 1 toilet and garden with artificial grass and barbecue. This house has the following distribution: Entrance to the house with access to a garage ramp and a glazed porch with Climalit. Entrance hall with window, large kitchen fully furnished and equipped with basic appliances and pantry. Bright living room with air conditioning. Exit to the glazed rear porch with awning and folding roof from which we can access the 40m² garden equipped with artificial grass, a built-in barbecue and a glazed storage room under the porch floor. We have a toilet on the floor. On the upper floor are the 3 double bedrooms, all of them with built-in wardrobes lined and dressed. The main one is a suite type, with a complete bathroom with a bathtub. We have another complete bathroom equipped with a shower tray with a hydromassage column. Fully conditioned 30m² attic equipped with 2 Velux windows to light it naturally, air conditioning and the possibility of having a bathroom. Large garage with capacity for 3 vehicles and stoneware flooring. Qualities: Piped propane gas heating, drop paint, wooden floors and stoneware, white aluminum windows with Climalit, awnings in the bedrooms, mosquito nets in the kitchen and bedrooms. Located in an unbeatable area, very quiet and in front of the 11-M park. Very close to school, sports center and municipal swimming pool and public transport. Do not miss this opportunity and come see it or call us for more information.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1911.0,https://www.idealista.com/inmueble/100902521/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/14/f6/1102786023.jpg,Ajar,False,-3.4611697,Daganzo de Arriba,nan,chalet,False,{'groupDescription': 'Highlight'}
4,Madrid,251.0,False,False,{'title': 'Semi-detached house'},False,5,False,nan,False,64,PAV24002,es,nan,389900.0,103874723,40.5408814,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Discover the charm of this beautiful three-story villa, perfectly located at the entrance of Daganzo, next to the shopping centers, which redefines the meaning of comfort and luxury.With an exceptional combination of elegant design and modern amenities, this home is the ideal choice for those seeking an exceptional lifestyle.Ideal for large families! Exceptional Features: 1.Great Room with Fireplace: A great room designed for entertaining and relaxation, offering a cozy atmosphere for special family moments. two.Kitchen: the large kitchen is the heart of the home, equipped with appliances and an office area to enjoy the outside but completely closed, which adds more space to the kitchen. 3.Four bedrooms and dressing room: Enjoy the spaciousness and elegance of three bedrooms, plus the master bedroom that includes a dressing room, providing space and style. Four.Bathrooms with windows: two full bathrooms and two toilets, with the main bathroom integrated into the master bedroom, offer a touch of luxury and functionality to your daily life. 5.Attic with bathroom: a versatile space that can be used as an additional living room, office or even a fourth bedroom, with a bathroom for added convenience.Next door there is another room used as a storage room.It has access to a large terrace-solarium with beautiful views and a large bench to sit and watch the sunsets. 6.Practical extras: includes storage room and woodshed for additional storage and convenience. 7.Air Conditioning: Maintain comfort in all seasons with installed air conditioning systems. 8.Garage: very comfortable, due to its location since it is next to the kitchen, which makes it ideal when you come from the supermarket!With good capacity for a large car and motorcycle Common Areas with Swimming Pool: Immerse yourself in fun and relaxation with the common areas that include a pool for adults and another for the little ones.A perfect place to socialize, enjoy the sun and create unforgettable memories. Strategic location: Located at the entrance of Daganzo and in proximity to shopping centers, this chalet offers you the convenience of modern living together with the tranquility of a residential environment. Don't miss the opportunity to make this chalet your new home.Contact us today for more information and to arrange a viewing of this real estate gem in Daganzo! Live in style and comfort in this unique enclave. RIGES thanks you for the trust placed in our professional office, we will put all our effort and determination to carry out our work with honesty and professionalism.Your interests from now on are also ours. Thank you for choosing us.We are waiting for you for a visit.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1553.0,https://www.idealista.com/inmueble/103874723/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/e2/57/1202881367.jpg,Daganzo de Arriba,False,-3.4662023,Daganzo de Arriba,nan,chalet,False,nan
4,Madrid,187.0,False,False,{'title': 'Terraced house in La Galatea'},False,5,False,nan,False,67,MAV-8863,es,nan,424000.0,102245870,40.5455564,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"CORNER TOWNHOUSE IN DAGANZO DE ARRIBA Great semi-detached house with a constructed area of 187m² on a fully fenced corner plot. Construction garage with automated sectional door at street level of about 50m2 with direct access to the plot. The house has 3 floors. At the main entrance we are welcomed by a closed terrace in white aluminum, hallway type, which gives warmth to the home. We enter the main floor, which has a furnished kitchen with a boiler room and sink, a separate living-dining room with a fireplace and direct access to the wood-covered back porch, and a hallway closet. We go up one floor and find 3 bedrooms, one of them a suite with a bathroom and 2 good-sized double bedrooms. In addition to having, one floor above, a very large attic with another bedroom and a bathroom, a living area with 2 solariums with views of the countryside. The house has qualities such as flooring throughout the house, white aluminum windows with double glazing and double windows, enclosures on the terrace and laundry room, garage at street level, lawn, etc. Located in an expansion area, with good connections and next to schools, parks, institutes, sports hall, swimming pool, etc. DON'T MISS THE OPPORTUNITY TO SEE THIS HOUSE! WE DO NOT CHARGE FEES TO THE BUYER. This and more properties in Follow us on Facebook: Molgar Real Estate Management Become a follower of our YouTube channel: Instagram: @molgarinmobiliaria < And if you need a MORTGAGE, do not hesitate to contact us and without obligation our financial advisors endorsed by IEAF and approved by the Bank of Spain, will get you the best mortgage at the best price.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2267.0,https://www.idealista.com/inmueble/102245870/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/a3/25/1149220544.jpg,LA GALATEA,False,-3.4568382,Daganzo de Arriba,nan,chalet,False,nan
