bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
7,Madrid,1582.0,True,False,{'title': 'Estate'},False,8,False,nan,False,50,W-02PS55,es,nan,1900000.0,98308921,40.7349283,False,nan,sale,nan,"Extraordinary Family Farm in Pedrezuela Engel & Volkers offers this magnificent house with a plot of 20 hectares of junipers and pine trees, located on the border between San Agustin de Guadalix and El Molar. We can find it in a totally private environment, easily accessible from the road through a private road with access gate from the main road. We access the property and we find a beautiful fenced garden, the main entrance to the house and a large parking area from which there is access to the rest of the land of the property. Continuing along the interior road, we find the caretakers' house which is totally independent from the main house.  The main entrance leads to a large hall that opens the doors to the social area of the house. On the left hand side we find the space for the dining room and just in front we have a small open and very cozy living room, this leads us to the main living room with fireplace and large windows with curtains that overlook the outside overlooking the pool, in passing we find a closed room, which has room for a more private space, reading room, leisure and games. We have a guest toilet, the dining room with fireplace, surrounded by windows, the kitchen with laundry area and large pantry with service area next to the kitchen with two other bedrooms and a bathroom.  On the second floor there are 3 double bedrooms with closets and bathroom en suite. Climbing a wooden staircase, we reach the second floor. On the second floor we find three bedrooms, two of them en suite and a bedroom with bathroom for in the hall of the rooms. One of the bedrooms has two independent sleeping areas and a terrace of approximately 15 square meters. To access the pool there are stairs made of wood and grass. The space is large, landscaped, the pool very well maintained and with a small house that serves as a support as it has a dressing room, bathroom and a small kitchen. At the same level is the tennis court and a fronton. The house has its own water well which means that there is no water cost, the heating and hot water are by gasoil. El Molar is a Spanish town and municipality in the province and Community of Madrid, 39 km north of the city of Madrid. It is considered the gateway or first town of the Sierra Norte. El Molar has 8 intercity bus lines. 6 of them link the municipality with Madrid capital having the head at the Intercambiador de Plaza de Castilla. These lines are: Line 191, Line 193:Line 193A: Line 194: Line 195: Line 196: Line 197D. In El Molar there are two private kindergartens and one public kindergarten, two public nursery and primary schools, a high school and an adult education center CEPA El Molar.  The municipality of San Agustín de Guadalix is located in the north of the province and the Community of Madrid, in the transition area between the Guadarrama mountain range and the Tajo depression. The urban area is distributed in four large areas: the nucleus of San Agustín, the Valdelagua urbanization and two nuclei of industrial use, to the north and south of the nucleus.",False,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",renew,1201.0,https://www.idealista.com/inmueble/98308921/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/09/0b/1200822403.jpg,El Molar,True,-3.5807937,El Molar,nan,countryHouse,False
3,Madrid,315.0,False,False,{'title': 'Detached house in Prado redondo'},True,3,True,nan,False,84,nan,es,nan,450000.0,101779301,40.7333047,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"B2V InmobiliariA sells EXCLUSIVELY Virginia Huelves Independent single-family house in Peña la pala Urbanization, El Molar. Excellent Castilian rustic-style home, with great attention to detail and high-quality construction. sole owner. It consists of 4 floors on a 500m2 plot with established trees, automatic irrigation, a barbecue area with a wood-burning oven and a salinized indoor pool. MAIN FLOOR The entrance has a lobby area with built-in wardrobes, ideal for leaving belongings when entering the house. Kitchen with built-in furniture and small dining area, with access to the outside. Complete bathroom with shower and large living room on two levels with fireplace and exit to a semi-glazed terrace, with beautiful views and access stairs to the garden. FIRST FLOOR 3 bedrooms with fitted wardrobes, the main one en-suite with bathroom, shower with hydromassage column and another complete bathroom with bathtub that serves the other rooms. Library area, mezzanine overlooking the living room. ATTIC FLOOR Open area with hydromassage bath with chromotherapy. Large built-in wardrobes under cover, and a mezzanine room in the main one. LOW LEVEL Garage for two cars of 40m2, laundry room, storage room under stairs, cellar with large pantry. Armored entrance door, bars on the main floor, independent underfloor heating by floors. TV and telephone sockets in all rooms. Stoneware floors, solid wood interior carpentry, climalit windows with thermal break. _____________ THE MOLAR Municipality located in the Jarama basin, 42 km northeast of the capital. Located at about 850 meters of altitude and has an area of 50.30 km2. It is one of the accesses to the Madrid mountains. It is known for its caves, which number more than two hundred. They are distributed throughout the hills of La Muela. Some are of medieval and Muslim origin. In many of them, the wines produced in the south of the town mature. Some have strictly private use, but others have served for the installation of restaurants that increase the extraordinary culinary offer.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1429.0,https://www.idealista.com/inmueble/101779301/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1e/98/32/1133493044.jpg,Prado redondo,False,-3.5926114,El Molar,nan,chalet,False
3,Madrid,180.0,False,False,{'title': 'Semi-detached house in Atalayas'},False,4,False,nan,False,53,07-024,es,nan,349000.0,103863532,40.737687,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GOOD REAL ESTATE MANAGEMENT exclusively sells this fantastic Semi-Detached House in ""El Molar"". Don't miss the opportunity to live in this wonderful home that consists of 180m2 distributed over 3 floors: On the main floor you will find a large living room, a kitchen, a boiler room, a storage room and a toilet. On the first floor, you can enjoy 3 bedrooms with built-in wardrobes and 2 full bathrooms. Additionally, on the attic floor, you will find a large attic room and a small storage area. The house has a 380m2 plot that includes a porch area, a barbecue, an area like a garden with its own shed. It also has a closed garage with automatic door. The heating is individual and has a diesel tank. Located within an urbanization with a community pool and sports areas. If you need more information, or want to visit the home without any commitment, contact us and we will provide you with what you need in the best way. We manage the purchase of your home and its FINANCING, offering you a range of financing possibilities from which you can choose the one that best suits your needs. You won't have to worry about anything, we take care of all the paperwork. Contact us for more information and visits without obligation!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1939.0,https://www.idealista.com/inmueble/103863532/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/e5/71/1202539924.jpg,Atalayas,False,-3.5876259,El Molar,nan,chalet,False
2,Madrid,180.0,False,False,{'title': 'Detached house'},False,5,False,nan,False,22,nan,es,nan,360000.0,103852391,40.7346822,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Villa for sale in Molar, Peña de la Pala urbanization. It has approximately 200 m2. Built on a 500 m2 plot, distributed over two floors. Ground floor: Entrance hall, office-type room, living-dining room with fireplace, full bathroom, 2 bedrooms with closets, fitted kitchen with access to the porch. Upper floor: Master suite with terrace, 2 bedrooms with built-in wardrobes, full bathroom for both rooms. Garden area with automatic irrigation, porch, covered garage. Oil heating, double glazed aluminum windows, wooden and stoneware floors.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2000.0,https://www.idealista.com/inmueble/103852391/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/ac/9f/1202208614.jpg,El Molar,False,-3.5939076,El Molar,nan,chalet,False
4,Madrid,1116.0,False,False,{'title': 'Detached house'},False,7,False,nan,False,43,W-02OI5Z,es,nan,1659600.0,103659283,40.6963211,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Beautiful house in El Molar Engel&Völkers presents this beautiful house located in a 15,000 m2 property with direct entrance to the N1, in the middle of nature in the municipality of El Molar. The property is built with granite walls and double glazed windows, with beautiful green shutters, giving it a rustic touch as well as a perfect insulation from the outside. The house has five bedrooms, three of them with en suite bathrooms and another bathroom that serves the rest of the bedrooms. An open kitchen with dining room and living area with a warm fireplace. On this same floor we find a large living room with bathroom that can serve as a living room or play area and an office. Upstairs we have three large bedrooms with en suite bathroom and another large living room. The house also has an independent apartment with two bedrooms and a bathroom. Nestled in 15.000m2 of plot, with a beautiful garden, barbecue area and swimming pool, also has a warehouse of 600m2 with wooden ceilings, varnished brick walls, with quality insulation, perfect for your business without having to move. It has a covered parking with capacity for four cars. The property is located very close to the town of San Agustin de Guadalix, an area that has all the services and facilities: medical centers, public schools and institutes, cultural centers, municipal libraries, municipal sports facilities, shopping malls, pharmacies, restaurants, hairdressers, etc. Only 38 km from the center of Madrid, in a natural enclave just a few meters from all services. Its main access road is the A-1 highway. The town has 11 lines of intercity buses that connect it with Madrid, Buitra connecting it with Madrid, Buitrago, El Vellón, Rascafría, Colmenar Viejo among others.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1487.0,https://www.idealista.com/inmueble/103659283/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/7a/45/1196316897.jpg,El Molar,False,-3.5911337,El Molar,nan,chalet,False
3,Madrid,160.0,False,False,{'title': 'Terraced house in Calle de la Cruz'},True,3,False,nan,False,57,2395,es,nan,320000.0,103638164,40.7318435,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This villa is at Calle de la Cruz, 28710, El Molar, Madrid. It is a sunny villa, built in 2007, that has 160 m2 of which 142 m2 are useful and has 3 rooms and 3 bathrooms. Besides, it includes storage room, garden, adosado, equipped kitchen, barbacoa, renovated, toilet, smooth walls, chimney, individual natural gas heating, aire acondicionado, individual heating, green area, terrace, good condition, children's area, storage room included, stairs, east facing, luminous, exterior, wardrobe, mountain views, west facing, floating floor and natural gas.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2000.0,https://www.idealista.com/inmueble/103638164/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e4/53/47/1195697174.jpg,Calle de la Cruz,False,-3.5804704,El Molar,nan,chalet,False
2,Madrid,194.0,True,False,{'title': 'House'},False,3,True,nan,False,29,6578,es,nan,259900.0,98023797,40.7294168,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Total surface area 194 m², house plot area 1690 m², usable floor area 190 m², double bedrooms: 3, 2 bathrooms, age between 30 and 50 years, built-in wardrobes, heating (gasoil), paving, ext. woodwork (aluminum), kitchen, dining room, state of repair: in good condition, garage (over 2), garden (own), floor no. : 2, sunny, lands: terrazzo, built-up, double glazing (doble ventana), corner, lighting, inner courtyard.",False,{'typology': 'chalet'},good,1340.0,https://www.idealista.com/inmueble/98023797/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/59/cc/998499040.jpg,El Molar,False,-3.5775125,El Molar,nan,chalet,False
2,Madrid,176.0,True,False,{'title': 'Detached house'},False,3,False,nan,False,45,ML/MG,es,nan,715000.0,103680421,40.7237671,False,nan,sale,nan,"PIS-PAS INMOBILIARIA MAKES THIS WONDERFUL INDEPENDENT CHATEL AVAILABLE TO YOU! EXCELLENT REAL ESTATE INVESTMENT OPPORTUNITY! Detached single-family villa of 176 M2 for sale, located on a 3,106m2 plot, the The house consists of a large living room and kitchen with an island, a suite room with a bathroom with a shower. and bathtub, two double bedrooms and another large common bathroom, two porches, one at the entrance of the house and another 40m2 in the back of it, the house is completely Renovated in 2020 with the best qualities, the plot is divided into 3 rooms independent of approximately 1000m2 each, the first in which the The home has front block and lacquered aluminum fencing with a pedestrian gate and gate. of cars, the garden has plants and fruit trees as well as 2 palm trees, irrigation automatic, swimming pool with outdoor shower and large outdoor kitchen in exposed brick with barbecue, wood oven and sink. One of its strong points is that it is energetically completely self-sufficient, it has of a high-performance solar device that serves the entire home and garden through solar panels and wind turbine, so the cost of electricity and heating is 0 euros. I do not know Neighborhood community pays and the IBI is economical. The house has been operating as a rural house business for 4 years, with a very profitable demonstrable billing, with growing billing and possibility of expansion, It has a client portfolio, website, maintenance and cleaning team, check in automated, that is, the entire business up and running. Information is expanded in person for people who are really interested.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,4063.0,https://www.idealista.com/inmueble/103680421/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/4f/88/1196918394.jpg,El Molar,False,-3.562899,El Molar,nan,chalet,False
3,Madrid,425.0,False,False,{'title': 'Detached house'},False,3,False,nan,False,15,ref. 1371,es,nan,985000.0,87647974,40.7345603,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Fantastic rustic recreational farm with equestrian facilities 30 minutes from Madrid, with plenty of water, electricity, a house of more than 400 m2 with three bedrooms plus a service area, housekeepers, equestrian facilities with 6 boxes (two larger, farrowing pens), training track, riding arena, padocks with electric shepherd. Rope circle, haystack, silo, chicken coop playground etc. Due to its location, accesses and nearby infrastructures, it can be considered both as a primary residence as well as for weekends and holidays. Ref. 1371.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2318.0,https://www.idealista.com/inmueble/87647974/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/92/e5/727234930.jpg,El Molar,False,-3.5845347,El Molar,nan,chalet,False
2,Madrid,76.0,True,False,"{'title': 'Duplex in Cuesta santa maria de la, 9'}",False,2,False,True,False,21,nan,es,False,160000.0,103681084,40.7344377,True,nan,sale,nan,"YOU ALREADY HAVE A FLAT! We have renovated and painted this duplex so that you can come and live NOW, without having to spend more money. Let me tell you what the apartment has... According to what it says in the deed, 76 m2 built and 56 m2 useful, with a living room/kitchen, two bedrooms, bathroom, toilet, clothesline and another 6.5 m2 more useful storage room, in case you are one of those who don't throw anything away. ….and what it DOESN'T HAVE. In case you don't know it, parking is very good in this area, however, the apartment does not have a garage.And no pool either, the good thing is that the community fee is only €35 and that next door you have the sports center pool. If this is a problem for you, don't waste your time, this is not your apartment. If not or you simply have nothing else better to read. I want you to imagine that you have a living room with natural light, lots of natural light where you enjoy the sun that comes through the windows and energizes you for the whole day. With an area to eat, another to read and another for you to lie on the sofa and spend an afternoon with a blanket and a movie. Or a hangout with friends without worrying about being like sardines in a can. Well, this is what you will do in the 25 m2 living room, from which you will have a hard time kicking out visitors from home. The living room is on the first floor of the duplex with its American kitchen.On this floor you also have a toilet, perfect for not having to climb stairs every time you have an emergency. And finally a clothesline, with a natural gas boiler. On the second floor you have two bedrooms of 10 and 11 m2 each, with that space you can put beds of the size you want.In both, improvements have been made that are important and that will save you money. The built-in wardrobes have been made to measure by a carpenter, saving you money by making them. The walls facing the outside have been insulated, saving money on heating On the second floor there is also a full bathroom, it has a bathtub and we have installed a screen, so that you don't have to install it yourself. As for the building... has it ever happened to you that if it weren't for greeting your neighbor on the stairs, you would swear that you lived alone in the building? Well, the neighbors are that noisy. ….and the neighborhood in accordance with the neighbors, a quiet and familiar area, so if you don't sleep at night, the blame is on the coffees you drink and not on the noise in the area. P.D.I want you to know that it is very likely that the apartment will sell quickly, and not because I say so.If you have compared it with the price and condition of others in the area, you will already know what I am talking about. Also, NO COMMISSIONS, the advertised price is what you pay, with no commissions to add. So if you are really interested….Call REVIALE to visit it. If you wait, maybe, just maybe it's too late.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2105.0,https://www.idealista.com/inmueble/103681084/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/af/4f/1196930043.jpg,"Cuesta santa maria de la, 9",False,-3.580531,El Molar,1,duplex,False
