bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
2,Madrid,88.0,True,False,"{'subtitle': 'Getafe norte, Getafe', 'title': 'Flat in Calle Concha Espina'}",False,3,True,True,False,37,SLZN402,es,True,103408880,314000.0,40.3289469,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Buying an apartment in Getafe Norte is easy: Bright, with Pool and Garage. Discover your New Home! We present this charming pre-owned apartment in Getafe Norte, an opportunity for those looking to live in Getafe with all the comforts. Located in a building from 2006, this second floor property with elevator offers a unique living experience. With an exterior layout and a south orientation, you will enjoy exceptional natural light that floods every corner of its 79m2 useful and 88m2 built. The interior design includes a cozy hall-distributor, a spacious living room, kitchen, three bedrooms and two full bathrooms, one of them en suite. Equipped with heating and hot water through an individual natural gas boiler, as well as air conditioning and ducted heat pump throughout the house, this house offers comfort in all seasons. In addition, you can enjoy a well-deserved dip in the building's pool. For greater comfort, it has an excellent parking space, included in the price. This apartment in Getafe Norte has a privileged location, characterized by its tranquility, wide avenues and green areas. With direct access to the M-45 and the Toledo highway (A-42), it easily connects you through the Espartales or El Bercial Metro-Sur stop in 10 minutes, as well as to the Las Margaritas commuter station. in another 10 minutes. The proximity to essential services, shops, gyms and large stores such as Carrefour and El Corte Inglés make this neighborhood an exceptional place to live. Don't miss this opportunity to acquire your new home in Getafe Norte! Taxes (purchase and sale subject to 6% ITP and 0.75% AJD), fees and expenses (notary and registration in the Property Registry) not included. If you want to buy an apartment in Getafe Norte, this is your opportunity! Request more information from our advisors to arrange a visit, either by email, through our social networks or by visiting our office.",False,{'typology': 'flat'},good,3568.0,https://www.idealista.com/inmueble/103408880/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6e/c5/0f/1188606935.jpg,Calle Concha Espina,False,-3.7219469,Getafe norte,Getafe,2,flat,False,{'groupDescription': 'Featured'}
1,Madrid,87.0,False,False,"{'subtitle': 'Getafe Centro, Getafe', 'title': 'Flat in Calle Polvoranca'}",True,3,False,False,False,37,EE-02479,es,True,102737974,178000.0,40.3042323,False,nan,sale,"[{'name': 'bright', 'text': 'Bright'}]","Welcome to this incredible apartment for sale in the city center! This property is perfect for those looking to live in a privileged location, surrounded by amenities and with quick access to the main roads. In addition, it has nearby means of transportation, such as bus and metro stops. This apartment is located on the first floor of a building with an elevator and consists of large spaces, including a separate living room and a glazed terrace that provides plenty of natural light. In addition, it has three bedrooms, two of them similar in size to the main bedroom. The kitchen is also spacious and has an additional terrace. Although it needs updating in the kitchen and bathroom, this apartment offers many possibilities to become the home of your dreams. You can customize it to your liking! In addition, we offer the possibility of personalized visits so that you can learn all the details of this property. With a constructed area of 87 m², this apartment is suitable for people with reduced mobility and has a large bathroom. The south orientation guarantees excellent lighting throughout the day. Don't miss the opportunity to live in a privileged location in the center of the city!",False,{'typology': 'flat'},renew,2046.0,https://www.idealista.com/inmueble/102737974/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/4e/f3/1170421053.jpg,Calle Polvoranca,False,-3.7337764,Getafe Centro,Getafe,1,flat,False,{'groupDescription': 'Featured'}
3,Madrid,84.0,True,False,"{'subtitle': 'Perales del Rio, Getafe', 'title': 'Terraced house in Calle madre maravillas'}",True,3,False,nan,False,35,SA189962,es,nan,102625269,259000.0,40.3237831,False,nan,sale,nan,"Townhouse in Perales Del Río, Getafe. Three floors of 45 meters each distributed in: First floor. We find an exterior patio at the entrance to the chalet, a living room with a pellet and electric fireplace that quickly heats the entire room, a guest toilet and a wonderful independent kitchen. with office and exit to another private patio where you can enjoy pleasant family moments. First floor: Three bedrooms with built-in wardrobes, one of the bedrooms with a terrace and a full bathroom to share. Basement. Once the work was carried out with a construction company, 45 open-plan meters with a bathroom have been recovered, ideal for a family member to become independent or as a work or recreation area. Double orientation throughout the home, with the living room facing South West. Perales del Río is a neighborhood of Getafe, just 4 km from Cercanías Renfe Villaverde Bajo (only 1 stop from Atocha, and 2 stops from Sol) With all accesses next to it: A-4, M-30, M-40, M-45 and M-50. Next to the Manzanares River, the neighborhood will soon be linked to Madrid Río with a path passable on foot and by bicycle.. . Area surrounded by nature, with many routes for walking and cycling, a few kilometers from Cerro de Los Ángeles (geographic center of the Iberian Peninsula). Ideal for family life, with pets... a stone's throw from Madrid city (A4- km 9).",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,3083.0,https://www.idealista.com/inmueble/102625269/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/03/b1/9c/1162798560.jpg,Calle madre maravillas,True,-3.6533637,Perales del Rio,Getafe,nan,chalet,False,nan
1,Madrid,84.0,True,False,"{'subtitle': 'La Alhóndiga, Getafe', 'title': 'Penthouse in Calle de Béjar'}",True,2,False,True,False,35,SA190209,es,True,102731264,327000.0,40.3099564,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar Madrid-Rio Located in the Getafe area, he sells an 82-meter Penthouse with a 60-meter terrace facing East. The house has two large bedrooms with built-in wardrobes, a bathroom, living-dining room, and a very bright independent kitchen. We highlight the excellent views from all rooms and direct access to its spectacular terrace. Street without traffic or parking, which gives the home absolute privacy and tranquility. Natural gas, air conditioning installed hot-cold pump, vinyl floors in perfect condition. 20 meter garage space for two vehicles. Estate from 2008 Its strategic location, in Getafe, allows you to enjoy a consolidated environment in the center of the town, close to schools, hospitals, sports facilities, transport networks and just 14 km from the center of Madrid. In the area you will find all kinds of services a few meters from the home, such as a medical center, supermarkets, schools and institutes, public transport (Metro South line 12 and bus lines), shopping centers in the surrounding area, easy access to roads M-45, M-402 and A-42. At Gilmar we have been working to offer our clients the best properties for 40 years. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build... We have more than 35 specialized teams in different areas serving more than 200,000 national and international clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Visit our website and you will find 4,000 more opportunities.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,3893.0,https://www.idealista.com/inmueble/102731264/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/54/b4/1166568339.jpg,Calle de Béjar,True,-3.7356704,La Alhóndiga,Getafe,4,penthouse,False,nan
2,Madrid,91.0,True,False,"{'subtitle': 'La Alhóndiga, Getafe', 'title': 'Penthouse in Calle Batres, 8'}",False,2,False,True,False,14,V13,es,True,102707300,399900.0,40.310328,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Promotion of new construction homes, near the Getafe central station. Batres 8D is a residential complex that offers 14 homes with 1 and 2 bedrooms and penthouses located in a modern and avant-garde building. Its strategic location, in Getafe, allows you to enjoy a consolidated environment in the center of the town, close to schools, hospitals, sports facilities, transport networks and just 14 km from the center of Madrid. The Batres 8D homes have a design that combines functional architecture with unique details that add personality and modernity to the complex. They stand out for their luminosity, their optimal distribution and their quality of materials and finishes. The well-distributed interiors allow you to make the most of the space and open through large windows and balconies that create a cozy and bright atmosphere. If you are looking to renovate your home, at Batres 8D you will enjoy the comfort of living in a central location without giving up the tranquility that Batres Street provides. All homes have 1 or 2 parking spaces, unit price per space of €15,000, not included in the publication price. The penthouses have 1 or 2 parking spaces, included in the price.",True,"{'typology': 'flat', 'subTypology': 'penthouse'}",newdevelopment,4395.0,https://www.idealista.com/obra-nueva/102707300/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/30/d9/1164505562.jpg,"Calle Batres, 8",True,-3.7379154,La Alhóndiga,Getafe,nan,penthouse,False,nan
4,Madrid,240.0,True,False,"{'subtitle': 'Sector 3, Getafe', 'title': 'Semi-detached house'}",True,5,True,nan,False,48,5462PJ,es,nan,103015199,497000.0,40.2813163,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This villa is at 28905, Getafe, Madrid. It is a sunny villa, built in 1999, that has 240 m2 and has 5 rooms and 4 bathrooms. It is bohemian property. It includes puerta blindada, west facing, singular, jardín, good condition, east facing, equipped kitchen, garage included, outside, storage room, luminous, cocina amueblada, floor tiles, security door, storage room included, individual natural gas heating, parking, toilet, pareado, parquet floor, aire acondicionado, windows climalit and wardrobe.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2071.0,https://www.idealista.com/inmueble/103015199/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/7c/74/1175184436.jpg,Sector 3,False,-3.751926,Sector 3,Getafe,nan,chalet,False,nan
1,Madrid,82.0,True,False,"{'subtitle': 'La Alhóndiga, Getafe', 'title': 'Penthouse'}",True,2,True,True,False,30,5468PJ,es,True,103745926,327000.0,40.3060605,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"C. R. HOMES INMOBILIARIA sells spectacular SEMINUEVO PENTHOUSE of 82 M2, with 2 BEDROOMS and BATHROOM, with ELEVATOR, DOUBLE GARAGE SPACE and TERRACE of 80m2, in the center of Getafe. It is a very bright, totally EXTERIOR home of 82m2 built with EAST orientation, INDEPENDENT LIVING ROOM with access to TERRACE, fully FURNISHED and EQUIPPED kitchen with access to terrace, distributor that leads to TWO BEDROOMS with BUILT-IN WARDROBES, the master bedroom would have access to the terrace, COMPLETE BATHROOM with HYDROMASSAGE COLUMN. The apartment has the following qualities: ELEVATOR, BUILT-IN WARDROBES, TARIMA floors in bedrooms, living room and hallway, stoneware floors in kitchen and bathroom, SMOOTH walls, CLIMALIT windows, individual NATURAL GAS heating, AIR CONDITIONING through ducts (cold /heat) and video intercom. The house would be located close to the metro and Renfe Getafe Central Line-12 of metro-south and Renfe line C4 with quick access to the A-42 with connection to M-50, M-40 and M-45. Close to a multitude of services such as shops, pharmacies, schools and institutes. COMMUNITY: €90 IBI: €400 TAKE THE CHANCE! For more information you can contact Pedro Jara We can also assist you in person at our offices: C. R. HOMES in GETAFE on Avenida de España 13 TLF C. R. HOMES in FUENLABRADA in Plaza de España 3 TLF WE WILL BE HAPPY TO ASSIST YOU.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,3988.0,https://www.idealista.com/inmueble/103745926/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/03/96/1198881219.jpg,La Alhóndiga,False,-3.7389519,La Alhóndiga,Getafe,4,penthouse,False,nan
2,Madrid,105.0,True,False,"{'subtitle': 'San Isidro, Getafe', 'title': 'Flat'}",True,4,True,True,False,25,3229-BS,es,True,100405817,236000.0,40.3036866,False,nan,sale,nan,"This flat is at 28901, Getafe, Madrid, on floor 2. It is a flat, built in 1975, that has 105 m2 and has 4 rooms and 2 bathrooms.",False,{'typology': 'flat'},good,2248.0,https://www.idealista.com/inmueble/100405817/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/17/fc/1084276474.jpg,San Isidro,False,-3.7300836,San Isidro,Getafe,2,flat,False,nan
1,Madrid,70.0,True,False,"{'subtitle': 'Universidad, Getafe', 'title': 'Flat'}",True,3,True,True,False,32,5458AL,es,False,102391023,145000.0,40.3099922,False,nan,sale,nan,"This flat is at 28903, Getafe, Madrid, on floor 4. It is a sunny flat, built in 1968, that has 70 m2 and has 3 rooms and 1 bathrooms. It has west facing, windows climalit, individual natural gas heating, smooth walls, luminous, exterior, cocina amueblada, puerta blindada, good condition, equipped kitchen, aire acondicionado, floating floor and terraza.",False,{'typology': 'flat'},good,2071.0,https://www.idealista.com/inmueble/102391023/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f9/3e/0b/1154110969.jpg,Universidad,False,-3.7247538,Universidad,Getafe,4,flat,False,nan
1,Madrid,60.0,True,False,"{'subtitle': 'Universidad, Getafe', 'title': 'Flat'}",True,2,True,True,False,25,5444PJ,es,False,101401781,126000.0,40.3144037,False,nan,sale,nan,"This flat is at 28903, Getafe, Madrid, on floor ground floor. It is a flat that has 60 m2 and has 2 rooms and 1 bathrooms.",False,{'typology': 'flat'},good,2100.0,https://www.idealista.com/inmueble/101401781/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/34/11/1120786129.jpg,Universidad,False,-3.7262378,Universidad,Getafe,bj,flat,False,nan
4,Madrid,270.0,True,False,"{'subtitle': 'Getafe norte, Getafe', 'title': 'Semi-detached house'}",True,4,True,nan,False,47,5465PJ,es,nan,103381757,515000.0,40.3229958,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This villa is at Calle Teresa Berganza, 28903, Getafe, Madrid. It is a sunny villa, built in 2006, that has 270 m2 and has 4 rooms and 4 bathrooms. It is bohemian property. It includes good condition, urban, centrally located, storage room, luminous, equipped kitchen, pareado, jardín, puerta blindada, alto standing, cocina amueblada, security door, singular, windows climalit, outside, video intercom, individual natural gas heating, wardrobe, aire acondicionado, storage room included, west facing, renovated, garage included, parquet floor, south orientated and parking.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1907.0,https://www.idealista.com/inmueble/103381757/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/cd/27/1187723026.jpg,Getafe norte,False,-3.7142366,Getafe norte,Getafe,nan,chalet,False,nan
4,Madrid,255.0,True,False,"{'subtitle': 'El Bercial, Getafe', 'title': 'Terraced house'}",False,4,True,nan,False,54,05267,es,nan,103347914,629000.0,40.3202519,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"THIS HOUSE IS SPECIAL BECAUSE: Wonderful Chatel with pool in Bercial (Getafe) where technology and home automation make this house a more comfortable home. IT IS IMPORTANT TO KNOW THAT: As soon as you enter, video intercom and electronic lock, with “access control”, being able to manage it from your mobile devices, or granting temporary access. Like the heating, individualized in each room and thermostats with Wi-Fi technology. Motorized blinds that also operate with the voice assistant. It has a wonderful designer kitchen, by Santos, and a large granite countertop. You will have a beautiful kitchen for life… The windows, with thermal break, are also prepared to insulate from outside noise. It has Pocelanosa AC5 brand flooring, including the steps that were made to measure. Solar panels and a 300L tank for hot water. It has two independent Daikin brand heat/cold pumps (also with Bluetooth activation) LOW LEVEL On the ground floor there is what could be an independent apartment, with a full bathroom and a bedroom/living room with a kitchenette. There is also direct access to the patio. Large garage for two cars, being able to park a third car on the comfortable access ramp. It also has a laundry room and pantry. FIRST FLOOR On the first floor is the kitchen with an office facing the front of the house, a guest bathroom, a living room and a dining room that is currently used as a children's room. Large window to the spacious covered porch that gives access to the Patio and pool area with 40mm artificial grass. SECOND FLOOR The second floor has two full bathrooms. One of them in Suit. The master bedroom has a beautiful dressing room with a motion sensor. And two bedrooms with built-in wardrobes. SOLARIUM It also has a large solarium on the deck. SHOPS AND SERVICES: This neighborhood of Getafe has all the services: health center, pharmacies, schools, nursery schools, food stores, supermarkets, shopping center, restaurants, metro station and is very close to the Getafe Hospital. Nearby stations: Las Margaritas commuter station, “El Bercial” metro and Juan Carlos I University Direct access to the national A-42 (Toledo), M-45 and A-4 (Andalusia).",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2467.0,https://www.idealista.com/inmueble/103347914/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/f0/bd/1201378553.jpg,El Bercial,False,-3.7428782,El Bercial,Getafe,nan,chalet,False,nan
1,Madrid,85.0,True,False,"{'subtitle': 'Getafe Centro, Getafe', 'title': 'Flat in Calle Jardiel Poncela'}",True,4,True,True,False,28,28-01732,es,False,103500084,185999.0,40.3120142,False,nan,sale,nan,"This flat is at Calle Jardiel Poncela, 28902, Getafe, Madrid, is in the district of Getafe Centro, on floor ground floor. It is a flat, built in 1951, that has 80 m2 of which 76 m2 are useful and has 4 rooms and 1 bathrooms. It includes individual natural gas heating, outside and cocina amueblada.",False,{'typology': 'flat'},good,2188.0,https://www.idealista.com/inmueble/103500084/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/b5/67/1191447552.jpg,Calle Jardiel Poncela,False,-3.7302972,Getafe Centro,Getafe,bj,flat,False,nan
2,Madrid,113.0,True,False,"{'subtitle': 'Perales del Rio, Getafe', 'title': 'Terraced house in Calle Sierra Cazorla'}",False,4,True,nan,False,28,SC,es,nan,102720971,278900.0,40.3260167,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"STUDIO HOME MADRID OFFERS semi-detached house of 113 m2 built, with double southwest-northeast orientation, in the Perales del Rio area. According to its current distribution, the house consists of: -Ground floor: with living room – outdoor dining room with cross ventilation through windows in both spaces; a complete bathroom, recently renovated with a shower tray; kitchen equipped with furniture and appliances; entrance hall; distributor with stairwell; patio with shed, with access from the kitchen; and garage for one car. -Upper floor: with four bedrooms, all with windows; full bathroom, with bathtub; and distributor with the stairwell. Regarding its qualities, the property has an iron entrance door; Terrazzo floors in the living room and bedrooms, and stoneware in the kitchen, bathrooms and garage; The patio flooring is imitation terracotta porcelain stoneware; The exterior enclosures are made of aluminum with “Climalit type” thermal and acoustic glazing and tilt-and-turn opening in all the windows, except the one in the stairwell, all of which have mosquito nets and awnings; As for the interior carpentry, it has oak veneered doors; smooth paint throughout the house, except in the living room which is in gotelé; electric garage door opener; individual heating by natural gas; air conditioning in the living room; etcBoth the kitchen and the bathroom on the ground floor have been renovated and the roof of the house has been recently revised. It is located south of the capital, in the Perales del Río neighborhood, within the town of Getafe. It is a very quiet residential area, next to the Manzanares River, surrounded by parks, very close to the green areas of the Manzanares Park and with excellent unobstructed views of Madrid. Area with all services, such as supermarkets, pharmacies, nurseries,... , next to the municipal swimming pool, 300 meters away. of the Health Center and with different schools, such as C. AND. I. P. Juan Ballesteros, I. AND. S. Ignacio Aldecoa, La Luna Nursery School… Well connected by public transport, with several bus lines (lines 4, 411, 412 and 415). It is worth highlighting its easy access by car to the M40, M45, M50, A4 and M301 roads. ESTUDIO HOME MADRID, a real estate agency with 20 years of experience in the sector, offers legal, tax and financial advice, carrying out personalized monitoring throughout the entire buying and selling process.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2468.0,https://www.idealista.com/inmueble/102720971/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/ac/72/1165058773.jpg,Calle SIERRA CAZORLA,False,-3.6516905,Perales del Rio,Getafe,nan,chalet,False,nan
1,Madrid,72.0,True,False,"{'subtitle': 'San Isidro, Getafe', 'title': 'Flat in Calle Ruiz de Alarnes, 3'}",False,3,True,nan,False,34,C0127-00145,es,True,103730078,155000.0,40.3017863,True,nan,sale,nan,"CENTURY 21 Now – Great opportunity for Investors, profitability above 5% net. Rental contract in force for 2 years without incidents of non-payment or any other type. In Getafe we present an exclusive 3-bedroom home on the third floor, in a building with a renovated portal, facilities and an elevator, located in the San Isidro neighborhood To move into with a small tune-up or as an investment! With an area of 72 m2, it is distributed in a living-dining room with part of the terrace incorporated which makes it very spacious, 3 bedrooms, kitchen with access to a clothesline in the interior patio, large bathroom with shower, terrace with wardrobe/storage room. It was renovated a few years ago by changing electricity and plumbing installations, installing natural gas heating and aluminum radiators, changing aluminum windows with double glazing, enclosing part of the terrace, oak parquet throughout the house, oak doors and armored access, air conditioning in living room and 2 bedrooms. The house is sold fully furnished. The kitchen is equipped, as it appears in the photos. Very close to Getafe Central, with local transport, Metrosur (Alonso Mendoza), buses, schools, health center, nearby parks. Exit to the A-42, M-50 and M-45. Getafe Town Hall 400m away. to the hospital and Nearby shopping centers, Comercial Getafe III (Alcampo), Carrefour Bulevar Getafe, Nassica, Parque Sur. What are you waiting for? Call us and our specialist in the area will answer any questions. We do not charge commission to the buyer. CENTURY 21 Now ""The best of people at the service of people. "".",False,{'typology': 'flat'},good,2153.0,https://www.idealista.com/inmueble/103730078/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/9d/4d/1200251241.jpg,"Calle Ruiz de Alarnes, 3",False,-3.7326298,San Isidro,Getafe,3,flat,False,nan
