bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
2,Madrid,108.0,True,False,"{'title': 'Flat in Calle Libertad , 3'}",True,3,False,True,False,8,P2 5ºB,es,True,102822484,306797.0,40.258252,True,nan,sale,"Homes with 2 and 3 bedrooms with a terrace, ground floor apartments with a garden and penthouses under a cooperative system in Pau de Valdehondillo Humanes in Madrid. Land owned. Urbanization with swimming pool, recreation areas and gourmet multipurpose room. The houses have underfloor heating-cooling, PVC windows with thermal break and one or two parking spaces. Located less than 30 minutes from the center of Madrid, with access by car from the A-42, with direct public transport both by train (C-5, 25 minutes to Atocha) and by bus. Next to the Parque Sur Shopping Center and others nearby such as Loranca, Xanadú and Nassica, and with all kinds of services at your fingertips: schools, medical centers, leisure, shops and supermarkets.",True,{'typology': 'flat'},newdevelopment,2841.0,https://www.idealista.com/obra-nueva/102822484/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/57/1a/987287142.jpg,"Calle Libertad , 3",False,-3.8190255,Humanes de Madrid,5,flat,False,nan
2,Madrid,103.0,True,False,"{'title': 'Flat in Calle Libertad , 3'}",True,3,False,True,False,8,P3 1º/2º/3º/4º/5ºC,es,True,102191976,237377.0,40.258252,True,nan,sale,"Homes with 2 and 3 bedrooms with a terrace, ground floor apartments with a garden and penthouses under a cooperative system in Pau de Valdehondillo Humanes in Madrid. Land owned. Urbanization with swimming pool, recreation areas and gourmet multipurpose room. The houses have underfloor heating-cooling, PVC windows with thermal break and one or two parking spaces. Located less than 30 minutes from the center of Madrid, with access by car from the A-42, with direct public transport both by train (C-5, 25 minutes to Atocha) and by bus. Next to the Parque Sur Shopping Center and others nearby such as Loranca, Xanadú and Nassica, and with all kinds of services at your fingertips: schools, medical centers, leisure, shops and supermarkets.",True,{'typology': 'flat'},newdevelopment,2305.0,https://www.idealista.com/obra-nueva/102191976/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/2b/46/987287159.jpg,"Calle Libertad , 3",False,-3.8190255,Humanes de Madrid,nan,flat,False,nan
2,Madrid,97.0,True,False,"{'title': 'Penthouse in Calle Libertad , 3'}",True,2,False,True,False,8,Ático P1yP2 4º-5ºA,es,True,102822404,287062.0,40.258252,True,nan,sale,"Homes with 2 and 3 bedrooms with a terrace, ground floor apartments with a garden and penthouses under a cooperative system in Pau de Valdehondillo Humanes in Madrid. Land owned. Urbanization with swimming pool, recreation areas and gourmet multipurpose room. The houses have underfloor heating-cooling, PVC windows with thermal break and one or two parking spaces. Located less than 30 minutes from the center of Madrid, with access by car from the A-42, with direct public transport both by train (C-5, 25 minutes to Atocha) and by bus. Next to the Parque Sur Shopping Center and others nearby such as Loranca, Xanadú and Nassica, and with all kinds of services at your fingertips: schools, medical centers, leisure, shops and supermarkets.",True,"{'typology': 'flat', 'subTypology': 'penthouse'}",newdevelopment,2959.0,https://www.idealista.com/obra-nueva/102822404/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/f2/59/987287175.jpg,"Calle Libertad , 3",False,-3.8190255,Humanes de Madrid,nan,penthouse,False,nan
2,Madrid,99.0,True,False,"{'title': 'Flat in Calle Libertad , 3'}",True,3,False,True,False,8,P3 1º/2º/3º/4ºA,es,True,102822461,227723.0,40.258252,True,nan,sale,"Homes with 2 and 3 bedrooms with a terrace, ground floor apartments with a garden and penthouses under a cooperative system in Pau de Valdehondillo Humanes in Madrid. Land owned. Urbanization with swimming pool, recreation areas and gourmet multipurpose room. The houses have underfloor heating-cooling, PVC windows with thermal break and one or two parking spaces. Located less than 30 minutes from the center of Madrid, with access by car from the A-42, with direct public transport both by train (C-5, 25 minutes to Atocha) and by bus. Next to the Parque Sur Shopping Center and others nearby such as Loranca, Xanadú and Nassica, and with all kinds of services at your fingertips: schools, medical centers, leisure, shops and supermarkets.",True,{'typology': 'flat'},newdevelopment,2300.0,https://www.idealista.com/obra-nueva/102822461/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/b4/51/987287158.jpg,"Calle Libertad , 3",False,-3.8190255,Humanes de Madrid,nan,flat,False,nan
2,Madrid,82.0,True,False,"{'title': 'Flat in Calle Libertad , 3'}",True,2,False,True,False,8,P1 1º-2-º3º- A,es,True,102822413,188089.0,40.258252,True,nan,sale,"Homes with 2 and 3 bedrooms with a terrace, ground floor apartments with a garden and penthouses under a cooperative system in Pau de Valdehondillo Humanes in Madrid. Land owned. Urbanization with swimming pool, recreation areas and gourmet multipurpose room. The houses have underfloor heating-cooling, PVC windows with thermal break and one or two parking spaces. Located less than 30 minutes from the center of Madrid, with access by car from the A-42, with direct public transport both by train (C-5, 25 minutes to Atocha) and by bus. Next to the Parque Sur Shopping Center and others nearby such as Loranca, Xanadú and Nassica, and with all kinds of services at your fingertips: schools, medical centers, leisure, shops and supermarkets.",True,{'typology': 'flat'},newdevelopment,2294.0,https://www.idealista.com/obra-nueva/102822413/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/5b/40/989086392.jpg,"Calle Libertad , 3",False,-3.8190255,Humanes de Madrid,nan,flat,False,nan
2,Madrid,118.0,True,False,{'title': 'Flat'},False,3,True,True,False,37,R1586,es,True,91404245,222500.0,40.2525495,False,nan,sale,"This reformed flat is at 28970, Humanes de Madrid, Madrid. It is a bright and sunny flat, built in 2005, that has 0 m2 and has 3 rooms and 2 bathrooms. It is outdoor property. Besides, it includes elevator, furnished kitchen, air conditioner and alarm and besides, it includes individual heating, built-in wardrobes, aluminum windows, double glazing, reinforced door, floor tiles, good condition, floating floor and smooth walls.  Find more.",False,{'typology': 'flat'},good,1886.0,https://www.idealista.com/inmueble/91404245/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/52/79/813786496.jpg,Humanes de Madrid,False,-3.8347178,Humanes de Madrid,nan,flat,False,nan
1,Madrid,75.0,True,False,{'title': 'Flat in Plaza de Miguel Echegaray'},False,3,False,True,False,32,CLK01/3686,es,True,103344605,115000.0,40.2591628,False,nan,sale,"WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. Clikalia presents this apartment located on the exterior 1st floor with elevator. It has a total area of 75 m², distributed in living room and dining room, separate kitchen, 3 bedrooms and 1 bathroom. In addition, it has an elevator and accessibility for people with reduced mobility. Located in Humanes de Madrid, in Plaza Miguel De Echegaray, it has a location that will allow you to be close to everything you need such as the Humanes Health Center and the Campohermoso Municipal Sports Pavilion. At the same time, it is close to supermarkets, restaurants, schools, parks, bus stops and the Humanes train station (C5). Are you interested in this home? Call us! Clikalia is at your disposal from Monday to Friday from 9:00 a. m. to 8:00 p. m. At Clikalia we offer you the possibility of comprehensively reforming your home at a very competitive price. ask us!",False,{'typology': 'flat'},renew,1533.0,https://www.idealista.com/inmueble/103344605/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/9c/bf/1199663254.jpg,Plaza de Miguel Echegaray,False,-3.8223528,Humanes de Madrid,1,flat,False,{'groupDescription': 'Highlight'}
1,Madrid,50.0,False,False,{'title': 'Studio apartment in Plaza Santiago'},False,0,False,True,False,11,28-01777,es,True,103854156,138000.0,40.2550545,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"PROTECTED RENTAL REAL ESTATE sells a fantastic brand new home, new construction built in 2024, one minute walk from the Campohermoso health center and just 10 minutes walk from the Humanes train station. It consists of 50m2 built and 45 m2 useful distributed in a separate bedroom, living room, furnished and equipped American kitchen and complete bathroom with shower. The house is newly built, has individual heating by hot/cold pump, imitation wood porcelain ceramic floor, aluminum windows with double glazed glass, electric/motorized blinds in the large living room window and armored main door. Consolidated area surrounded by all types of businesses and public services (health center, public schools, bars, restaurants, playgrounds, banks. ) Don't hesitate to arrange a visit!",False,"{'typology': 'flat', 'subTypology': 'studio'}",good,2760.0,https://www.idealista.com/inmueble/103854156/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/45/dd/1202267492.jpg,Plaza Santiago,False,-3.8224828,Humanes de Madrid,bj,studio,False,nan
2,Madrid,114.0,True,False,{'title': 'Flat'},True,4,True,True,False,16,H-2495-11,es,True,103214081,160000.0,40.2520757,False,nan,sale,"This spacious property offers you the opportunity to live comfortably in a central area, surrounded by all kinds of services. With its 114 square meters built, this spacious apartment has a double room and three single rooms to accommodate your entire family or friends. Ideal to put a study room or an office and be able to work from home The property is renovated, kitchen, bathrooms, doors, windows, floors and smooth paint. Doors have been changed to solid oak, the windows are double glazed aluminum folding and tilting, stoneware floors, It has a very good distribution and many possibilities Unbeatable location 5 minutes from the train, bus stop at the door, 2 minutes from the health center, shopping and leisure area, banks, restaurants, gym Come visit it and see the possibilities it has! NO ADDED COMMISSIONS!",False,{'typology': 'flat'},good,1404.0,https://www.idealista.com/inmueble/103214081/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/49/75/1190960929.jpg,Humanes de Madrid,False,-3.8291886,Humanes de Madrid,bj,flat,False,nan
2,Madrid,82.0,False,False,{'title': 'Flat'},False,2,False,True,False,14,H-2776,es,True,103863433,191000.0,40.2521507,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Fantastic apartment located in the central Humanes area of Madrid, with a constructed area of 82 square meters. The house has a double room and a single room, two full bathrooms and is ready to move into. The kitchen is delivered only with the necessary furniture. The apartment faces southeast and has both stoneware and parquet floors, as well as aluminum/climalit exterior carpentry. Its extras include air conditioning, built-in wardrobes, elevator, individual natural gas heating. , community garden, swimming pool, gym, storage room It also offers armored door, private garage. The location is unbeatable, close to public transportation (buses and train), medical centers, nearby supermarkets, schools, parks, children's areas that make it ideal for families.",False,{'typology': 'flat'},good,2329.0,https://www.idealista.com/inmueble/103863433/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/6f/bd/1202756337.jpg,Humanes de Madrid,False,-3.8244625,Humanes de Madrid,2,flat,False,nan
