bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
3,Madrid,134.0,True,False,"{'title': 'Flat in Calle Victoria Kent, 3'}",True,3,False,True,False,12,V40 ,es,True,103696621,271500.0,40.3811776,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"VALENTINE'S PROMOTION. GIFT FOR PURCHASE. I LOVE YOUR HOME! WORKS STARTED! Residencial Conde Duque is a modern design development in one of the best expansion areas of the capital, LOECHES is just 5 minutes from the center of the municipality and 20 minutes from Madrid Capital and just 15 minutes from the Corte Inglés in Alcalá de Henares! The development consists of 47 homes with 2, 3 and 4 bedrooms, in a 4-story building. The homes stand out for their large private gardens and large terraces. It is a gated community with * access through a concierge and with everything necessary for the whole family to enjoy their leisure time: swimming pool, solarium area, recreational area, fitness area and paddle tennis court.",True,{'typology': 'flat'},newdevelopment,2026.0,https://www.idealista.com/obra-nueva/103696621/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/0d/e3/1181479020.jpg,"Calle Victoria Kent, 3",False,-3.4187876,Loeches,3,flat,False,nan
2,Madrid,180.0,True,False,{'title': 'Terraced house'},False,4,True,nan,True,75,3494-00939,es,nan,102873364,335000.0,40.3929548,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"ARE YOU LOOKING FOR A HOUSING IN A QUIET AREA 25 MINUTES FROM MADRID? This is your chance. In one of the best areas of Loeches. Los Conventos Urbanization. Large semi-detached house of 180m2 built, with a 250m2 plot with garden and pool, a beautiful home to move into. On the first floor there is a beautiful two-room living-dining room with mosquito nets, a large fully equipped kitchen with high and low furniture, hood, ceramic hob and oven, guest toilet and garage. On the second floor we find 4 double bedrooms (1 with mosquito net) with built-in wardrobes, two full bathrooms, one in the master bedroom and terrace, stucco paint throughout the house, natural gas heating, oak doors, marble floors. stoneware and flooring, marble stairs, green aluminum windows, beautiful facade, it also has a beautiful garden with a built-in pool and porch. YOU BETTER COME SEE IT.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1861.0,https://www.idealista.com/inmueble/102873364/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/98/e8/1170235200.jpg,Loeches,False,-3.4146141,Loeches,nan,chalet,False,nan
2,Madrid,133.0,True,False,"{'title': 'Flat in Calle Victoria Kent, 3'}",True,4,False,True,False,12,VIV 12,es,True,97759262,245400.0,40.3811776,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"VALENTINE'S PROMOTION. GIFT FOR PURCHASE. I LOVE YOUR HOME! WORKS STARTED! Residencial Conde Duque is a modern design development in one of the best expansion areas of the capital, LOECHES is just 5 minutes from the center of the municipality and 20 minutes from Madrid Capital and just 15 minutes from the Corte Inglés in Alcalá de Henares! The development consists of 47 homes with 2, 3 and 4 bedrooms, in a 4-story building. The homes stand out for their large private gardens and large terraces. It is a gated community with * access through a concierge and with everything necessary for the whole family to enjoy their leisure time: swimming pool, solarium area, recreational area, fitness area and paddle tennis court.",True,{'typology': 'flat'},newdevelopment,1845.0,https://www.idealista.com/obra-nueva/97759262/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/49/da/1181480187.jpg,"Calle Victoria Kent, 3",False,-3.4187876,Loeches,1,flat,False,nan
2,Madrid,80.0,True,False,"{'title': 'Flat in Calle Victoria Kent, 3'}",True,3,False,True,False,12,VIV 08,es,True,103033444,219500.0,40.3811776,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"VALENTINE'S PROMOTION. GIFT FOR PURCHASE. I LOVE YOUR HOME! WORKS STARTED! Residencial Conde Duque is a modern design development in one of the best expansion areas of the capital, LOECHES is just 5 minutes from the center of the municipality and 20 minutes from Madrid Capital and just 15 minutes from the Corte Inglés in Alcalá de Henares! The development consists of 47 homes with 2, 3 and 4 bedrooms, in a 4-story building. The homes stand out for their large private gardens and large terraces. It is a gated community with * access through a concierge and with everything necessary for the whole family to enjoy their leisure time: swimming pool, solarium area, recreational area, fitness area and paddle tennis court.",True,{'typology': 'flat'},newdevelopment,2744.0,https://www.idealista.com/obra-nueva/103033444/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/ff/e7/1181479017.jpg,"Calle Victoria Kent, 3",False,-3.4187876,Loeches,1,flat,False,nan
2,Madrid,134.0,True,False,"{'title': 'Flat in Calle Victoria Kent, 3'}",True,4,False,True,False,21,VIV 6,es,True,97759249,267400.0,40.3811776,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"VALENTINE'S PROMOTION. GIFT FOR PURCHASE. I LOVE YOUR HOME! WORKS STARTED! Residencial Conde Duque is a modern design development in one of the best expansion areas of the capital, LOECHES is just 5 minutes from the center of the municipality and 20 minutes from Madrid Capital and just 15 minutes from the Corte Inglés in Alcalá de Henares! The development consists of 47 homes with 2, 3 and 4 bedrooms, in a 4-story building. The homes stand out for their large private gardens and large terraces. It is a gated community with * access through a concierge and with everything necessary for the whole family to enjoy their leisure time: swimming pool, solarium area, recreational area, fitness area and paddle tennis court.",True,{'typology': 'flat'},newdevelopment,1996.0,https://www.idealista.com/obra-nueva/97759249/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/d4/a7/1183487923.jpg,"Calle Victoria Kent, 3",False,-3.4187876,Loeches,bj,flat,False,nan
2,Madrid,85.0,True,False,"{'title': 'Flat in Calle Victoria Kent, 3'}",True,3,False,True,False,12,VIV 10,es,True,103033475,221500.0,40.3811776,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"VALENTINE'S PROMOTION. GIFT FOR PURCHASE. I LOVE YOUR HOME! WORKS STARTED! Residencial Conde Duque is a modern design development in one of the best expansion areas of the capital, LOECHES is just 5 minutes from the center of the municipality and 20 minutes from Madrid Capital and just 15 minutes from the Corte Inglés in Alcalá de Henares! The development consists of 47 homes with 2, 3 and 4 bedrooms, in a 4-story building. The homes stand out for their large private gardens and large terraces. It is a gated community with * access through a concierge and with everything necessary for the whole family to enjoy their leisure time: swimming pool, solarium area, recreational area, fitness area and paddle tennis court.",True,{'typology': 'flat'},newdevelopment,2606.0,https://www.idealista.com/obra-nueva/103033475/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/0d/e3/1181479020.jpg,"Calle Victoria Kent, 3",False,-3.4187876,Loeches,1,flat,False,nan
2,Madrid,85.0,True,False,"{'title': 'Flat in Calle Victoria Kent, 3'}",True,3,False,True,False,12,VIV 11,es,True,103033451,222300.0,40.3811776,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2615.0,https://www.idealista.com/obra-nueva/103033451/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/28/a7/1181479948.jpg,"Calle Victoria Kent, 3",False,-3.4187876,Loeches,1,flat,False,nan
3,Madrid,260.0,True,False,{'title': 'Terraced house in san lorenzo'},True,5,False,nan,False,110,AP-00035,es,nan,103855481,349999.0,40.3815064,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"BEAUTIFUL VILLA IN LOECHES.GARAGE WITH CAPACITY FOR THREE CARS Stop looking for a home in Loeches, you will love this chalet! Do you want to live in calm, away from the hustle and bustle of the capital? Would you like a quiet home, free of noise and rush? Here is your ideal home, between Madrid and Alcalá de Henares, in the beautiful municipality of Loeches. DISTRIBUTION: Pemar Agents offers you this exclusive semi-detached house of 260m2 -according to cadastre- and 172 m2 of plot whose distribution is as follows: Front plot with garden area and access to porch and interior of the house: MAIN FLOOR -Entrance hall. -Separate, spacious and bright kitchen.Comfortable and practical room with enough space to eat.High and low cabinets.Totally equiped. -Courtesy bathroom with shower tray.Towel radiator. -Very spacious room.Exterior window and built-in wardrobe and dress. -Separate living room, spacious and bright thanks to the natural light it receives through its large window.Direct exit to patio. -Patio with charming wooden gazebo. FIRST FLOOR -Main room, spacious and bright with two spectacular 4-section closets, lined, dressed and with drawers... all your clothes at hand! -Spacious, complete master suite bathroom.Double sink and whirlpool tub. -Spacious and bright room.Exterior window.Built-in wardrobe lined and dressed. -Spacious and bright room.Wardrobe with the same characteristics.Glass door with access to terrace. -Full bathroom with bathtub. ATTIC Without a doubt it is the jewel of this beautiful home! 24m2 space with low, wall-to-wall built-in wardrobes.With a multitude of possibilities.Exit to a 17m2 solarium terrace.Here you will find the desired peace and rest... The silence, accompanied by spectacular panoramic views, will make you fall in love. LOW LEVEL -Storage room.Practical space used in the stairwell. -55 m2 garage.Automatic door.Capacity for 3 cars. HOUSING CHARACTERISTICS -Plated, stoneware and marble floors. -Smooth paint on walls and ceiling. -Built-in oak wood wardrobes, lined, dressed and with drawers. - Double glazed windows with mosquito nets. -A/C in living room, main room and attic.Pre-installation throughout the home. -Indirect lighting in the living room and staircase. -Radiators in all rooms. -Natural gas.Rock Caldera. EVERYTHING WE SAY ABOUT THIS BEAUTIFUL CHALET WOULD BE LITTLE.CALL US AND WE INVITE YOU TO VISIT IT! LOCATION: The house is located in a residential area, near the center of Loeches, with all the basic services at hand: commercial establishments of all kinds, banks, supermarkets, pharmacies, doctor's office, senior center, public schools such as Conde Duque de Olivares, Duke of Alba and Charles Dickens and private ones like Montfort. With very good public transport communication as it has 5 bus lines: 2 connected with Madrid (1 at night) and 3 with other municipalities in the area (Arganda del Rey, Alcalá de Henares, Coslada, San Fernando and Velilla de San Antonio, as well as with the Torrejón University Hospital and the Henares Hospital).For your own vehicle, it has convenient road access (A2, A3 and M50). TAXES AND EXPENSES NOT INCLUDED: ITP, NOTARY, REGISTRATION, MANAGEMENT, APPRAISAL.WE WILL HELP YOU WITH THE FINANCING IF YOU NEED IT. TOTAL TRANSPARENCY AND DIRECT DEALING WITH THE PROPERTY.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1346.0,https://www.idealista.com/inmueble/103855481/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/bf/a4/1202314675.jpg,san lorenzo,False,-3.4200962,Loeches,nan,chalet,False,nan
1,Madrid,110.0,True,False,{'title': 'Flat in Vereda Carpetana'},True,1,False,True,False,52, 3501-06401,es,True,100292025,139000.0,40.400171,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Welcome to this spectacular New York style home in the municipality of Loeches! It is a home with all kinds of quality details. Completely renovated and modernized, this home is perfect for those looking for an elegant and comfortable home. With a high investment in the details of the reform since it is ideal to move into directly. Upon entering, you will be greeted by a charming hall with designer furniture and a closet, perfect for storing everything you need. A long hallway gives access to the rest of the house. The open-plan living room with a built-in kitchen is the ideal place to share moments with your loved ones. In addition, it has a chaise longue with a built-in bed and an adjoining closet for storage. The large windows with automatic/electric blinds provide plenty of natural light and views of the terrace. The spacious, independent room has a large window (light opaque windows), as well as a built-in wardrobe with white sliding doors. (All new design and construction) The adjoining bathroom with shower and pretty vanity is perfect for relaxing after a long day. With modern and detailed decoration. The terrace is ideal for enjoying private evenings and relaxing outdoors. It has a nice space with plants, barbecue and storage. The house is sold empty, without furniture. Only kitchen furniture and appliances fit. This complex has security, doorman, paddle/tennis court and private pools, everything you need to live comfortably! Regarding location, the municipality of Loeches has a population of 8,791 inhabitants and borders several municipalities in the area. In addition, it has 5 bus lines that connect with Madrid and other municipalities. Public nursery schools and Early Childhood and Primary Education schools are available, as well as the possibility of taking ESO at SIES Luis de Góngora and a private school from nursery to pre-university. You will also find supermarkets, shops, pharmacies and other infrastructure in the municipality. The price includes a garage space and includes kitchen appliances. We offer advice on financing and expansion of available information. Don't miss the opportunity to visit this home during long hours, including weekends!",False,{'typology': 'flat'},good,1264.0,https://www.idealista.com/inmueble/100292025/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/f2/08/1137539009.jpg,Vereda Carpetana,False,-3.4148479,Loeches,bj,flat,False,{'groupDescription': 'Highlight'}
3,Madrid,197.0,False,False,{'title': 'House'},False,4,False,nan,False,84,EG5734,es,nan,101362406,350000.0,40.3873847,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Alcalá real estate offers a fabulous home for sale in Loeches, in a large and rapidly growing urbanization.   This Chalet consists of a wide pedestrian entrance and a surface garage for two cars. Through the entrance we would arrive at the door of the property in which we have a large Hall that distributes the ground floor, where we find a very cozy living-dining room with a fireplace, a toilet, a large kitchen and a double bedroom with an en-suite bathroom. of great dimensions. If we go up to the second floor, we have a large hall that is divided into two double rooms, one with a private terrace and a single room, all of which share a large bathroom. This villa is very well located with easy access from the road and with a nearby bus service (261 Madrid-Avenida de America, 280 Coslada-Renfe, 284 Madrid-Coslada-Rivas, 320 Arganda del Rey), with basic services such as Schools ( Monfort school), nurseries, banks, medical center and shops. This municipality is 5 minutes from Torrejón de Ardoz where you will find large shopping and leisure centers and 10 minutes from Alcalá de Henares.   Loeches, is a great town with a lot of history, and above all a quiet area to disconnect from the bustle of the big city without losing those comforts of having everything within walking distance. Do not hesitate COME VISIT IT! It can be the home of your dreams where you can start to put down roots and create that home you want. Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will give you a completely free assessment. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.  .",False,{'typology': 'chalet'},good,1777.0,https://www.idealista.com/inmueble/101362406/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/d6/d6/1119498469.jpg,Loeches,False,-3.416768,Loeches,nan,chalet,False,nan
