bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
6,Madrid,363.0,True,False,"{'subtitle': 'Los Satélites - Roza Martín, Majadahonda', 'title': 'Semi-detached house in Acuario'}",True,4,True,nan,False,32,3546-AM,es,nan,1250000.0,101403692,40.4590354,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Diplomatic Real Estate offers a brand new modern villa. The best materials have been used both for the exterior and the interior of the chalet. Very comfortable LED 705 lighting. Airzone air conditioning that allows zoned control by rooms, and allows remote control of underfloor heating, Tempered glass partitions have been used in the bathrooms and their furniture has been personalized to measure. Outdoor porcelain stoneware floors. Anti-theft windows with maximum security. Energy certification A- It is distributed in: Street plan; porch, access to garage, garden and pool. Hall with access to the living room, kitchen with brand new appliances, office, guest toilet, 1 en-suite bedroom that can be an office or service bedroom. Basement, large games room, storage room, laundry room, full bathroom, facilities room, garage for 2 cars with an electric car socket, a third space on the surface, and a large storage room. First floor: 3 en-suite bedrooms, two with a shower and the third with a bathtub. The main one with dressing room and living room. Located in a private urbanization with easy access to the M. 530, and communicated by bus line 654. We await your call, Diplomatic Real Estate, with more than 25 years in the real estate sector and a wide portfolio of luxury homes, premises, offices and buildings, offers complete advice to its clients both for rent and purchase-sale of real estate.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,3444.0,https://www.idealista.com/inmueble/101403692/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/dc/05/1120846277.jpg,Acuario,False,-3.9087915,Los Satélites - Roza Martín,Majadahonda,nan,chalet,False,{'groupDescription': 'Featured'}
2,Madrid,106.0,True,False,"{'subtitle': 'Casco Antiguo, Majadahonda', 'title': 'Flat in Calle Del Cristo no number'}",True,3,False,True,False,33,JM  193542,es,True,405000.0,97681388,40.4710407,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Exclusive municipality of Majadahonda with an impressive high-rise property in a privileged location in the A-6 area (North-West). This spacious apartment features 3 bedrooms and large windows that allow for ample natural light. The 2 modern bathrooms are equipped with amenities. With a built area of 106 square meters, the property offers a generous and well-distributed space. The interior design is sophisticated and elegant, with high-quality finishes throughout. This is a unique opportunity to live in a sought-after area with potential for renovation and profitability. The location provides easy access to a wide range of services and activities, including the prestigious Majadahonda International School and the Tutti shopping center. Commuting is convenient with easy access to the C-7 and C-10 commuter lines, as well as several bus lines for excellent connectivity. The environment is quiet and safe, with ample green areas and parks nearby. There is also a wide range of restaurants, cafes, and stores in the vicinity. This luxury property is a true gem in a privileged location. Reference 193542. Contact GILMAR real estate company, a team of experts in the market with a wide portfolio of luxury properties. Visit the Majadahonda office located at Avenida Doctor Calero 19 (Centro Comercial Tutti) or call for more information.",False,{'typology': 'flat'},good,3821.0,https://www.idealista.com/inmueble/97681388/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1e/a4/71/1199219071.jpg,Calle DEL CRISTO no number,True,-3.8718869,Casco Antiguo,Majadahonda,1,flat,False,nan
3,Madrid,163.0,True,False,"{'subtitle': 'Zona Monte el Pilar, Majadahonda', 'title': 'Flat in Calle Cerro Del Espino no number'}",True,3,False,True,False,35,JA 184016,es,True,790000.0,100877077,40.4583255,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR of Majadahonda sells exclusive apartment in Majadahonda of 163 m2, 3 bedrooms, 3 bathrooms, exterior, bright, northwest facing, 2 parking spaces. Welcome to the opportunity to live in one of the most exclusive areas in Majadahonda! We present this spectacular 3 bedroom apartment in a luxury urbanization that has everything you need to live in an atmosphere of comfort, security and tranquility. The property is distributed in distributor, a spacious living room with terrace, space designed to enjoy unforgettable moments with friends and family, comfortable kitchen with access to a spacious patio, 3 bedrooms, two of them with en suite bathroom plus another bathroom, all with luxury qualities. It also has two spacious parking spaces and storage room. Security is a priority in this premium urbanization. With a 24-hour doorman, you can be sure that your home and family are always protected. In addition, the urbanization has a large summer swimming pool, indoor pool, paddle tennis and gym, allowing you to enjoy an active and healthy lifestyle. This 3-bedroom luxury apartment is perfect for those looking for a sophisticated and quiet life, in a privileged location of Majadahonda, with all services and communications practically on the doorstep. Do not miss the opportunity to live in this oasis of exclusivity and comfort! Contact us now to schedule a visit and discover all that this home has to offer. FEATURES: Heating: Individual Natural Gas Elevator Garden Swimming pool Indoor swimming pool Gym Tennis-Padel Doorman 24 h security State of conservation: impeccable We get the maximum financing with the best conditions at no cost to the buyer - with Gilmar purchase without agency commission, directly with the property. If you are interested in this property do not hesitate to contact us, we will be happy to assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. Contact us for further technical and commercial information. If you are interested in buying or selling a property anywhere in Spain, do not hesitate to contact GILMAR where we will advise you on the commercial, technical and legal possibilities of your property. In Gilmar we have been working to offer our clients the best properties for 37 years. We cover all real estate needs: homes, offices, commercial premises, plots of land, rustic properties, land for construction... We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability. houses in Majadahonda, houses in Monteclaro, houses in El Plantio, houses in Torrelodones, houses in Rozas, houses in Valdemorillo, houses in Villanueva del Pardillo, houses in Las Matas, houses in Monterrozas, houses in Montecillo, houses in la Marazuela, houses in Punta Galea, houses in Parque Empresarial, houses in urbanization, el Golf, houses in Molino de la Hoz, houses in la Sierra, houses northwest, buy property, buy apartment, buy house, buy house, buy villa...",False,{'typology': 'flat'},good,4847.0,https://www.idealista.com/inmueble/100877077/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/a8/07/1104367858.jpg,Calle CERRO DEL ESPINO no number,True,-3.8601071,Zona Monte el Pilar,Majadahonda,bj,flat,False,nan
3,Madrid,372.0,True,False,"{'subtitle': 'Zona Monte el Pilar, Majadahonda', 'title': 'Detached house in Calle Mar de las Indias no number'}",True,6,False,nan,False,49,JM/JA 185865,es,nan,1195000.0,101999213,40.4693251,True,nan,sale,nan,"Gilmar offers Detached Villa in Majadahonda of 372 m2 on a plot of 1,000 m2 spread over 3 floors. It has 6 bedrooms, 3 bathrooms Come and discover an exciting opportunity in the exclusive area of Majadahonda, in the coveted Interland urbanization! We present you a detached villa to renovate, which gives you the possibility to create the house of your dreams according to your own tastes and preferences. With a distribution on two floors and a large garage, this property offers a blank canvas to design a unique and personalized home. On the second floor, you will find a spacious living room with three rooms, giving you great flexibility to create different living and entertaining areas. The kitchen, with its exit to a pleasant porch, will allow you to enjoy moments outdoors while preparing delicious meals. In addition, on this floor, you will have two full bathrooms and three spacious bedrooms, which offer ample space for you and your family's comfort. On the second floor, you will discover two additional bathrooms, three more bedrooms and an entertainment area. This additional space gives you endless possibilities to turn it into your relaxation area, a creative space or even a playroom for the whole family. The house has a total area of 370 square meters, which gives you plenty of room to give free rein to your imagination and carry out the renovation you have always wanted.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3212.0,https://www.idealista.com/inmueble/101999213/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/e3/91/1141474217.jpg,Calle Mar de las Indias no number,True,-3.8627515,Zona Monte el Pilar,Majadahonda,nan,chalet,False,nan
3,Madrid,154.0,True,False,"{'subtitle': 'Golf - El Carralero, Majadahonda', 'title': 'Flat in Camino Carralero, 118'}",True,3,False,True,False,40,JM 190547,es,True,875000.0,102969264,40.4581384,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar de Majadahonda is proud to present this stunning luxury home in the prestigious Pinnea urbanization in Majadahonda. This property is a perfect combination of elegance, comfort and luxury that redefines the standard of contemporary living. Located in an exclusive setting, this urbanization offers a unique lifestyle, with a wide range of first class services and amenities. From 24-hour security to summer and heated swimming pools, a state-of-the-art fitness center, ample green areas and world-class sports facilities. Here, excellence is the norm, and comfort is the key. The home itself is an oasis of luxury that offers a total of three bedrooms, distributed over two floors. On the main floor, you will find a spacious living room that invites relaxation and entertaining. The separate kitchen is a culinary paradise with high quality finishes. In addition, the laundry terrace is a functional space that adds a touch of practicality to everyday life. One of the master bedrooms is located on this floor, with en-suite bathroom and an additional toilet, providing privacy and comfort to its residents. And if that's not enough, the crown jewel is the stunning terrace that allows you to enjoy the views and fresh air while relaxing your senses. Upstairs, you will find the two additional bedrooms, a well-appointed bathroom and a living room that lends itself perfectly to moments of tranquility and reflection. Also on this floor, a second terrace allows you to enjoy the panoramic views and exceptional natural surroundings. This property comes with two garage spaces and a storage room, ensuring that all your storage needs are covered without sacrificing living space. Living in this luxury residence is more than an experience, it is a privilege. Every corner of this property is designed to reflect an exceptional standard of quality of life, where elegance and comfort intertwine in perfect harmony. Don't miss the opportunity to acquire this exclusive home in Majadahonda, which represents the culmination of luxury and well-being. Contact us at Gilmar to schedule a visit and discover how you can turn this dream into your new reality, your dream home awaits you at Pinnea!",False,{'typology': 'flat'},good,5682.0,https://www.idealista.com/inmueble/102969264/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/33/8c/1175793746.jpg,"Camino Carralero, 118",True,-3.8729607,Golf - El Carralero,Majadahonda,3,flat,False,nan
4,Madrid,356.0,True,False,"{'subtitle': 'Los Satélites - Roza Martín, Majadahonda', 'title': 'Terraced house in Calle Traviatta no number'}",True,4,False,nan,False,39,JA 191364,es,nan,1149000.0,103049204,40.4494654,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar offers you a townhouse in Majadahonda of 356 m2 on a plot of 302 m² with a garden of 163 m² distributed in floor. It has 4 bedrooms, 4 bathrooms, kitchen, 4 parking spaces. We present this impressive opportunity to acquire a townhouse in the exclusive urbanization Roza Martin. This magnificent property is distributed in a functional way and offers an exceptionally comfortable and luxurious living space. On the first floor, you will be greeted by a spacious hall that leads to a large and bright living room with direct access to the plot, where you can enjoy unforgettable moments with family and friends. The spacious kitchen, equipped with office area, also connects to the plot, giving you a perfect environment for cooking and socializing. In addition, on this floor, you will find a guest toilet and a bedroom with en suite bathroom, providing privacy and comfort for your guests or for personal use. The second floor houses three bedrooms, each with its own bathroom, highlighting the spaciousness and elegance of the master bedroom. Here, you can enjoy a space designed for your rest and well-being. In the basement, you will discover a service area with a bedroom and an additional bathroom, as well as a laundry area that will facilitate your household chores. In addition, this level includes a large additional living room and a garage with capacity for up to four cars, providing a convenient and safe space for your vehicle. The house is equipped with adjustable underfloor heating in each room and a hot/cold air conditioning system to ensure your comfort at any time of the year. In addition, it has an advanced home automation system that allows you to control various aspects of your home intelligently and efficiently. The property is completed with a large plot that includes a saline chlorination pool, where you can enjoy refreshing and relaxing moments in your own private oasis. Don't miss the opportunity to be the proud owner of this exceptional townhouse in Roza Martin.  At Gilmar we have been working to offer our clients the best properties for 37 years. We cover all real estate needs: homes, offices, commercial premises, plots, rustic properties, land for construction.. . We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,3228.0,https://www.idealista.com/inmueble/103049204/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/fe/8f/1177596206.jpg,Calle TRAVIATTA no number,True,-3.8876462,Los Satélites - Roza Martín,Majadahonda,nan,chalet,False,nan
3,Madrid,170.0,True,False,"{'subtitle': 'Casco Antiguo, Majadahonda', 'title': 'Flat in Avenida España no number'}",True,4,False,True,False,30,JM 184611,es,True,950000.0,100978821,40.4711279,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar de Majadahonda welcomes you to this spectacular 4 bedroom duplex penthouse with stunning views of Madrid, located in one of the best areas of Majadahonda. This stunning luxury home has 3 bathrooms, plus parking space and storage room which means you have everything you need for comfortable and elegant living. From the moment you enter this incredible penthouse, you will be immediately impressed by the panoramic views of the Madrid skyline. The spacious and bright living and dining room offers an ideal space to relax and entertain your guests while enjoying the spectacular views. The fully equipped kitchen with an incredible island and modern design details will make it an ideal space to prepare your gourmet meals. It has three large terraces, one of them with access from the kitchen and living room, where you can enjoy magnificent views of Madrid, on the top floor all bedrooms have a terrace, the master bedroom is quite spacious. The four spacious and bright bedrooms offer a quiet and comfortable space to rest and relax after a long day. With three bathrooms, all designed with high quality finishes. In addition, this penthouse has a common area that includes a swimming pool and gardens, which means you will always have a place to relax and enjoy the warm weather of Madrid. The garage and storage room provided additional storage space for your belongings and vehicles. In short, this duplex penthouse is the perfect home for those looking for a luxurious and comfortable lifestyle in the best location in Majadahonda. Don't miss the opportunity to make this home yours and enjoy the most breathtaking views in Madrid! Contact us to schedule a visit today. At Gilmar we have been working to offer our clients the best properties for 39 years. We cover all real estate needs: homes, offices, commercial premises, plots, rustic properties, land to build. We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability.",False,{'typology': 'flat'},good,5588.0,https://www.idealista.com/inmueble/100978821/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/3e/c2/1106271209.jpg,Avenida España no number,True,-3.8681111,Casco Antiguo,Majadahonda,3,flat,False,nan
9,Madrid,715.0,True,False,"{'subtitle': 'Zona Carretera del Plantío, Majadahonda', 'title': 'Detached house in Calle Rosa De Los Vientos no number'}",True,8,False,nan,False,37,FB 170156,es,nan,1450000.0,99167276,40.4799051,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Fantastic detached villa in Colonia Airesol in Majadahonda with 715 m² spread over 4 floors and on a plot of 1,355 m² with garden and pool. The northwest facing house stands out for its spaciousness and brightness. In the basement there is a discotheque with a complete bathroom and a garage for three cars. The main floor houses a large living room of 60 square meters with fireplace, as well as a large kitchen of 30 square meters, the dining room, living room, an office with kitchenette, a laundry room and a service bedroom with bathroom. On the second floor are located seven bedrooms with five bathrooms renovated design with Saloni brand. The house also has a spectacular low attic with a trunk.  It is located in a strategic residential area, between the road to La Coruña and El Plantío, a beautiful and quiet area, but at the same time fantastically communicated and with all kinds of services at hand, with bus at the door and less than 10 minutes walk from the Renfe station and with direct access to the A6 and the M-503. A 5-minute walk from downtown and very close to Monte del Pilar, with shopping areas, services, health center, schools and green areas. A familiar and pleasant environment in the middle of the urban nature of Majadahonda. In Gilmar we have been working to offer our clients the best properties for 37 years. We cover all real estate needs: homes, offices, commercial premises, plots of land, rural properties, land for construction.. . We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,2028.0,https://www.idealista.com/inmueble/99167276/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/c5/41/1035747461.jpg,Calle ROSA DE LOS VIENTOS no number,True,-3.8612519,Zona Carretera del Plantío,Majadahonda,nan,chalet,False,nan
3,Madrid,266.0,True,False,"{'subtitle': 'Zona Carretera del Plantío, Majadahonda', 'title': 'Duplex'}",True,4,False,True,False,37,W-02UFKS,es,True,770000.0,103691512,40.4766972,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Fantastic duplex penthouse in Majadahonda Engel & Völkers, presents this spacious and bright duplex penthouse in one of the best areas of Majadahonda with all transport services next to the urbanization. The house with 141 m2 is divided into two comfortable floors, the upper floor consists of a glazed living room with awning to open it all in summer and heated for winter, with access to a large sunny terrace all day, with a private pool, automatic irrigation and a barbecue with a laundry room outside. The first floor has a large entrance hall with stairs leading to the upper floor, the very bright and spacious living-dining room has a fireplace and the dining area has access to the kitchen. The kitchen, with service entrance, has a large clothesline and access to the service bedroom with bathroom included. The bedrooms are located along the corridor, two of them share a bathroom and the master bedroom has an en suite bathroom and dressing room. The house has 2 parking spaces, one of them for electric car and a large storage room. The urbanization, with large gardens and common areas has two swimming pools one of them for children and a direct exit to the bus stop. The urbanization is located in Carretera del Plantío, an area located in the municipality of Majadahonda, next to Monte del Pilar. The area has a wide variety of services and stores, which make it very attractive for its residents. It has several schools, supermarkets, restaurants and cafes, as well as pharmacies and medical clinics. Carretera del Plantío is located next to green areas such as Monte del Pilar, perfect for nature lovers.  The urbanization has a park right in front and is located in a very quiet area, with very good connection to public transport, bus stop at the door, the commuter train station of Majadahonda and the exit to the A6 are just a few meters away. In short, Carretera del Plantío is a very attractive area to live in.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2895.0,https://www.idealista.com/inmueble/103691512/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/20/3f/1197524757.jpg,Zona Carretera del Plantío,True,-3.853554,Zona Carretera del Plantío,Majadahonda,nan,duplex,False,nan
4,Madrid,200.0,True,False,"{'subtitle': 'Zona Monte el Pilar, Majadahonda', 'title': 'Duplex in Príncipe de Asturias'}",True,4,False,True,True,26,ASTURIAS 1K,es,True,1049900.0,102838431,40.4664864,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES MAJADAHONDA SELLS AN EXCLUSIVELY EXPECTACULAR FOUR BEDROOM PENTHOUSE WITH THREE LARGE TERRACES IN ONE OF THE BEST AREAS OF MAJADAHONDA EL MONTE DEL PILAR AND WITH JUST 15 NEIGHBORS! The house is distributed as follows; On the first floor we find the welcome hall, which leads to a spectacular living room with access to a wonderful terrace with views of various areas given its spaciousness, views such as the Madrid skyline, for example. The fully equipped kitchen with an office, which stands out for the qualities it has, apart from a large capacity laundry room with direct access to the aforementioned terrace. Bedroom en suite with full bathroom with shower and bathtub, we also find a guest toilet for visitors. On the upper floor we find the rest area, which has three bedrooms, all of them equipped with built-in wardrobes, one of these being the main one with an en-suite bathroom with a hydromassage bathtub, we also find a fully dressed dressing room with large dimensions. The house is located in one of the best urbanizations in the area. With the best qualities, insulation, ducted air conditioning and much more. Two parking spaces are included, as well as a large storage room. IN A SECURED URBANIZATION WITH SWIMMING POOL, PLAYGROUND AND GREEN AREAS IN ONE OF THE BEST RESIDENTIAL AREAS OF MAJADAHONDA! Don't hesitate to come visit it! 100% FINANCING!",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,5250.0,https://www.idealista.com/inmueble/102838431/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/5f/f9/1169016768.jpg,Príncipe de Asturias,True,-3.8563767,Zona Monte el Pilar,Majadahonda,3,duplex,False,nan
