bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
4,Madrid,293.0,True,False,{'title': 'Detached house in Santillana del Lago'},True,5,False,nan,False,63,FP192216,es,nan,598000.0,103254966,40.7305139,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Magnificent independent villa for sale with stunning views of the swamp. This property, distributed over three floors, is in perfect condition to move into, with high qualities and unique details that make it special. It has several exterior and glazed terraces, four bedrooms plus a study, a large living room with different environments and an open-plan kitchen full of light. In addition, it has a swimming pool with saline chlorination, automatic irrigation and excellent communications with Madrid. Located near the center of the town, you can enjoy leisure and restaurant services. With 293 m² built and 168 m² useful, this home offers 5 bedrooms, 4 bathrooms, terrace, balcony, built-in wardrobes, storage room and garage. Year of construction: 1998.802 m² plot. Don't miss the opportunity to acquire this real estate gem.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2041.0,https://www.idealista.com/inmueble/103254966/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/56/0e/1184474316.jpg,Santillana del Lago,True,-3.8538599,Manzanares el Real,nan,chalet,False
4,Madrid,520.0,True,False,{'title': 'Detached house in Calle Cercados'},False,6,False,nan,False,42,CE165373,es,nan,649000.0,95258882,40.7286925,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Gilmar sells a very exclusive independent villa of magnificent construction and quality finishes on a plot of 1.070 meters with private pool. Spectacular views of the swamp and the castle, just 10 minutes walk from the center. Very comfortable home being able to live on a single floor of 240 meters with a spectacular terrace. In addition, it has a ground floor ""rough"" of 222 meters where you can build to your liking. Its location is perfect since it is in a very quiet area, but at the same time only 10 minutes from the center and only 5 minutes from the bus stop. Possibly one of the best built and exclusive houses in Manzanares el Real. DISTRIBUTION: GROUND FLOOR: ""In the rough"" of 222 meters where you can build to your liking. Here the diesel tank of 1 is located. 000 Liters. MAIN FLOOR: Independent kitchen with dining room, laundry room and access to the ground floor. Living room with sofa and TV area. 5 bedrooms, 3 of them with bathroom en suite and one with shared access. BUHARDILLA: Bedroom of 50 meters with magnificent views. GARAGE: Covered parking for 2 cars and toilet. SWIMMING POOL AREA: Swimming pool with solarium area and fully equipped kitchen with fireplace and electric and gas stove. GARDEN: Very comfortable, all smooth, has automatic irrigation and kennels for dogs. If you are interested in this home, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE DO NOT CHARGE BUYER FEES! AND WE GET THE MAXIMUM OF FINANCING WITH THE BEST CONDITIONS WITHOUT COST TO THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 35 years of experience, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build. Our clients have the necessary advice from the beginning, to guarantee their safety, legal efficiency and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1248.0,https://www.idealista.com/inmueble/95258882/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/39/ca/916180009.jpg,Calle CERCADOS,True,-3.8613137,Manzanares el Real,nan,chalet,False
8,Madrid,968.0,True,False,{'title': 'Detached house in Calle del tranco'},False,11,False,nan,False,44,CE169363,es,nan,499000.0,96377777,40.7412163,False,nan,sale,nan,"Gilmar sells an independent villa of magnificent construction (stone walls) in an enviable setting facing the Manzanares River in the Sierra del Guadarrama National Park with a plot of 856 meters. Formerly it was a hostel-restaurant, it maintains the activity license in case you want to set up a business, otherwise you can cancel the license and use it as a home. DISTRIBUTION: GROUND FLOOR: Covered porch, reception, bathrooms. and Messrs. , Living-dining room, bar, kitchen and office. MAIN FLOOR: Living-dining room with glazed covered terrace, 9 bedrooms and 4 bathrooms. BASEMENT: Cellar and toilet. ADJACENT TO THE MAIN BUILDING: 2 independent apartments with bathroom, bedroom and living room-kitchen each. If you are interested in this home, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE DO NOT CHARGE BUYER FEES! AND WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 35 years of experience, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build. Our clients have the necessary advice from the beginning, to guarantee their safety, legal efficiency and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. Houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a house, buy a flat, buy a house, buy a chalet, buy an attic.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,515.0,https://www.idealista.com/inmueble/96377777/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/35/81/947335979.jpg,Calle del tranco,True,-3.8758996,Manzanares el Real,nan,chalet,False
6,Madrid,669.0,True,False,{'title': 'House in Calle Real'},False,7,True,nan,False,42,138321,es,nan,990000.0,102306801,40.7260643,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Call us and visit this house. This home is available for rent with option to buy. Spectacular house with a surface area of 669 m² with a plot of 2,186 m², where you can enjoy your leisure time, in Manzanares el Real, province of Madrid. The spaciousness of this house provides a family with children all the space they need. This chalet has an elevator and has several cozy and bright living rooms, a fitted kitchen, absolutely independent from the rest of the rooms and equipped with appliances, seven bedrooms and six complete bathrooms. In addition, the chalet has a terrace, so you can enjoy the good weather, a patio with many possibilities and built-in wardrobes, to increase the storage capacity of your home. The property is all exterior, with a private garden where you will take advantage of the good weather and a private pool to cool off in summer. This chalet is located on an easily accessible road, it has a 155 m² garage, so you can park comfortably and two storage rooms with a total of 140 m², so you can store everything you need. Due to its west orientation, you will enjoy the sun in the afternoons, the time when the house is especially cozy. The house is sold unfurnished and in good condition so you can settle in as soon as possible. As for the qualities, this chalet has oil heating, a fireplace, solar panels for hot water, wooden carpentry and wooden floors on the ground floor, which gives a lot of warmth to the home. Located in a quiet and well connected area. For greater comfort, the house is very close to a school, a medical center and all the necessary services. At Housell we offer you a large selection of properties that adapt to your lifestyle. Don't miss this opportunity to find the perfect house for you. h1o3u8s3e2l1l.",False,{'typology': 'chalet'},good,1480.0,https://www.idealista.com/inmueble/102306801/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/69/56/1151303608.jpg,Calle Real,False,-3.8765719,Manzanares el Real,nan,chalet,False
2,Madrid,270.0,True,False,{'title': 'Detached house'},False,4,True,nan,False,53,as5358,es,nan,379000.0,97715805,40.7356294,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"TO. S. REAL ESTATE GESTIÓN sells an excellent independent villa in the Rincón de la Pedriza area, next to the park, in a privileged environment. The house of approximately 270 m2, built in 1994, is distributed over two floors connected to each other, on a 520 m2 garden plot. LOW LEVEL. - (143 m2) Garage for several vehicles, a room that is currently used as a bedroom, with a built-in wardrobe, but that can be used as an office, cellar or multipurpose room, it also has a bathroom and access staircase to the upper floor. FIRST FLOOR. - (130 m2) The house is located on this floor, very comfortable, on one floor: Hall, fitted kitchen, living room with large and wonderful glazed terrace, with excellent south orientation, four double bedrooms with built-in wardrobes and bathroom complete. Excellent views, exterior carpentry in white aluminum with double glazing, ceramic tile floors, oil heating and hot water, partly paved garden, with large trees and tool shed. Ideal as a first residence! , with a privileged location, close to the National Park, in the area known as ""El Rodaje"", with panoramic views of the mountain. Solid construction. ***In A. S. Real Estate Management we do not charge agency fees to the buyer***.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1404.0,https://www.idealista.com/inmueble/97715805/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/87/bc/988033127.jpg,Manzanares el Real,False,-3.8609279,Manzanares el Real,nan,chalet,False
3,Madrid,190.0,True,False,{'title': 'Detached house in Calle del Guadalquivir'},False,3,True,nan,True,38,22000504,es,nan,398000.0,103178791,40.725865,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"IFRALA Inmobiliaria sells this home at the gates of the PEDRIZA Regional Park, the upper basin of the Manzanares River, it couldn't be in a better location:) We do not charge fees to the buyer. It is a fantastic Detached Corner Chalet, with a private pool and surrounded by Arizona trees.Upstairs you have a magnificent living room of more than 30 meters, a separate kitchen, a bathroom, a toilet, three double bedrooms and downstairs a large garage of 55 m2 (currently a woodshed and storage room) with a toilet with a shower and window, although two cars fit. perfectly, then everyone uses it for what they need it for, like if you want to put an office or office plus a bedroom...In short, whatever you want, since it has a bathroom and windows. You will have a good plot, to be able to enjoy with your loved ones, good lunches and dinners outdoors and on the hottest days, a dip in the private pool. We are Realists, with some improvements inside the house and on the Plot, it will allow you to build the house to your liking, since the construction and location are magnificent. *He.The plan only shows the distribution of the main floor, not the ground floor, where there is a toilet with a window and a garage, storage room, cellar or whatever each one likes since it is 58 meters. * The meters built are those that appear in the cadastre. IFRALA Inmobiliaria informs you of everything:) For only 398,000 plus taxes not included, this home can be yours and the people you love most.You have your independent Chalet full of possibilities.You have meters, the situation could not be better, come see it in person and you will see yourself forming a home full of joy, light and comfort and all this with a privileged location, full of peace and tranquility. For any questions, do not hesitate to contact me, my name is Juan and my telephone number is 669 39 32 six four, I will be happy to answer any questions about it, we can meet or you can simply visit it online from your home or from the office, or if you have already seen it, we can arrange a visit whenever you want and we will see it on site, in the home. IFRALA Inmobiliaria has the following: - Own Locksmith. - Handyman at home, to repair and assemble all types of furniture. - Renovations with a free quote without obligation and with a contract and guarantee. - Removals, - Energy Certificate, Mandatory to rent or sell your home, - Professional Photographic Report and Virtual Tour, even drone report. - Mortgages, - Lawyers, inheritances, everything you need. - Technicians (plumber, Electrician, Gas Boilers, Air conditioning, Appliances) 24 hours.- Awnings, quote without obligation. - Home Staging Decoration. You just have to tell us what you need and we will help you.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,2095.0,https://www.idealista.com/inmueble/103178791/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/2d/98/1183753598.jpg,Calle del Guadalquivir,False,-3.8783386,Manzanares el Real,nan,chalet,False
1,Madrid,220.0,True,False,{'title': 'Detached house in Zurbarán'},False,4,True,nan,False,57,380 Manzanares,es,nan,319900.0,99752861,40.7352536,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Alfa Hortaleza sells an excellent independent villa in Manzanares el Real, in front of the Santillana reservoir. The 220 m2 house was built in 1984 on a 558 m2 plot and is distributed over two floors. Main floor. - Kitchen, large living-dining room with fireplace and access to the terrace, 4 bedrooms with built-in wardrobes and 1 full bathroom Ground floor or basement. - Large garage area that can be expanded further and made into bedrooms. The floors of the home are made of stoneware, interior carpentry is made of Sapelli and exterior carpentry is made of aluminum. The house has a lot of natural light and spectacular views of the mountains and the Santillana reservoir. Area with shops, restaurants, schools, banks, health center, etc... Surrounded by a lot of green area where you can practice many outdoor sports.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1454.0,https://www.idealista.com/inmueble/99752861/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/68/aa/1102690494.jpg,Zurbarán,False,-3.8664821,Manzanares el Real,nan,chalet,False
3,Madrid,200.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,44,as5331,es,nan,395000.0,90492292,40.7369257,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"TO. S. Gestión Inmobiliaria sells a beautiful independent villa, in Manzanares el Real, in the area known as ""La Pedriza"", with panoramic views of the mountains and the town. The house has 200 m2 built on a 500 m2 garden plot. with pool and barbecue. It is very comfortable and is distributed over three floors, of intermediate heights. Entrance floor: Living room with fireplace, kitchen, bathroom and communication with the garage. First floor: 2 large bedrooms and 1 full bathroom. Second floor: 3 bedrooms, 1 bathroom, storage room and a large terrace, with excellent views and south orientation. Qualities: Diesel heating. All bedrooms have double built-in wardrobes. Stoneware flooring. The plot is completely landscaped (automatic irrigation), with a swimming pool in operation (used every summer), surrounded by a large area of natural grass. It also has a barbecue. In addition, it has a large garage with windows and a large closet and a small cellar. Views of the mountain and the town. Excellent south orientation. IBI payment: €673/YEAR No community fees. IDEAL AS A FIRST RESIDENCE! ***In A. S. Real Estate Management we do not charge fees to the buyer***.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1975.0,https://www.idealista.com/inmueble/90492292/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/6e/9f/791729177.jpg,Manzanares el Real,False,-3.8673142,Manzanares el Real,nan,chalet,False
3,Madrid,170.0,True,False,{'title': 'Detached house'},False,3,True,nan,False,62,AS-5377,es,nan,398000.0,102752839,40.7277773,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"TO. S. REAL ESTATE GESTIÓN sells an independent villa in Manzanares el Real, next to the entrance to the La Pedriza Natural Park.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2341.0,https://www.idealista.com/inmueble/102752839/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/3a/bf/1166140923.jpg,Manzanares el Real,False,-3.8779622,Manzanares el Real,nan,chalet,False
4,Madrid,200.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,78,AS5368,es,nan,430000.0,99841526,40.72616,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"TO. S. GESTIÓN INMOBILIARIA sells an excellent independent villa with a pool in La Pedriza de Manzanares el Real, in the heart of the Sierra de Guadarrama National Park with spectacular views. The house of 200 m2 approx. , was built in 1993 and completely renovated in 2015, on a 680 m2 plot. LOW LEVEL. - Garage, service area with boiler for hot water and heating, diesel tank, washing machine, dryer and large storage room. FIRST FLOOR. - Beautiful access porch to the house, armored door, hall, bathroom, living room with fireplace and exit to the garden, kitchen furnished with electrical appliances and SILESTONE countertop (Great resistance and durability), two double bedrooms with built-in wardrobes and a Full bathroom with hydromassage shower and heated towel rail. SECOND FLOOR. - Three double bedrooms with built-in wardrobes and a complete bathroom with shower and hydromassage bathtub plus a large terrace with views of La Pedriza. QUALITIES. - The electrical and plumbing installations have been completely renovated, it has pre-installation of air conditioning, smooth paint, flooring in two types of flooring, stairs and bathrooms in travertine marble, LED lighting throughout the house, piped music, exterior carpentry in wood with double glazing and mosquito nets, interior carpentry in solid wood, taps and Porcelanosa brand toilets. GARDEN. - It is mostly floored, swimming pool with lighting, bathroom and purification room, exterior lighting throughout the garden, large automatic awning, access door for vehicles with remote control. The house is in perfect condition and is delivered partially furnished. IDEAL AS A HABITUAL RESIDENCE! in a. S. REAL ESTATE MANAGEMENT We do not charge fees to the buyer!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2150.0,https://www.idealista.com/inmueble/99841526/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/53/d4/1056885912.jpg,Manzanares el Real,False,-3.8660571,Manzanares el Real,nan,chalet,False
