bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
4,Madrid,315.0,True,False,{'title': 'Detached house in Unión Europea'},False,4,False,nan,False,65,SER0182,es,nan,850000.0,103771861,40.5534598,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'bright', 'text': 'Bright'}, {'name': 'villaType', 'text': 'Villa'}]","Exclusive individual villa in one of the best areas of Meco, with large avenues and free spaces, built in 2022. This chalet is made up of 2 floors with top quality finishes. The FIRST FLOOR consists of a bright hall open to the 50-meter living-dining room with 7-meter-high ceilings, a modern and furnished kitchen, a boiler room and an impressive suite-type guest bedroom with a dressing room and a full bathroom. Both the living room and the kitchen have direct access to the garden, with parallel tilting PVC windows with three panes to avoid both the cold and the heat. Its large format floors and white lacquered doors, as well as all smooth walls and high ceilings, give a great feeling of spaciousness and comfort. On the SECOND FLOOR with an open floor, where all the light flows through the house, expanding the spaces and giving a touch of class, we find 2 large bedrooms with a bathroom in each one and the fabulous master bedroom, composed of a wonderful dressing room and a bathroom where a shower and bathtub are integrated for moments of relaxation. Aerothermal heating with cooling floor throughout the house in addition to solar panels, or KNX home automation turn this home into a smart home to make our daily lives comfortable. Its exclusive touches with Iroko wooden stairs, as well as its natural garden with automatic irrigation, without forgetting its saltwater pool, its video surveillance system or its garage for 2 vehicles, make this exclusive and luxury home a place comfortable and warm for the whole family. DON'T HESITATE AND VISIT IT! A salesperson will accompany you on your visit, informing you of every detail.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2698.0,https://www.idealista.com/inmueble/103771861/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/01/4b/1201496455.jpg,Unión Europea,False,-3.335095,Meco,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,173.0,True,False,{'title': 'Detached house'},False,4,False,nan,False,80,EG5885,es,nan,368700.0,103191917,40.5599556,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Alcalá Inmobiliaria sells a wonderful independent villa of 173 m2 built (according to cadastre) on a 299 m2 plot, 3 bedrooms on the ground floor, located in the best area of Meco with a swimming pool, 10 minutes from Alcalá de Henares. Are distributed in 2 plants: On the ground floor, entrance through the front porch, to the left we find a large, very bright living-dining room with access by internal staircase to the attic, 3 bedrooms on the ground floor, two full bathrooms and in the back to the right, an independent kitchen furnished with basic appliances. (oven, hood and ceramic hob), with access to the garden with barbecue and built-in swimming pool to enjoy with the family, storage room where the diesel boiler is located and the possibility of two cars on the side of the plot. On the ground floor, the attic is completely renovated and covered with natural stone, enabled as a large living room, a suite-type room with a bathroom with a shower, 2 Velux windows. Heating and hot water with a diesel boiler, stoneware floors in the living room and bedrooms and flooring in the attic, double glazed aluminum windows, built-in wardrobes and bars throughout the house. Very well connected and with easy access via the N-II highway, all public services, supermarkets, doctors, schools, buses, etc. COME VISIT IT!   Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will inform you about everything for free. Meters of the home collected and contrasted according to cadastre/registry. The sales prices do not include legal taxes or deed expenses.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual..",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2131.0,https://www.idealista.com/inmueble/103191917/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/13/12/1181310786.jpg,Meco,True,-3.3245,Meco,nan,chalet,False,nan
3,Madrid,154.0,True,False,{'title': 'House'},True,3,True,nan,False,80,EG5877,es,nan,335200.0,103088974,40.552497,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Alcalá Inmobiliaria sells a wonderful corner semi-detached house of 154 m2 built (according to cadastre) on a 171m2 plot, with 1 room on the ground floor, located in the best area of Meco with a swimming pool, 10 minutes from Alcalá de Henares. It is distributed over 2 floors and a garage. On the ground floor, entrance through the front porch, to the left, independent kitchen furnished with basic appliances (oven, hood and hob), in front we find a large, very bright open-plan living-dining room with three large windows with access to the pool on the left. of work and on the right to a large plot with a built-in barbecue to enjoy with the family, a ground floor room that can be used as an office, built-in wardrobe, toilet and with access to the garage for 2 cars. On the first floor, 3 bedrooms, a full bathroom and in the master bedroom a suite-type bathroom with a bathtub. On the ground floor we access through a trapdoor to the completely renovated open-plan attic and enabled as a large living room, a window and a vélux, with the possibility of making bedrooms.   Heating and hot water with a natural gas boiler, air conditioning, wooden floors in the living room and bedrooms, double glazed aluminum windows, built-in wardrobes in all rooms and bars throughout the house. Very well connected and with easy access via the N-II highway, all public services, supermarkets, doctors, schools, buses, etc. COME VISIT IT!   Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will inform you about everything for free. Meters of the home collected and contrasted according to cadastre/registry. The sales prices do not include legal taxes or deed expenses.   This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual..",False,{'typology': 'chalet'},good,2177.0,https://www.idealista.com/inmueble/103088974/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/ae/fe/1177916758.jpg,Meco,False,-3.3265265,Meco,nan,chalet,False,nan
4,Madrid,322.0,False,False,{'title': 'House'},False,5,False,nan,False,98,EG5949,es,nan,489000.0,103866586,40.5478066,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Unique Experience in Meco: Luxury Villa with Details that Make the Difference Step into an exceptional home in the coveted area of Meco, where elegance and comfort intertwine in every corner. This individual chalet of 322 m2 on a plot of 517 m2 invites you to live a unique experience. From the impressive paved patio to the above-ground pool surrounded by fruit trees, every detail has been carefully designed to create a personal sanctuary. A functional well adds a touch of authenticity, and the glassed-in porch on the ground floor offers a space to enjoy nature all year round. The ground floor opens up to a bright 35 m2 living room. Discover a large room, a complete bathroom with shower and a pantry, all with the quality and style that characterize this unique residence. The kitchen, the central point of family life, is perfectly integrated into this space, connecting with the cozy essence of the home. Climb the stairs, illuminated by the light filtered from a large skylight, to the first floor, where a spectacular master bedroom awaits you with a dressing room and full bathroom. Two spacious bedrooms, one with a built-in wardrobe, share another bathroom, while a 33 m2 terrace becomes your private oasis. The main bedroom and living room are equipped with air conditioning for your comfort.   The basement houses an independent apartment with a bathroom, living room with kitchenette and bedroom, providing additional space for your needs. This chalet is not just a house, it is a blank canvas for your lifestyle. The quality construction with double partitions and water-repellent brick ensures your peace of mind. Embark on a unique experience in Meco. Contact us for more details and to explore this home with a truly special touch! The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,{'typology': 'chalet'},good,1519.0,https://www.idealista.com/inmueble/103866586/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/a9/d0/1202619078.jpg,Meco,False,-3.3301605,Meco,nan,chalet,False,nan
4,Madrid,196.0,True,False,{'title': 'Terraced house in Rio Henares'},False,4,True,nan,False,57,nan,es,nan,415000.0,101421863,40.5539487,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"ESFERA INMUEBLES sells a high quality semi-detached house. House with 8mx4m pool, in one of the best valued areas of the town of Meco, exclusive common areas, paddle tennis courts, tennis, soccer, two swimming pools, picnic area, area for celebrations and celebrations in a room close to 120m2 and gardens with umbrellas and hammocks. The house has been renovated to taste and detail with the best qualities, double PVC and RPT windows. Stoneware floors, marble on stairs to access floors and platform. Built-in wardrobes in all bedrooms, large dressing room in the double bedroom. Natural gas heating and hot/cold air pump in all rooms. Front patio of 120m2 with swimming pool and barbecue. Covered porch of 60m2 in oak wood, tile and brick with aluminum enclosure, stoneware flooring. Brick and wood bar counter. Bars on windows and access to housing. Separation walls and front wall of the house in limestone. Awnings in bedrooms on the middle floor. Oak wood furniture, not included in the price. The house is distributed as follows: -Low level. Floored front patio, separation with detailed construction railing, excellent led lighting. Double entrance access to the covered porch with bar and dining room. -Distribution hall, on the left is an L-shaped kitchen with a table for 5 people. -On the right hand side there is a spacious living room with a dining area and a rest area with access to the covered porch. -Next there is a guest toilet. -Medium floor. Hall with an elongated distribution in which there are two bathrooms with a bathtub on each of the opposite sides, in between there are 3 bedrooms with built-in wardrobes. -Top floor. Large double suite with carpeted floor, large dressing room, detailed bathroom with Jacuzzi. South orientation. Request a visit, welcome to your new home.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2117.0,https://www.idealista.com/inmueble/101421863/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/fc/f9/1172560830.jpg,RIO HENARES,False,-3.3184492,Meco,nan,chalet,False,nan
1,Madrid,110.0,True,False,{'title': 'Flat'},False,3,False,True,False,11,05519,es,True,144000.0,103840926,40.5488433,False,nan,sale,nan,"Spacious apartment in Meco, Madrid, ideal for families. The property consists of 110 m² distributed in 3 bedrooms, living room, kitchen and 1 toilet. Located in the center of Meco, in its surroundings we find the MIMOS CHILDREN'S SCHOOL, supermarkets, banks, libraries, pharmacies, post offices, sports centers and bus stops. With easy access to M-121.",False,{'typology': 'flat'},good,1309.0,https://www.idealista.com/inmueble/103840926/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/2a/a2/1202910547.jpg,Meco,False,-3.3225059,Meco,1,flat,False,nan
1,Madrid,685.0,True,False,{'title': 'House'},False,1,False,nan,False,69,EG5938,es,nan,405000.0,103744148,40.5536561,False,nan,sale,nan,"Here you can build the home of your dreams! Alcalá real estate offers you exclusively, a fantastic house with a 602m2 plot with a construction project for a building of two duplex homes with parking spaces, located in the center of Meco, 10 minutes from Alcalá de Henares.With approved construction license and ready to execute.Ideal investors. Very well connected and with easy access via the N-II highway, all public services, supermarkets, doctors, schools, buses, etc.COME VISIT IT!  Call us and we will inform you about everything for free. Meters of the home collected and contrasted according to cadastre/registry. This announcement is not binding and may contain errors.It is shown for informational purposes and is not contractual.The sales prices do not include legal taxes or deed expenses.",False,{'typology': 'chalet'},good,591.0,https://www.idealista.com/inmueble/103744148/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/fc/72/1198836460.jpg,Meco,False,-3.3268208,Meco,nan,chalet,False,nan
2,Madrid,60.0,False,False,{'title': 'Duplex'},False,2,False,True,False,17,Calle Del Prado,es,False,135000.0,103876201,40.5518611,False,nan,sale,nan,"TECNOCASA REAL ESTATE AGENCY IN MECO SELLS CENTRAL DUPLEX APARTMENT. The building is in a good location with nearby supermarkets and just 5 minutes walk from the center with all kinds of services nearby. On the ground floor there is a fairly bright living-dining room due to its unbeatable orientation, a large kitchen with space for a table and chairs, and a large bathroom with a bathtub. On the second floor there are two bedrooms, one of them with built-in wardrobes. The bathroom in common with the bedrooms has a double sink and shower tray. The house has an unbeatable orientation. Possibility of 100% financing with our Kiron financial department.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2250.0,https://www.idealista.com/inmueble/103876201/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/9f/27/1202928197.jpg,Meco,False,-3.3263918,Meco,1,duplex,False,nan
3,Madrid,215.0,True,False,{'title': 'Terraced house in Calle baltasar gracian'},False,3,False,nan,False,5,4418,es,nan,271000.0,103738581,40.5551052,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INVESTMENT OPPORTUNITY PROPERTY FROM FORECLOSURE WITHOUT POSSESSION! Impossibility of internal visit. The photographs may not correspond to the current state of the property. The price of the property has been set considering that the property is acquired by the buyer in an occupied state, so said price would not apply if at the time of formalization of the public deed the property was free of occupants. Corner semi-detached house for sale in Meco The 190m2 house is distributed over three floors. Ground floor with living room, kitchen, toilet and garage. Free garden between rear and front of approximately 130 m2 First floor is distributed in three bedrooms and two bathrooms. Finally we find the attic of about 36 m2. It is located in the heart of Meco. In its surroundings we find schools, supermarkets, banks, libraries, pharmacies and sports centers. In terms of accessibility, the property has multiple connections and has easy access to M-121. Be sure to call us and consult the special sales conditions of this type of homes.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",renew,1260.0,https://www.idealista.com/inmueble/103738581/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/d6/ae/1198670455.jpg,Calle baltasar gracian,False,-3.3245808,Meco,nan,chalet,False,nan
3,Madrid,133.0,False,False,{'title': 'House'},False,3,False,nan,False,75,EG5903,es,nan,239900.0,103359259,40.5539369,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Alcalá real estate presents this detached house in the central area of Meco distributed over 2 floors and has 133 meters built, garage and storage room On the ground floor we find a glazed hall, kitchen furnished with basic appliances, guest toilet, large living room with access to the backyard. On the 1st floor there are 3 bedrooms (with built-in wardrobes) and 2 bathrooms. Antique year 2003, heating and hot water with natural gas, white aluminum double glazed windows, wooden and stoneware floors, good conservation The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses..",False,{'typology': 'chalet'},good,1804.0,https://www.idealista.com/inmueble/103359259/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/97/a9/1187009959.jpg,Meco,False,-3.3279921,Meco,nan,chalet,False,nan
