bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
2,Madrid,178.0,True,False,{'title': 'Flat in Calle del Arco'},False,3,True,True,False,47,N02-AO1-14139,es,True,103690327,170000.0,40.3983034,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"****BARE PROPERTY SALE ******INVESTMENT OPPORTUNITY: PROPERTY FOR SALE IN PLAZA DE ESPAÑA, MEJORADA DEL CAMPO, MADRID� This property represents an excellent opportunity for investors, located in the heart of Mejorada del Campo, which guarantees easy access to all services in the area. �This property stands out for its spaciousness, excellent state of conservation and luminosity, making it an attractive option for investors.(I.e. The distribution of the house is organized around a main patio of 20 m2, accessible from the kitchen and living room.It offers 3 double bedrooms, the main one being en-suite and another with a 10 m2 terrace.In addition, it has 2 full bathrooms, one with a shower and the other with a bathtub. In terms of quality, it has built-in and dressed wardrobes in the 3 bedrooms, the windows are double glazed, the flooring is wooden, wooden carpentry and it has heating and hot water using natural gas. Located on the first floor with an elevator, the property offers direct access to a large garage space that includes space for a large car and a motorcycle, along with a spacious storage room, all included in the price. ""GET TO KNOW IMPROVED FIELD"" With a population of around 25,000 inhabitants, Mejorada del Campo is a town that has experienced a balance between urban growth and the conservation of its traditional character, it is located just 20 km from the center of Madrid.10 minutes from the neighborhoods of Vicálvaro, Rivas and Vallecas, the location offers quick access to large commercial and leisure areas with public transport services such as Metro, Renfe and urban buses that connect with Madrid.In addition, it is strategically located near the R3 highway and the M-50. The bus lines that connect the town with the capital include 280 (Hospital del Henares), 282 (Avda.América), 341 (Conde Casal), 340 (Torrejón de Ardoz), and 285 (Arganda). The area has a wide range of services, such as restaurants, supermarkets, pharmacies and schools, providing a complete experience for residents. Mejorada del Campo offers a solid educational offer with 5 public schools, 2 public institutes, several daycare centers and academies that offer extracurricular activities.In addition, it has a health center and emergency services. In terms of sports, the town has numerous facilities for practicing various sports, which adds additional attractiveness to this property. In short, Mejorada del Campo offers a combination of urban amenities, convenient access to essential services and a quieter environment compared to the hustle and bustle of the city.Its history, strategic location and well-established services make this town an attractive option for those seeking a balance between urban life and residential tranquility. ***NOTE**** Meaning of bare property Bare ownership is a legal concept that refers to the right of ownership over an asset but without the right to use or enjoy it.That is, it is defined as the ownership of an asset without possession or the right to enjoy it during a specific period of time. In other words, the person who owns the bare property cannot use or enjoy the asset in question while it is in the hands of the usufructuary.In this situation, for the purposes, it is the person who has the right to use and enjoy it. �Don't miss the opportunity to invest in this unique property with all the amenities it offers. �Contact us for more details and to schedule a visit!",False,{'typology': 'flat'},good,955.0,https://www.idealista.com/inmueble/103690327/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/3a/64/1197194520.jpg,Calle del Arco,False,-3.4896116,Mejorada del Campo,1,flat,False
2,Madrid,97.0,True,False,{'title': 'Flat in Calle Santa Rosa'},True,3,False,True,False,68, 3501-06637,es,False,103863440,141000.0,40.3943211,False,nan,sale,nan,"We present this wonderful apartment with three bedrooms and two bathrooms in the quiet Madrid town of Mejorada del Campo. The apartment is located on Calle Santa Rosa, in a residential, quiet area that has all services just a few minutes away. A property with many possibilities that has a wonderful distribution, which makes its 97 square meters a very usable space. The house is located on a third floor, which we will access by stairs with spacious and warm landings. As we enter the house, we are welcomed by the hall-hall that gives access facing the kitchen, on the left is the first bathroom and facing the kitchen is the living room. The kitchen has a very considerable space, both in its length of almost six meters and in its width of five.It is adequately furnished on both walls with countertops and drawers and has practically all the appliances: refrigerator, oven, taps, ceramic hob and extractor hood. The first bathroom is a good size, it has a toilet unit and a shower that enjoys natural light thanks to its windows that overlook the interior patio. The living room is truly wonderful, large, open and clear.It has varnished wooden furniture that gives it a very elegant touch.It also has a closet with mirror doors that multiply the size of the living room in depth. Continuing through the living room we connect with the terrace of the house through fully movable sliding windows. What can we say about the terrace... a wonderful space where you can breathe absolute tranquility.You can watch the arriving and departing planes pass by, contemplating the beautiful views of the town of Mejorada and the fantastic Cathedral of Justo Gallego. Leaving the hall-hall behind, we continue through the main hallway of the house.Which distributes the three rooms that this property has in addition to the second bathroom. To the left of the hallway is the second bathroom.Following on the left is a first bedroom, at the end of the hallway we reach the second bedroom and finally on the right is the main room. The second bathroom is larger than the previous one, it has a beautiful toilet unit decorated in pink as well as a toilet, bidet, and bathtub.Illuminated by natural light it is very spacious and cozy. The first of the bedrooms has a north-west facing space, has a radiator and views of the community's interior patio. The second bedroom is practically identical to the first and with very well preserved finishes. The room - master bedroom is wonderful.Large, illuminated and with inspiring views.It has double windows and a built-in wardrobe with mirror doors. The house is in ideal condition to move into.The floor is stoneware, the installation is Natural Gas and all rooms have radiators. The area is well connected to larger population centers such as Rivas-Vaciamadrid, Arganda del Rey, Alcalá de Henares or Madrid itself. The apartment is owned by the Bank. 100% FINANCING is granted for mortgages.(No extra costs in the application) The buying and selling process is by bidding. The specific data about the published property may be approximate, therefore they are not binding, they are shown for informational purposes. Taxes and expenses NOT INCLUDED: ITP or VAT, Notary, Registry, agency, Appraisal, etc…. Book your appointment to come see it during our extensive hours, including weekends.",False,{'typology': 'flat'},good,1454.0,https://www.idealista.com/inmueble/103863440/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/41/c9/1202528609.jpg,Calle Santa Rosa,False,-3.4912765,Mejorada del Campo,3,flat,False
3,Madrid,268.0,True,False,{'title': 'Terraced house in Ciudad De Bruselas'},False,5,True,nan,False,56,ECDH23BRU,es,nan,102915120,349900.0,40.3991208,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Inmobiliaria Corredor del Henares offers you this magnificent villa exclusively. It is a villa in a very central area of Mejorada del Campo. It is very close to the health center, Henares school, shopping area and bus stop. There are 114 m2 of patio that are divided into a rear patio of 64 m2 and a front patio (including terrace) of 50 m2. The 268m2 of the house are distributed over 4 floors: * Basement: Garage, auxiliary room, a large gym room, games room, etc. First floor: Large living-dining room with both very different environments. It has a fireplace with a cassette, a large, equipped and furnished kitchen. In the kitchen, its large window stands out. Complimentary toilet. Finally, from the living room you will have access to the backyard. * Second Floor: Three bedrooms (previously there were four), two full bathrooms (one of them en suite) and terrace in the main room. Boardilla: It has been renovated and is currently used as a room with its own living room. * Regarding the qualities of the home, it has natural gas heating, air conditioning in the living room, master bedroom and attic, double glazed sliding or sliding windows, and a mosquito net. Fireplace in living room, electric garage door, automatic blinds, updated bathrooms and kitchen, possibility of expanding the garage, communal swimming pool. If you are looking for a villa in a magnificent area and of high quality, do not hesitate, CALL US!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1306.0,https://www.idealista.com/inmueble/102915120/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/e0/ba/1171638820.jpg,CIUDAD DE BRUSELAS,False,-3.4822173,Mejorada del Campo,nan,chalet,False
4,Madrid,237.0,True,False,{'title': 'Terraced house'},False,4,True,nan,False,55,nan,es,nan,103505603,390000.0,40.3952537,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Welcome to HISMAD REAL ESTATE MANAGEMENT! We present our villa for sale located in Mejorada del Campo, with an area of 237m2 and a plot of 130m2. In the basement, we find a garage for 3 cars and a bathroom, with the convenience of an automatic entrance door. On the ground floor, the fully furnished kitchen and the separate living room welcome us, as well as a terrace and a large bedroom with a bathroom. On the 1st floor, we find 3 bedrooms, one of them with a bathroom, and another bathroom for the remaining two bedrooms. It also has large built-in wardrobes and another closet in the large hallway. On the 2nd floor, we find a fully finished attic with 4 Velux windows. The plot has a gazebo and a tiled floor, as well as a large storage room. The area is very convenient, since it is close to the shopping center and nearby schools. Don't think twice and come visit it!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1646.0,https://www.idealista.com/inmueble/103505603/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/cb/c3/1191625828.jpg,Mejorada del Campo,False,-3.475799,Mejorada del Campo,nan,chalet,False
4,Madrid,436.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,75,ATR-GV611,es,nan,103053394,595000.0,40.3907269,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","WE DO NOT CHARGE FEES TO THE BUYER ATRAE INMOBILIARIA sells spectacular independent villa in Mejorada del Campo. The property consists of 436 m built according to cadastre on an urban plot of 557 m distributed over three floors, with high quality finishes and great spaciousness. On the main floor we find a stately entrance hall, a large living room with access to a cozy covered porch, a double bedroom, a kitchen with a glazed dining room and a full bathroom. The first floor has three double bedrooms and a bathroom. It also has an impressive master bedroom with en-suite bathroom, separate dressing room and a terrace with beautiful views of the garden. The bedrooms are accessed through a very bright hallway thanks to magnificent high-quality white windows. All rooms have built-in wardrobes, smooth walls, wooden floors and white lacquered doors. The semi-basement floor has a large multipurpose room, a toilet, laundry room and garage with capacity for several cars. The house has several accesses to the garden where we find a wonderful swimming pool and a quiet barbecue area. The location is unbeatable, with all types of services and public transport just a few meters away, enjoying exceptional tranquility.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1365.0,https://www.idealista.com/inmueble/103053394/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/8b/41/1177155723.jpg,Mejorada del Campo,False,-3.4899527,Mejorada del Campo,nan,chalet,False
3,Madrid,160.0,False,False,{'title': 'Terraced house in Avenida concordia'},False,4,True,nan,False,31,nan,es,nan,101243724,311900.0,40.3990373,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INMOVELILLA exclusively presents this opportunity, in Mejorada del Campo. It is located on the most central street, the main artery to access any point in the town. The house has a front patio, and access to it where we find a glazed leisure space, and conditioned for both cold and heat, with a double glazed enclosure. We enter the interior of the house through an armored door. Once inside, on the left we have the furnished kitchen. A large glazed hall, and a service toilet. The door to the large living room is L-shaped, and from there we go out to the backyard of the house. Note that the door is double, avoiding cold and heat. On the second floor, we find three bedrooms with lined and dressed built-in wardrobes, and a complete bathroom, where it should be noted that it has a bathtub and a shower tray. In the basement, they currently adapted it as an apartment, so it has a kitchenette and a full bathroom with a shower, bedroom, and dressing room. Originally this floor was intended to be its garage. Mejorada del Campo, is a town very close to the Capital, it is only 20 km away. Public transport has its headquarters on Avda. América, and in Conde de Casal, there are also other bus lines that link this town with those around it, such as Torrejón de Ardoz, and San Fernando de Henares. The cultural offer is very varied, there are all kinds of facilities, where private classes are taught, in Theater, subject reinforcement, English, etc.. . It has all types of sports facilities, offering its inhabitants different sports (heated pool, summer pool, tennis courts, paddle tennis courts, soccer courts, etc... ) It has two institutes, and 5 public schools. Agency fees and taxes not included in the price. If you need financing we have a financial department, which can get 100% financing (always subject to conditions) We are located on Calle Mayor Nº3 in Velilla de San Antonio.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1949.0,https://www.idealista.com/inmueble/101243724/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/7b/58/1122376627.jpg,Avenida concordia,False,-3.4864504,Mejorada del Campo,nan,chalet,False
1,Madrid,81.0,True,False,{'title': 'Flat in Francisco de Goya'},True,3,False,True,False,25,4302,es,False,101823449,120000.0,40.3910902,False,nan,sale,nan,"INVESTMENT OPPORTUNITY PROPERTY FROM FORECLOSURE WITHOUT POSSESSION! Impossibility of internal visit. The photographs may not correspond to the current state of the property. The price of the property has been set considering that the property is acquired by the buyer in an occupied state, so said price would not apply if at the time of formalization of the public deed the property was free of occupants. Apartment for sale in Mejorada del Campo, The house has a constructed area of 81 m² distributed in three bedrooms, one of them with a built-in wardrobe, a living-dining room with access to a glazed terrace, a fitted kitchen and a bathroom with a bathtub with a screen. It is located in the heart of Mejorada del Campo, in its surroundings we find the Bichejos Children's School, supermarkets, banks, libraries, pharmacies, post offices, sports centers and several bus stops. It has easy access to M-208. Call us to receive information.",False,{'typology': 'flat'},renew,1481.0,https://www.idealista.com/inmueble/101823449/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/03/65/1134967064.jpg,Francisco de Goya,False,-3.4858608,Mejorada del Campo,1,flat,False
6,Madrid,450.0,False,False,{'title': 'Estate'},False,5,False,nan,False,64,nan,es,nan,102611095,270000.0,40.411124,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"FINCAS QUIÑONES offers this wonderful rustic property in the private area of ​​the Villaflores urbanization. This property consists of approximately 2000 m of plot, all closed with a wall. The farm is a beautiful room very well distributed to enjoy the natural environment that this urbanization offers. At the entrance we find the orchard area and garden to decorate as you wish.Everything is made of printed concrete, very comfortable and easy to care for. The house is a comfortable house with three floors and a large front porch that makes sunsets ideal. On the first floor, we find a large hall that can be used as part of the living room or leave a large open space from which we access the large living room with a fireplace and two windows that overlook the garden, with good orientation. Next we find the very well-kept kitchen with appliances, and a laundry and storage area. We find two very large and comfortable suite-type rooms with large built-in wardrobes, ideal for any type of family. On this floor we find a toilet and another room that can be used as an office or as needed. On the second floor we find two large suite-type rooms with large bathrooms, very bright and with large built-in wardrobes, large windows. On this floor we find a large open-plan living room ideal for celebrations and parties, or to make a gym, with a bar area with a bar, a terrace. In the basement area we find a garage for 6 vehicles, and a storage area, in this area it is also ideal for having parties, you also have a bathroom, the boiler room. The rear part of the property has a swimming pool and jacuzzi, a covered and prepared porch with an outside kitchen.A great area to have parties and enjoy with friends. The house is ideal for a large family, with many rooms, large spaces, very bright since it has all orientations as it is an independent house. The house is built with top quality materials, exposed brick, bars throughout the house, stoneware floors and marble stairs.Wooden doors, on the ground floor it has electric blinds, smooth walls, gray doors on the top floor. A beautiful and very large house for a large family. The farm is on rustic land, it cannot be financed, electricity and water, private security and access control. An undivided portion of the land is sold, the house does not appear in the deeds, the land is sold, ask for better information about the situation of these lands.",False,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",good,600.0,https://www.idealista.com/inmueble/102611095/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/0c/f0/1161246806.jpg,Mejorada del Campo,False,-3.4450614,Mejorada del Campo,nan,countryHouse,False
4,Madrid,465.0,True,False,{'title': 'Detached house in Avenida Reja Grande'},True,7,False,nan,False,91,BFP-V1115,es,nan,101657255,840000.0,40.3885572,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"WE DO NOT CHARGE THE BUYER AUTHOR HOUSE FOR SALE Do not miss visiting this wonderful single-family home built in the year 2000 with the best exterior and interior qualities. Cadastrally there are 465 m2 built on 3 floors on a plot of almost 800m2. The 3 floors are distributed in: Main Floor: consists of different environments created by integrating the living room, kitchen, cinema area, living area with fireplace, conservatory porch and gazebo. First Floor: 4 bedrooms with shared bathroom and a suite room. Ground floor that has two entrances from the house and from the garden, has an apartment with a fitted kitchen and bathroom. Garage and toilet, cellar and boiler room. Details: Pool, garden with professional maintenance, oil heating, hot and cold air conditioners in all rooms, automatic irrigation, awnings and motorized doors. Visiting is recommended. Do not miss it. POSSIBILITY OF EXCHANGE WITH HOUSING WITHIN THE M30.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1806.0,https://www.idealista.com/inmueble/101657255/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/f4/59/1129403722.jpg,Avenida Reja Grande,True,-3.4884381,Mejorada del Campo,nan,chalet,False
1,Madrid,77.0,False,False,{'title': 'Flat'},False,3,False,False,False,15,nan,es,False,103871596,136000.0,40.3978735,False,nan,sale,nan,"MEJORADA DEL CAMPO real estate agency. TECNOCASA office sells: Are you looking for a bright home with an exclusive location? This is your home. Housing located in the Urb. La Quinta, one of the quietest areas of Mejorada del Campo. Composed of 3 bedrooms, 1 full bathroom, kitchen with drying terrace, spacious and bright living room with access to the terrace. -Communal swimming pool. -Central heating. -Common areas (gardens, basketball and soccer courts). It is located in a neighborhood with all the necessary services for your daily life and don't forget, we can help you with our KIRON financial department, obtaining up to 100% financing. INFORM YOURSELF ABOUT THE CONDITIONS AT OUR OFFICE LOCATED AT C/ ENRIQUE TIERNO GALVAN Nº7, LOCAL 2. DO NOT DOUBT TO CALL ME!",False,{'typology': 'flat'},good,1766.0,https://www.idealista.com/inmueble/103871596/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/30/bb/1202775541.jpg,Mejorada del Campo,False,-3.4857773,Mejorada del Campo,bj,flat,False
