bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
5,Madrid,1042.0,True,False,{'title': 'Detached house'},True,7,False,nan,False,37,DP189489,es,nan,1150000.0,102590024,40.8112236,False,nan,sale,nan,"Sale of a completely renovated mansion in the center of Miraflores de la Sierra. Gilmar Villalba sells a large 1,042 m2 mansion on a 2,540 m2 plot in the center of town, ideal for exploitation as a business, ideal for a rural house but has multiple possibilities. It has been completely renovated with the best qualities since it was meant to live. It is spread over 4 large floors. It has 7 bedrooms although you can take more in the attic. Its location is perfect since it is in the same urban area of Miraflores with the shops next door, just 3 minutes from the Town Hall. and regular buses next door. A GREAT BUSINESS OPPORTUNITY TO START EXPLOITING. ! DISTRIBUTION: BASEMENT: LARGE STONE CELLAR GROUND FLOOR: LARGE LIVING-TYPE PORCH, TOILET, LIVING ROOM WITH FIREPLACE AND DINING ROOM. 15M2 KITCHEN, BATHROOM AND OFFICE FIRST FLOOR: TWO BEDROOMS THAT SHARE A BATHROOM, TWO BEDROOMS THAT SHARE A BATHROOM, TWO BEDROOMS THAT SHARE A BATHROOM, HALL, DRESSING ROOM AND MASTER CHARACTERISTICS: Interior carpentry: wood Exterior carpentry: pvc Heating: brand new diesel tank. Comprehensive reform. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of existence, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1104.0,https://www.idealista.com/inmueble/102590024/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/d5/ce/1163383763.jpg,Miraflores de la Sierra,False,-3.7641709,Miraflores de la Sierra,nan,chalet,False
2,Madrid,100.0,True,False,{'title': 'Duplex'},False,2,True,True,False,21,113008,es,True,185000.0,86760095,40.8118428,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"! MAGNIFICENT DUPLEX IN MIRAFLORES DE LA SIERRA! In the urban area of Miraflores de la Sierra, this beautiful duplex is sold to enter to live, with spectacular views and of the year 2009. It is a second floor with elevator of a two-storey building. The house has a garage with space for car and motorcycle. On the first floor we have an entrance with built-in wardrobe, toilet, kitchen and living room of twenty-two square meters. The second floor is accessed by an oak staircase, (very bright as it has a window), and in it we have the two double bedrooms with two built-in closets each and a full bathroom that serves the two rooms. The rooms are very bright, since apart from velux windows they also have normal windows. The windows of the house are double glazed aluminum double glazed. The doors are cherry wood. The roof is made of double chamber insulated tile with polyurethane, the roofs on the top floor are made of wood. The house has piped gas with aluminum radiators and waterproof boiler. IF YOU WANT TO HAVE A HOUSING IN ONE OF THE MOST BEAUTIFUL PEOPLES OF THE SIERRA DE MADRID, IN FULL NATURE, THIS IS YOUR OPPORTUNITY. Miraflores de la Sierra. Reference 113008.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,1850.0,https://www.idealista.com/inmueble/86760095/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/3e/6a/1102997865.jpg,Miraflores de la Sierra,False,-3.7691815,Miraflores de la Sierra,2,duplex,False
3,Madrid,360.0,True,False,{'title': 'Semi-detached house in Avenida Luz'},True,5,True,nan,False,79,nan,es,nan,360000.0,100286251,40.8092755,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"B2V InmobiliariA sells exclusively. Enrique Vallinas Lazaro Pablo Batres Fantastic villa in Miraflores de la Sierra of traditional construction, with impressive views of the San Pedro hill and the Guadalix valley. The house is divided into three floors: Main floor -Large living room with fireplace and access to the terrace -Large kitchen in rustic style and with access to the terrace -3 rooms, 1 of which currently serves as an office and the other 2 are bedrooms, one of which incorporates an en-suite bathroom with a shower. -2 full bathrooms with shower, one in the room and the other that serves the rest of the floor top floor -2 large rooms -full bathroom with bathtub lower floor -Large garage for several vehicles and direct access to the house -Small kitchen ideal for meetings and celebrations in the lower part and in the garden. -Large room currently dedicated to a living room with a small cellar, perfect for your celebrations and family gatherings. The house is heated with gas heating, we have PVC windows with Climalit with thermal break. The rooms have fitted wardrobes, dressed inside. MIRAFLORES OF THE SIERRA Spanish municipality in the north of the Community of Madrid. It is located 49 km from Madrid, on a south-facing slope of the Central System. The highways and paths of the ports of Canencia and La Morcuera start from the town. Famous for its fountains, Miraflores has excellent recreational areas to enjoy all its splendor, such as the Fuente del Cura or the San Blas humilladero. As far as the center is concerned, we can walk through it and discover some of the most representative buildings and symbols such as the Plaza del Álamo, one of the areas with the greatest commercial and gastronomic activity. Next is the church, a temple consecrated to the Assumption of Our Lady, the first temple dates from the 15th century and during the following centuries successive extensions and modifications have been carried out, in addition to the Town Hall and the building of the house of culture. It has a bus line that connects this municipality with others around it and with the Plaza de Castilla Interchange. Line 725: Madrid (Plaza de Castilla)-Miraflores-Bustarviejo-Valdemanco Enrique Vallinas Lazaro Pablo Batres Do not miss the video that is included in the publication For more information or to make a visit, get in touch.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1000.0,https://www.idealista.com/inmueble/100286251/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/86/6d/1076389877.jpg,Avenida LUZ,False,-3.7629874,Miraflores de la Sierra,nan,chalet,False
2,Madrid,123.0,False,False,{'title': 'Flat in Paseo de los Álamos'},False,3,True,True,False,19,93515975,es,False,160000.0,96627454,40.8119548,False,nan,sale,nan,"IFRALA real estate sells in Miraflores de la Sierra a great duplex located in the urban area. Central, spacious, bright, with an elegant terrace with beautiful views of the most picturesque street in the town and in the middle of the Madrid mountains just 40 minutes from the big city. The house has three bedrooms, kitchen, two full bathrooms, spacious and bright living room, living room, office and large solarium terrace. On the first floor we find a large fully furnished kitchen, office area and a covered and glazed terrace very comfortable to use as a pantry clothesline where the gas heating boiler is located. We continue on the first floor with a bedroom, full bathroom and a very large, bright and well-distributed living room, from which, going up an elegant spiral staircase, we access the second floor. On the second floor, a large attic living room gives us access to two bedrooms, an office with the possibility of other uses, a bathroom and a large terrace with beautiful views of both the most picturesque and idle area of the town as well as its mountains and nature The entire house has PVC windows with excellent quality and both thermal and acoustic insulation. Just 5 minutes walk from the interurban bus stop with a link to Plaza Castilla (Madrid) Do not wait any longer to make that visit that can change your life and at IFRALA we will be delighted to make your dreams come true!",False,{'typology': 'flat'},good,1301.0,https://www.idealista.com/inmueble/96627454/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/42/d9/1197740353.jpg,Paseo de los Álamos,False,-3.7691164,Miraflores de la Sierra,2,flat,False
2,Madrid,397.0,True,False,{'title': 'Detached house in Calle Toribia'},False,5,False,nan,False,43,8349PV-AM,es,nan,443700.0,103281851,40.8103277,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This country house is at Calle Toribia, 28792, Miraflores de la Sierra, Madrid. It is a country house that has 397 m2 and has 5 rooms and 2 bathrooms. It is bohemian property. Besides, it includes private bathroom, barbacoa, alarma, porche, terrace, garage included, warehouse, smoke extractor, parking space for car and motorcyle, concrete structure, luminous, centrally located, a pie de calle, furnished, individual natural gas heating, rooftop, cocina amueblada, singular, natural gas, jardín, cama doble, adosado, south orientated, townhouse, outside, insurance, wardrobe, good condition, disabled access, tv antenna, smooth walls, parking space for large car, mountain views, wifi, wine cellar, storage room included, parquet floor, floor tiles, stairs, patio, luggage storage room, urban, security door, building with parking lot, equipped kitchen, central gas heating, windows climalit, electric heat and puerta blindada.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1118.0,https://www.idealista.com/inmueble/103281851/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/3b/2b/1184361176.jpg,Calle Toribia,False,-3.7640697,Miraflores de la Sierra,nan,chalet,False
6,Madrid,853.0,True,False,{'title': 'Detached house in San Pedro'},True,10,False,nan,False,123,CHALET MIRAFLORES,es,nan,893000.0,99092183,40.8147624,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","^**^ LUXURY HOUSE IN MIRAFLORES, IN AN EXCLUSIVE AREA AND WITH THE BEST VIEWS IN ALL OF MADRID^**^ A GREAT OPPORTUNITY, DESIGN AND QUALITY OF LIFE IN A UNIQUE ENVIRONMENT^**^ This design property has a 2,325 square meter plot with a spectacular garden and 853 m2 of house distributed in 3 buildings. It has 2 independent entrances and has a heated pool, porch and a caretaker's house with a living room, bedrooms, bathroom and kitchen. There is a third building for storage use. The main house is distributed over 2 floors; the first with an independent bedroom and bathroom area, together with a large kitchen, toilet, dining room and 2 living rooms with direct access to the garden and the porch. And a second floor with a beautiful hall that divides two areas; the first independent from the rest with a master bedroom, dressing room, living room and bathroom en suite; and a second with access to 4 bedrooms (one of them with a terrace), 3 bathrooms and fitted wardrobes. On the ground floor we find two living rooms with dining room, cellar, storage room, toilet, kitchen, laundry room and a separate area with 2 bedrooms with terrace and 1 bathroom. From the living room you can enjoy privileged views of the northern mountains of Madrid. With large windows, an excellent location and great distribution possibilities. This property has been built to the highest standards and is ideal for a large family or for tourist/rural business use. It is all exterior, very bright, with high ceilings and wide doors. The entire house is completely isolated. The heating system works by Gasoil. Its access is suitable for people with disabilities. It has interior and exterior garage for 8 places, security door and alarm system around the property. There's no comunity charges. IBI: €1,512.75 in 2 installments/year. Garbage: €100/year. Unbeatable location. Good communication with transport: Bus: 725. Taxi Miraflores C. Padre Ribero, 5. Opening soon of the RENFE Cercanías train. Schools: San Pablo School, CEIP Miraflores, Vicente Aleixandre School. Carrefour Market shopping center, Carrefour express, UNIDE. Miraflores municipal swimming pool and gym. Without a doubt, a great opportunity to improve your quality of life, live in a unique property and enjoy yourself in a quiet and familiar area in the north of Madrid. WE DO NOT CHARGE FEES TO THE BUYER. RE/MAX is the largest national and international real estate agency. We have been working since 1973 and are present in 110 countries, having a network of 160 agencies and more than 2,500 real estate advisors in Spain. We advise you and guarantee the legal certainty you need and the best financial-fiscal profitability. *This ad is not binding and may contain errors. It is shown for informational purposes and is not contractual.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1047.0,https://www.idealista.com/inmueble/99092183/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/80/a6/1033992279.jpg,San Pedro,True,-3.7591555,Miraflores de la Sierra,nan,chalet,False
3,Madrid,200.0,False,False,{'title': 'Terraced house in Calle Sierra'},False,3,False,nan,False,11,nan,es,nan,265000.0,102111539,40.8125789,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Semi-detached house for sale from September with a large garage for two cars with a toilet and cellar. Main floor: Large dining room with fireplace, full bathroom, equipped kitchen and backyard. First floor: three bedrooms, one of them very spacious with fitted wardrobes and a full bathroom. Freshly painted villa, in the urban area, quiet area. 6 cylinder propane heating. August rental price: €2200 Sale price: €265,000.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1325.0,https://www.idealista.com/inmueble/102111539/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/c8/62/1144639077.jpg,Calle SIERRA,False,-3.761165,Miraflores de la Sierra,nan,chalet,False
1,Madrid,78.0,True,False,{'title': 'Flat in Calle Eusebio Guadalix'},True,2,False,True,False,15,4239,es,True,158000.0,100508229,40.8159328,False,nan,sale,nan,"Magnificent apartment for sale in Miraflores de la Sierra. It is located in the downtown area of the town, close to restaurants, supermarkets, schools, a service station and the Plaza de España. 78 m2 apartment, distributed in 2 bedrooms with a/c, 1 full bathroom with bathtub, large separate living room, fitted kitchen and terrace. This town also has a good connection to the A-1 highway in Madrid. The house is located inside the building on the second floor, but it has an elevator. Do not miss this opportunity and call us to visit it 100% financing, request information!",False,{'typology': 'flat'},good,2026.0,https://www.idealista.com/inmueble/100508229/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/56/42/1090013428.jpg,Calle Eusebio Guadalix,False,-3.7655379,Miraflores de la Sierra,2,flat,False
3,Madrid,158.0,True,False,"{'title': 'Detached house in Urbanización Parque Miraflores - Calle Miguel Hernandez, 5'}",False,3,False,nan,False,37,1,es,nan,330000.0,96799730,40.80084,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Detached villa of 158.10m2 built on two heights (18.55 m2 of porches not included), on a plot of 411m2. The ground floor consists of: entrance hall, kitchen with pantry, toilet, and living room with fireplace and porch to the garden as well as closed garage. The first floor consists of: master bedroom with terrace and bathroom with hydromassage column. Another bathroom and two more bedrooms, one of them with terrace. Beautiful views of the mountains. All bedrooms have wood-lined wardrobes. Kitchen equipped with furniture, ceramic hob, oven and hood. Hot water and heating by propane gas boiler channeled throughout the urbanization with individual meter. Home automation equipment with alarm, connection and disconnection of heating and irrigation from the mobile, remote.",True,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",newdevelopment,2089.0,https://www.idealista.com/obra-nueva/96799730/,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/a7/1a/171438139.jpg,"Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",False,-3.76542,Miraflores de la Sierra,nan,chalet,False
3,Madrid,174.0,True,False,"{'title': 'Semi-detached house in Urbanización Parque Miraflores - Calle Miguel Hernandez, 5'}",False,4,False,nan,False,38,2,es,nan,305000.0,96799853,40.80084,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Semi-detached house of 174.20m2 built on two heights (28.43 m2 of porches not included), on a plot of 436.98m2. This villa is joined with the neighbor in the garage wall only. The ground floor consists of: entrance hall, kitchen with pantry, toilet, bedroom-office and living room with fireplace and porch to the garden as well as closed garage. The first floor consists of: master bedroom with terrace and bathroom with hydromassage column. Another bathroom and two more bedrooms, one of them with terrace. Beautiful views of the mountains. All bedrooms have wood-lined wardrobes. Kitchen equipped with furniture, ceramic hob, oven and hood. Hot water and heating by propane gas boiler channeled throughout the urbanization with individual meter. Home automation equipment with alarm, connection and disconnection of heating and irrigation from the mobile, remote.",True,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",newdevelopment,1753.0,https://www.idealista.com/obra-nueva/96799853/,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/c8/ff/171439751.jpg,"Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",False,-3.76542,Miraflores de la Sierra,nan,chalet,False
