bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
2,Madrid,215.0,True,False,"{'subtitle': 'Zona Polideportivo Colonia, Moralzarzal', 'title': 'Detached house in Calle sur'}",True,3,False,nan,False,27,CE184969,es,nan,390000.0,101093456,40.674771,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar sells an independent villa located just 10 minutes walk from the center and the bus stop, in one of the best areas of Moralzarzal that is also very quiet. Flat plot of 400 meters with barbecue, driveway to park two cars in the garage, and the street does not have any parking problems. DISTRIBUTION: MAIN FLOOR: Hall with built-in wardrobes, large living room with fireplace, separate kitchen, 3 bedrooms with built-in wardrobes and 2 bathrooms, one en suite with dressing room. To go up to the bedrooms you have to climb 5 steps. BASEMENT: Garage for 2 cars, boiler and diesel tank of 1,000 liters and 50 meters raw, it is paved, has a Climalit window, and can be made into a living room, 2 bedrooms, a bathroom and exit to the plot, it has all the facilities ready for it. If you are interested in this home, do not hesitate to contact us, we will be happy to assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE DO NOT CHARGE BUYER FEES! AND WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 35 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build. Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. Houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, buy a penthouse.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1814.0,https://www.idealista.com/inmueble/101093456/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/a6/30/1111567252.jpg,Calle sur,True,-3.9664312,Zona Polideportivo Colonia,Moralzarzal,nan,chalet,False
3,Madrid,160.0,True,False,"{'subtitle': 'Zona Centro, Moralzarzal', 'title': 'Terraced house in morera, 1'}",True,4,False,nan,False,28,CE189959,es,nan,285000.0,102622572,40.6800455,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar sells a 160-meter semi-detached house with 3 floors, just 350 meters from the town square and with a community pool. It does not have a garden, it is located on a private street for pedestrian and road access by neighbors. DISTRIBUTION: GROUND FLOOR: Toilet, separate kitchen, living room with fireplace and garage with automatic door. MAIN FLOOR: 4 bedrooms (one with terrace) and 2 bathrooms, one en suite. Three of them with built-in wardrobes. ATTIC: Open plan with 2 Velux windows. Possibility of making a bathroom (the installation is ready). If you are interested in this house, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE DO NOT CHARGE BUYER FEES! AND WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 35 years of activity, Gilmar has managed to reach a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build. Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. Houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a house, buy a flat, buy a house, buy a chalet, buy an attic.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1781.0,https://www.idealista.com/inmueble/102622572/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d4/02/91/1164771979.jpg,"morera, 1",True,-3.9747894,Zona Centro,Moralzarzal,nan,chalet,False
4,Madrid,279.0,False,False,"{'subtitle': 'Zona Centro, Moralzarzal', 'title': 'Terraced house'}",False,3,False,nan,False,32,DP179244,es,nan,379000.0,101852674,40.6773578,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Central semi-detached house for sale in urb. with pool. Gilmar Villalba sells beautiful Townhouse in Moralzarzal of approx. 250 m2 built. on a 149 m2 plot plus the common garden with swimming pool. Its perfect location stands out, just 5 minutes walk from the Town Hall in a very quiet area. The house has very good spaces with a large living room with a fireplace and, above all, the magnificent wine cellar room with a bar for all types of celebrations and a beautiful attic. A BEAUTIFUL TOWNHOUSE FOR FAMILY LIVING WITH ALL AMENITIES! DISTRIBUTION: BASEMENT: GARAGE FOR ONE CAR, CELLAR / LIVING ROOM WITH BAR, IRON STOVE AND STORAGE ROOM GROUND FLOOR: HALL, LIVING ROOM WITH FIREPLACE OF 35M2, EXIT TO THE GARDEN AND COMMON AREAS, TOILET, KITCHEN OF 10M2 WITH TERRACE CLOTHING ROOM FIRST FLOOR: BEDROOM, BATHROOM WITH BATHTUB, BEDROOM WITH TERRACE, MASTER BEDROOM WITH BATHROOM WITH JACUZZI CHARACTERISTICS: Interior carpentry: lacquered wood Exterior carpentry: aluminum Heating: individual natural gas Common pool At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1358.0,https://www.idealista.com/inmueble/101852674/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d4/b3/12/1136743366.jpg,Zona Centro,True,-3.9748476,Zona Centro,Moralzarzal,nan,chalet,False
3,Madrid,312.0,True,False,"{'subtitle': 'Zona Centro, Moralzarzal', 'title': 'Semi-detached house in Calle Cruz De Mayo'}",True,4,True,nan,False,50,3580,es,nan,495000.0,103005806,40.6784394,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"ALTOR ASESORES offers you a magnificent semi-detached house in Moralzarzal. The house has various outdoor areas, with a large swimming pool, barbecue area, spectacular terrace with garden, the garden has automatic irrigation. The entrance has a large hall, with a guest toilet, a living room with a fireplace and a pellet system. Separate kitchen, and large bedroom. From the living room there is direct access to the back of the house where we find a garden, barbecue area and rest area and in the front is the pool. The interior of the house is distributed as follows: LOW LEVEL Large living room with fireplace and Pellet stove, large independent kitchen, guest toilet, bedroom on the first floor and exit to the covered porch with a rustic wooden gazebo with views of the pool and the mountains. FIRST FLOOR On this floor we find 3 very spacious and bright bedrooms, including the master bedroom with a large dressing room and en-suite bathroom with a terrace overlooking the mountains and 1 second full bathroom. BASEMENT Large room for different uses, gym, cleaning room and boiler room. Ideal for those looking for comfort, large spaces and being surrounded by nature and tranquility, this is without a doubt a great opportunity to achieve a better quality of life, near a large capital like Madrid, a unique area of semi-detached houses with little noise. CHARACTERISTICS: Interior carpentry: lacquered wood Exterior carpentry: aluminum Heating: individual natural gas and Pellets High quality AC5 flooring Area suitable for hiking, cycling, horse riding, 10 minutes from the Villalba Hospital. It is very well connected, just 5 minutes from the town center of Moralzarzal, 10 minutes from the central bus station, about 25 minutes to Madrid by car on the A6. Near the house we find schools, nursing homes, veterinarians and a shopping area, supermarkets and all kinds of restaurants and entertainment venues. Very good communication, bus stop less than 50 meters away.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1587.0,https://www.idealista.com/inmueble/103005806/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/4e/e7/1174847997.jpg,Calle CRUZ DE MAYO,False,-3.9762031,Zona Centro,Moralzarzal,nan,chalet,False
3,Madrid,170.0,True,False,"{'subtitle': 'Zona Centro, Moralzarzal', 'title': 'Terraced house'}",False,5,True,nan,False,71,041161,es,nan,389000.0,103589124,40.6831597,False,nan,sale,nan,"NICE TOWNHOUSE WITH MANY DETAILS IN THE CENTER OF THE TOWN! Semi-detached house of 136 m2 built plus a basement of about 35 m2 on a plot area of 208 m2. Chalet with great detail and many improvements. We access the chalet through a space (formerly a garage) dedicated to a room for multiplex uses (dining room, teleworking, living room, etc. ) with an extraordinary enclosure that insulates the home from cold and heat. We enter the chalet and find a hall that distributes a kitchen completely renovated 3 years ago with very good taste, a complete bathroom with a shower, descent to the basement and a large living room with direct access to a porch and the beautiful garden with gazebo and artificial grass. FIRST FLOOR SEMI-BASEMENT. Totally isolated. Divided into a storage room and bedroom with built-in wardrobe and full bathroom, all completely and recently renovated. Individual channeled propane heating controlled by zones, double glazed tilt-and-turn PVC windows with motorized blinds throughout the house, digital video intercom, white lacquered doors on the main floor and oak on the first floor and basement. Air conditioning in the living room and three bedrooms, new boiler from three years ago, high quality artificial grass in the garden, gazebo, stone planters and flooring at the entire entrance of the chalet with strategically placed lights. IT'S CUTE, COME SEE IT. At GRUPO CASA 10, we have a group of professionals with experience in the sector, who help you find the most profitable financing by giving you personalized advice and looking for the best financial solutions. We provide a renovation and construction estimate at no cost and at the best price. Call us for any questions without obligation Grupocasa10 Moralzarzal; Rfª. ; 041161.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2288.0,https://www.idealista.com/inmueble/103589124/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/9d/85/1194234666.jpg,Zona Centro,False,-3.9721081,Zona Centro,Moralzarzal,nan,chalet,False
2,Madrid,193.0,True,False,"{'subtitle': 'Zona Iglesia - Estación, Moralzarzal', 'title': 'Detached house'}",True,4,True,nan,False,34,W-02T1ZT,es,nan,495000.0,102543397,40.6924086,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Detached house with views in Moralzarzal Engel&Volkers presents this detached house in one of the most demanded areas of Moralzarzal. The house has been recently built and is brand new. The most modern and best materials have been used in its construction and its energy efficiency is absolute, since it has solar panels and aerothermal energy. It has various automatisms throughout the house. Its location is above the rest of the adjoining buildings, so none of them reduces visibility. We access the main floor from stairs that end in a large porch with wonderful views of the Sierra del Guadarrama. Once inside we find a spacious and bright living room with an open designer kitchen. It also has a large bedroom and a modern full bathroom with a shower. Through a comfortable staircase we access the night floor, which has three spacious and bright bedrooms, one with a terrace, and a complete bathroom with shower and bathtub. The ceilings of the two floors are high and all the windows are large, with which the feeling of spaciousness and light is ensured in the different rooms. In the garden, with different areas as terraces, there are many possibilities depending on the preferences of the owner. It has a garage space with a storage area and another outdoor parking space. Its location is privileged, since it is very close to a school and public transport stop and a few minutes from shops and the center of the Municipality. Moralzarzal is a municipality located at the foot of the Sierra de Guadarrama National Park between the basins of the Guadarrama and Manzanares rivers. There are two access roads to the municipality, one through the M608, 4km from the AP-6, and another through the M-607 that connects with the Colmenar highway and Plaza de Castilla. The distance to Madrid is 45 km. It limits geographically with the municipalities of Becerril de la Sierra to the north, El Boalo-Cerceda-Mataelpino to the northeast, Manzanares el Real and Colmenar Viejo to the east, Hoyo de Manzanares, Torrelodones and Galapagar to the south, Collado Villalba and Alpedrete to the west and Median Col to the northwest. Very close to the port of Navacerrada, Valle de la Barranca, Pedriza and the Navacerrada and Santillana reservoirs. All surrounded by beautiful places to practice any activity related to nature.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2565.0,https://www.idealista.com/inmueble/102543397/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/88/e9/1195732452.jpg,Zona Iglesia - Estación,False,-3.9731543,Zona Iglesia - Estación,Moralzarzal,nan,chalet,False
2,Madrid,181.0,False,False,"{'subtitle': 'Zona Iglesia - Estación, Moralzarzal', 'title': 'Terraced house'}",False,4,False,nan,False,36,W-02S20E,es,nan,395000.0,103638625,40.6782024,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Semi-detached house in Moralzarzal Engel&Volkers presents this semi-detached house a few meters from the center of Moralzarzal. It has a total of 180 m2 including the garage space. On the ground floor there is a spacious hall, kitchen, toilet and two offices that, when joined, become a living room with access to the 40 m2 garden. The upper floor consists of two bedrooms, a spacious living room and a bathroom. Currently the tenants use this property as a coach/psychology center. Before using it as a home, it requires some modification, since it is compartmentalized (with plasterboard) as offices and meeting rooms. Moralzarzal is a municipality located at the foot of the Sierra de Guadarrama National Park between the basins of the Guadarrama and Manzanares rivers. There are two access roads to the municipality, one through the M608 4km from the AP-6 and another through the M-607 that connects with the Colmenar highway and Plaza de Castilla. The distance to Madrid is 45 km. It is geographically bordered by the municipalities of Becerril de la Sierra to the north, El Boalo-Cerceda-Mataelpino to the northeast, Manzanares el Real and Colmenar Viejo to the east, Hoyo de Manzanares, Torrelodones and Galapagar to the south, Collado Villalba and Alpedrete to the west and Collado Mediano to the northwest. Very close to the port of Navacerrada, Valle de la Barranca, Pedriza and Navacerrada and Santillana reservoirs. All surrounded by beautiful landscapes for the practice of any activity related to nature.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2182.0,https://www.idealista.com/inmueble/103638625/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/b5/78/1197052562.jpg,Zona Iglesia - Estación,False,-3.9667027,Zona Iglesia - Estación,Moralzarzal,nan,chalet,False
3,Madrid,174.0,True,False,"{'subtitle': 'Zona Iglesia - Estación, Moralzarzal', 'title': 'Semi-detached house in Calle Arroyo Grande, 93'}",False,4,False,nan,False,34,MZC755,es,nan,492800.0,101927263,40.6917641,True,nan,sale,nan,"Moralzarzal; promotion ARROYO DEL MORAL II, Semi-detached house BRAND NEW Maximum efficiency, ENERGY CERTIFICATE A 173 m2 built + 45 m2 floored in stoneware, klinker at the entrance and exterior porch + 45 m2 At the entrance of vehicles in stamped concrete and on a plot of 301 m2, practical distribution on 2 floors; On the lower floor there is an entrance hall, which leads to a bedroom, a complete bathroom, a 35 m2 living room with access to the garden and a large 12 m2 fully furnished kitchen, and on the upper floor there are 3 bedrooms (the main one with 212 suite type with terrace), and 2 bathrooms, high quality (large-format rectified porcelain flooring, armored entrance door, aerothermal heating, underfloor heating and cooling, spacious and extremely bright rooms, very well located in a quiet and residential area, surrounded by green areas, schools (kindergartens, Leonardo da Vinci school.. . ), as well as means of transport, and a step away from the urban center.",True,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",newdevelopment,2832.0,https://www.idealista.com/obra-nueva/101927263/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/1e/df/1138309717.jpg,"Calle Arroyo Grande, 93",False,-3.9707054,Zona Iglesia - Estación,Moralzarzal,nan,chalet,False
3,Madrid,174.0,True,False,"{'subtitle': 'Zona Iglesia - Estación, Moralzarzal', 'title': 'Semi-detached house in Calle Arroyo Grande, 93'}",False,4,False,nan,False,34,MZC746,es,nan,517800.0,101927199,40.6917641,True,nan,sale,nan,"Moralzarzal; promotion ARROYO DEL MORAL II, Semi-detached house BRAND NEW Maximum efficiency, ENERGY CERTIFICATE A 173 m2 built + 45 m2 floored in stoneware, klinker at the entrance and exterior porch + 45 m2 At the entrance of vehicles in stamped concrete and on a plot of 301 m2, practical distribution on 2 floors; On the lower floor there is an entrance hall, which leads to a bedroom, a complete bathroom, a 35 m2 living room with access to the garden and a large 12 m2 fully furnished kitchen, and on the upper floor there are 3 bedrooms (the main one with 212 suite type with terrace), and 2 bathrooms, high quality (large-format rectified porcelain flooring, armored entrance door, aerothermal heating, underfloor heating and cooling, spacious and extremely bright rooms, very well located in a quiet and residential area, surrounded by green areas, schools (kindergartens, Leonardo da Vinci school.. . ), as well as means of transport, and a step away from the urban center.",True,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",newdevelopment,2976.0,https://www.idealista.com/obra-nueva/101927199/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/e0/60/1138309720.jpg,"Calle Arroyo Grande, 93",False,-3.9707054,Zona Iglesia - Estación,Moralzarzal,nan,chalet,False
3,Madrid,174.0,True,False,"{'subtitle': 'Zona Iglesia - Estación, Moralzarzal', 'title': 'Semi-detached house in Calle Arroyo Grande, 93'}",False,4,False,nan,False,34,MZC757,es,nan,498310.0,101927288,40.6917641,True,nan,sale,nan,"Moralzarzal; promotion ARROYO DEL MORAL II, Semi-detached house BRAND NEW Maximum efficiency, ENERGY CERTIFICATE A 173 m2 built + 45 m2 floored in stoneware, klinker at the entrance and exterior porch + 45 m2 At the entrance of vehicles in stamped concrete and on a plot of 301 m2, practical distribution on 2 floors; On the lower floor there is an entrance hall, which leads to a bedroom, a complete bathroom, a 35 m2 living room with access to the garden and a large 12 m2 fully furnished kitchen, and on the upper floor there are 3 bedrooms (the main one with 212 suite type with terrace), and 2 bathrooms, high quality (large-format rectified porcelain flooring, armored entrance door, aerothermal heating, underfloor heating and cooling, spacious and extremely bright rooms, very well located in a quiet and residential area, surrounded by green areas, schools (kindergartens, Leonardo da Vinci school.. . ), as well as means of transport, and a step away from the urban center.",True,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",newdevelopment,2864.0,https://www.idealista.com/obra-nueva/101927288/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/20/ef/1138309507.jpg,"Calle Arroyo Grande, 93",False,-3.9707054,Zona Iglesia - Estación,Moralzarzal,nan,chalet,False
