bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
5,Madrid,305.0,True,False,{'title': 'Detached house in San Sebastian'},True,5,False,nan,False,38,FPP184264,es,nan,896000.0,103721016,40.7309394,False,nan,sale,nan,"Welcome to this spectacular independent house in Navacerrada! This exclusive chalet has optimal differential elements that make it unique in its class. It has been renovated and is ready to move into. The Velux windows, the doors with 6+6 double security glass and gas insulating chamber and the alarm system throughout the house guarantee your safety and peace of mind. The central solid oak staircase is a true work of art. The new roofs with the best slate in Europe and double thermal insulation (+ - 8 degrees) ensure maximum comfort. Upon arriving at the house, you will be surprised by the granite cobblestone path that leads to the home. Inside, the plumbing is new in all the bathrooms and the rain showers will provide you with a unique experience. In addition, the built-in wardrobes in all bedrooms will allow you to keep everything in order. With four bedrooms plus a games room distributed over two floors, three bathrooms, two living rooms and a dining room, a bedroom on the ground floor and a kitchen with multiple possibilities, you will have more than enough space for the whole family. The house has a lot of light and a plot of two thousand meters with a garden area and swimming pool. It also has a separate guest house, ideal for entertaining your friends and family. The orientation is ideal and communications with Madrid are excellent. In addition, you can enjoy offers on leisure and restaurants in the area. In total, the house has 305 m² built and 246 m² useful. It has 5 bedrooms, 5 bathrooms, terrace, balcony, storage room and South and East orientation. The plot is 2,717 m². Don't miss the opportunity to live in this wonderful house!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2938.0,https://www.idealista.com/inmueble/103721016/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/6b/33/1200345951.jpg,San Sebastian,True,-4.0182191,Navacerrada,nan,chalet,False,nan
3,Madrid,278.0,True,False,{'title': 'Detached house in Calle Luna Nueva'},True,6,False,nan,False,58,FP185595,es,nan,870000.0,101287931,40.7322063,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Gilmar offers an exclusive villa for sale in the "" Cercas Mayores "" Urbanization, in the center of Navacerrada. The house has six bedrooms and two bathrooms plus a toilet. Large porch of one hundred and twenty square meters and solarium, kitchen with views of the pool, garage, ceramic floor and wooden windows. Own pool in the house and garden area. Excellent orientation and located in the center of town. Porcelain floor and unique differential elements. Tennis and paddle tennis courts. Ready to move into and with high qualities. If you are interested in this house, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! WE DO NOT CHARGE THE BUYER"" IF YOU WANT TO SELL YOUR HOUSE… CALL US! “At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of existence, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3129.0,https://www.idealista.com/inmueble/101287931/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/db/49/1117282703.jpg,Calle Luna Nueva,True,-4.0034868,Navacerrada,nan,chalet,False,nan
3,Madrid,220.0,False,False,{'title': 'Semi-detached house'},False,5,False,nan,False,39,DP189904,es,nan,545000.0,102766180,40.731186,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Sale of beautiful semi-detached house in Navacerrada. GILMAR VILLALBA sells a beautiful Semi-detached House in the town of Navacerrada of 220 m2 on a 251 m2 plot and with access to magnificent common areas, with a green recreational area, swimming pool and paddle court. The state of conservation and qualities are excellent to enter tomorrow. Its location is perfect since you can go to the center of the town as it is next door and at the same time with beautiful views of the mountain. It has 5 bedrooms (one of them on the street level), 3 bathrooms, 1 living room, 1 kitchen, south facing, 1 garage space. A LUXURY HOME IN NAVACERRADA! DISTRIBUTION: GROUND FLOOR: garage, hall, bedroom, kitchen with access to terrace, L-shaped living room with access to the garden, bathroom with shower and closet under stairs FIRST FLOOR: bedroom, bedroom, full bathroom, bedroom, master en-suite with dressing room and large bathroom with shower ATTIC: open plan living room and storage room. CHARACTERISTICS: Interior carpentry: lacquered wood Exterior carpentry: pvc Heating: individual natural gas Pool Tennis-Padel At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of existence, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2477.0,https://www.idealista.com/inmueble/102766180/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/63/e7/1168045749.jpg,Navacerrada,True,-4.0097701,Navacerrada,nan,chalet,False,nan
5,Madrid,385.0,True,False,"{'title': 'Semi-detached house in Calle Enebro, 8'}",True,4,True,nan,False,40,m121416,es,nan,415000.0,103337039,40.7297591,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This impressive chalet stands out for its striking distribution, creating a cozy atmosphere and an unparalleled feeling of spaciousness. Located in a quiet area, near a charming lake, this home is a true gem. The spaciousness of the home not only translates into generous spaces, but also offers the advantage of being at the point where you can finish the last details to your liking, allowing for personalized adaptations and renovations to meet your specific needs. Surrounded by a garden and elevated in height, it provides a stunning panoramic view of the town and the majestic surrounding mountains. The privileged location facilitates access to both the center of Navacerrada and mountain routes, creating the perfect environment to disconnect and enjoy nature. Each bedroom has its own bathroom, in addition to another on the main floor. The double-height living room and the possibility of an open American-style kitchen add a contemporary and elegant touch. In addition, the property includes a covered garage and a basement with two separate rooms, offering flexibility to adapt these spaces according to your needs, even to make a home since it has a separate entrance. At the back of the house, the large garden offers the possibility of installing a swimming pool, even with the option of covering it, making the most of the available space. For any questions or to arrange a visit and personally discover all the wonders that this chalet has to offer, do not hesitate to contact us. We are here to help you find the home of your dreams. And remember, at Grupo Avanza, we do not charge fees to the buyer. We are waiting for you!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",renew,1078.0,https://www.idealista.com/inmueble/103337039/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/a6/3b/1186316603.jpg,"Calle Enebro, 8",False,-4.0065415,Navacerrada,nan,chalet,False,nan
4,Madrid,615.0,True,False,{'title': 'Country home in Rosal'},True,9,False,nan,False,61,CHALET SINGULAR LUJO NAVACERRADA,es,nan,690000.0,96568732,40.7206352,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"^*UNIQUE PROPERTY! *^FANTASTIC STONE VILLA IN ONE OF THE MOST BEAUTIFUL VILLAGES IN THE SIERRA DE MADRID. ^**^ Just 30 minutes from Madrid. In the middle of nature in the center of the town of Navacerrada and just 50 meters from the reservoir, with unique views of Maliciosa and Bola del Mundo. The house of more than 600 square meters with large walls distributed on two floors with many spaces and many possibilities to configure it to suit each one, 9 bedrooms, 4 bathrooms and two living rooms with fireplace This emblematic property has a 2000 square meter plot with a large 20 meter long pool. A wonderful house in one of the most beautiful villages in the Sierra de Madrid. Due to its uniqueness, views and location, it makes this property a unique house. Visit it, you will love it….",False,"{'typology': 'countryHouse', 'subTypology': 'casale'}",renew,1122.0,https://www.idealista.com/inmueble/96568732/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/c2/c6/950608921.jpg,ROSAL,True,-4.0130709,Navacerrada,nan,countryHouse,False,nan
2,Madrid,255.0,True,False,"{'title': 'Detached house in Calle los Arcos, 5'}",False,4,False,nan,False,30,V956,es,nan,675000.0,103829002,40.731577,True,nan,sale,nan,"In 2017, the prestigious architecture studio Schneider Colao converted a typical home from the mountain area, made of granite and slate, into a unique property where intimate spaces are valued, inviting contemplation and introspection. The entire house is lined inside with chestnut wood calcined with the Japanese Shou Sugi Ban technique, creating a special, simple and cozy atmosphere that is reminiscent of Zen temples, in symbiosis with nature. The property on the ground floor opens through a large entrance, open to a cozy living room that in turn communicates with the dining room integrated into the kitchen. In addition, a large bedroom and a full bathroom allow for full living on the ground floor. At the end of the microcement staircase with talcum stone, we access the upper floor of the house where we have 3 bedrooms (the master bedroom was divided into two after the last renovation) and another bathroom. Geothermal provides the energy to the home for the underfloor heating system and hot water. The property has a large plot of approximately 2,400 m2 with trees and a fantastic south-facing terrace with views of the lake to enjoy nature in your own home. In short, a unique and special property in Navacerrada. IMPORTANT: The original property has a plot of approximately 5,000 m2 that includes large open spaces with trees and native vegetation, a large swimming pool and a guest house. Currently it has been segregated into 3 plots: the house presented with a 2,376 m2 plot, a second plot of 1,247 m2 and a third plot of 1,480 m2 that includes the pool and the guest house, but it could be considered to acquire it together with the property and your plot, the other two properties (price to be agreed upon).",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2647.0,https://www.idealista.com/inmueble/103829002/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/38/01/94/1201493976.jpg,"Calle los Arcos, 5",False,-4.0207197,Navacerrada,nan,chalet,False,nan
4,Madrid,500.0,True,False,"{'title': 'Detached house in santisimo, 2'}",True,5,False,nan,False,30,IM 202168,es,nan,890000.0,103807489,40.7303321,True,nan,sale,nan,"InmoGil Gestión puts at your exclusive disposal a 4-story building in the town of Navacerrada, Madrid, currently operating and dedicated to a bar-restaurant. Spacious and well located, with more than 500 m2 built, distributed over four floors above ground. It has two terraces to serve customers, a bar-restaurant area with tables for 50 people apart from the main dining room for 100 more people, 2 fully equipped kitchens, 2 living quarters and a lower deck area. Distribution: (possibility of installing an elevator) Ground floor: 2 outdoor terraces, large bar with tables for more than 50 people, kitchen to serve this floor, bathrooms and storage area. First floor: Reception, living room, large kitchen and bar area. Second floor: 2 independent homes, one with 3 bedrooms and the other with 2. An independent room for staff rest. Undercover floor: Which is used as a storage area and has a wood oven for roasts. This property has the possibility of changing its use and dedicating it to another activity. Inmogil Gestión is available to resolve any questions and offer clients for your home if you are thinking of selling it. INMOGIL GESTION DOES NOT CHARGE FEES FROM THE BUYER SO THE PRICE REFLECTED IS THE REAL PRICE. “ANOTHER WAY OF DOING THINGS. ”.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1780.0,https://www.idealista.com/inmueble/103807489/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/a3/91/1200757028.jpg,"santisimo, 2",False,-4.0141079,Navacerrada,nan,chalet,False,nan
4,Madrid,615.0,True,False,{'title': 'Detached house'},False,9,True,nan,False,60,3373-5993,es,nan,690000.0,96569187,40.7177462,False,nan,sale,nan,"^* LUXURY PROPERTY! *^FANTASTIC STONE VILLA IN ONE OF THE MOST BEAUTIFUL VILLAGES IN THE SIERRA DE MADRID. ^**^ Just 30 minutes from Madrid. In the middle of nature in the center of the town of Navacerrada and just 50 meters from the reservoir, with unique views of Maliciosa and Bola del Mundo. The house of more than 600 square meters with large walls distributed on two floors with many spaces and many possibilities to configure it to suit each one, 9 bedrooms, 4 bathrooms and two living rooms with fireplace This emblematic property has a 2000 square meter plot with a large 20 meter long pool. A wonderful house in one of the most beautiful villages in the Sierra de Madrid. Due to its uniqueness, views and location, it makes this property a unique house. Visit it, you will love it….",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1122.0,https://www.idealista.com/inmueble/96569187/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/80/84/1193927602.jpg,Navacerrada,True,-4.0139464,Navacerrada,nan,chalet,False,nan
5,Madrid,596.0,True,False,{'title': 'Detached house'},True,4,False,nan,False,55,nan,es,nan,990000.0,101260737,40.7181413,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"**^SPECTACULAR ALPINE TYPE CHALET WITH UNBEATABLE VIEWS IN THE PRESTIGIOUS URBANIZATION REAJO DEL ROBLE^**^ The house combines modern design inside, with a façade respecting the external environment and the landscape of the area. On a large wooded plot of more than 3,800 m2, is this Spectacular villa of almost 600 m2. The house is comfortably distributed in 3 floors. The main floor has a front terrace from which we can enjoy one of the best views of the mountain, Bola del Mundo and the reservoir. By accessing the house, we have an open entrance hall, a living-dining room with a fireplace double height, kitchen and room on the ground floor with bathroom en suite. The upper floor is the jewel in the crown, the plant is distributed in such a way that from its windows we have spectacular views of the Navacerrada Reservoir. In it we have an office, an en-suite room and an open living room to the living room The ground floor of the house has an interior patio, machine room, laundry room, garage, cinema room and a complete service apartment or visits. The house has underfloor heating, smooth walls, has security windows and thermal insulation, electric shutters, thermostat by rooms, all kinds of details… We know that this house is special, because both the house and its surroundings are for someone who knows how to value the quality of nature and who is a lover of peace. Do not hesitate to contact us, we make sure you enjoy your new home. ^**^This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual^**^ *** WE DO NOT CHARGE COMMISSION TO THE BUYER.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1661.0,https://www.idealista.com/inmueble/101260737/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/d1/ce/1116159266.jpg,Navacerrada,False,-4.0164184,Navacerrada,nan,chalet,False,nan
3,Madrid,272.0,True,False,{'title': 'Terraced house'},True,4,False,nan,False,69,N02-RMA-14112,es,nan,430000.0,103362729,40.7308519,False,nan,sale,nan,"We want to present you this semi-detached house with fantastic views of the Madrid Sierra, you can see such emblematic places as the Valley of the Fallen, the Maliciosa Peak, the Ball of the World, seven peaks. It is located on a plot of 327 square meters in the Reajo del Roble Urbanization, with a garden surrounded by arizónicas, which has a rest area and a swimming pool that will delight the inhabitants of the house. The house is distributed over three floors, in the basement we have a storage room for gardening tools and a wine cellar. The main floor consists of a closed parking area, access to the house, hall-distributor, fitted kitchen, guest toilet and a living-dining room with large windows and views of the mountains. On the upper floor we have four bedrooms and a bathroom, the master bedroom with an en-suite bathroom. From the living room we access through a terrace to the garden area through a staircase and we find a porch ideal for eating on summer days. The property is located close to the municipalities of Navacerrada, Collado Mediano and Becerril de la Sierra, close to the Navacerrada reservoir, sky stations, hiking trails, natural pools, restaurants, supermarkets, sports areas. It is worth highlighting the perimeter enclosure of the first floor with recently installed tilt-and-turn windows, with double glazed glass and thermal break. The access door to the house is armored. The urbanization has 24-hour security service and access control. The house has a central heating system with natural gas and has a French fireplace in the living room.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1581.0,https://www.idealista.com/inmueble/103362729/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/ce/ba/1197707199.jpg,Navacerrada,False,-4.0140417,Navacerrada,nan,chalet,False,nan
