bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
4,Madrid,411.0,True,False,"{'subtitle': 'Miramadrid, Paracuellos de Jarama', 'title': 'Semi-detached house in Calle miramadrid'}",True,4,False,nan,False,66,618d9c71-20bb-458b-b445-d4a8f648024f,es,nan,888000.0,103296823,40.495047,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Huspy presents Incredible Opportunity! Exceptional Villa for Sale on Miramadrid Street in Paracuellos de Jarama. Main Features: - 4 bedrooms and 4 bathrooms distributed over 2 floors - 498m2 plot with 411m2 of construction - Garage with capacity for two cars and electric gates with remote control Advanced Energy Efficiency: - Includes installed solar panel system and photovoltaic batteries! - Significant reduction in energy costs - Contributes to sustainability and care of the environment Dream Exterior: - Beautiful garden surrounding the house in the south, west and north directions - Swimming pool, barbecue area and terrace-dining room to enjoy to the fullest Low level: - Large living room with two accesses to the garden and pool - Impressive kitchen with access to the garden and laundry area - Bath Service - On the ground floor, at the north end, is the first master bedroom with an en-suite bathroom, dressing room, large closet and exclusive terrace with access to the garden and pool. First floor: - West wing with two secondary rooms - Shared terrace for both rooms - Shared full bathroom for the two secondary rooms - To the south-east, second master bedroom with en-suite bathroom, large dressing room and an incredible terrace with views to the south of the entire Madrid skyline Exclusive Details: - All roads and views are exclusive to the sought-after Miramadrid street - No future construction that could obstruct views Terms of sale: - The signature at the notary and material delivery of the property will take place in June 2024. Don't miss the opportunity to acquire this real estate gem in a unique location and with sustainable benefits! For more details and visits, contact us.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2161.0,https://www.idealista.com/inmueble/103296823/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/95/5a/1185335088.jpg,Calle miramadrid,True,-3.5281135,Miramadrid,Paracuellos de Jarama,nan,chalet,False,nan
4,Madrid,253.0,True,False,"{'subtitle': 'Casco Urbano, Paracuellos de Jarama', 'title': 'Terraced house'}",True,5,False,nan,False,30,2267,es,nan,575000.0,101876795,40.5059102,False,nan,sale,nan,"QUARTIERS Real Estate Experts. Agents Immobiliers Français. Real Estate Services. Quartiers presents this semi-detached house for sale, built on two floors on a magnificent plot of 1053 m2. The house stands out for its architecture with a large double-height living room with floor-to-ceiling windows and panoramic views of all of Madrid. It also has a very cozy kitchen area with an office and direct access to a charming terrace. DISTRIBUTION MAIN FLOOR: Entrance hall, guest toilet, kitchen, living room on two levels with fireplace area, dining room with access to the porch and garden. Stairs down to the study area. Bedroom with bathroom. FIRST FLOOR: 3 bedrooms, 2 bathrooms (the main one en suite). Laundry room. Independent studio with bathroom and access to independent exterior. GROUND FLOOR: Study. IN ADDITION TO THIS PROPERTY, IN QUARTIERSINMOBILIARIA. COM YOU CAN CONSULT OTHER PROPERTIES NOT PUBLISHED ON IDEALISTA.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",renew,2273.0,https://www.idealista.com/inmueble/101876795/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e5/af/70/1139531397.jpg,Casco Urbano,True,-3.5312907,Casco Urbano,Paracuellos de Jarama,nan,chalet,False,nan
3,Madrid,307.0,True,False,"{'subtitle': 'Miramadrid, Paracuellos de Jarama', 'title': 'Terraced house'}",True,5,False,nan,False,41,CM193545,es,nan,785000.0,103620457,40.5003907,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar sells in the upper area of Miramadrid, (Las Villas de Miramadrid) this exclusive home in the heart of the neighborhood. It is an impressive luxury home distributed over four large floors, from the construction company METROVACESA. THE HOUSE HAS PRIVATE COMMON AREAS AND GREEN AREAS. Very bright house with total privacy and ready to enter, with a very functional distribution, designed to ensure the comfort and well-being of its future owners. It has the possibility of making attic and take out two more bedrooms and a bathroom. The communication GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, commercializes in is unbeatable, in its vicinity you can find, shopping centers (Corte Ingles, Hipercor, Arturo Soria Plaza, Plenilunio, etc. ), parks (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc. ), sports club (Sports Center (Centro Deportivo de Madrid), etc. ). ), sports clubs (Centro Deportivo los Prunos AQA, Olivar de la Hinojosa Golf Club, etc. ), schools (Liceo Francés, Liceo de la Universidad de Madrid, etc. ). ), schools (Lycée Français, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc. ), business parks (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2557.0,https://www.idealista.com/inmueble/103620457/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/51/3e/1197896612.jpg,Miramadrid,True,-3.5089914,Miramadrid,Paracuellos de Jarama,nan,chalet,False,nan
3,Madrid,277.0,True,False,"{'subtitle': 'Altos de Jarama, Paracuellos de Jarama', 'title': 'Detached house in Patronato'}",False,5,False,nan,True,43,0042,es,nan,525000.0,103520413,40.5218298,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'bright', 'text': 'Bright'}]","Amavento Altos de Jarama Vende (Ref.0042). We invite you to explore the perfect residence that redefines the concept of peaceful living.This villa, strategically located in Altos de Jarama, offers a serene style that combines natural beauty and security. Outstanding Features: **Privileged Location: Altos de Jarama, Paracuellos de Jarama, stands out for its natural beauty, peace and security.Live in a serene and pleasant environment, a unique opportunity for those seeking quality of life.With a generous plot of 541 square meters, this property has 277 square meters of construction, offering plenty of space for the whole family. **Functional Distribution: The ground floor has a large living room of 32 square meters, a bright kitchen with access to the outdoor patio, a cozy bedroom with a built-in wardrobe, an office or office convertible into a second bedroom, also with a built-in wardrobe, and a bathroom with modern shower tray. **Private Area on the first floor: Discover four bedrooms on the first floor (two doubles and two singles), which offer privacy and comfort.The full bathroom has a double sink, a bathtub with a hydromassage shower and a screen.Additionally, a charming 3 square meter terrace that adds a touch of elegance. **Versatile Basement: The basement houses a 33 square meter garage, a toilet, a spacious and cozy family living room with a wood-burning barbecue, a bar-style counter and a practical cellar with a pantry.This additional space is designed to fit your needs. **Modern Services: Enjoy the comfort with heating and hot water supplied by natural gas, guaranteeing efficiency and comfort in the winter season.The exterior carpentry is made of bronze-colored aluminum, with double glazed and tilt-and-turn windows, in addition to having security shutters.The interior carpentry is made of pine and the floors are stoneware. **Exquisite Exterior: The exterior patio, with its printed concrete floor, houses a variety of trees such as cherry trees, persimmons, apricot trees, mulberry trees, among others, with automatic irrigation.In addition, it has an area for a family garden, a built-in barbecue and a storage room. **Neighborhood Areas: In front of the house, enjoy recreational spaces such as a bio-healthy park or a gym park, a soccer field and the intercity bus stop just a few steps away. This is your Opportunity to Live here. Don't miss it, acquire this unique property in Altos de Jarama.For more information and to schedule a visit, contact us today.Make this house your home and start living the life you deserve!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1895.0,https://www.idealista.com/inmueble/103520413/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/cd/39/1192100629.jpg,Patronato,True,-3.5379589,Altos de Jarama,Paracuellos de Jarama,nan,chalet,False,{'groupDescription': 'Highlight'}
2,Madrid,159.0,True,False,"{'subtitle': 'Miramadrid, Paracuellos de Jarama', 'title': 'Flat in Calle clavel'}",False,3,False,True,False,26,0029,es,True,353000.0,99261451,40.50452,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Amavento Miramadrid (Ref. 0029) Sells beautiful and bright home. ***WE DO NOT CHARGE FEES TO THE BUYER*** Are you looking for an apartment that is cozy, with large and comfortable spaces to live in? Well this is what you are looking for! It is located in a very central urbanization in Miramadrid and very complete, as it has two community pools for adults and children, a squash court and a gym. The property has approximately 159 m2. built of which 111 m2 approx. built are housing, 12 m2. approx. garage, approx. 9 m2 of storage room and approx. 27 m2. of common elements. The house, with a lot of light since it faces south, this light will accompany you all months of the year and will give you extra warmth in the winter months that are already here! It has a living room with direct access to the terrace. Independent kitchen - office fully equipped with appliances and furnished with large capacity cabinets and access to the clothesline. 3 double bedrooms, very bright and all with built-in wardrobes and dressing rooms. Two bathrooms, the main one en suite with a bathtub, screen and the other with a shower and screen, a garage space and storage room included. Natural gas heating and hot water, wooden floors, double glazed windows, oak interior carpentry and gray lacquered aluminum exterior carpentry. Very close to supermarkets, schools, daycare centers, playgrounds, shopping centers, pharmacies, medical centers, banks, gyms and bus stops. Just 20 minutes from Madrid capital. The municipality has 4 transport lines: 210, 212, 215 and 256, which connect Paracuellos de Jarama with other areas such as San Sebastián de Los Reyes (Hospital Infanta Sofía), Belvis de Jarama, Barajas (Metro – Line 8), Canillejas (Metro - line 5), Ajalvir, Daganzo de Arriba, and, in turn, has urban lines that serve the Urban Center, Urb. Miramadrid, Altos de Jarama and Berrocales de Jarama. Excellent communication with M-50, N II and Barajas Airport. Do you like it, do you want it for you and your family? So don't wait any longer and come visit it!",False,{'typology': 'flat'},good,2220.0,https://www.idealista.com/inmueble/99261451/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/b1/c9/142338798.jpg,Calle clavel,True,-3.5109042,Miramadrid,Paracuellos de Jarama,1,flat,False,nan
2,Madrid,182.0,True,False,"{'subtitle': 'Miramadrid, Paracuellos de Jarama', 'title': 'Penthouse in Cerro Domingo Vicente'}",False,3,False,True,False,36,0049,es,True,460000.0,100680255,40.5023322,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Exclusive penthouse in Amavento, without commission to the buyer (Ref. 0049)! Refined design and comfort in every detail. With TWO GARAGE spaces included Discover this renovated 182 m² penthouse, with a dreamy 70 m² terrace that offers morning sun, cool summer weather and stunning panoramic views. Its contemporary design, with top quality finishes, creates an atmosphere of elegance and modernity. Spacious and well-lit spaces, such as the 30 m² living-dining room and a fully furnished modern kitchen with Silestone countertops. Originally with four bedrooms, now transformed into three for greater spaciousness and comfort, all with built-in wardrobes, including a master bedroom with access to the terrace and two bathrooms, the main one en suite, luxurious with a sliding glass door. Highlighted features: cellulose thermal insulation, PVC Schuco exterior carpentry, with double glazing and all motorized blinds, white lacquered interior doors, ducted air conditioning, cherry wood floors, smooth paint, natural gas heating and not a, but TWO spacious parking spaces and a storage room. Enjoy common areas with swimming pool and playground. Excellent location close to essential services and well connected to M-50, Ha-2 and Barajas Airport. Excellent transport connections, ideal for a comfortable and connected urban life, such as 4 interurban transport lines that connect Paracuellos de Jarama with other areas such as San Sebastián de Los Reyes (Hospital Infanta Sofía), Belvis de Jarama, Barajas (Metro – Line 8), Canillejas (Metro- Line 5), Ajalvir, Daganzo de Arriba and Torrejón de Ardoz, in turn, has urban lines that serve the Historic Center, Urb. Miramadrid, Altos de Jarama and Berrocales de Jarama. Come visit it, you will love it. This could be your next home.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,2527.0,https://www.idealista.com/inmueble/100680255/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/09/b3/1095515287.jpg,Cerro Domingo Vicente,True,-3.5061532,Miramadrid,Paracuellos de Jarama,4,penthouse,False,nan
2,Madrid,154.0,True,False,"{'subtitle': 'Altos de Jarama, Paracuellos de Jarama', 'title': 'Terraced house in Valti'}",False,4,False,nan,False,37,0065,es,nan,300000.0,101557681,40.5301857,False,nan,sale,nan,"Amavento Altos de Jarama.Sell (Ref.0065) ***WE DO NOT CHARGE FEES TO THE BUYER*** Do you want to buy your house in a small and quiet urbanization, with a community pool, very nice common areas and live in a safe space? Then this house is for you! This house has three floors, the upper floor belongs to another owner, the first floor and the semi-basement belong to this house, next to the private garden and the direct entrance from the street.These two properties are totally independent. To begin with, we tell you that this Chalet of approximately 154 m² built, has a plot of approximately 240 m²., and is part of one of the most beautiful urbanizations in Altos de Jarama. This home has many virtues, but among the most notable we can mention that it has a direct entrance to its plot, a beautiful, large, private garden, unique in the entire urbanization, with artificial grass, where you will enjoy great evenings with family and friends., with an extra bonus of very beautiful common areas with a beautiful garden and a fantastic community pool, to spend the best of summers. This house has three floors, the upper floor belongs to another owner, the first floor and the semi-basement belong to this house, next to the private garden and the direct entrance from the street.These two properties are totally independent. Upon entering the house, the ground floor offers us a 34 m² living room., very bright, with stoneware floors, then we access the separate dining room, also with lots of light through its windows and with direct access to the kitchen, with large storage space and a beautiful granite countertop; If you are one of the people who likes open spaces, there is the possibility of joining these three spaces and creating a single one, with an American-style kitchen, of approximately 58 m2.On this floor, we also have a pantry and two full bathrooms, with a shower tray and screen. On the semi-basement floor, it has 4 double bedrooms, a cellar perfect for wine lovers and a storage room. The property also has stoneware floors, natural gas heating, air conditioning (hot-cold pump), oak interior carpentry and exterior carpentry with double glazed tilt-and-turn windows, armored door and bars throughout the house. The community fee of €50 per month includes water for the entire home, maintenance of public lighting, cleaning of the streets and tanks. The Altos de Jarama urbanization, in Paracuellos de Jarama, is very close to Madrid, with notable connections to the capital via the M-111/M-50/A1/A2/R2 and just 10 minutes from Barajas Airport. If you think this house may be for you, don't hesitate to call us...We will be happy to assist you!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1948.0,https://www.idealista.com/inmueble/101557681/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/a9/2b/1126070436.jpg,Valti,True,-3.5431365,Altos de Jarama,Paracuellos de Jarama,nan,chalet,False,nan
2,Madrid,151.0,True,False,"{'subtitle': 'Miramadrid, Paracuellos de Jarama', 'title': 'Flat'}",False,4,False,True,False,50,nan,es,True,347000.0,102851175,40.5050219,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INMOO presents you ""Home Sweet Home"" close your eyes and start dreaming. In this home you will breathe joy, excitement and a lot of tranquility, imagine those afternoons, reading comfortably in the huge living room, watching a movie or simply doing nothing, without worrying about the children since they are totally controlled in their respective rooms, imagine yourself in this cozy and modern cuisine, making those dishes that you are so good at on Sundays, surrounded by friends and family, imagine the laughter, the looooong conversations, so long that before you realize it, night has fallen and the guests are still there. (they don't want to leave). Welcome to your new ""home sweet home"", Open your eyes... and stop dreaming. Call us now, you are closer to your dreams becoming a reality. In case you have any questions, we will tell you: Your new home sweet home has the best qualities in the area and if that were not enough renovations carried out with the greatest love and taste possible. Smooth paint, windows with thermal break-tilt-swing bridge, hot/cold air conditioning, closed clothesline, 2 full bathrooms, custom-fitted wardrobes, 4 bedrooms, if you heard correctly 4, LED lighting throughout the house and a thousand other things you will discover for yourself. INMOO your Happiness is our Purpose.",False,{'typology': 'flat'},good,2298.0,https://www.idealista.com/inmueble/102851175/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/1d/05/1169522577.jpg,Miramadrid,True,-3.5096763,Miramadrid,Paracuellos de Jarama,1,flat,False,nan
2,Madrid,215.0,True,False,"{'subtitle': 'Altos de Jarama, Paracuellos de Jarama', 'title': 'Detached house in Avenida Mesa del Monte'}",False,4,True,nan,True,47,0080,es,nan,420000.0,102561829,40.5256443,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Amavento Altos de Jarama.Sell ​​(Ref.0080). We welcome you to this charming house with a history of many years of solidity and in a natural environment.This house, carefully preserved over the years, combines the warmth of tradition with the comfort of modernity, and is also located on a large plot that offers infinite possibilities. From the moment you set foot on this property, you will realize that it has been lovingly and lovingly maintained over the years.Its solid construction and timeless design are a solid foundation for creating the life you have always wanted. Located in a quiet and serene environment, this home is much more than a property; It is a house where history and the elements that make it up are harmoniously intertwined. What makes this property even more exceptional is its generous plot of approx. 1,104 m2., which is a true paradise for nature lovers and for those looking for space and privacy.Whether you want to live in it as is, or you want to renovate some parts of the existing home, create a dream garden or develop personal projects, here you have the perfect canvas to turn your dreams into reality. In addition to its charm and large plot, this house offers a beautiful pool of approximately 37 m2., surrounded by artificial grass and with a thermal shower, double entrance to the house, both with covered terraces, a very bright and good-sized living-dining room, with a fantastic granite and stone fireplace, four double bedrooms, spacious and bright , two bathrooms with a shower each and a furnished and equipped kitchen. In addition, in the basement there is a garage for two cars, and three large open spaces (one of them converted into a summer bedroom), to be used and converted into a study, another bedroom, a games room or whatever you need. The house also has air conditioning in the living room and bedrooms, built-in wardrobes, oil heating, oak interior carpentry, aluminum exterior carpentry with double glazed windows, armored doors and bars throughout the house. Its location is also a quality, it is very close to the M-111, with quick access to the N-II and the M-50, just 10 minutes away., from San Sebastián de los Reyes, Hospital Infanta Sofía and Alcobendas, and at the same distance from Barajas Airport. Don't miss the opportunity to be the next proud owner of this house with more than 40 years of history and charm.Come and discover how the past and present come together harmoniously in this home.Contact us today to schedule a showing and experience the warmth and authenticity this home has to offer!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1953.0,https://www.idealista.com/inmueble/102561829/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/ab/8b/1170351448.jpg,Avenida Mesa del Monte,False,-3.5428838,Altos de Jarama,Paracuellos de Jarama,nan,chalet,False,nan
5,Madrid,286.0,True,False,"{'subtitle': 'Miramadrid, Paracuellos de Jarama', 'title': 'Terraced house in Doñana'}",True,4,True,nan,False,38,nan,es,nan,569000.0,103419248,40.5071718,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Welcome to your dream home in Paracuellos de Jarama. This impressive 4-storey semi-detached house offers the perfect balance between elegance and comfort. With a carefully designed layout, this property stands out for its luxury details and functional spaces. The property has a constructed area of 286 m2, and 240 m2 useful distributed over 4 floors. * Low level: Large garage for two vehicles. Toilet for added convenience. Boiler room with state-of-the-art aerothermal system. Kitchen room. Heated pool to enjoy all year round. * Floor 1: Bright and modern kitchen with appliances. Spacious living room for moments of relaxation. Additional toilet for visitors. * Floor 2: Three cozy bedrooms with built-in wardrobes. Two bathrooms, one of them en suite for the main room. * Upper Floor: Apartment with living room, full bathroom and bedroom, perfect for visitors or private space. Energy Efficiency and Sustainability: This chalet has advanced heating, air conditioning and hot water systems thanks to aerothermal energy and solar panels. The double glazed windows are tilt-and-turn and have mosquito nets, blinds and shutters, guaranteeing a comfortable environment in any season. Location: Located in a privileged area of Paracuellos de Jarama, you will enjoy the tranquility of a residential environment with easy access to services, schools and green areas. Optimal connectivity through important communication channels. Don't miss the opportunity to live in this architectural gem! Contact us to schedule a visit and discover all the wonders this property has to offer.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1990.0,https://www.idealista.com/inmueble/103419248/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fd/4f/0e/1189063072.jpg,Doñana,False,-3.5168847,Miramadrid,Paracuellos de Jarama,nan,chalet,False,nan
