bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
2,Madrid,259.0,True,False,"{'subtitle': 'Las Américas, Parla', 'title': 'Duplex in Venezuela'}",True,3,False,True,False,34,AA182512,es,True,102160720,435000.0,40.2250406,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar Madrid Río ( ) puts at your disposal this unique and exclusive home in one of the best areas of Parla, Las Américas. Located in a completely new urbanization with a modern construction with a communal pool, children's playground and green areas, the house has 2 floors and a constructed area of about 260m², of which 100m² correspond to a garden, it also has a private parking with capacity for 2 cars and 2 motorcycles. The construction materials are excellent and with high quality and details such as ducted air conditioning with an air purification machine and underfloor heating. The interior carpentry is finished in white lacquer and the interior doors look to match the cabinets, the contrasting floor shows off a very nice Nordic-style wood tone. The exterior carpentry is made of lacquered aluminum with double glazed windows with low thermal emission. Distribution: Main floor: Large hall with built-in wardrobe that distributes access to the kitchen and living room and the access staircase to the basement. From the living room there is access to the patio and the garden area and from the kitchen there is access to the clothesline. On this floor we find 3 bedrooms and 2 bathrooms, one of them being a suite, all bedrooms have a large-capacity built-in wardrobe. Basement floor: from the access stairs we reach a distributor that connects a winter room with an English patio and the huge closed parking lot. The area has all the necessary services and just a few steps away we find the Vicente del Bosque sports center, a school, an institute, the health center, the Forus Parla saltwater pool and the Parque del Universo. Communications are good since access to the Toledo motorway (A-42) is very fast, it will take 9 minutes to access the M-50 ring road and 15 to access the M-40. At Gilmar we have been working to offer our clients the best properties for 37 years. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build... We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international Clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Visit our website and you will find 4,000 more opportunities.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,1680.0,https://www.idealista.com/inmueble/102160720/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/dc/50/1147163735.jpg,Venezuela,True,-3.7619963,Las Américas,Parla,bj,duplex,False
1,Madrid,118.0,True,False,"{'subtitle': 'El Nido-Las Fuentes, Parla', 'title': 'Duplex in Calle Sancha Barca'}",True,2,False,True,True,44,8368PV-M,es,True,103520906,195000.0,40.2407348,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Mr. House Real Estate presents an EXCLUSIVE PENTHOUSE WITH A 60M2 TERRACE AND INCLUDED GARAGE in the Las Fuentes area, NO COMMISSIONS! In this instance, we bring you a fantastic penthouse-duplex in an UNBEATABLE LOCATION. This residence spans approximately 120m2, with 62m2 dedicated to living space and the remainder to an expansive TERRACE. The layout includes 2 spacious bedrooms, a full bathroom, a kitchen with a utility area, and a living-dining room with a staircase leading to the IMPRESSIVE TERRACE. Additionally, it comes with an ATTACHED GARAGE INCLUDED IN THE PRICE. This property features natural gas heating, parquet floors, double-glazed windows, oak doors, built-in wardrobes, and a fully equipped kitchen. It is situated in a private development with an elevator. The building is located in one of the prime areas of Parla, adjacent to the South and Center exits of the A-42, with all kinds of services within a 5-minute radius (hypermarkets, educational centers, Parla Hospital, urban and interurban bus stops, shops, etc. ) REQUEST MORE INFORMATION WITHOUT COMMITMENT! At Mr. House Real Estate, WE DO NOT CHARGE PURCHASE COMMISSIONS OR FEES FOR FINANCIAL MANAGEMENT.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,1653.0,https://www.idealista.com/inmueble/103520906/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/20/37/1192119144.jpg,Calle Sancha Barca,True,-3.7805263,El Nido-Las Fuentes,Parla,5,duplex,False
2,Madrid,108.0,True,False,"{'subtitle': 'El Nido-Las Fuentes, Parla', 'title': 'Flat in Calle la Pila'}",True,2,False,True,False,38,8381PV-M,es,True,103583611,172500.0,40.2404452,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This flat is at Calle la Pila, 28981, Parla, Madrid, on floor 4. It is a flat, built in 2009, that has 108 m2 of which 65 m2 are useful and has 2 rooms and 2 bathrooms. It includes concrete structure, lavadero, aire acondicionado, doorman, concierge, puerta blindada, rooftop, exterior, individual natural gas heating, cocina amueblada, communal swimming pool, luminous, individual heating, community garden, windows climalit, storage room, smooth walls, garage included, good condition, parquet floor,... , ascensor, storage room included, propietario, wardrobe, natural gas, gimnasio, piscina, private urbanization and stairs.",False,{'typology': 'flat'},good,1597.0,https://www.idealista.com/inmueble/103583611/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/58/6f/1194054136.jpg,Calle la Pila,True,-3.7764441,El Nido-Las Fuentes,Parla,4,flat,False
2,Madrid,113.0,True,False,"{'subtitle': 'Parla Este, Parla', 'title': 'Flat in Calle Constelación de Casiopea'}",True,3,False,True,False,55,8377PV-M,es,True,103556865,247500.0,40.2335586,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This flat is at Calle Constelación de Casiopea, 28983, Parla, Madrid, on floor 1. It is a sunny flat, built in 2012, that has 113 m2 of which 86 m2 are useful and has 3 rooms and 2 bathrooms. It includes exterior, gimnasio, equipped kitchen, smooth walls, paddle tennis court, private urbanization, concierge, ascensor, green area, communal swimming pool, balcón, floating floor, natural gas, toilet,... , cocina amueblada, piscina, aire acondicionado, storage room, good condition, storage room included, cocina americana, luminous, concrete structure, terrace, children's area, windows climalit, south orientated, individual natural gas heating, individual heating, wardrobe, puerta blindada, community garden and garage included.",False,{'typology': 'flat'},good,2190.0,https://www.idealista.com/inmueble/103556865/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/c6/e1/1193252069.jpg,Calle Constelación de Casiopea,True,-3.7476061,Parla Este,Parla,1,flat,False
2,Madrid,81.0,True,False,"{'subtitle': 'Calle Pinto-San Roque, Parla', 'title': 'Flat in Calle de la Macarena'}",False,3,False,True,False,40,28-01699,es,True,103232719,165000.0,40.2380257,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This unfurnished flat is at Calle de la Macarena, 28982, Parla, Madrid, on floor 2. It is a flat, built in 2004, that has 81 m2 and has 3 rooms and 2 bathrooms. Besides, it includes floating floor, natural gas, outside, aire acondicionado, security door, children's area, garage included, ascensor, wardrobe, individual natural gas heating, green area, aluminum windows, luminous, balcón and cocina amueblada.",False,{'typology': 'flat'},good,2037.0,https://www.idealista.com/inmueble/103232719/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/f6/09/1183364794.jpg,Calle de la Macarena,True,-3.7657125,Calle Pinto-San Roque,Parla,2,flat,False
1,Madrid,60.0,True,False,"{'subtitle': 'Pintores-Ferial, Parla', 'title': 'Flat in Calle de Pablo Vi'}",True,3,True,True,False,38,8192PV-M,es,False,102630031,104500.0,40.2385621,False,nan,sale,nan,"Mr. House Real Estate is pleased to present a LOVELY RENOVATED APARTMENT in the heart of Parla. This is a residence of approximately 60 square meters, comprising 3 bedrooms, 1 full bathroom, a kitchen, and a living-dining area. The former terrace has been integrated into the living room, creating a more spacious living space. The apartment has undergone a COMPLETE RENOVATION and is equipped with NATURAL GAS HEATING, parquet flooring, a bathroom with a shower, oak doors, double-glazed windows, smooth walls, and more. This residence is ideally located near a wide range of services. It is perpendicular to Pinto Street, and you'll find numerous shops, educational institutions, shopping centers, urban and interurban bus stops, and more, all within a 5-minute walk. REQUEST FURTHER INFORMATION WITH NO OBLIGATION! At Mr. House Real Estate, we DO NOT CHARGE PURCHASE COMMISSIONS OR FEES FOR MORTGAGE MANAGEMENT.",False,{'typology': 'flat'},good,1742.0,https://www.idealista.com/inmueble/102630031/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/6f/17/1161896885.jpg,Calle de Pablo VI,False,-3.7639203,Pintores-Ferial,Parla,3,flat,False
4,Madrid,428.0,True,False,"{'subtitle': 'La Ermita, Parla', 'title': 'Detached house in Calle Azucena'}",True,5,True,nan,False,44,ART-V-1911,es,nan,101379962,585000.0,40.2309528,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","This villa is at Calle Azucena, 28981, Parla, Madrid, is in the district of PARLA. It is a villa, built in 1999, that has 254 m2 and has 5 rooms and 4 bathrooms. It includes furnished kitchen and it includes import 2022-10-10 18:13: 00, individual natural gas heating, aire acondicionado, disabled access, terraza, trastero, garage included, puerta blindada, good condition, windows climalit, floor tiles, exterior, piscina, wardrobe and luminous.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1367.0,https://www.idealista.com/inmueble/101379962/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/bf/8b/1119930114.jpg,Calle Azucena,False,-3.7750471,La Ermita,Parla,nan,chalet,False
2,Madrid,107.0,True,False,"{'subtitle': 'Parla Este, Parla', 'title': 'Flat in Planeta Urano'}",True,3,True,True,True,24,nan,es,True,103392724,239000.0,40.225867,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"SKY SOLUTIONS sells an apartment in Parla Este, Madrid. We present you this excellent opportunity to acquire a wonderful exterior apartment in a privileged location in the Parla area. The apartment has a constructed area of 147 m2, consisting of a 99 m2 dwelling, a 10 m2 garage space, a 5 m2 storage room and 33 m2 common areas. The floor is organized into: - Entrance hall. - Living room. - Kitchen with clothesline. - 2 bathrooms (one of them en suite). - 3 bedrooms. - Storage room. - Parking place. - Common areas: swimming pool, playground and soccer/basketball court. The intelligent layout of the floor maximizes the available space and guarantees functionality in every corner. One of the advantages of this apartment is that it is completely exterior, which means that you will enjoy an abundance of natural light in all areas.This makes it a very bright and pleasant space to live in. The entrance is spacious and welcoming with a built-in wardrobe. The kitchen is fully equipped with modern appliances and offers more than enough space to prepare delicious meals, it also has a clothesline ideal for washing and drying clothes. The main living room is a perfect place to relax and enjoy special moments.In addition, the smooth walls and wooden floors throughout the apartment add a touch of elegance and style. The apartment has two bathrooms, one of them en suite, which provides you with comfort and privacy.Both bathrooms are equipped with high quality ceramic floors. As for the bedrooms, the apartment has three large rooms with built-in wardrobes, which gives you a lot of additional storage space and helps you keep everything tidy and organized. Qualities: Individual natural gas heating, which allows you to enjoy a pleasant environment and controlled temperature throughout the year, new tilt-and-turn double glazed windows with thermal break, which provides excellent thermal and acoustic insulation, and they have blinds. This property has its fantastic community pool.Imagine enjoying a refreshing dip on hot summer days or relaxing on one of the poolside loungers while sunbathing. Privileged location: It is located in a highly sought-after area, with excellent services and amenities around it, such as shops, restaurants, parks and access to public transportation. A few meters from the Parla Tram stop ""Tierra Sur"" and ""Avda.Of the solar system"". Currently the home is in the process of disqualification, the sale will be conditional on the date of final disqualification and registration in the registry as a free home. Don't miss the opportunity to acquire this magnificent apartment. Contact us today to arrange a viewing and discover everything this property has to offer! SKY SOLUTIONS takes care of its clients by providing an individual and personalized service. We have: -Real estate department, covering the entire property purchase and sale process. -Financial department, registered with the Bank of Spain, being able to obtain the best mortgage conditions.Do not hesitate to ask if you are looking for a mortgage or to improve your financing conditions. -Own Legal Office, positioned among the best offices in Madrid and Palma de Mallorca, which will guarantee the success of complicated sales such as INHERITANCES, condominium terminations, divorces, etc. -Department of DISQUALIFICATION of Housing Protection.",False,{'typology': 'flat'},good,2234.0,https://www.idealista.com/inmueble/103392724/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/ef/38/1188095144.jpg,Planeta Urano,False,-3.7592199,Parla Este,Parla,1,flat,False
1,Madrid,74.0,True,False,"{'subtitle': 'Fuentebella-San Felix-El Leguario, Parla', 'title': 'Flat in Calle Fuentebella'}",True,3,True,True,True,26,S876,es,True,103153802,124000.0,40.2295249,False,nan,sale,nan,"JACQUELINE ALVAREZ, REAL ESTATE SERVICES, We present you an incredible opportunity to acquire a very bright home in Parla. This apartment with 3 bedrooms, living room, separate kitchen, full bathroom, located on the third floor with elevator, is a true treasure in one of the best located areas of Parla. From the moment you enter, you will be greeted by natural light and the spacious feeling that this apartment offers. Being on a corner, it benefits from windows on several sides, making it especially bright and pleasant. The distribution has been carefully designed to provide comfort and privacy to its residents. The home is in a normal state of conservation, which allows you to customize it according to your preferences and needs. With three bedrooms, you will have plenty of space for your family or use one room as an office or games room. In addition, you will enjoy two swimming pools in the community to relax on warm summer days and a paddle tennis court to keep you active. The property includes a storage room, which is valuable additional storage space. In addition, the location of this home is unbeatable. It is close to the tram and bus stops, which makes getting around easier. You'll also have schools and supermarkets just steps away, adding an extra layer of convenience to your everyday life. community value €190 If you are looking for a bright home in Parla with amenities such as swimming pools, a paddle tennis court and a strategic location close to all amenities, this home is the perfect choice. Don't miss this opportunity and contact us today to arrange a viewing and explore everything this property has to offer! JACQUELINE ALVAREZ, SERVICIOS INMOBILIARIOS, has its Financial Department, which has collaboration agreements with banking entities, with the best interest rates on the market, sometimes without ties such as account openings or insurance and being able to obtain financing for clients up to 100% of the value of the home, (according to the client's profile). We work to get your home and make your dreams come true.",False,{'typology': 'flat'},good,1676.0,https://www.idealista.com/inmueble/103153802/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/d1/8f/1180017174.jpg,Calle Fuentebella,False,-3.7726474,Fuentebella-San Felix-El Leguario,Parla,3,flat,False
4,Madrid,220.0,True,False,"{'subtitle': 'Las Américas, Parla', 'title': 'Terraced house in Bahamas'}",False,5,True,nan,False,36,nan,es,nan,102552407,328000.0,40.2298048,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"- The Americas- Ares real estate group sells a 220 m2 semi-detached house built on 4 floors distributed as follows: Floor -1: Garage for two cars, toilet, laundry area, living room and storage room/tool room. Floor 0: We find the independent living room with air conditioning, kitchen, bathroom with shower and office. From this floor we access the patio by going down a small flight of stairs, which is paved and has about 50 m2. Floor 1: There are 4 bedrooms, all with a built-in wardrobe, 1 full bathroom with a bathtub and air conditioning in 1 bedroom and in the hall. Floor 2 (attic): Currently it has an area for a bedroom, a living area and a complete bathroom with a bathtub. Request a visit without obligation. ""This publication is not contractual and may contain errors"" ARES Real Estate Group was founded more than a decade ago and directed by real estate professionals with more than 20 years of experience. From the beginning we have been based on a single idea: applying the best sales techniques, adopting the fundamentals of HONESTY, INTEGRITY and ETHICS. Our daily improvement policy is to know and analyze the degree of satisfaction of each of our clients. That is why our personal commitment is to guarantee your peace of mind in all phases of the purchase and sale. Entrust the purchase of your new home to Grupo Inmobiliario ARES, having at your disposal the most professional and efficient company in the sector, according to clients, with a unique and innovative working method. Being one of the few real estate companies that have grown in recent years, both in volume of employees hired and in operations carried out. ""Welcome home"".",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1491.0,https://www.idealista.com/inmueble/102552407/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/05/80/1160844306.jpg,Bahamas,False,-3.7687733,Las Américas,Parla,nan,chalet,False
