bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
3,Madrid,206.0,True,False,{'title': 'House'},False,4,True,nan,False,44,6522,es,nan,310000.0,95724803,40.7615445,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Total surface area 206 m², detached house plot area 486 m², usable floor area 150 m², double bedrooms: 4, 2 bathrooms, age between 20 and 30 years, built-in wardrobes, paving, ext. woodwork (aluminum), kitchen, dining room, state of repair: in good condition, garage (2), garden (own), floor no. : 2, sunny, terrace, lands: stoneware, double glazing, lighting.",False,{'typology': 'chalet'},good,1505.0,https://www.idealista.com/inmueble/95724803/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/86/91/926466811.jpg,Pedrezuela,False,-3.6158773,Pedrezuela,nan,chalet,False
3,Madrid,230.0,False,False,{'title': 'Terraced house'},True,3,False,nan,False,27,07508,es,nan,360000.0,103853176,40.7482904,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"The CPM International Real Estate Agency manages this magnificent and bright villa for sale, 230 m2, 3 bedrooms and a terrace, close to the bus station, which consists of the following elements: Entrance hall. A kitchen with an office, fully furnished and equipped with some appliances included. A spacious and bright living-dining room, divided into two rooms, with large windows that lead to a terrace. 1 fully functional toilet. First floor: 3 large bedrooms, with built-in wardrobes; the main one with a terrace and en suite, with its integrated full bathroom. 1 full bathroom. Second floor: Attic area. Basement: Garage for two cars and a large storage room. The chalet has natural wooden flooring, double glazed windows, armored door, hot water and individual heating by natural gas boiler. Regarding the location of the chalet, it is unbeatable, since it is close to the bus station and in the ramifications of the Guadarrama mountain range, in the Medio Jarama basin and the Guadalix river basin. Access to the N-1 is very fast. Around the chalet there are leisure areas (El Casito Shopping Center), reservoirs (Pedrezuela and El Vellón reservoir), parks, sports centers, hospitals (Pedrezuela Medical Clinic), schools and a variety of restaurants.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1565.0,https://www.idealista.com/inmueble/103853176/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/48/c3/1202235137.jpg,Pedrezuela,False,-3.6008356,Pedrezuela,nan,chalet,False
3,Madrid,321.0,True,False,{'title': 'Detached house in Calle Toledo'},False,5,True,nan,False,27,VE00012,es,nan,389900.0,101795177,40.729543,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Detached Villa in perfect state of conservation and maintenance, great investment to have your house finished with €1250/m and a 1000m plot. Opportunity! The house has 4 bedrooms with storage, 2 full bathrooms and 1 toilet on the main floor, as well as a large living room with fireplace and equipped kitchen. On the ground floor, we find a pantry, garage with capacity for two vehicles, games room, storage room and cellar. A total of 321 square meters built, with 252 useful square meters. The plot on which it is located has an area of 1,000 square meters with its own pool, storage shed and living room. In addition, in the area designated for the sports center and urbanization, there are facilities such as six tennis courts, a racquetball court and a paddle tennis court, a basketball court, a soccer field, a five-a-side soccer field, two beach volleyball fields, a petanque court and a mini golfOlympic swimming pool with 5,000m of gardens, social club and restaurant, supermarket, multipurpose rooms where activities are carried out. The urbanization is in a privileged environment, located at the foot of Cerro de San Pedro on its eastern slope and near the Pedrezuela reservoir, which allows you to enjoy outdoor activities. To travel from the urbanization to the urban area of Pedrezuela, you can use the L-1 shuttle, which provides connection with the intercity bus stops in the Community of Madrid. Arrange a visit today and send us your offer! We do not charge fees to the buyer. REDUCED. SALE URGENT.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1215.0,https://www.idealista.com/inmueble/101795177/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/b2/42/1186910960.jpg,Calle Toledo,False,-3.6218927,Pedrezuela,nan,chalet,False
2,Madrid,403.0,True,False,{'title': 'Detached house in Avenida Santander'},False,4,False,nan,False,23,CG-05360-0001,es,nan,380000.0,100628213,40.7350775,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Solvia presents a magnificent detached single-family home, consisting of two floors above ground level and a semi-basement floor, forming part of the Montenebro Urbanization, located in the town of Pedrezuela, Madrid. It has an area of 403 m² and a plot of 991 m². It is distributed in a semi-basement, consisting of: Game room, dressing room, garage, pantry, bathroom and boiler room. Ground floor, consisting of: Living-dining room, hall, kitchen, bathroom and porch and upper floor, consisting of: Four bedrooms, dressing room and two bathrooms. Good conservation and maintenance of the existing infrastructures in the environment, such as: paving, sewerage, public lighting, drinking water, electricity, gas, telephone network, garden areas, etc. Communications by buses of regular line and private vehicle. With Solvia's services you will be able to find the home you need and secure your investment with the best of specialized advice. Get started right now by asking for more information.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,943.0,https://www.idealista.com/inmueble/100628213/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/db/04/5a/1093969359.jpg,Avenida Santander,False,-3.6335437,Pedrezuela,nan,chalet,False
2,Madrid,244.0,True,False,{'title': 'Detached house in San Isidro'},False,4,False,nan,False,26,nan,es,nan,204000.0,103058735,40.7430583,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INVESTMENT OPPORTUNITY! The BARE PROPERTY of this magnificent villa for sale in the center of Pedrezuela.The current owners, aged 76 and 77, will retain USUFRUCT of it. Housing located in a central area, close to the municipal pool and with all services.Less than 5 minutes from the 3 bus lines to Madrid – Plaza Castilla. Single-family with a cadastral plot area of 392m2, The house has a deeded area of 244m2, with a closed terrace and a glazed patio area incorporated into the house. It is divided into two floors: - On the main floor with access from the street to the front patio of the house, we find a separate living room with fireplace, a double bedroom, a storage room or warehouse, a bathroom with a shower and the garage with capacity for two vehicles.This floor can be completely independent for an apartment with entrance from the street.From this floor you can access the rear garden. - On the first floor, which is accessed from the front patio, there is a large independent living-dining room, three double bedrooms with built-in wardrobes, a complete bathroom with a shower, a furnished and equipped kitchen and a closed terrace that can serve as an office or currently as an office.This floor also has access to the rear garden. In the back garden there is a glazed patio area, a picnic area with barbecue, a play area, a garden and two buildings that do not fit into the registered surface of the house.The first can be used as a storage room and the second as an office, it is equipped with its hot-cold pump. The property has air conditioning and heating in all rooms, the heating is individual Diesel and also has a hot-cold pump.It has built-in wardrobes in all bedrooms, as well as in the hall and hallway.Highlight the luminosity, spaciousness and multiple possibilities of the home. The municipality of Pedrezuela is located in the north of the province, 30 minutes from Madrid on the A-1.Among the many services, it also has a retiree association, a senior residence, a San Miguel day center, schools, a clinic and a municipal swimming pool, a sports complex, a municipal cultural center, a library, a museum... Highlight the parish church of San Miguel, Gothic style, dating back to the 16th century circular stone buildings (casitos) with adobe and thatch roofs.very similar to the Celtiberian forts.Its rural roads, the mythical Mesto dam and the possession of the ""puebla charter"" dating from the year 1331.The environment invites you to enjoy nature, with canoeing, cycling, climbing, hiking activities... They also highlight their excellent restaurants where you can taste roast goat among other culinary specialties.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,836.0,https://www.idealista.com/inmueble/103058735/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/01/c4/1176653176.jpg,San Isidro,False,-3.6024955,Pedrezuela,nan,chalet,False
3,Madrid,100.0,True,False,"{'title': 'Village house in Paz, 28'}",False,4,False,nan,False,23,nan,es,nan,170000.0,99443801,40.744654,True,nan,sale,nan,"Renovated town house in the center of Pedrezuela. The house has two floors with two patios. The access to the house is through the patio that overlooks the street, on the main floor there is the living room with a fireplace, a kitchen with access to another patio, a bedroom and a bathroom. On the upper floor there are three bedrooms and two bathrooms with windows, the main bedroom is suite type.",False,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",good,1700.0,https://www.idealista.com/inmueble/99443801/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/61/0a/1044150776.jpg,"Paz, 28",False,-3.6027866,Pedrezuela,nan,countryHouse,False
1,Madrid,64.0,False,False,{'title': 'Flat'},False,2,False,True,False,9,9998,es,nan,132500.0,103861000,40.748827,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Housing located in the town of Pedrezuela, Madrid. Exterior floor with an approximate area of 64 m2 perfectly distributed in living room, kitchen with laundry room, two bedrooms and a bathroom. Municipality that has all the basic services at its fingertips, with a commercial offer (large surfaces and necessary neighborhood stores) and an educational offer, a variety of restaurant services and valued green areas in which to carry out outdoor activities. Housing for those who want to live in a quiet area very well connected and for those who seek to invest for rent with a very good profitability. All this, in addition, with excellent communications by public transport (bus) and road. Request more information without any type of commitment by calling REFERENCE 9998.",False,{'typology': 'flat'},good,2070.0,https://www.idealista.com/inmueble/103861000/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f9/b8/55/1202469009.jpg,Pedrezuela,False,-3.6043871,Pedrezuela,bj,flat,False
6,Madrid,450.0,False,False,{'title': 'Detached house in Calle Cádiz'},True,7,False,nan,False,74,nan,es,nan,430000.0,97964350,40.7368351,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Urban Magerit sells spectacular Villa in Pedrezuela in the prestigious Montenebro urbanization, with access control and surveillance. * 2 plots that make a total of 1,600 m2. * Built meters 450 approx. * 6 bedrooms, one of them with a terrace. * Fitted kitchen with appliances. * 2 rooms, one with fireplace. * 2 dining rooms * The house is partially furnished. * Distributor hall in entrance and hallway. * Fully equipped gym. * Bar, cinema and entertainment area. * Stoneware and wood floors. * All windows with electric shutter. * Propane heating. * The house was completely renovated with a comprehensive reform in 2012. * Everything is in perfect condition to move into with excellent qualities. * Beautiful garden very well cared for by a gardener with a swimming pool with a sewage treatment plant and a multipurpose court (tennis, soccer, etc. ) * Changing rooms with shower for the sports area. * Barbecue with covered stone table area with porch. * Large covered garage for 5 cars. * Washing and ironing area. * Garden room. * Woodshed room. * Urbanization with the best swimming pool in the northern mountains, social and sports club, restaurant with parking. *Urbanización Montenebro is a place that has become residential where they increasingly live more families on a regular basis due to its privileged environment, its proximity to the capital and similar areas such as Ciudalcampo, Fuente del Fresno and Santo Domingo. * A quarter of an hour from the commercial area of Dehesa Vieja, Plaza Norte, Ikea, Carrefour, etc. * WE DO NOT CHARGE FEES TO THE BUYER.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,956.0,https://www.idealista.com/inmueble/97964350/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/88/08/9d/1119086997.jpg,Calle Cádiz,True,-3.6322011,Pedrezuela,nan,chalet,False
3,Madrid,321.0,False,False,{'title': 'House in Calle Toledo'},False,5,True,nan,False,59,6682,es,nan,389900.0,102569819,40.7316696,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Total surface area 321 m², detached villa plot area 961 m², usable floor area 252 m², single bedrooms: 5, 2 bathrooms, 1 toilets, age between 20 and 30 years, heating (gasoil), ext. woodwork (aluminum), internal carpentry (sapelly), fireplace, kitchen, dining room, state of repair: in good condition, garage (2), facing mountain view, swimming pool (own), sunny, terrace, lands: stoneware, double glazing, inner courtyard.",False,{'typology': 'chalet'},good,1215.0,https://www.idealista.com/inmueble/102569819/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/0d/01/1159908893.jpg,Calle Toledo,False,-3.618893,Pedrezuela,nan,chalet,False
2,Madrid,467.0,True,False,{'title': 'Village house in Pozo Charca'},True,3,False,nan,False,21,CG-05360-0001,es,nan,380000.0,103538549,40.7355151,False,nan,sale,nan,"Hannan-Piper Real Estate presents an excellent opportunity to own this isolated single-family home, consisting of two floors above ground level and a semi-basement floor, forming part of the Montenebro Urbanization, located in the town of Pedrezuela, Madrid. It has an area of 403 m² and a plot of 991 m². It is distributed in a semi-basement, consisting of: Game room, dressing room, garage, pantry, bathroom and boiler room. Ground floor, consisting of: Living-dining room, hall, kitchen, bathroom and porch and upper floor, consisting of: Four bedrooms, dressing room and two bathrooms.  Good conservation and maintenance of the existing infrastructures in the environment, such as: paving, sewerage, public lighting, drinking water, electricity, gas, telephone network, garden areas, etc. Communications by buses of regular line and private vehicle. At Hannan-Piper Real Estate we have real estate experts with more than 25 years of experience in the sector and the area, who will help, guide and advise you so that the purchase process is pleasant, fast and simple. IMPORTANT INFORMATION: Because this property comes from a bank restructuring fund, the information described in this announcement may contain errors both in its description and in the price; For this reason, the information contained herein is not binding, and the interested party must seek additional information. The advertiser is not responsible for its content Request more information without obligation.",False,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",good,814.0,https://www.idealista.com/inmueble/103538549/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1e/f3/ae/1192681466.jpg,Pozo Charca,False,-3.6362328,Pedrezuela,nan,countryHouse,False
