bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
2,Madrid,218.0,True,False,{'title': 'Detached house in Heno no number'},True,5,True,nan,True,62,4523,es,nan,250000.0,102678663,40.3635735,True,nan,sale,nan,"Pelayos de la Presa Detached Villa for Sale with Private Pool Very central in the heart of the Urban Center Very quiet area 218 meters built, two floors. On the ground floor, Main, there is an extraordinary living room of about 30 meters decorated with stone and joined to the kitchen of approximately 21 meters by a serving hatch. Fully furnished and with appliances. From this room you can access the pool and garden area. We also have on the main floor 1 Bedroom of about 15 meters and a full bathroom with a shower. All renovated in 2008. On this floor all the white aluminum windows, climalit glass, blinds. stoneware floors, On the first floor: 4 bedrooms, one of them 22 meters with fireplace with cassette with direct access to a beautiful terrace of about 20 meters. The terrace with porcelain floor. The bedroom has been completely renovated with a double glazed aluminum window, bars and mosquito nets. Also built-in wardrobe. Completely renovated bathroom with shower tray, original iron window. The other 3 bedrooms, 2 built-in wardrobes, wooden floors upstairs, the windows in these bedrooms also made of original iron. It does not have heating but it has two stoves that provide heat on both floors. Plot of approximately 500 meters on the corner, private 8 x 4 tile pool, with treatment plant, solar shower, construction staircase. Stone paved plot floors. Also landscaped parts, very well maintained. Own well with plenty of water. Construction barbecue with sink. Wooden shed for tools. It is sold equipped and semi-furnished. Spectacular, in the Center of the Town. Just 1 hour from Madrid Next to the San Juan Reservoir.  NEGOTIABLE PRICE...!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1147.0,https://www.idealista.com/inmueble/102678663/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/bb/0d/1163552359.jpg,HENO no number,False,-4.3360092,Pelayos de la Presa,nan,chalet,False,nan
2,Madrid,188.0,True,False,{'title': 'Semi-detached house in Camino Angosto no number'},False,5,True,nan,False,73,0224,es,nan,200000.0,103584749,40.3604204,True,nan,sale,"[{'name': 'bright', 'text': 'Bright'}]","In the Town of Pelayos de la Presa - Pantano de San Juan Great semi-detached house for sale belonging to the Urban area, very well located. 188 total meters built. 162 meters of housing on two floors. On the main entrance floor there is a hall, a living room with a fireplace with a 35-meter fireplace and direct access to the garden. Kitchen of about 14 meters fully furnished and independent and also with access to the garden. 1 bedroom or office with a built-in wardrobe and a full bathroom with a shower. On the first floor there are another 4 bedrooms, one of the bedrooms with access to a wonderful terrace of about 16 meters. with unbeatable views and also has a built-in wardrobe. On this floor another full bathroom with a bathtub and very bright. Aluminum windows, stoneware floors, oil heating also for hot water, very close to the town and ready to move into. The plot has a wonderful pool of about 19 meters. In a privileged area, just 1 hour from Madrid, very well connected by bus from the Principe Pio station. 10 minutes from the San Juan Reservoir. Take advantage of the opportunity, call us.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1064.0,https://www.idealista.com/inmueble/103584749/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/f7/7c/1194092032.jpg,Camino ANGOSTO no number,False,-4.3419354,Pelayos de la Presa,nan,chalet,False,{'groupDescription': 'Highlight'}
3,Madrid,220.0,True,False,{'title': 'Detached house in Javacruz no number'},True,3,True,nan,False,34,3523,es,nan,235000.0,102052847,40.3588183,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"PELAYOS DE LA PRESA - SAN MARTIN DE VALDEIGLESIAS independent villa to move into in perfect condition very good qualities and extraordinary views Approximately 220 meters built On the entrance floor there is a hall, an independent furnished kitchen of about 20 meters, a very bright 36-meter living room and a bathroom with a shower. On the first floor there are 3 bedrooms, all of them very spacious and with built-in wardrobes and two bathrooms (1 of the bathrooms in the master suite-type bedroom. On the ground floor there is the garage of about 60 meters where the boiler is located. PVC windows with double glazed windows and double glazing, stoneware floors, mixed oil heating with a 1,000 liter tank. To enter to live. Just 50 minutes from Madrid Next to the San Juan Reservoir, 5 minutes by car. In the middle of Nature, ideal as a First or Second Residence.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1068.0,https://www.idealista.com/inmueble/102052847/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/a0/7f/1142636479.jpg,JAVACRUZ no number,False,-4.3344973,Pelayos de la Presa,nan,chalet,False,nan
2,Madrid,181.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,27,1079,es,nan,210000.0,103626624,40.3599481,False,nan,sale,nan,"This villa is at Pelayos de la Presa, Madrid, at Urbanizacion. It is a villa, built in 1974, that has 181 m2 of which 170 m2 are useful and has 5 rooms and 2 bathrooms.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1160.0,https://www.idealista.com/inmueble/103626624/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/25/c7/1197779538.jpg,Pelayos de la Presa,False,-4.3260052,Pelayos de la Presa,nan,chalet,False,nan
2,Madrid,160.0,True,False,{'title': 'Detached house'},False,3,True,nan,False,29,1102,es,nan,199000.0,99261359,40.3610728,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This villa is at 28696, Pelayos de la Presa, Madrid. It is a villa, built in 1983, that has 160 m2 of which 144 m2 are useful and has 3 rooms and 2 bathrooms. It includes furnished kitchen and it includes luminous and wardrobe.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1244.0,https://www.idealista.com/inmueble/99261359/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/a2/fd/1040254355.jpg,Pelayos de la Presa,False,-4.344908,Pelayos de la Presa,nan,chalet,False,nan
3,Madrid,273.0,True,False,{'title': 'Detached house'},False,4,True,nan,False,27,1129,es,nan,195000.0,99603045,40.3589795,False,nan,sale,nan,"This villa is at 28696, Pelayos de la Presa, Madrid. It is a villa, built in 1965, that has 273 m2 of which 246 m2 are useful and has 3 rooms and 3 bathrooms.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,714.0,https://www.idealista.com/inmueble/99603045/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/b4/3e/1048925041.jpg,Pelayos de la Presa,False,-4.330696,Pelayos de la Presa,nan,chalet,False,nan
2,Madrid,264.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,31,1006,es,nan,275000.0,98693127,40.3599172,False,nan,sale,nan,"This villa is at 28696, Pelayos de la Presa, Madrid. It is a villa, built in 1974, that has 264 m2 of which 180 m2 are useful and has 5 rooms and 2 bathrooms.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1042.0,https://www.idealista.com/inmueble/98693127/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/52/6e/1020661271.jpg,Pelayos de la Presa,False,-4.3433524,Pelayos de la Presa,nan,chalet,False,nan
3,Madrid,180.0,False,False,{'title': 'Detached house in Avenida de San José'},False,5,False,nan,False,48,2228/33,es,nan,380000.0,103816565,40.3607385,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"REF.2228/33.Detached villa in Pelayos de la Presa, (Madrid), a town that boasts of being a vacation destination as well as being a habitual residence, being 35 minutes from the financial center of Boadilla del Monte, Carabanchel or M40. The house consists of 2 floors located on a 600m2 plot, in perfect condition and continuous improvements and equipment, wrought iron bars, entrance façade decorated with stone, air conditioning, smooth painted walls with a great finish, closed French fireplace, authorized and legal well, (which represents great savings in irrigation and pool water), the entire perimeter and exterior accesses with ceramic tiles, The entrance at the front has the porch with space for two vehicles and the well pumping box.On the right, a storage room for implements and tools on the left, and in front external access to the boiler and diesel tank, facilitating its refueling.On the left you access the house through the entrance hall, serving on the left the living room where the French fireplace and dining room are located, accessing through this the beautiful porch at the back (it is also accessed from the outside) with views. to the entire valley, beautifully maintained gardens and its own pool with salt chlorination, on the right we have the staircase leading up to the first floor, the fully equipped room of the original garage designed to in the future have the possibility of having a room without the need for climbing stairs and currently used for ironing, sewing, leisure and hobbies, a toilet that is also used as a laundry room as the washing machine is hidden behind the aluminum enclosure, and finally on this floor the kitchen, with the furniture and high-end equipment, we recommend that you look closely at its photos to see its beautiful appearance. On the first floor from the hall it serves the complete bathroom for general use, and the other four very spacious rooms with their built-in wardrobes, and one of them, having the bathroom en suite, would be considered the main one, since space would be indifferent, the high sloping shape of the deck there is space for possible storage use, The dock for boats in the San Juan reservoir, which they share with San Martin de Valdeiglesias, the sports facilities of the municipality and an influx of cyclists and hikers and anyone who wants to have direct contact with nature, the traffic that passes through the municipality is what You necessarily need to go through the town. The property located in the most attractive part of the municipality, but even within it, ensures total tranquility without being isolated, Being a town in the province of Madrid, public transport is managed by the CAM consortium, as well as public health, outpatient clinics and hospitals, with all kinds of shops and services.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2111.0,https://www.idealista.com/inmueble/103816565/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/28/8c/1201115745.jpg,Avenida de San José,False,-4.3428999,Pelayos de la Presa,nan,chalet,False,nan
2,Madrid,94.0,True,False,{'title': 'Terraced house'},False,3,True,nan,False,24,1093,es,nan,160000.0,88840112,40.3588449,False,nan,sale,nan,"This villa is at Avenida de Marcial Llorente, 172, 28696, Pelayos de la Presa, Madrid. It is a attached, built in 1960, that has 94 m2 of which 84 m2 are useful and has 3 rooms and 2 bathrooms. It has storage room, furnished kitchen and chimney and besides, it includes terrazzo floor, porch, terrace and stippled walls.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1702.0,https://www.idealista.com/inmueble/88840112/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/48/5a/1141885169.jpg,Pelayos de la Presa,False,-4.3389956,Pelayos de la Presa,nan,chalet,False,nan
3,Madrid,202.0,True,False,{'title': 'House in Calle Río Duero'},False,3,False,nan,False,40,140076,es,nan,378000.0,103779443,40.3585308,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"From private to private. Call us and visit this house. Large villa with a surface area of 202 m² and a plot of 562 m², where you can enjoy your leisure time without leaving home, in Pelayos de la Presa, province of Madrid. The spaciousness of this house provides a family with children all the space they need. This chalet is distributed in a spacious and bright living room, a fitted kitchen, three bedrooms, two complete bathrooms and a functional guest toilet. In addition, the chalet has built-in wardrobes, to optimize your storage space. The property is all exterior, with a private garden where you will take advantage of the good weather and a private pool that will make the summer heat much more bearable. This chalet is located on an easily accessible road, it has a garage, so you can park comfortably. Due to its east orientation, in this house you will enjoy the sun in the morning. The house is sold furnished and in good condition, recently built, ready to move into. As for the qualities, this chalet has gas heating, PVC exterior carpentry, parquet floors, which gives a lot of warmth to the home and to make you feel safer in your home, the main door is reinforced. This house is located in a quiet and well-connected area, very close to the bus stop. For greater comfort, the house is very close to a medical center, a school and all the necessary services. At Housell we offer you a large selection of properties that adapt to your lifestyle. Don't miss this opportunity to find the perfect house for you. h1o4u0s0e7l6l.",False,{'typology': 'chalet'},good,1871.0,https://www.idealista.com/inmueble/103779443/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/f8/6f/1199869791.jpg,Calle Río Duero,False,-4.322135,Pelayos de la Presa,nan,chalet,False,nan
