bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,neighborhood,topPlus,highlight
7,Madrid,750.0,True,False,"{'subtitle': 'La Finca, Pozuelo de Alarcón', 'title': 'Detached house'}",True,6,False,nan,False,30,W-02RSV4,es,nan,3275000.0,100912259,40.4235177,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}, {'name': 'villaType', 'text': 'Villa'}]","Beautiful detached house in La Finca Engel & Völkers sells this beautiful property located in one of the best areas of Prado de Somosaguas, in a gated community, very close to the most prestigious local and international Schools and urban centers such as Pozuelo de Alarcón, and Boadilla del Monte. Located in one of the most beautiful areas in the suburbs of Madrid with 24-hour security and gardens. The house is distributed in 750 m2 over three floors on 1,100 m2 of land. Entering through a spacious foyer, we access the main living room and the dining room. This area is connected to the terrace, and we can enjoy a beautiful well-kept garden, and pool. On this floor there is the kitchen, a guest powder room and a spacious living room. On the first floor we have five bedrooms, each with its own bathroom. The master bedroom has a large dressing room. In the basement we have the service area, a garage for four vehicles, as well as several rooms ideal for storage and/or movie theather or game room. Pozuelo de Alarcón, thanks to its proximity to the center of Madrid, only 8km away, has become one of the most important population centers in the northwest of the community.  The town center is surrounded by large open green spaces, including the Casa de Campo, one of the largest parks in Madrid, that Pozuelo has expanded with the development of the Parque Forestal de Somosaguas. It is worth mentioning that Pozuelo has commuted trains which can take you to Madrid downtown. The property is close to the Quiron Hospital, and it is considered one of the most important health centers in Madrid. The property is near one of the most exclusive sports clubs in the area, and another sports center called Valle de las Cañas. In terms of gastronomy, the area offers a varied selection of restaurants, in which the influence of traditional and Castilian cuisine is evident. The area also has a wide range of educational facilities with the most prestigious centers in the city, as well as a wide range of leisure and commercial activities. Enjoying the natural environment of Pozuelo and its surroundings is a luxury. The Somosaguas Forest Park and the different green areas make the city of Pozuelo a delicious place to enjoy the suburban life of Madrid with your family.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,4367.0,https://www.idealista.com/inmueble/100912259/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/dc/8e/1200806625.jpg,subdistrict La Finca,True,-3.8047683,Zona Prado de Somosaguas - La Finca,Pozuelo de Alarcón,nan,chalet,La Finca,False,{'groupDescription': 'Featured'}
7,Madrid,1077.0,True,False,"{'subtitle': 'Somosaguas, Pozuelo de Alarcón', 'title': 'Detached house'}",False,7,False,nan,False,27,W-02OENG,es,nan,3690000.0,100124648,40.4264042,False,nan,sale,"[{'name': 'luxuryType', 'text': 'Luxury'}]","Unique and exclusive property in Somosaguas Engel & Völkers offers you the opportunity to own one of the most exclusive houses in Madrid. Declared an Asset of Cultural Interest (BIC) as a Spanish Heritage Monument. Nestled in Somosaguas is this impressive villa, unique and unrepeatable, which seduces us with its elegant architecture. It was built by Javier Carvajal, one of the most famous Spanish architects of the 20th century. The house's design creates a combination of clean lines and outward projection thanks to the oversized glass elements that make the outdoor areas blend in with the indoors. The house, with 1077 built metres and 4350 metres of plot, stands out for the light that envelops its rooms and its privacy in one of the best areas of this exclusive development, where the magnificent vegetation and views are enjoyed to the full.  It is designed on a sloping surface, on which it rests forming three platforms that distribute the spaces around two courtyards.  The house welcomes us with a large hall, a living room with several rooms, a separate dining room, a library and an office. An impressive kitchen with office, service area and laundry complete the social area.  In the private area there is an impressive master suite with two bedrooms, dressing room and en suite bathroom. Three secondary bedrooms, all with en suite bathrooms, share large private living rooms and all with direct access to the garden. The interior and exterior of the house stands out for its spectacular cladding, concrete walls that make it unique in the area.  In short, exclusivity, design and luxury in a prime spot! Somosaguas is one of the most attractive areas in the northwest. In addition to its excellent geographical location, it is also well connected to other municipalities, especially its proximity to the centre of Madrid. Living in Somosaguas next to extensive green areas and with direct access to the main roads is a privilege. This area is attractive for families with high purchasing power, who are looking for a high quality first residence. The nearby infrastructures are excellent and there are a large number of services close to the residential areas. Privacy, tranquillity, security and exquisite taste combine to create the perfect enclave and the perfect house. It is difficult to describe in words the sensations that invade us when visiting the area, the surroundings and this magnificent and unique residence.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3426.0,https://www.idealista.com/inmueble/100124648/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/34/27/1200793174.jpg,subdistrict Somosaguas,False,-3.7875216,Somosaguas,Pozuelo de Alarcón,nan,chalet,Somosaguas,False,{'groupDescription': 'Featured'}
6,Madrid,800.0,True,False,"{'subtitle': 'La Finca, Pozuelo de Alarcón', 'title': 'Terraced house in Paseo de Hontanar'}",True,6,False,nan,False,76,nan,es,nan,3200000.0,103283330,40.4115845,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}]","^^THE MOST EXCLUSIVE AND EXQUISITE DESIGN PAIR IN SPAIN^^ In the heart of the exclusive La Finca development in Pozuelo de Alarcón, with an area of 800 square meters, this renovated property offers an oasis of luxury and tranquility. The house features six bedrooms, three of which are en-suite with their own walk-in closets. The master bedroom is a modern gem with an integrated bathtub, offering avant-garde design. The interior spaces are a testament to elegance and comfort, with high ceilings and open areas that provide spaciousness and brightness to every corner. A main living room with an electric fireplace and double-height ceiling creates a cozy and sophisticated atmosphere. Additionally, there are several lounges and a cinema room for exclusive entertainment moments. The fully equipped kitchen has a charming outdoor area with a barbecue, perfect for outdoor culinary experiences. Furthermore, underfloor heating and cooling throughout the house, along with aerothermal technology, ensure unparalleled comfort. The fabulous property offers additional amenities, such as a spacious office with its own bathroom, an en-suite room for service, pantry, gym, and laundry. Moreover, the basement houses a large storage room and six parking spaces, ensuring more than enough space for all your needs. The exterior is equally impressive, with a fantastic garden surrounding a heated and overflowing private pool. The paved terrace provides the perfect setting to enjoy outdoor living. The property is located in a gated community with 24-hour security, offering privacy and tranquility. Additionally, it has easy access to a variety of services, from public transportation to shopping centers, universities, hospitals, and recreational areas. This residence represents the pinnacle of design and elegance in the most exclusive area of Spain and Europe, and it can now be your home. Discover sophistication and luxury in every corner of this spectacular residence in La Finca. ^^This advertisement is not binding and may contain errors. It is shown for informational purposes and is not contractual^^ ***WE DO NOT CHARGE COMMISSION TO THE BUYER.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,4000.0,https://www.idealista.com/inmueble/103283330/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/bf/34/1184410092.jpg,Paseo de Hontanar,True,-3.8073526,Zona Prado de Somosaguas - La Finca,Pozuelo de Alarcón,nan,chalet,La Finca,False,{'groupDescription': 'Featured'}
5,Madrid,567.0,True,False,"{'subtitle': 'La Finca, Pozuelo de Alarcón', 'title': 'Terraced house in Paseo de los lagos, 2'}",True,5,False,nan,False,68,Poz.- LFLG0224,es,nan,2500000.0,94013894,40.4162594,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}]","Inmobiliaria Pozuelo offers a townhouse in the prestigious La Finca urbanization with a private pool. Very good location as it is centered within the urbanization, neat (floor completely polished a year ago), with the closed porch and finished open basement. 4 bedrooms plus a service room in the basement with 5 bathrooms. 4 parking spaces in the basement plus one on the surface. Underfloor heating (Natural Gas), air conditioning, motorized blinds, thermal break windows, interior carpentry in wenge, elevator,.. . Very bright house with numerous skylights that provide natural light at almost any time of the day. Distributed in half floors as follows: Street floor with large hall, living room, bathroom with shower and laundry room. Then going up we access the double height living room with dining room and kitchen. From the living room and kitchen we go out to the glazed porch and the garden with pool. On the next floor we have 3 bedrooms with built-in wardrobes that share a terrace and 2 complete bathrooms, one with a bathtub and the other with a shower. The top floor has an office overlooking the living room and the master bedroom with a full bathroom with bathtub and shower, dressing room and magnificent views of the mountains as it is located above the line of chalets opposite. The basement has a service room and a large open space with access to the English patio from where it receives natural light. It also has full bathrooms with shower. From this floor we access the community garage. Do not miss the opportunity to enjoy a magnificent home in a privileged environment.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,4409.0,https://www.idealista.com/inmueble/94013894/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/a8/a8/1200282828.jpg,"Paseo de los lagos, 2",False,-3.8007479,Zona Prado de Somosaguas - La Finca,Pozuelo de Alarcón,nan,chalet,La Finca,False,{'groupDescription': 'Featured'}
5,Madrid,582.0,True,False,"{'subtitle': 'Somosaguas, Pozuelo de Alarcón', 'title': 'Detached house in Calle Talavera'}",True,6,False,nan,True,70,PV8398I,es,nan,2190000.0,100017563,40.4227252,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}]","A charming 582 m² detached house with a comfortable layout on a single floor and staff quarters on the lower floor. It stands on a well-groomed 5,579 m² plot of land with trees in the prestigious and gated Somosaguas Norte residential complex with 24-hour security. The house has 6 bedrooms and 4 bathrooms. It is close to shopping and leisure facilities and provides easy access to public transport (buses and light train) and to the main roads. Layout: MAIN FLOOR: - Entrance hall. - Living room. - A separate dining room connected to the kitchen. - An office/bedroom. - Three bedrooms. - Two complete bathrooms. - A kitchen-utility area with a separate entrance. - A bedroom and bathroom. - A charming lounge with a fireplace. LOWER FLOOR: - An apartment with two bedrooms, a lounge, and a bathroom for the staff. - A laundry-ironing room. - A cellar prepared for gatherings. - A garage for four cars. EXTERIOR: - A changing room with a bathroom in the garden. - A tool shed. CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING Somosaguas is a luxury residential estate that is only 10 kilometres from Madrid. It features excellent security measures, as all the inhabitants consider peace and privacy key requirements. In fact, public personalities from the world of culture, politics and music live here. Belonging to Pozuelo de Alarcon, Somosaguas is well connected by bus and tram. Above all, it is surrounded by the Casa de Campo, the city's great green lung. There are excellent schools, shopping centres and the Complutense University Campus. The Carretera de Castilla (Castile Road) will enable you to reach the city centre in 5 minutes.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3763.0,https://www.idealista.com/inmueble/100017563/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/11/7c/1138655836.jpg,Calle Talavera,True,-3.7909917,Somosaguas,Pozuelo de Alarcón,nan,chalet,Somosaguas,False,nan
4,Madrid,375.0,True,False,"{'subtitle': 'Zona Pueblo, Pozuelo de Alarcón', 'title': 'Semi-detached house'}",True,6,False,nan,True,27,PV8610I,es,nan,998000.0,103005772,40.4437333,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"A fantastic 375 m² semi-detached house, built on a beautiful 538 m² plot, in a residential complex surrounded by parks and very close to schools. Main Floor: - Entrance hall.  - Guest WC.  - Bright living/dining room with a fireplace.   - Lounge with a large window.  - Kitchen. Top floor. - En-suite master bedroom.  - Three large bedrooms.  - A complete bathroom.    Attic: - Lounge connected to a terrace with beautiful views.  - A complete bathroom. - Bedroom. - Two storerooms.  Basement:  - A spacious lounge. - Bedroom. - A complete bathroom.  - Two pantries.  CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING This important municipality of Madrid occupies an area of 42 km2 and has a population of approximately 84,000. It is 11 kilometres from the centre of the capital and borders with Aravaca. In addition to several bus and tram lines, there are two suburban stations: one in Pozuelo and another in El Barrial, next to the El Corte Ingles department store. In addition it is connected via the A-6, M-500 and M-40. Among the many residential estates that exist here, we can highlight La Finca, Somosaguas and Álamos de Bularas. From a town development point of view, in some cases flats have been built near shopping areas while in others, semi-detached and detached houses have been built. There are also a number of prestigious schools, some offering bilingual courses, making this a popular location with executives working in Madrid. The Somosaguas University Campus is nearby offering a range of degrees from the Complutense University. This is a very quiet and safe area with the services expected of a great city today. In fact, it has had its own theatre and conservatory for some years.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",renew,2661.0,https://www.idealista.com/inmueble/103005772/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/96/0c/1197223238.jpg,subdistrict Zona Pueblo,True,-3.8202325,Zona Pueblo,Pozuelo de Alarcón,nan,chalet,Zona Pueblo,False,nan
4,Madrid,582.0,True,False,"{'subtitle': 'Somosaguas, Pozuelo de Alarcón', 'title': 'Detached house in Calle Talavera'}",True,6,False,nan,True,36,PL180288,es,nan,2190000.0,99967293,40.4255149,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Discover this impressive luxury villa located in the exclusive urbanization of Somosaguas! This property has two joined plots: one of 2,774 m2 and the other of 2,796 m2, which guarantees a spectacular consolidated and well-kept garden that creates a natural and welcoming environment. The house is distributed over two floors with a total of 582 m2 built. In the basement, you will find a service area with two bedrooms, a bathroom and a living room, ideal for hosting service personnel or guests. It also has a laundry, cellar, choco (additional kitchen) and pantry, as well as a garage with capacity for four cars. On the ground floor, you will enjoy a spacious living room, a separate dining room, a large kitchen with a gallery and a living room with a fireplace. In addition, there are four bedrooms, two bathrooms and a toilet. The rooms are light and spacious, creating a cozy and comfortable atmosphere. This property has high quality features, such as interior woodwork, exterior woodwork, oil heating and an alarm system to guarantee the tranquility and privacy of the residents. It also has a swimming pool and a barbecue area, ideal for enjoying the good weather and organizing meetings with family and friends. In short, this luxury villa is the perfect choice for those looking for a spacious, bright and quiet home in one of the most exclusive areas of Madrid. It offers all the comforts and high quality details for a comfortable and luxurious life. Do not miss this unique opportunity!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,3763.0,https://www.idealista.com/inmueble/99967293/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/a3/4c/1132676917.jpg,Calle Talavera,True,-3.7881027,Somosaguas,Pozuelo de Alarcón,nan,chalet,Somosaguas,False,nan
5,Madrid,375.0,True,False,"{'subtitle': 'Zona Pueblo, Pozuelo de Alarcón', 'title': 'Semi-detached house in Calle Isla de Tabarca'}",True,6,False,nan,True,52,VMO2310001,es,nan,998000.0,102747094,40.4429821,False,nan,sale,nan,"SEMI-DETACHED HOUSE WITH GARDEN FOR SALE IN POZUELO DE ALARCÓN. Wonderful semi-detached house of 375 m² on a plot of 538 m² in the area of Fuente de Salud, in Pozuelo de Alarcón, one of the best locations in the municipality, surrounded by green areas and parks, a quiet and peaceful residential area, very close to schools and with excellent communication with Madrid. On the main floor the house has a large access terrace, which leads to the main entrance of the house, in the entrance hall we find a guest toilet, a large bright living-dining room with fireplace, from which you can access directly to the large garden through a staircase. From the hall there is also access to a large rectangular room with large windows on both sides, which can be used as an office or secondary living room, and to the kitchen, which is of a large size, with enough space to place an office and which also has independent access from the street. On the first floor there are 4 bedrooms, the master bedroom is large and has an en-suite bathroom and dressing room with three wardrobes, there are three large bedrooms that share a full bathroom. One of them has a terrace overlooking a park area. On the second floor with attic, there is a large living room with access to a terrace with magnificent views, a bathroom, an attic bedroom with ventilation through a velux window and a couple of rooms of different sizes that can be given to the attic or used as wardrobes. In the basement where natural light enters thanks to multiple windows and with access to the garden level, there is a large living room, a bedroom, a full bathroom and two pantries or wardrobes. Can you imagine living here?",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",renew,2661.0,https://www.idealista.com/inmueble/102747094/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/35/70/1192088285.jpg,Calle Isla de Tabarca,True,-3.819209,Zona Pueblo,Pozuelo de Alarcón,nan,chalet,Zona Pueblo,False,nan
2,Madrid,159.0,True,False,"{'subtitle': 'Zona Avenida Europa, Pozuelo de Alarcón', 'title': 'Penthouse'}",True,3,False,True,True,54,PV8604I,es,True,1100000.0,102938966,40.4406828,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This fantastic duplex penthouse with a terrace and spectacular views of the Madrid skyline is located in the most modern residential complex on Europa Avenue. A 159 m2 penthouse with a fantastic 72 m2 terrace in an exclusive gated community with 24-hour security, a communal pool, paddle tennis court, gym, and children's playground.  Excellent location close to all amenities and with easy access to the city centre.  LAYOUT: MAIN FLOOR: - Entrance hall.  - Living/dining room with access to one of the terraces.  - A fully equipped kitchen with appliances and a breakfast area.  - En-suite master bedroom with a walk-in closet and bathroom - Two further bedrooms. - A complete bathroom. FIRST FLOOR: A 72 m² terrace. - Storeroom.  - Two garage spaces. CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING This important municipality of Madrid occupies an area of 42 km2 and has a population of approximately 84,000. It is 11 kilometres from the centre of the capital and borders with Aravaca. In addition to several bus and tram lines, there are two suburban stations: one in Pozuelo and another in El Barrial, next to the El Corte Ingles department store. In addition it is connected via the A-6, M-500 and M-40. Among the many residential estates that exist here, we can highlight La Finca, Somosaguas and Álamos de Bularas. From a town development point of view, in some cases flats have been built near shopping areas while in others, semi-detached and detached houses have been built. There are also a number of prestigious schools, some offering bilingual courses, making this a popular location with executives working in Madrid. The Somosaguas University Campus is nearby offering a range of degrees from the Complutense University. This is a very quiet and safe area with the services expected of a great city today. In fact, it has had its own theatre and conservatory for some years.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,6918.0,https://www.idealista.com/inmueble/102938966/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/6a/9b/1187142363.jpg,subdistrict Zona Avenida Europa,True,-3.7870165,Zona Avenida Europa,Pozuelo de Alarcón,3,penthouse,Zona Avenida Europa,False,nan
5,Madrid,404.0,True,False,"{'subtitle': 'Montealina, Pozuelo de Alarcón', 'title': 'Detached house'}",True,6,False,nan,True,37,PV8566I,es,nan,1390000.0,102109273,40.4277011,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"A 404 m² villa with an excellent layout in need of renovation in one of the best residential complexes in Pozuelo. Layout:  Main Floor: -An entrance hall with a hall wardrobe. - A fantastic living-dining room in several atmospheres with 2 fireplaces and access to the garden - A large kitchen with a daily dining area or bedroom for the staff. - A separate laundry room. - A complete guest bathroom. - A large master bedroom with an en-suite bathroom, a large dressing room, and connected to the garden.  - An office or bedroom. - Bedroom. -Bathroom Top floor. - Two bedrooms with a terrace.  - A bathroom. -A lounge. Basement. - A garage for two cars. - A utility room. - W. C. A 404 m² detached property with a fantastic, consolidated garden, a pool, and a tennis court on a flat corner plot measuring 2.225 m².  The house currently has a comfortable layout: A spacious hall with a hall wardrobe, a fantastic living-dining room in several distinct atmospheres, a master en-suite bedroom, an office, a bathroom and a bedroom, a spacious kitchen with a breakfast area, a daily dining room, and a guest WC. Upstairs are two spacious bedrooms, with access to a terrace and a complete bathroom. Downstairs is the garage for two cars, a utility room, and a WC.  Montelina is one of the most exclusive residential complexes in Pozuelo, with access control and 24-hour security. CONTACT US TO SHOW YOU HOUSES THAT WE ARE NOT PUBLISHING A well-established luxury residential estate with controlled access and 24-hour security service. It belongs to the municipality of Pozuelo de Alarcon and offers a wonderful landscape, including the protected forest of Boadilla del Monte. Connected via the M-40, M-500 and public transport, it offers easy access to the Pozuelo shopping district. A distinctive feature is that all the houses are detached and located in excellent plots with high levels of privacy.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,3441.0,https://www.idealista.com/inmueble/102109273/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/e7/3c/1184964980.jpg,subdistrict Montealina,True,-3.8468729,Urbanizaciones,Pozuelo de Alarcón,nan,chalet,Montealina,False,nan
